ability	{'способности', 'правоспособност', 'умение', 'кадърност_ло́вкост', 'вещина́', 'способността', 'пригодност', 'способност'}
impress	{'впечатлявам', 'прес-банда', 'изземване', 'впечатля', 'печатам', 'отпечатам', 'впечатление', 'пресата_банди', 'отпечатвам', 'усърдие'}
in	{'членство', 'hoosier_членка', 'и́ндий', 'дюйм', 'елемент', 'in', 'indiana', 'атомен_номер_49', 'индия', 'bharat', 'инча', 'инч', 'индий', 'индиана', 'република_индия'}
invention	{'изобретен', 'иновативност', 'технологичните_иновации', 'новаторство', 'иновативни', 'изобретения', 'изобретяването', 'иновации', 'инвенция', 'нововъведение', 'измисляне', 'изобретение', 'изобретателство', 'иновация', 'изобретатели', 'измислят'}
investigation	{'изследователски_методи', 'оригинални_научни_изследвания', 'изследвания', 'изследователска_дейност', 'научни_изследвания', 'разследване', 'научно_изследване', 'проучване', 'изследване', 'изследователи'}
invisible	{'holy_diver', 'elevate', 'invisible', 'taylor_swift', 'evilized', 'dream_evil', 'етажна', 'sound_of_white_noise', 'невидим', 'инкогнито', 'невидимост'}
job	{'рабо́та', 'бизнес', 'пробле́м', 'занаят', 'служители', 'поминък', 'контрол_на_работата', 'служба', 'де́ло', 'ден_работа', 'job', 'предварително_борец', 'занятие', 'окупация', 'книгата_на_йов', 'спекулирам', 'професията', 'вакантно_място', 'работодателите', 'персонал', 'заетост', 'заетостта', 'наети', 'ра́бота', 'занимание', 'ра́ботно_мя́сто', 'задача', 'трудов_договор', 'йов', 'проблем', 'линия_на_работа', 'работа', 'професия', 'неприя́тна_рабо́та', 'зада́ча', 'предстояща_задача', 'скучна_работа'}
jungle	{'олдскул_джунглата', 'джунглата', 'out_of_the_blue', 'скитник_лагер', 'джънгъл', 'джунглите', 'jungle', 'shine_a_little_love'}
key	{'картография', 'черно', 'картографията', 'cayes', 'таен_код', 'шифър_машина', 'уникален_ключ', 'плитчина', 'плитчини', 'картографски', 'клавиши', 'ключ_за_криптиране', 'ключ', 'inkiness', 'криптографски_ключ', 'шифриране', 'секретния_код', 'индекс', 'шифри', 'разрешение', 'клавиш', 'картограф', 'ключ_плодове', 'наказателен_удар_платно', 'черен_цвят', 'плод_на_бряст', 'гама', 'шифроващ_ключ', 'индекс_база_данни', 'key', 'франсис_скот_кий', 'самара', 'mapmaking', 'алтернативен_ключ', 'диаграма', 'графика', 'шпонка', 'черен', 'флорида_ключ', 'идентификационен_ключ', 'таен_ключ', 'картографите', 'шифър', 'код_на_съвпадение', 'ключа', 'тоналната_музика', 'willem_key', 'първичен_ключ', 'francis_scott_key', 'крайъгълен_камък', 'тоналност'}
kill	{'убия', 'кончина', 'преждевременна_смърт', 'уморя', 'уби́вам', 'kill', 'убийство', 'убийството', 'уморявам', 'умъртвя', 'уби́я', 'смърт', 'убие', 'починали', 'the_kill', 'пускането_на_смърт', 'убивам', 'умъртвявам'}
kindness	{'доброта', 'снизхождение'}
king	{'б._б._кинг', 'монархия', 'индустриалист', 'дървен_материал_барон', 'george_king', 'кралица', 'монархията', 'поп', 'индустриалец', 'бизнесмагнат', 'billie_jean_king', 'най-добрият_в_света', 'кралство', 'голям_бизнесмен', 'монархии', 'монархическа_държава', 'rex', 'висши_мениджъри', 'монархически', 'би_би_кинг', 'charles_bird_king', 'крал', 'индустриалци', 'king', 'b.b._king', 'б.б._кинг', 'суверенен', 'мона́рхия', 'монарх', 'били_джийн_кинг', 'цар', 'коронованият_шеф', 'king.com', 'суверенна', 'king_ov_hell', 'магнати', 'мъж_монарх', 'райли_b_кинг', 'монархист', 'монархическата', 'reverend_horton_heat', 'магнат', 'бизнес_лидер', 'царуващ', 'б.б.кинг', 'владетел', 'монарси', 'мартин_лутър_кинг', 'бизнес_магнат', 'billie_jean_мофит_кинг'}
knee	{'колянна_става', 'контузия_в_коляното', 'коля́но', 'genu', 'articulatio_genus', 'коляното', 'колянната_става', 'коляно', 'задушавам', 'коленна_става', 'коляно_стачка', 'articulatio_род', 'коленете', 'човешкото_коляно'}
know	{'noesis', 'когниции', 'познавателна_способност', 'когнитивната_функция', 'когнитивните_процеси', 'знание', 'чу́кам', 'зна́ние', 'знания', 'ши́бам', 'когнитивен', 'познание', 'когнитивно', 'признае', 'когнитивен_процес', 'признавам', 'вярвам', 'чукам', 'когнитивност', 'изпитат', 'познавам', 'знам', 'умея', 'когнитивната_обработка', 'еба́', 'зная', 'зна́я'}
lady	{'светата_майка', 'титул', 'мадам', 'титла', 'св._богородица', 'лейди_и_скитника', 'формата_на_адрес', 'заглавие', 'благородница', 'лейди', 'заглавие_на_уважение', 'госпожа', 'дева_мария', 'богородица', 'света_богородица', 'стил', 'the_lady', 'мария', 'аристократка', 'света_богородица_пречиста', 'lady', 'въведение_богородично', 'дами', 'дама', 'дам'}
lake	{'пигменти', 'lake', 'сладководно_езеро', 'пигмент', 'естествено_езеро', 'езеро', 'езера', 'прекъсващ_езеро'}
land	{'приземя_се', 'поземлен_имот', 'land', 'държа́ва', 'суверенна_държава', 'държава', 'сушата', 'политическо_общество', 'къща_имоти', 'имение', 'недвижими_фондове', 'национално', 'недвижим', 'почва', 'земеделските_парцели', 'страната', 'недвижим_имот', 'обществените_отношения', 'федерални_провинции_на_германия', 'страни', 'страна', 'феодална_домейн', 'недвижимо_имущество', 'солидна_основа', 'земя́', 'народи', 'политическото_тяло', 'суверена_държава', 'национален', 'недвижима_собственост', 'кацам', 'имоти', 'едуин_хърбърт_land', 'земна_маса', 'държавата', 'суша', 'царство', 'терито́рия', 'приземявам_се', 'областта', 'мексиканския_щат', 'акра', 'държави', 'индустрията_на_имоти', 'недвижими_имоти', 'din_land', 'държавен', 'земята', 'земя', 'поземлен_собственик', 'чифлик', 'нация', 'страна́', 'имот', 'родово_имение', 'недвижимост', 'правителствени', 'държавна', 'суверенни_държави', 'декларативна_теория_на_държавността', 'вещно_право', '16-те_провинции'}
laugh	{'смях', 'шега', 'шеговит', 'вицове', 'смея_се', 'шеги', 'номер', 'виц', 'усмивка', 'майтап'}
law	{'правен', 'силите_за_сигурност', 'правни_изследвания', 'практиката_на_закона', 'earthling', 'школа_на_естественото_право', 'полиция', 'законодателство', 'писан_закон', 'правната_философия', 'правни_услуги', 'каноническо_право', 'правна_философ', 'съдебна_битка', 'естественоправна_школа', 'законотворчество', 'законите_на_физиката', 'жандармерия', 'право', 'правист', 'физичен_закон', 'закон', 'естественото_право', 'полицейски_управления', 'органи_на_реда', 'източната_криза', 'физични_закони', 'полицейски_сили', 'закона', 'закон_на_природата', 'физически_закон', 'природните_закони', 'църковния_закон', 'френска_правна_школа', 'юридически_философ', 'полицейска_закрила', 'въоръжен_полицията', 'природни_закони', 'канонично_право', 'правна_теория', 'рпу', 'адвокат_канон', 'правната_теория', 'm72_law', 'правистка', 'полицията', 'сили_за_сигурност', 'юриспруденция', 'юридически'}
leaf	{'листо', 'лист', 'корени_дърво', 'листа_обвивка', 'нисан_leaf', 'листа_марж', 'лицева_страна', 'nissan_leaf', 'paullinia_pterophylla', 'abaxial', 'пазвите', 'дървовидна_структура', 'crenate', 'verso', 'adaxial', 'дърво', 'шума', 'средна_жила', 'листак', 'космат', 'фолио', 'зеленина', 'пазва', 'гора', 'нечетна_страница', 'шумак', 'листа_пазва', 'листа', 'листата'}
left	{'левица', 'лявото_крило', 'ляво_крило', 'вляво', 'ляв', 'колективистична', 'esquerra_republicana_de_catalunya', 'политическо_пространство', 'лявата_политика_крило', 'левите', 'наляво', 'ляво', 'левичар', 'леви', 'лявата_ръка', 'левичарство', 'датска_либерална_партия', 'venstre'}
leg	{'стадий', 'pegleg', 'краката', 'долни_крайници', 'долен_крайник', 'човешки_крак', 'крака', 'двукрак_мач', 'фаза', 'crus', 'два_крака', 'част', 'два_крака_вратовръзка', 'дървен_крак', 'крак', 'период', 'разклоняване', 'кръг', 'долната_част_крака', 'бут', 'етап', 'счупен_крак', 'долните_крайници', 'обиколка', 'разклонение'}
level	{'изравнявам', 'равнище', 'клас', 'опит_точка', 'мащаб_градуса', 'еволюционен_клас', 'равен', 'степен', 'етаж_номериране', 'нивелир', 'терзия', 'кат', 'точки_опит', 'ета́ж', 'етажа', 'хоризонтална_повърхност', 'нивото', 'ниво́', 'либела', 'ниво_на_опит', 'история', 'изравня', 'еволюционна_степен', 'пло́сък', 'adema', 'ниво', 'levél', 'качество', 'точка', 'посочвам', 'етаж', 'етап', 'ранг', 'level', 'ра́вен'}
liar	{'liră', 'лира', 'republic', 'liar', 'louder_now', 'so_far,_so_good..._so_what!', 'лъжец', 'white_rabbit', 'арфи', 'казуист', 'glory'}
lie	{'трюгве_ли', 'trygve_halvden_lie', 'лъжа', 'фалш', 'измама', 'изментя', 'лежа', 'легна_си', 'awake', 'мамя', 'ментя', 'неистинността', 'лежа́', 'измамя', 'лягам_си', 'trygve_lie', 'легна', 'absolute_first_album', 'the_lie', 'malpresentation', 'неистина', 'лъжа́', 'lie', 'тригве_ли', 'излъжа'}
light	{'блясък', 'окно', 'вътрешна_светлина', 'запаля', 'светлина', 'лампа', 'пиротехнически_инициатор', 'осветявам', 'прозореца', 'светлинна_вълна', 'лек', 'видимо_излъчване', 'нивото_на_яркостта', 'light_yagami', 'светъл', 'озарявам', 'отражение_на_светлината', 'възпламеня', 'осветление', 'запалки', 'яркост', 'запалка', 'озаря', 'cветлина', 'източник_на_светлина', 'светлината', 'luminousness', 'вътрешната_светлина', 'светлинните_вълни', 'видимата_светлина', 'прозорец', 'паля', 'христос_в', 'осветя', 'детонатора', 'сияйност', 'запалвам', 'прозорци', 'възпламенявам', 'light_рамките_на', 'електрическа_лампа'}
live	{'лайв', 'pigmy_love_circus', 'живеят', 'джей_ло', 'живея', 'live!', 'концертно_турне', 'концерти', 'живо', 'живот', 'r.e.m._live', 'v', 'турне', 'jennifer_lopez', 'live_at_the_marquee', 'музика_на_живо', 'продължи', 'на_живо', 'дженифър_лопес', 'концерт', 'simian_mobile_disco', 'j_lo', 'живѐя', 'под_напрежение', 'жива_материя', 'built_to_spill', 'жив', 'оцелее', 'изпитат', 'live', 'j._lo'}
liver	{'говеждо_черния_дроб', 'черен_дроб', 'черния_дроб'}
long	{'longa', 'дълго', 'висок', 'лонга', 'мечтая', 'дъ́лъг', 'продължителен', 'bloody_roar', 'копнея', 'william_henry_long', 'дълъг', 'long', 'жадувам'}
louse	{'членестоного', 'членестоноги', 'ухапване_въшка', 'arthropoda', 'въшки', 'phthiraptera', 'смучене_въшка', 'членестного', 'въшка', 'паразитни_въшки', 'растение_въшка', 'артропод', 'птица_въшка', 'мръсотия_топка', 'пухояд'}
magic	{'екстаз', 'secret_time', 'повелителите_на_руните', 'магии', 'planeswalker', 'сценична_магия', 'occlumency', 'dame_kiri_te_kanawa', 'the_runelords', 'фокус', 'илюзионно_изкуство', 'октаринов', 'даме_кири_janette_te_kanawa', 'маг', 'octiron', 'alagaësia', 'wonderworking', 'артефакт', 'kiri_te_kanawa', 'driving_rain', 'джъстин_тимбърлейк', 'транс', 'защита_срещу_черните_изкуства', 'magic:_the_gathering', 'take_me_home', 'повелителите_на_руни', 'фокусници', 'thaumaturgus', 'justin_timberlake', 'магьосник', 'двустранно_огледало', 'parseltongue', 'светът_на_диска', 'magic!', 'извиквайки_трик', 'меджик_дъ_гедъринг', 'магия', 'трансфигурация', 'te_kanawa', 'axel_rudi_pell', 'thaumaturgic', 'преображение', 'magic_the_gathering', 'аксел_руди_пел', 'зоомаг', 'make_a_scene', 'огледало', 'етап_магьосник', 'фокусник', 'илюзионист', 'магически_трик', 'pluto', 'кири_те_канава', 'софистика', 'трик', 'magic', 'чудотворец'}
man	{'човечеството', 'хора', 'човечество', 'камериер', 'homo', 'военнослужещ', 'остров_ман', 'човешката_раса', 'човешки_същества', 'полова_зрялост', 'homo_sapiens', 'ман', 'man', 'dunlendings', 'мъжете', 'човек', 'dunlending', 'мъжки', 'мъжки_пол', 'хомо_сапиенс', 'летище_манчестър', 'хората', 'човеци', 'света', 'полово_зрели', 'човека_страници', 'чове́чество', 'homo_sapiens_sapiens', 'камериер_де_chambre', 'джентълмен_е_джентълмен', 'светът', 'в_света', 'пионка', 'човешки', 'възрастен_мъж', 'човешките_същества', 'вселѐна', 'manfred_gnadinger', 'atanatári', 'военен', 'землянин', 'половото_съзряване', 'човешкия_вид', 'военни', 'ман_груп', 'cornelis_de_man', 'човека', 'metropolitan_area_network', 'свят', 'мъж', 'човешко_същество', 'relient_k', 'момче', 'регионална_мрежа'}
many	{'много', 'many'}
marriage	{'nihility', 'женитба', 'гражданското_сватба', 'съпрузи', 'мъж_и_жена', 'сватбената_церемония', 'ангажимент_церемония', 'бракосъчета́ние', 'венчавка', 'омъжена_двойка', 'hymeneals', 'ожени', 'брак', 'жени́тба', 'католически_брак', 'съю́з', 'сродници_отношения', 'сватбена_церемония', 'сватби', 'нищожност', 'сватба', 'сва́тба', 'брачни', 'сватбен', 'женени_двойки', 'брачен_съюз', 'двойка', 'бракове'}
material	{'физическо_онтология', 'физикализма', 'текстилен', 'материя', 'материали', 'суровина', 'материал', 'тъкани', 'текстилна_промишленост', 'тъкан', 'материалисти', 'материалистичен', 'вещество', 'суровини', 'материализъм', 'неща', 'материалистите', 'тъка́н', 'кърпа', 'текстил', 'плат'}
mathematical	{'математически', 'математика', 'математическа', 'чиста_математика', 'математиката'}
meat	{'shawn_stasiak', 'есе́нция', 'we_will_rock_you', '-същностно', 'същност', 'същина́', 'месо', 'месо́', 'екстра́кт', 'науката_месо', 'есенции', 'съ̀щност', 'преработено_месо', 'сърцето_и_душата'}
mechanism	{'механизъм', 'капиталово_оборудване', 'машини', 'машина', 'механи́зъм', 'движение', 'оборудване', 'машинария', 'устройство', 'механизми', 'химически_механизъм'}
medication	{'лекарства', 'rescue', 'медикамент', 'илач', 'аптекарски', 'version_2.0', 'лека́рство', 'блокбъстър_наркотици', 'фармацевтичната', 'фармацевтични_лекарства', 'лек', 'лекарствен_наркотици', 'фармацевтични', 'фармацевтични_продукти', 'лекарство', 'цяр'}
money	{'валута', 'money', 'състояние', 'the_sound_of_girls_aloud:_the_greatest_hits', 'богатство', 'пари', 'сребро', 'пари́', 'парични_средства'}
moon	{'слънцето', 'юпитер', 'венера', 'меркурий', 'лунната_светлина', 'спътник', 'сан_мюнг_муун', 'лунен_месец', 'кристофър_робин_милн', 'луната', 'драконовски_месеца', 'kyôko_fukada', 'нд_знак', 'сан_мьон_мун', 'sun_myung_moon', 'луна', 'спъ̀тник', 'месечина', 'естествен_спътник', 'естествени_спътници', 'марс', 'сателит', 'сън_мюнг_муун', 'лунна_светлина', 'муун', 'moon', 'луни', 'сан_мьон_муун', 'луна́', 'синодичен_месец'}
mother	{'майката_земя', 'женски_родител', 'synchronicity', 'майка', 'сестра́', 'sisters_of_avalon', 'богинята-майка', 'монахиня', 'майчинство', 'a_chorus_line', 'богиня-майка', 'mother', 'великата_майка_богиня', 'монахини', 'мама', 'тихон_хренников', 'майки', 'chorus_line'}
mountain	{'тълпа', 'добра_сделка', 'куп', 'mickle', 'passel', 'mountain', 'доста_малко', 'muckle', 'планини', 'много', 'порядъчна_сума', 'планините', 'планина̀', 'балкан', 'маса', 'sahtu', '4-8-2', 'планина', 'уби', 'планински'}
mouth	{'устна_кухина', 'дързък_отговор', 'устата', 'периорален', 'връх', 'sassing', 'рима_oris', 'говори', 'устната_цепка', 'естуа́р', 'backtalk', 'устие', 'уста', 'labium', 'устната_кухина', 'обратно_говори', 'речно_устие', 'заустване', 'уста́', 'устия'}
movement	{'тълпа', 'изпражнение', 'акция', 'философско_движение', 'изпражне́ния', 'гомно', 'движение_на_червата', 'фека́лии', 'серат', 'лайно', 'фекална_материя', 'курешка', 'she_wolf', 'дефекация', 'социално_движение', 'movement', 'тълпата', 'фекални', 'арт_движение', 'екскрементирал', 'лайна', 'екскреме́нти', 'фъшкия', 'кауза', 'изпражнения', 'лайно́', 'художествени_движения', 'говно́', 'обществено_движение', 'пречиствам', 'дръдонка', 'фекалии', 'видимото_движение', 'художественото_движение', 'изхождане', 'the_pillows', 'подвижността', 'изхвърляне_на_изпражнения', 'тор', 'социални_движения', 'група_за_действие', 'говно', 'фронт', 'ако', 'навалица', 'двигателна_активност', 'очевидно_движение', 'движение', 'сране', 'изпражне́ние', 'локомоция', 'дарадонка', 'птичи_тор', 'движения_на_червата', 'акане', 'екскремент', 'кампания'}
movie	{'движещи_се_изображения', 'филмова_шоу', 'театрална_филм', 'кино_филм', 'движещите_се_изображения', 'движещ_се_киноспектакъл', 'kites', 'киноспектакъл', 'кинофилм', 'пълнометражно_видео', 'кинолента', 'телевизионен_филм', 'филм', 'големия_екран', 'филмова', 'едноименния_филм', 'филми', 'движеща_се_картина'}
music	{'праисторически_музика', 'му́зика', 'country_rock', 'благозвучие', 'страната_рок', 'music', 'музика', 'the_music'}
name	{'име', 'наричам', 'име_на_компютър', 'ругатня', 'назва̀ние', 'наименование', 'съществително_фраза', 'точното_на_наименование_на', 'нарека', 'спомена', 'се_цитират', 'номинална_фраза', 'обществен_деец', 'номинален', 'идентифицирам', 'цитирам', 'репутация', 'название', 'реноме', 'слава', 'фигура', 'правилното_съществително', 'gens', 'споменавам', 'идентификатори', 'жен', 'избирам', 'id', 'ид', 'правилното_име', 'разпознавам', 'назначавам', 'собствени_имена', 'назнача', 'кръстя', 'ѝме', 'наименова̀ние', 'идентификатор', 'кръщавам', 'род'}
narrow	{'посредствен', 'тесногръд', 'тесен'}
nation	{'държа́ва', '16-те_провинции', 'суверенна_държава', 'carry_nation', 'discworld', 'държава', 'мексиканския_щат', 'кендрик_ламар', 'светът_на_диска', 'политическо_общество', 'уа_нейшън', 'държави', 'аполо_крус', 'национално', 'страната', 'държавен', 'kendrick_lamar', 'нация', 'обществените_отношения', 'федерални_провинции_на_германия', 'страна́', 'страни', 'страна', 'земя́', 'народи', 'политическото_тяло', 'правителствени', 'суверена_държава', 'държавна', 'национален', 'суверенни_държави', 'носете_амелия_мур_nation', 'декларативна_теория_на_държавността', 'nation', 'държавата'}
near	{'приближа', 'близък', 'близо', 'близо_до', 'приближавам_се_до', 'подхождам', 'ниър_шумейкър', 'почти', 'съседен', 'недалечен', 'наближавам', 'бли́зък', 'near_shoemaker', 'бли́жен', 'приближавам', 'наближа', 'почти́', 'приближавам_се'}
neck	{'деколте', 'шията', 'тилен', 'ши́я', 'врата', 'шия', 'врат'}
new	{'new', 'нов'}
news	{'новини_шоу', 'новости', 'вест', 'news', 'но́вости', 'известия', 'ве́сти', 'съобщение', 'телевизионни_новини', 'нови́ни', 'дума', 'вести', 'текущите_събития', 'изве́стия', 'репортаж', 'новини_програма', 'новинарска', 'новини', 'новина'}
night	{'никта', 'елиезер_визел', 'ели_визел', 'през_нощта', 'визел', 'полунощ', 'нощ', 'elie_wiesel', 'nyx', 'night', 'nox', 'нюкта', 'среднощно_синьо', 'нощта', 'никс', 'нукта'}
noise	{'дисонанс', 'реликтово_излъчване', 'шумовото_замърсяване', 'звукови_вълни', 'stochasticity', 'звуковите_вълни', 'електрически_шум', 'атмосферно_статично', 'електронен_шум', 'звукова_вълна', 'дандания', 'шумово_замърсяване', 'звук', 'шума_в_изображението', 'акустични_вълни', 'noise', 'haphazardness', 'cbr', 'смущения', 'микровълново_фоново_лъчение', 'случаен_шум', 'elementary_os', 'разхвърляност', 'шумотевица', 'шум', 'cmb', 'космическия_микровълнов_фон', 'космическото_фоново_лъчение', 'космическото_микровълново_фоново_лъчение', 'разпространение_на_звука', 'звуковото_замърсяване', 'космическо_микровълново_фоново', 'радиосмущения', 'радио_смущения', 'cmbr', 'промишлен_шум', 'звуци', 'шум_музика'}
nose	{'аромати', 'носа', 'дюза', 'букет', 'напомняне', 'човешкия_нос', 'нос', 'дюзи', 'обонятелен_орган', 'гор', 'ароматни', 'аромат', 'fragrancy'}
not	{'and', 'и', 'логическия', 'логически_схеми', 'сума_по_модул_2', 'xnor', 'or', 'логически_елемент', 'nand', 'логика_верига', 'не', 'отрицание', 'xor', 'not', 'nor', 'логично_отрицание', 'дискретна_логика'}
obligation	{'задължения', 'отговорност', 'обещание', 'облигации', 'облигационен', 'сертификат_за_задлъжнялост', 'дълг', 'дългов_инструмент', 'разпи́ска_за_дълг', 'обещанието', 'задължение', 'облигационно_право', 'дума'}
old	{'стар', 'минал', 'бивш', 'предишен', 'старата_лоза', 'възрастен'}
one	{'succeeder', 'една', 'кортежи', 'единство', 'едно', 'n-кортеж', 'мултипликативна_самоличност', 'vertical_man', 'един', 'armin_van_buuren', 'кортеж', 'supposed_former_infatuation_junkie', 'асо', 'vampire_weekend', 'музиканти', 'achiever', 'one', 'армин_ван_бюрен', '1', 'шесторен', 'planetshakers', 'the_one'}
other	{'друг', 'други'}
pain	{'трън_в_задника', "game's_pain", 'болка', 'pain', 'forever', 'болезнено_усещане', 'остра_болка', 'доса́да', 'king_of_da_ghetto', 'боли', 'мъка', 'болка_сензация', 'раздразне́ние', 'болката', 'досадник', 'болка_и_ноцицепция', 'огорчение', 'страдание'}
personality	{'personality', 'индивидуалност', 'личност', 'характер'}
philosophy	{'философски', 'философски_език', 'училище_на_мисълта', 'философска', 'доктринална', 'училище', 'история_на_философията', 'изъм', 'мислител', 'доктрини', 'философията', 'философия', 'доктрина', 'философска_система', 'учение', 'политическа_доктрина', 'философска_традиция'}
picture	{'фотос', 'фотография', 'рисунка', 'картина_на_акаунт', 'фотогра̀фия', 'occlumency', 'кино_филм', 'дума_боядисване', 'илюстратор', 'движещ_се_киноспектакъл', 'въображение', 'диза́йн', 'художници', 'сцена', 'снимка', 'киноспектакъл', 'кинофилм', 'картина', 'обрисуване', 'образ', 'кинолента', 'телевизионен_филм', 'фантазия', 'филм', 'образно_описание', 'картини', 'снѝмка', 'илюстрация', 'снимки', 'защита_срещу_черните_изкуства', 'ментална_картина', 'художник', 'мисловен_образ', 'живопис', 'cobol', 'изображение', 'parseltongue', 'умствени_образи', 'движещи_се_изображения', 'театрална_филм', 'филмова_шоу', 'едноименния_филм', 'кобол', 'трансфигурация', 'движещите_се_изображения', 'снимката', 'карти́на', 'kiss', 'илюстрации', 'преображение', 'зоомаг', 'класическата_живопис', 'картинен_материал', 'фотографско_изображение', 'илюстровани_книги', 'изобразявам', 'големия_екран', 'филмова', 'илюстрирана', 'рисунки', 'филми', 'аватар', 'движеща_се_картина', 'рисуване'}
pig	{'свине', 'габарит_инспекция_на_тръбопроводи', 'conjoiner', 'свиня', 'conjoiners', 'прасе,_свиня', 'прасе_легло', 'ям_лакомо', 'домашна_свиня', 'скъперник', 'полицай', 'shote', 'опрасвам_се', 'диви_прасета', 'поглъщам', 'диво_прасе', 'sus_domestica', 'домашни_свине', 'дива_свиня', 'scrofa', 'немарлив_човек', 'същински_свине', 'свинско', 'повлекана', 'сея', 'прасе́нце', 'sus_scrofa', 'глиган', 'прасенце', 'прасе', 'дундьо', 'porc', 'ченге', 'сви́нско', 'pigging', 'sus_scrofa_domestica', 'свинско_месо', 'глигани', 'мърляч', 'прасе́'}
plan	{'план_—_подготовка', 'кроеж', 'архитектурният_план', 'планiчертеж', 'планира', 'планирам', 'архитектурно_планиране', 'plan', 'програма', 'план', 'планувам', 'планират', 'замислям', 'планове', 'плана', 'рисунки', 'дизайн', 'проектирам', 'замисля', 'архитектурен_план', 'замисъл'}
plant	{'растителен_живот', 'растение', 'засаждам', 'основавам', 'завод', 'декор', 'поточните_линии', 'растителност', 'поточна_линия', 'feitoria', 'съоръжение', 'конвейер', 'производствената_линия', 'заво́д', 'plant', 'plantae', 'растението', 'промишлено_предприятие', 'работи', 'производствени_предприятия', 'фабрика', 'фабрики', 'флората', 'флора', 'засадя', 'фа́брика', 'работник_във_фабрика', 'конвейр', 'кълн', 'factorij', 'растения', 'trigun', 'фактория', 'установи', 'садя', 'растителни_видове'}
play	{'драматична_игра', 'google_play', 'обзалагам_се', 'залагам', 'забавлявам_се', 'комарджии', 'свобода', 'android_market', 'донесе', 'играе', 'веселие', 'свиря', 'пиесата', 'залагания', 'драматични_изкуства', 'хазарт', 'работи', 'пиеси', 'пиеса', 'игра', 'състезание', 'фехтовка', 'stageplay', 'google_play_store', 'театрална_пиеса', 'играе_период', 'драматургично_произведение', 'заложа', 'рипам', 'игра́я', 'play', 'басирам_се', 'играя', 'игри', 'период_на_игра', 'play_store', 'блещукане', 'драма', 'играят', 'драми'}
pleasure	{'semisonic', 'pleasure_p', 'наслада', 'удоволствие', 'sondre_lerche'}
poor	{'бедността', 'градската_бедност', 'бедняци', 'бедността_в_световен_мащаб', 'ниски_доходи', 'бедните', 'относителната_бедност', 'нищета', 'обедняване', 'беден', 'обет_за_бедност', 'бе́ден', 'бедност', 'бедстващите', 'бедните_хора', 'доброволната_бедност', 'мизерия'}
prison	{'пандиз', 'поправителния_дом', 'jailhouse', 'в_затвора', 'средно_ниво_на_сигурност', 'поправителния_съоръжение', 'затвор', 'затворнически', 'зандан', 'дребен', 'затвора', 'затварям', 'дранголник', 'затвори', 'tom_robinson'}
professional	{'професионален', 'професионалния_спорт', 'ма́йстор', 'експерт', 'професионално_изглеждащ', 'експерти', 'професионализъм', 'професионални_спортисти', 'специалисти', 'специалист', 'професионалния_футбол', 'професионалист', 'професионален_спортист'}
protection	{'безопасност', 'защитеност', 'сигурност', 'охрана', 'за_защита_на_търговията', 'protection', 'закрила', 'защитно_покритие', 'защита', 'безопа́сност', 'покровителство'}
pull	{'извличам', 'извлека', 'изваждам', 'привлека', 'pull', 'обратен_размах', 'дърпане', 'издърпване', 'дърпам', 'изстрел_притегляне', 'извадя', 'крака_поглед', 'разкъсвам', 'изтеглям', 'извършвам', 'измъкна', 'тегля', 'дръпна', 'привличам', 'измъквам', 'вата', 'батсмани'}
push	{'буто́н', 'бутон', 'натиснете_бутона', 'бутна', 'тласък', 'напъвам_се', 'стек', 'майк_дирикс', 'confessions_on_a_dance_floor', 'напъна_се', 'подтиквам', 'куп', 'тласкам', 'тласна', 'бутона', 'black_and_white_america', 'push', 'precious', 'копче', 'бутане', 'прокара', 'm.i.k.e.', 'блъскам', 'рекламирам', 'се_и_отидете', 'confessions_on_a_dancefloor', 'бутам'}
quality	{'тембър', 'контрол_на_качеството', 'управление_на_качеството', 'характер', 'качество', 'тон', 'quality', 'тембри', 'качеството', 'timbral'}
rain	{'in_blue', 'валежи', 'дъждове', 'дъжда', 'дъжд', 'чонг_джи-хун', 'симон_батъл', 'валеж', 'rain', 'дъжд_буря', 'плющене', 'валежите', 'дъждовна_вода', 'heavy_rain', 'буря'}
reaction	{'химични_реакции', 'химична_реакция', 'химично_съединяване', 'отговор', 'reaction', 'химически', 'реакция', 'химическа_реакция', 'отзвук'}
read	{'прочета̀', 'учат', 'че́тене', 'уча', 'читател', 'чѐта', 'преминаване', 'чета', 'read', 'четене', 'прочетете'}
red	{'бесни_страшни_пенсии', 'червено', 'bolshy', 'day_&_age', 'болшевиките', 'ред_ривър', 'bolshie', 'загуба', 'червено_мастило', 'red', 'болшевизъм', 'загуби', 'anil_kapoor', 'червен', 'болшевишката_партия', 'болшевизация', 'червен_цвят', 'тъмночервен', 'пурпурен', 'червената_река', 'болшевизма', 'angry_birds', 'смолвил', 'болшевики', 'черве́н', 'after_school', 'болшевик', 'red_river'}
relationship	{'познанство', 'тъст', 'отношения', 'човешкото_взаимодействие', 'междуличностни', 'етърва', 'човешките_взаимоотношения', 'дългосрочни_отношения', 'познат', 'междуличностните_отношения', 'междуличностни_взаимоотношения', 'връзка', 'релация', 'родство', 'шурей', 'взаимоотношение', 'семейни_връзки', 'родство_и_слизане', 'сродство', 'общуване', 'запознанство', 'роднински_връзки', 'междуличностни_отношения'}
religious	{'клирик', 'благочестив', 'духовник', 'набожен', 'религиозен', 'религиозни'}
