ability	{'capacitate', 'capacitatea', 'aptitudine', 'destoinicie', 'iscusință', 'abilitate', 'potențial', 'pricepere', 'aptitudini', 'putință', 'iscusință_abilitate'}
four	{'limita', 'iv', 'șase', 'tetractys', 'four_este_al_patrulea_viitor_album_al_trupei_engleze-irlandeze_de_baieti,_one_direction._o_sa_fie_lansat_prin_intermediul_columbia_records_si_prin_syco_music_pe_17_noiembrie_2014.', 'învingător', 'forth', 'patru', 'channel_4', 'tetrada', 'quaternion', 'planetary', 'quaternions', 'micul_joe', 'four', 'four,_isère', 'realizator', 'quatern', 'câștigător', 'succeeder', 'quaternity', 'patru_la_fața_locului', '4', 'cuaternion'}
freeze	{'înțepeni', 'împietri', 'solidificare', 'congelare', 'îngheța', 'jordin_sparks', 'încremeni', 'întrerupe', 'figer', 'bloca', 'îngheț', 'înmărmuri', 'înghețare', 'degera', 'sista', 'todd_smith', 'ger', 'oprire', 'congela', 'freeez', 'freeze', 'opri', '|se|_solidifica', 'suspenda', 'îngheţ', 'bloodline', 'fifrig', 'stagnare', 'înlemni', '[se]_purtadistant'}
fruit	{'rodi', 'stypsis', 'producție', 'echilibrul', 'fruct', 'product', 'fruit', 'fructe', 'produs', 'minerality', 'astringență'}
full	{'complet', 'maxim', 'maximal', 'săturat', 'deplin', 'pe_deplin', 'lunăplină', 'crește', 'integral', 'cheio', 'fiîncreștere', 'larg', 'full-of-the-moon,', 'faza_completa_a_lunii', 'sătul', 'plin', 'bun', 'întreg', 'total', 'lună_plină'}
garbage	{'reziduu', 'deșeu', 'deșeuri_municipale_solide', 'rămășițe', 'deșeuri_de_materiale', 'gunoi_menajer', 'prostie', 'refuza', 'garbage', 'deșeuri_municipale', 'deșeuri_alimentare', 'deşeu', 'lucru_nevaloros', 'materie_deșeuri', 'withering_to_death.', 'deșeurilor_solide', 'deșeuri', 'resturi', 'rebut', 'deșeurilor_de_produse', 'fier_vechi', 'deseu', 'gunoi'}
give	{'așterne', 'au', 'ține', 'vădi', 'alungi', 'dărui', 'înmâna', 'lăsa', 'divulga', 'arăta', 'determina', 'încredința', 'permite', 'da', 'stabili', 'elasticitate', 'ruina', '|se|_consacra', 'darul_lui_jonas', '[se]_culca', '|se|_dedica', 'comunica', '[se]_deforma', 'cold', 'dezvălui', 'remite', 'cadouri', 'aduce', '|se|_devota', 'sacrifice', 'prăbuși', 'dărâma', 'acorda', '[se]_întinde', 'faceloc', 'produce', 'administra', 'conferi', 'ceda', 'convinge', 'hrăni', 'pet_your_friends', 'arunca', 'cadou', 'întâmpla', 'plăti', 'nărui', 'sacrifica', 'spune', 'dedica', 'prelungi', 'expune', 'contribui', 'exprima', 'prezenta', 'the_giver', 'preda', 'dovedi', '[se]_da', 'face', 'întinde', 'trece', 'furniza', '|se|_dărui', 'dar', '|se|_închina', 'oferi'}
gold	{'(4955)_gold', 'aur', 'platină', 'certificare_de_aur', 'bobby_brown', 'galben', 'disc_de_platina', '4955_gold', 'testarealfa', 'ciclul_de_viață_al_software-ului', 'anthology', 'medaliat_cu_aur', 'alfasoftware', 'aur-medalie', 'gold', 'versiune_alfa', 'software_beta', 'ioan_cătălina', 'record_de_aur', 'beta_tester', 'medalie_de_aur_olimpică', 'medaliedeaur', 'auriu', 'aurit', 'alfa_software-ul', 'aur_nativ', 'triplu_platină', 'beta_de_testare', 'the_heist', 'chihlimbar', 'young_lust:_the_aerosmith_anthology', 'disc_argint', 'release_candidate', 'versiune_alpha', 'lansare_software', 'disc_de_argint', 'versiune_beta', 'album_de_aur', 'froot', 'pre-alfa', 'beta_publică', 'closed_beta', 'wanna_one', 'cocoșel', 'numărul_atomic_79', 'disc_de_aur', 'medalia_de_aur', 'alfa_de_testare', 'test_beta', 'testarebeta', 'medalii_de_aur', 'stadiu_de_dezvoltare_a_unui_software', 'open_beta', 'stadiul_de_dezvoltare_al_unui_software', 'multi-platina', 'aur_lode', 'lansare_în_fabricație', 'certificată_de_aur'}
good	{'bun_economic', 'nimerit', 'comerțului_bun', 'blândețe', 'valabil', 'valorile_etice', 'intim', 'onorabil', 'virtuos', 'produs', 'bunătate', 'good_music', 'libellé', 'bunătatea', 'binele', 'salutar', 'expert', 'nealterat', 'adevărat', 'bine', 'minuțios', 'benefic', 'bunuri', 'efectiv', 'valoare', 'respectabil', 'bine_și_rău', 'familiar', 'plăcut', 'sigur', 'good', 'priceput', 'mărfuri', 'cunoscător', 'bun', 'convenabil', 'nestricat', 'întreg', 'potrivit'}
grass	{'gunter_grass', 'poaceae', 'iarbă', 'gunter_grass_wilhelm', 'furaje', 'familia_poaceae', 'supergrass', 'nutrețverde', 'guntergrass', 'gramineae', 'reclama', 'günter_grass', 'stoner', 'denunța', 'canabis', 'grass_gis', 'günther_grass', 'nothing_can_stop_us', 'pârî', 'gunterwilhelmgrass', 'mary_jane', 'iarbă_de_familie', 'skylarking', 'sens', 'graminee', 'iarba', 'familiagramineelor', 'verde_zeita', 'ierburi', 'sess', 'înierba', 'spikelets', 'familia_gramineae', 'maria_ioana', 'verdeață', 'spune', 'graminoid', 'eatage', 'sporobolus_caespitosus', 'marijuana', 'familia_graminee', 'grass'}
great	{'însărcinat', 'măreț', 'grandoare', 'greu', 'tare', 'mărire', 'capital', 'grandiozitate', 'măreția', 'mișto', 'mărime', 'verzal', 'deosebit', 'celebritate', 'măreție', 'grozav', 'mare', 'gravid', 'remarcabil'}
green	{'kelly_verde', 'miere_de_ulei', 'activist_de_mediu', 'viridity', 'putting_green', 'good_shirt', 'verdețuri', 'protecțiamediului', 'vert', 'commons', 'green', 'verzui', 'verde-gălbui', 'galben', 'verzuriu', 'mișcarea_verde', 'verde', 'comun', 'eco-friendly', 'grădină', '[se]_înverzi', 'necopt', 'special_k', 'frunze_de_legume', 'culoarea_verde', 'brunswick_verde', 'stypsis', 'mai_ecologice', 'parc', 'anghinare', 'de_verde', 'green_river', 'mazăre_verde', 'culoare_galben-verzuie', 'activismul_de_mediu', 'naiv', 'jad_verde', 'pisica_valium', 'minerality', 'crud', 'ecologism', 'sticlă_verde', 'verziu', 'echilibrul', 'punerea_suprafață', 'galben-verzui', 'fructe', 'ecologiștii', 'goodshirt', 'culoare_verde_închis', 'eco_friendly', 'williamgreen', 'william_green', 'chartreuse', 'super-c', 'jade', 'conservarea_mediului', 'vânătorule_de_verde', 'astringență', 'fluviul_verde', 'feldgrau', 'râulgreen', 'politica_ecologică', 'galben_verde', 'verdeață', 'ecologice', 'chetamină', 'verdeturi', 'super-acid', 'smarald', 'legume_cu_frunze_verzi', 'gălbui_verde', 'credul', 'legume_cu_frunze', 'legume_frunze', 'verdejad', 'legume_verzi'}
gun	{'angajat_arma', 'unsoare-gun', 'omul_lovit', 'arme', 'arma', 'arma_pentru_închiriere', 'hitman', 'armădefoc', 'magazin_de_arme', 'gunfighting', 'tragecupușca', 'asasin', 'artilerie', 'hand_armă', 'ucigașplătit', 'arme_de_foc', 'pușcaș', 'conventional_weapons', 'pistolar', 'pedală_de_accelerare', 'pedala_de_accelerație', 'louder_than_love', 'mici-braț', 'pistolarul', 'triggerman', 'magazin_arme', 'accelerator', 'mici_arme', 'salvă', 'pistolarii', 'armă_de_foc', 'pedală_de_accelerație', 'om_lovit', 'gun', 'pușcă', 'salvădesalut', 'arme_de_calibru_mic'}
guts	{'organele_digestive', 'tractul_gastro-intestinal', 'măruntaiele', 'intestinului', 'suflet', 'intestin', 'curajului', 'sistemul_gastro-intestinal', 'tractul_gastro-intestinal_uman', 'tractul_digestiv', 'inimă', 'tractului_gastro-intestinal', 'curaj', 'digestiv_tub', 'curajul', 'tractul_intestinal', 'maț', 'tractului_gastro-intestinal_superior', 'moxie', 'gastro-intestinale', 'lumenul_intestinal', 'intestine', 'guts', 'tubdigestiv', 'mucoasei_intestinale', 'tubul_digestiv', 'burtă', 'digestiv_tractului', 'alimentare_canal', 'viscere', 'aparatul_digestiv', 'bravură', 'intestinale', 'maţe', 'tub_digestiv', 'măruntaie'}
hair	{'blană', 'păr_uman', 'mustață', 'părul', 'puf', 'hair', 'păr', 'hairsbreadth', 'perișor', "hair's-lățimea", 'păros', 'firele_de_păr', 'firdepăr', 'postav_din_păr_de_animale'}
hand	{'mana', 'așterne', 'carte_de_joc', 'mâna', 'înmâna', 'angajat_mână', 'joc_de_cărţi', 'încredința', 'jocuri_de_cărți', 'da', 'mânădeajutor', 'joc_de_cărți', 'epitropie', 'mâinile', 'script', 'carduri', 'pod_jucător', 'mână', 'argat', 'mână_de_ajutor', 'script-ul', 'system_of_a_down', 'aplauze', 'cordella', 'remite', 'tutelă', 'angajat_om', 'cărți', 'custodie', 'hand', 'joc', 'protejare', 'prelungi', 'manuscris', 'palmă', 'brakiri', 'manus', 'dilgar', 'preda', 'scris_de_mână', 'întinde', 'drazi', 'alungi', 'limbă'}
he	{'ebraica', 'numărul_atomic_2', 'ebraic', 'ჱ', 'hans_eworth', 'video_hd', 'limba_ivrit', 'へ', 'superfluid_heliu', 'germaniu', 'heliu', 'numărul_atomic_32', 'video_de_înaltă_definiție', 'limba_ebraică', 'ebraice', 'ヘ', 'ge', 'ghe', 'ebraică', 'el', 'glagol', 'г', 'he'}
head	{'ziarul_articol', 'nous', 'izvor', 'psihicului', 'proveni', 'legătură', 'tribale_șef', 'șef_de_trib', 'șef', 'mergeînfrunte', 'head', 'directorul_școlii', 'dificultate', 'membranatobei', 'foaie', 'capăt', 'față', 'director', 'izvorî', 'conținut_mental', 'şcotă', 'învățător', 'avansare', 'știrile_poveste', 'origina', 'cuvântcentral', 'mănunchi', 'hypertext_transfer_protocol', 'psyche', 'decapita', 'fiîncapul', 'înaintare', 'ghida', 'directorul', 'problemă', 'dirty_mind', 'conduce_poveste', 'craniu', 'cap', 'administra', 'promontoriu', 'articol', 'http', 'lider', 'mintea_umană', 'sexoral', 'chestiune', 'cârmui', 'sex_oral', 'pierderea_capului', 'avers', 'chieftaincy', 'articoldeștiri', 'cap_hidraulic', '[se]_îndrepta', 'școtă', 'capul', 'institutor', 'căpetenie', 'capdecitire/scriere', 'timpan', 'titlu', 'minte', 'directoarea', 'dirija', 'direcționa', 'articol_de_știri', 'giulgiu', 'vremea_foaie', 'conduce', 'izvorprincipal', 'cap_de_profesor', 'brian_welch', 'http/1.1', 'mintea', 'impas', 'pseudanthium', 'mainsheet', 'început', 'citire_/_scriere_cap', 'fiînfrunte', 'bos', 'top_câine', 'șefdetrib', 'directoare', 'știredeprimapagină', 'toba', 'psihic', '[se]_face', 'chieftainship', 'încurcătură', 'vârf', 'subiect', 'ghem', 'conducător', 'scotă', 'rector'}
hear	{'auzi', 'fonetică', 'fi_atent', 'auditiv_sens', 'vedea', 'auz', 'luaaminte', 'auzul', 'descoperi', 'auditiv_modalitatea', 'auzului_uman', 'simțul_auzului', 'asculta', 'afla', 'audia', 'ști', 'auzit'}
heart	{'cuore', 'cupă', 'cord', 'nitty-nisipos', 'suflet', 'esență', 'temperament', 'inima', 'cardiace', 'inima_dreapta', 'afecțiune', 'philia', 'afecțiunea', 'centru', 'centrul', 'esenţă', 'inima_stanga', 'esențe', 'inimă', 'supernatural', 'inima_omului', 'mindless_self_indulgence', 'inima_si_suflet', 'miez', 'inimăroșie', 'substanță', 'heart', 'putere', 'nerv', 'toană', 'inima_stânga', 'cardiac', 'dispoziție', 'mijloc', 'alexz_johnson'}
heavy	{'chinuitor', 'istovitor', 'garda_de_corp', 'gardă_de_corp', 'mare', 'gărzi_de_corp', 'clisos', 'argilos', 'epuizant', 'grav', 'sonor', 'grele', 'adânc', 'greu', 'dens', 'însărcinat', 'grea', 'heavy.com', 'greoi', 'team_fortress_2', 'astringență', 'amenințător', 'fructe', 'echilibrul', 'bodyguard', 'profund', 'stat_in_raport_cu_radric_davis', 'extenuant', 'heavy', 'supraponderal', 'gravid', 'stypsis', 'minerality', 'personajnegativ', 'lutos'}
help	{'sprijini', 'i_ajute', 'a_ajuta', 'trata', 'asistență_umanitară', 'asistent', 'abține', 'folosi', '[se]_servi', 'help!', 'cinsti', 'facilita', 'ajuta', 'ajutor', 'servi', 'înlesnire', 'ușura', 'slujire', 'asista', 'contribui', 'ospăta', 'asistenţă', 'asistență', 'asistentă', 'ajutor_online', 'ajutorul', 'lucrător_de_ajutor', 'lucrător_de_relief', 'ajutor_umanitar', 'ajutoare', 'remediu', 'auxiliar', 'the_help', 'favoriza', 'înlesni', 'sprijin'}
here	{'aici', 'here', 'hera', 'aci', 'încoace'}
hit	{'lovind', 'triumf', 'zvârli', 'marca', 'lovitură', 'lovire', 'ataca', 'grevă', 'ciocnire', 'cuprinde', 'izbi', 'coliziune', 'lovi', '|se|_lovi', '|se|_izbi', 'străfulgera', 'nimeri', 'coliziuni', '|se|_ciocni', 'bază_pozitiv', 'trage', 'doză', 'lovirea', 'înscrie', 'hit', 'reușită', 'ajunge', 'hīt', 'atac', 'ajunge_la', 'tușă', '[se]_da', 'omorî', '[se]_lăcomi', 'ucide', 'lovit', 'reuși', 'accesare', 'atinge', 'succes', 'sosi', 'asasina', 'bate'}
hold	{'cală', 'timpul_de_întârziere', 'înhățare', 'puneînașteptare', 'strângere_de_mână', 'capta', 'împiedica', 'apucare', 'cuprinde', '[se]_aplica', 'zona_de_depozitare_a', 'avea', 'ține', 'merge', 'stăpâni', 'model_care_deține', 'sprijini', 'considera', 'declara', 'înșfăcare', 'celulă', 'custodia_poliției', 'detenție', 'arest', 'rezista', 'crede', 'da', 'înțelegere', 'cetate', 'menține', 'katame-waza', 'fermata', 'orienta', 'spune', 'duce', 'au', 'întreține', 'ambreiaje', 'stăpânire', 'reținere', 'dirija', 'reține', 'deține', 'marfă_pe_punte', 'controla', 'fideacord', 'socoti', 'fortăreață', 'opri', 'hambar', 'coadă', 'obliga', 'conține', 'potoli', 'pătrundere', 'îndatora', 'marfă_zonă', 'sprijine', 'sfida', 'depunerea_deține', 'susține', 'rezerva', 'proteja', 'acord', 'desfide', 'marfă_de_cală', 'țineînfrâu', 'wrestling_țineți', '[se]_menține', 'domoli', 'retinerea', 'apăra', 'păstra', 'întârziere', 'suporta', 'headlock', 'îndrepta', 'tempera', 'mâner', 'ținepiept', 'pricepere', 'primi', 'stăvili', 'așteptare', 'ocupa'}
horn	{'franceză_corn', 'gaienhofen', 'coarne', 'corn_de_automobile', 'coarne_franceză', 'trompetist', 'vehicul_corn', 'cornet', 'cornul_franceză', 'masina_corn', 'horn', 'motor_de_corn', 'trompetist_de_jazz', 'trompetă', 'claxon', 'corn_de_armonie', 'șa_corn', 'cornul', 'horn,_austria', 'corn_de_vânătoare', 'trompeta', 'antenă_corn', 'trâmbiță', 'corn_francez', 'luaîncoarne', 'corn_de_biciclete', 'corn', 'cornfrancez', 'trompetisti'}
how	{'pronume_interogativ', 'cuvânt_interogativ', 'cum', 'cât', 'pronumele_interogative', 'hands_all_over', 'how', 'pronumele_interogativ'}
hunt	{'căutare', 'hunt', 'richard_morris_hunt', 'william_holman_hunt', 'clubdevânătoare', 'devia', 'jameshenryleighhunt', 'vânător', 'dacupușca', 'vânătoare_prepelita', 'holman_hunt', 'percheziție', 'vâna', 'juca', 'vânat', 'leigh_hunt_james_henry', 'williamholmanhunt', 'overhunting', 'vânătoaresportivă', 'hăitui', 'holmanhunt', 'vânătoare', 'leigh_hunt', 'vânare', 'william_henry_hunt', 'vânători', 'richardmorrishunt', 'hunt_club'}
hurting	{'dureroasă_senzație', 'dureri_de_senzație', 'durere', 'doare', 'senzațiedureroasă'}
husband	{'bărbat_căsătorit', 'partener_de_viață', 'păstra', 'economisi', 'soţ', 'mai_bine_jumătate', 'soțul', 'om', 'partener', 'husband', 'căsătorit_persoană', 'conserva', 'gospodar', 'consort', 'parteneră', 'bărbat', 'soț'}
i	{'i̇', 'curent', 'a', 'ì', 'ma', 'unitatea_imaginară', 'unu', 'iodin', 'curentelectric', 'amperi', 'ぃ', 'selected_ambient_works_85–92', 'i', 'unitate', 'nanoampere', 'selected_ambient_works_85-92', 'curent_electric', 'curentul_electric', 'n-tuplu', 'vocală_închisă_anterioară_nerotunjită', 'isoleucină', 'и', 'izoleucină', 'curentului_electric', 'anul_gregorian', 'numărul_atomic_53', 'litera_i', 'amper', '1', 'い', 'identitatea_multiplicativ', 'punctată_și_dotless_am', 'as', 'í', 'ィ', 'curenți_electrici', 'unul', 'iod', 'miliamperi', 'tupluri', 'izoleucina', 'tuplu', 'sextuplă', 'ije', 'イ'}
ice	{'patinoarul', 'deoxyephedrine', 'motoarele_cu_ardere_internă', 'metamfetamina_clorhidrat', 'pervitin', 'shabu', 'instituto_costarricense_de_electricidad', 'patinoar', 'ardere_internă', 'ice_la_fox', 'metamfetamine', 'înghețat', 'gheață_artificială', 'metanfetamină', 'cristal_meth', 'motor_cu_ardere_internă', 'intercityexpress', 'patinaj', 'gheaţă', 'motor_cu_ardere_internă_cu_piston', 'emirates', 'motor_cu_combustie_internă', 'motoare_combustie_interna', 'glazură', 'in_case_of_emergency', 'glazura', 'intercity-express', 'glasa', 'metamfetamină', 'motorcuardereinternă', 'episoade_alias', 'intercity_express', 'metamfetamina', 'methedrine', 'gheața', 'motorcucombustieinternă', 'motoare_termice', 'c10h15n', 'dextromethamphetamine', 'meth', 'în_caz_de_urgență', 'metamfetamina_cristal', 'recoltarea_de_gheață', 'combustie_internă', 'vehicul_motor_cu_ardere_internă', 'ice', 'înghețată', 'desoxyn', 'gheață'}
if	{"chateau_d'if", 'if....', 'if_._._.', 'factor_de_impact', 'joc_de_aventura_text', 'factor_intrinsec', 'daca_._._.', 'intrinsecă_factor', 'dacă_._._.', 'dacă...', 'aventuri_de_text', 'ficțiune_interactiv', 'discografia_formației_r5', 'în_cazul_care-then-else', 'dacă-then-else', 'neamestecați', 'if—', 'command.com', 'discografia_formaţiei_r5', 'if-', 'stadium_arcadium', '(if)', 'if', 'aventura_de_text'}
ignorance	{'ignoranță', 'neștiință', 'ignoranţa', 'ignorant', 'ignoranța', 'avidya', 'ignorance'}
illness	{'rata_de_morbiditate', 'tulburare_medicale', 'starepatologică', 'morbus', 'afecțiune_medicală', 'boală', 'afecțiune', 'îmbolnăvire', 'boala', 'morbidă', 'maladie', 'unwellness', 'afecțiune_mdicală', 'boli'}
impress	{'impresiona', 'insufla', 'bandele_de_presă', 'încorporare', 'impressment', 'trage', 'întipări', 'recrutare', 'luacuarcanul', 'inspira', 'imprima', 'emoționa', 'înrolare', 'mișca', 'tulbura', 'atinge', 'tipări', 'pătrunde', 'vopsi'}
in	{'țol', 'inch', 'în', 'numărul_atomic_49', 'indiu', 'india', 'indieni', 'apartenență', 'element', 'membru', 'hoosier_de_stat', 'ţol', 'энэтхэг', 'in', 'republica_india', 'republicii_india', 'inches', 'bharat', 'indiana', 'индия'}
invention	{'invenţie', 'invenție', 'concepere', 'inovatoare', 'inventatori', 'descoperire', 'inovație', 'inovatie', 'inovațional', 'imaginare', 'inovații', 'inventarea', 'inovare', 'inventare', 'inventat', 'invenții', 'inovaţie', 'creație'}
investigation	{'cercetare_academică', 'investigarea', 'metode_de_cercetare', 'investigare', 'investigație', 'cercetare_originale', 'cercetători', 'anchetă', 'cercetare'}
invisible	{'invizibil', 'invisible', 'etaje', 'pardoseală', 'holy_diver', 'sound_of_white_noise', 'evilized', 'dream_evil', 'invizibilitate', 'elevate', 'nevăzut', 'taylor_swift'}
job	{'îndeletnicire', 'activitate_de_făcut', 'angajare', 'ocupație', 'angajatori', 'aplicație', 'iov', 'ocupării_forței_de_muncă', 'dificultate', 'carieră', 'vacant', 'linia_de_muncă', 'specula', 'subcontracta', 'angaja', 'funcție', 'treabă', 'program', 'luașpagă', 'luamită', 'cartea_lui_iov', 'afaceri', 'problemă', 'job', 'viața_profesională', 'problema', 'ocuparea_forței_de_muncă', 'sarcina', 'cartealuiiov', 'lucru', 'personal', 'post', 'muncă_casnică', 'profesiune', 'operațiune', 'control_de_locuri_muncă', 'sarcină', 'meserie', 'slujbă', 'luptător_preliminare', 'contract_de_muncă', 'ocupaţie', 'a_angaja', 'tâlhărie', 'serviciu', 'job,_puy-de-dôme', 'probleme', 'jaf', 'profesie', 'îndatorire', 'ispravă', 'subînchiria'}
jungle	{'out_of_the_blue', 'jungla_oldschool', 'junglă', 'vagabond_tabără', 'shine_a_little_love', 'jungle'}
key	{'identifica', 'intonație', 'negreață', 'schiță', 'grafic', 'gratuit_aruncare_lane', 'cartografie_cartografiere', 'fundamental', 'cartografice', 'cartografie', 'index', 'acorda', 'cay', 'cardinal', 'muzicii_tonale', 'diagrame', 'francisscottkey', 'mapmaking', 'cifruri', 'samara', 'cheiedeboltă', 'chei_criptografice', 'cheia_de_criptare', 'cayes', 'cheie_de_boltă', 'cheie_de_determinare', 'ton', 'negru', 'încuia', 'tasta_de_fructe', 'willem_key', 'key', 'potrivi', 'cheie_alternativă', 'schemă', 'cheie_secretă', 'inkiness', 'principal', 'cartografia', 'cartografi', 'cod_secret', 'negreală', 'cod', 'tastă', 'regla', 'căciulă', 'diagramă', 'cheia_de_boltă', 'legendă', 'cheie_unică', 'francis_scott_key', 'cheie_de_identificare', 'samară', 'soluție', 'cheie_de_criptare', 'cifru', 'cheie_primară', 'matchcode', 'tonalitate', 'esențial', 'cays', 'florida_cheie', 'recunoaște', 'rezolvare', 'cheie', 'cunoaște', 'închide'}
kill	{'stingere', 'the_kill', 'omor', 'beapânălafund', 'tăia', 'moartea', 'moarte', 'decese', 'bara', 'eradica', 'dapestecap', 'punerea_la_moarte', 'anihila', 'decedare', 'uciderea', 'kill', 'omorî', 'opri', 'dapegât', 'curma', 'suprima', 'ucide', 'murit', 'respinge', 'refuza', 'punecapăt', 'pieire', 'deces', 'omoare', 'sucombare', 'spulbera', 'ucidere', 'stârpi', 'asasina', 'dispariție'}
kindness	{'bunătate_amabilitate', 'forgivingness', 'bunăvoință', 'bine', 'bunătate'}
king	{'charles_bird_king', 'suveran', 'martin_luther_king', 'bărbat_monarh', 'popă_rege', 'monarhia', 'george_king', 'mogul', 'regină', 'king.com', 'rege', 'lumea-beater', 'billie_jean_moffitt_regele', 'riley_b_regele', 'monarhi', 'regalitate', 'monarhic', 'b.b._king', 'king.com_ltd.', 'b._b._king', 'monarhice', 'b.b.king', 'monarhii', 'king_ov_hell', 'king,_north_carolina', 'martinlutherking', 'king,_carolina_de_nord', 'încoronat_capul', 'king,_wisconsin', 'mare_om_de_afaceri', 'regele', 'industriaș', 'liderul_de_afaceri', 'magnat_de_transport_maritim', 'king,_ontario', 'domnitorului', 'king', 'mareindustriaș', 'magnaților', 'capîncoronat', 'reverend_horton_heat', 'rex', 'billie_jean_king', 'king_digital_entertainment_plc', 'top_executive', 'monarhică', 'monarhie', 'magnat', 'b._b._regele', 'monarh', 'martin_luther_king_jr.', 'popă'}
knee	{'uman_genunchi', 'genunchiul', 'genunchi_în_comun', 'genu', 'genunchi', 'înăbuși', 'genunche', 'articulația_genul', 'înăbuși_în_comun', 'grevă_genunchi'}
know	{'procesele_cognitive', 'cunoștințe', 'noesis', 'cunoaştere', 'știre', 'înțelegere', 'cognitive', 'avearelațiisexuale', '[se]_culca', 'cogniție', 'știu', 'admite', 'cunoştinţă', 'ficunoscut', 'facedragoste', 'ști', '[se]_iubi', 'fute', 'cunoaștere', 'cunoștință', 'accepta', 'face_sex', 'recunoaște', 'cunoastere', 'cunoaște', 'experimenta'}
lady	{'maria_din_nazareth', 'the_lady', 'fecioara', 'maica_domnului', 'maria_din_nazaret', 'sfântamaria', 'doamna_şi_vagabondul', 'pair', 'titlu_de_respect', 'titluri', 'titlu', 'nobila', 'născătoareadedumnezeu', 'sfanta_fecioara', 'fercioaramaria', 'cucoană', 'sfânta_fecioară', 'stilul', 'sfânta_maria', 'boieroaică', 'fecioara_maria', 'doamnă', 'sfânta_fecioară_maria', 'madam', 'maria,_mama_lui_isus_cristos', 'doamnelor', 'maicii_domnului', 'maria,_mama_lui_iisus_cristos', 'formă_de_adresare', 'madona', 'doamna_și_vagabondul', 'maria', 'dame', 'maria,_mama_lui_isus', 'lady'}
lake	{'lacuri', 'lake', 'pigment', 'lac_natural', 'lac_temporar', 'pigmenți', 'carmin', 'cârmâz', 'lac_de_apă_dulce', 'lac', 'iaz', 'lacustru'}
land	{'acosta', 'a_ateriza', 'edwinherbertland', '|se|_așeza', 'poposi', 'domeniu_feudal', 'stat_suveran', 'teritoriu', 'național', 'împărăție', 'terra_firma', 'proprietate', 'nație', 'teoria_declarativ_al_statalității', 'ţări', 'natiune', 'guvernamentale', 'domeniul', 'politic_organism', 'ținut', 'stat_independent', 'moşie', 'aducepepământ', 'statul_mexican', 'titular_a_aterizat', 'uscat', 'doborî', 'debarca', 'aterizat_imobiliare', 'industria_imobiliara', 'faceescală', 'tărâmul', 'acri', 'edwin_herbert_land', 'landurile_germaniei', 'imobil', 'state_suverane', 'solid_sol', 'țara', 'tipuri_de_state', 'proprietatea_funciară', 'statele_mexicane', 'stat', 'moșie', 'statele_mexicului', 'agricultură', 'aduce', 'duce', 'la_nivel_național', 'uscatul', 'drept_imobiliar', 'ţara', 'res_publicații', 'sol', 'stat_mexican', 'pământ', 'domeniul_feudal', 'națiune', 'realty', 'proprietate_imobilă', 'teren', 'tărâm', 'lansa', 'statele_germaniei', 'posesiune', 'proprietate_imobiliară', 'țară', 'utilizator:robert_claudius/teste/domeniul_feudal', 'proprietateimobiliară', 'aborda', 'ţară', 'națiuni', 'culca', 'agricultura', 'țări', 'dinland', 'land', 'imobiliare', 'din_land', 'organizarea_administrativă_a_mexicului', 'domeniu', 'societatea_politică', 'latifundiu', 'stat_național', 'terenului', 'patrie', 'ancora', 'naţiune', 'real_estate'}
laugh	{'banc', 'rîde', 'glumă', 'râset', 'bancuri', 'poantă', 'râs', 'glumeț', 'râde', 'glume'}
law	{'procesul_legislativ', 'poliție', 'poliție_înarmați', 'student_la_drept', 'legii_naturale', 'lege', 'm72_law', 'practică_neautorizată_a_legii', 'jurisprudență', 'studii_juridice', 'drept_natural', 'avocatură', 'earthling', 'jandarmerie', 'legislație', 'ecleziastică_drept', 'poliției', 'drept_canonic', 'profesor_de_drept', 'protecția_poliției', 'legi', 'legile_naturale', 'servicii_juridice', 'legea', 'forțele_de_securitate', 'avocatie', 'forțelor_de_poliție', 'legeecleziastică', 'practica_de_drept', 'legea_scrisă', 'legiferare', 'avocat_canon', 'jurisprudența', 'juridică_filosofie', 'studentladrept', 'politie', 'jurisprudenţă', 'drept', 'lege_a_naturii', 'poliţia', 'filozof_juridice', 'legi_fizice', 'legile_fizicii', 'poliția', 'luptă_juridică', 'avocație', 'teoria_juridică', 'poliţie', 'lege_fizică'}
leaf	{'arbore', 'copac_rădăcini', 'frunzărime', 'teaca_frunze', 'aveafrunze', 'frunză_bazală', 'folio', 'crenate', 'răsfoi', 'paullinia_pterophylla', 'față', 'verso', 'abaxial', 'frunze_compuse', 'axil_frunze', 'frunză', 'nissan_leaf', 'midrib', 'pufos', 'foileta', 'frunze', 'foliare', 'foaie', 'axil', 'frunziș', 'axilar', 'marja_de_frunze', 'recto_și_verso', 'pădure', 'copac', 'recto', 'frunzări', 'adaxial'}
left	{'stânga', 'stânga_modernă', 'direcție_relativă', 'lastânga', 'stângist', 'mâna_stângă', 'rămas', 'left_wing', 'colectivist', 'venstre', 'esquerra_republicana_de_catalunya', 'politică_de_stânga', 'stângismul', 'stângă', 'mânastângă', 'stâng', 'stângism', 'stânga_politică', 'politica_de_stânga', 'stînga'}
