ability	{'aptitude', 'förmåga'}
full	{'fullt_månfas', 'fullmåne', 'full', 'full_of-the-moon', 'helt', 'fullmånen', 'mätt', 'fullt'}
garbage	{'avfallsmaterial', 'avskräde', 'duke_erikson', 'rosk', 'kommunalt_avfall', 'matavfall', 'skräp', 'metallavfall', 'klipp', 'avfall', 'järnskrot', 'garbage', 'hushållsavfall', 'restprodukt', 'skrot', 'fast_avfall', 'withering_to_death.', 'sopor', 'withering_to_death', 'kommunalt_fast_avfall', 'avfall_materia', 'vägra', 'steve_marker', 'hushållssopor'}
give	{'betala', 'svikt', 'föda', 'give', 'gåvor', 'ge_vika', 'lämna_över', 'bidrar', 'bidra', 'giva', 'presenter', 'presentera', 'räcka', 'kollapsa', 'mata', 'har', 'gåva', 'offra', 'ger', 'håller', 'skänka', 'överlämna', 'cold', 'ge', 'ägna', 'pet_your_friends', 'hänge', 'the_giver'}
gold	{'platinaalbum', 'aurum', 'abba_gold_–_greatest_hits', 'guld_album', 'programvara_livscykel', 'guldmedalj', 'guld-medalj', 'dubbel_platina', 'young_lust:_the_aerosmith_anthology', 'programversion', 'platina_rekord', 'kiss_gold_1974-82', 'släppa', 'programversion_livscykel', 'guldmedaljer', 'gyllene', 'musikinspelning_försäljning_certifiering', 'gold', 'atomnummer_79', 'platina_album', 'alfaversion', 'mjukvaruteknik', 'alfa_programvara', 'wanna_one', 'ifpi_certifikat', 'abba_gold', 'e175', 'cold', 'guld_certifiering', 'platina-skiva', 'abba_gold:_greatest_hits', 'programvarudesingn', 'gyllene_rekord', 'shooting_star', 'bärnsten', 'beta_mjukvara', 'alfa_testet', 'abba_gold_-_greatest_hits', 'bobby_brown', 'betatest', 'os-guld', 'mjukvaruutveckling', 'guldfärgad', 'e_175', 'guldmedaljör', 'multi-platina', 'guld', 'lode_guld', '4955_gold', 'grönt_guld', 'infödda_guld', 'guld-_och_platinacertifikat', 'silver_skiva', 'betatestare', 'sandhja_kuivalainen', 'anthology', 'programvaruutveckling', 'släpp_till_tillverkning', 'blått_guld', 'amber', 'platina_certifikat', 'guld_och_platina_certifikat', 'pre-alfa', 'certifierad_guld', 'platina', 'utvecklingsstadiet', 'guldalbum', 'stängd_beta', 'gult_guld', 'guldskiva', 'sandhja', 'programutveckling', 'trippel_platina', 'publik_beta', 'öppen_beta', 'case-verktyg', 'platinum-certifiering', 'mcvities', 'the_heist', 'purpurfärgat_guld', 'release-kandidat', 'guld_singel', 'programvarudesign'}
good	{'bra', 'råvaror', 'ekonomisk_bra', 'gods', 'värde', 'grundligt', 'good', 'varor', 'värdering', 'väl', 'good_music', 'handel_bra', 'handelsvaror', 'hedervärd', 'vara', 'godhet', 'etiska_värderingar_och', 'frisk', 'mänskliga_värden', 'etiska_värden', 'gott', 'goda', 'det_goda', 'skicklig', 'god', 'nytta', 'handelsvara', 'gott_och_ont'}
grass	{'braja', 'familjen_graminaceae', 'marihuana', 'sens', '420', 'braj', 'grass', 'sporobolus_caespitosus', 'skylarking', 'bete', 'majja', 'gunter_grass', 'foder', 'stoner', 'gräs', 'ört', 'hascholja', 'günther_grass', 'graminoid', 'gräs_familj', 'poaceae', 'haschpsykos', 'knatch', 'eatage', 'familjen_gramineae', 'weed', 'smöga', 'grass,_gynter', 'hashish', 'cannabis_bieffekter', 'hampaextrakt', 'mary_jane', 'cannabis', 'familjen_poaceae', 'supergrass', 'haschplantor', 'günter_grass', 'grass_gis', 'haschkaka', 'graminaceae', 'nothing_can_stop_us', 'naturgräs', 'ganjah', 'jazztobak', 'gynter_grass', 'geographic_resources_analysis_support_system', 'sess', 'gramineae', 'spikelets', 'quinnab', 'gunter_wilhelm_grass', 'vilfa_caespitosa', 'grön_gudinna', 'marijuana', 'marijuanaplanta'}
great	{'rxfp2', 'stor', 'illustriousness', 'storhet', 'enastående'}
green	{'special_k', 'miljövänlig', 'bladgrönsaker', 'jade_grön', 'miljömedvetenhet', 'gul_grön', 'sätta_yta', 'katt_valium', 'agalev', 'grön', 'grön_ideologi', 'viridity', 'miljöpartist', 'super_c', 'chartreuse', 'mörkgrön', 'honung_olja', 'ekologism', 'bouquet', 'lättlurad', 'miljömedvetande', 'grönsak', 'grön_politik', 'feldgrau', 'gröna_politik', 'kellygrön', 'grön!', 'miljövänligare', 'grönska', 'mineralitet', 'stypsis', 'gröna_rörelsen', 'green_hade', 'bladgrönsak', 'greener', 'miljövänliga', 'putting_green', 'gröna_grönsaker', 'miljöproblem', 'gröngult', 'parken', 'supersyra', "grönt_''uncountable''", 'kropp', 'green,_cape', 'gå_grönt', 'william_green', 'gröna_bladgrönsaker_grönsaker', 'brunswick_grön', 'vert', 'gulaktigt_grön', 'frukt', 'balansen', 'omogen', 'jade', 'lummiga_grönsaker', 'green,_isla', 'grönt', 'green_river', 'green', 'smaragd', 'ärtgrön', 'lummiga_gröna_grönsaker', 'groen!', 'commons', 'balans', 'green,_pico', 'grönsaker', 'celadon', 'miljöaktivist', 'miljöaktivism', 'gevär_gröna', 'miljöaktivister', 'gemensam', 'torra', 'green,_cabo', 'buteljgrön', 'park', 'miljörörelsen', 'grönaktig', 'gröna', 'miljöskydd'}
gun	{'vapenaffär', 'skjuta', 'handeldvapnen', 'gevär', 'små_arm', 'distrikt_i_japan', 'pistol_att_hyra', 'handeldvapen', 'gaspedal', 'vapen', 'bössa', 'eldvapen', 'gunslinger', 'louder_than_love', 'skjutvapen', 'gunfighting', 'hitman', 'skjutvpane', 'conventional_weapons', 'gun', 'eldhandvapen', 'pistol', 'små_handeldvapen', 'triggerman', 'krutvapen', 'heavy_weapon', 'revolvermän', 'puffra', 'gaspedalen', 'san-jie-gun', 'torped', 'pedal', 'anlitade_pistol', 'fett-gun', 'skytte', 'revolverman'}
guts	{'mod', 'tapperhet', 'magtarmkanalen', 'tarmkanal', 'tarmlumen', 'matsmältningskanalen', 'courageousness', 'fortitudo', 'enterisk', 'inälvsprodukter', 'moxie', 'guts', 'storförenad_teori', 'sand', 'matsmältningsorgan', 'tarmslemhinnan', 'grand_unified_theory', 'gastrointestinal', 'mag_rör', 'gastrointestinala', 'mag-tarmkanalen', 'storförenande_teorin', 'tarmar', 'tarmkanalen', 'övre_mag-tarmkanalen', 'matsmältningsorganen', 'storförenade_teorier', 'inälvor', 'gut', 'grand_unification_theory', 'tarmarna', 'grand_unification', 'tarm', 'tarmen'}
hair	{'huvudet_hår', 'hårsmån', 'hår', 'människohår', 'hair', 'hårvård', 'sidecut', 'lanugohår', "hair's-bredd", 'hair!', 'fjun', 'tageltyg', 'hårväxt', 'kroppsbehåring', 'huvudhår', 'hårig', 'kroppshår', 'hårstrå'}
hand	{'hand', 'brakiris', 'handtag', 'drazi', 'tvärfot', 'manus', 'tvärhand', 'lämna_över', 'händer', 'handstil', 'system_of_a_down', 'skrivstil', 'palma_manus', 'kortspelstermer', 'dilgar', 'cordella', 'giva', 'räcka', 'hasard', 'handflatan', 'handskrift', 'hand,_lake', 'dräng', 'talong', 'kort', 'applåd', 'handen', 'renons', 'hjälpande_hand', 'handflata', 'händerna', 'ge', 'capot', 'lejd', 'stack', 'förhand', 'arbetare', 'kortspel', 'bro_spelare', 'giv'}
he	{'epb41', 'hans_eworth', 'hd-video', 'г', 'högupplöst_video', 'hebreisk', 'hebreiska_språket', 'atomnummer_2', 'hebr.', 'high-definition_video', 'eworth', 'ה', 'atomnummer_32', 'germanium', 'eworth,_hans', 'han', 'cytip', 'helium', 'hebréisk', 'ivrit', 'he', 'ge', 'e939', 'supraflytande_helium', 'flytande_helium', 'iso_639:he', 'hebreiska', 'hebreiskt', 'hebraist', 'e_939'}
head	{'frågan', 'skothornet', 'mänskliga_sinnet', 'psykisk', 'munsex', 'skum', 'kuksugning', 'storskotet', 'huvud', 'ledare', 'psyke', 'http://', 'topp', 'maffiabossen', 'http', 'mot', 'fransk_massage', 'huvudet', 'vant', 'hyper_text_transfer_protocol', 'främst', 'pseudanthium', 'skotska_klanen_chef', '69:an', 'leda', 'skota', 'al_snow', 'fittslickning', 'nous', 'skolmästare', 'artikel', 'mental_innehåll', 'fradga', 'headspring', 'tidskriftsartikel', 'hövdingedömet', 'sug_kuk', 'brian_welch', 'huvudordet', 'föreståndare', 'läs_/_skrivhuvudet', 'trumskinn', 'capita', 'maffiaboss', 'trumma_huvudet', 'head_nv', 'tidningsartiklar', 'head', 'tidningsartikel', 'psyket', 'först', 'väder_ark', 'styra', 'klan_chef', 'brott_herre', 'hypertext_transfer_protocol', 'skollärare', 'huvudord', 'leda_historia', 'suga_kuk', 'bornyr', 'fråga', 'akterlik', 'udde', 'fellatio', 'tidskriftsartiklar', 'chef', 'oralsex', '69-an', 'cunnilingius', 'krona', 'sinnet', 'rektor', 'stamhövdingen', 'hövding', 'skothornen', 'cunnilingus', 'nyhetsartikel', 'horn', 'sinne', 'teabagging', 'huvuden', '403_error', 'hydrauliska_gradienten', 'slicka_fitta', 'skothorn', 'hydraulisk_huvud', 'top_dog', 'lik', 'skot', 'sextionian', 'cefaliska', 'guida', 'http/1.1', 'dirty_mind', 'caput', 'direktör', 'rubrik', 'chieftaincy', 'kuksugaren', 'blow_job', 'hövdingadöme', 'http-begäran', 'storskot', 'nyhet'}
hear	{'tänka', 'höra', 'se', 'hörslen', 'hörselsinne', 'hörseln', 'el_arish_international_airport', 'auditiv_modalitet', 'ge_akt', 'مطار_العريش_الدولي', 'hörsel', 'lyssna', 'hörbarhetsområde', 'upptäcka', 'fonetisk', 'öronskydd', 'se_till', 'hörselomfång', 'komma_ihåg', 'människans_hörsel', 'se_upp', 'hörselförnimmelsen', 'hörbarhet', 'lära_sig', 'akta', 'lyssna_på'}
heart	{'mänskliga_hjärtat', '♥', 'hjärta', 'hjärtkammaren', '♡', 'kärlek', 'essentiella', 'mitt', 'heart', 'johnson,_alexz', 'vitier', 'mitten', 'mindless_self_indulgence', 'tillgivenhet', 'hjärtats_vänstra', 'hjärtats_uppbyggnad', 'hjärtkammare', 'substans', 'kärna', 'hjärtat', 'vitium', 'låt_hjärtat_va_me', 'essens', 'kurage', '❤', 'essentiell', 'människohjärta', 'essenser', 'praktiska_detaljer', 'jimmy_urine', 'alexz_johnson', 'hjärtats_kammare', 'centrum', 'sinusarrest', 'hjärta_och_själ', 'lyn-z', 'hjärtats', 'kontenta', 'philia', 'väsen', '❥', 'kammare', 'steve,_righ?', 'vitium_organicum_cordis', 'hjärter', 'johnson', 'hjärtan', "låt_hjärtat_va'_me'", 'little_jimmy_urine', 'barracuda', 'kardiogen', 'lynz'}
heavy	{'kropp', 'livvakter', 'livvakt', 'heavy.com', 'frukt', 'balansen', 'jarate', 'staten_vs_radric_davis', 'saxton_hale', 'bouquet', 'tunga', 'mineralitet', 'balans', 'tf2', 'stypsis', 'team_fortress_2', 'torra', 'nära_skydd', 'heavy', 'tung'}
help	{'undsättning', 'bistånd', 'tjäna', 'humanitärt_bistånd', 'utnyttja', 'niceville', 'hjälpreda', 'hjälp', 'assistent', 'nödhjälp', 'assistera', 'online-hjälp', 'hjälparbete', 'nistration', 'stöd', 'the_help', 'biståndsarbetare', 'help!', 'stödja', 'servera', 'hjälpa', 'bistå', 'avbytare', 'humanitär_hjälp'}
here	{'heras', 'here', 'hera', 'här', 'hit', 'nokia_maps'}
hit	{'oelastisk_stöt', 'fornengelsk_grammatik', 'träffa', 'når', 'elastisk_stöt', 'base_hit', 'bas_hit', 'besök', 'nyansera', 'mål', 'poäng', 'fornengelskans_grammatik', 'hit', 'slå_ihjäl', 'elastisk_kollision', 'slå', 'uppnå', 'dräpa', 'näta', 'anlända', 'få', 'stöt', 'måla', 'komma_fram', 'mörda', 'strejk', 'kollision', 'komma_fram_till', 'göra', 'slog', 'hīt', 'kollisioner', 'slå_emot', 'nå', 'krock'}
hold	{'hold', 'kvarhålla', 'överensstämma', 'bära', 'fermata', 'instämma', 'kopplingar', 'understödja', 'kontrollera', 'häktning', 'underkastelse_innehar', 'förskjutning', 'håll', 'huvudlås', 'grappling_grepp', 'äga', 'ge', 'anse', 'anordna', 'kvarsittning', 'hålla_med', 'fermat', 'stödja', 'lastutrymmet', 'stoppa', 'upprätthålla', 'boka', 'palmar_grepp', 'ha', 'väntläge', 'hålla', 'palmar_gripreflexen', 'arrest', 'handtag', 'vänta', 'tidsfördröjning', 'lastrum', 'grepp', 'is', 'har', 'lagringsområde', 'rymma', 'innehålla', 'håller', 'internering', 'brottning_håller', 'reservera', 'öra', 'hålskepp', 'katame-waza', 'fermat_som_musikalisk_term', 'bygel', 'vara_överens_om', 'gäller', 'lastdäcket', 'försvara', 'huvudlåset', 'häkte', 'rättslig_vårdnad', 'polisens_förvar'}
horn	{'bil_horn', 'horn,_islote', 'bezirk_horn', 'horns_distrikt', 'franska_horn', 'strut', 'valthorn', 'kvicke', 'horn,_skövde_kommun', 'hornantenn', 'tuta', 'franskt_horn', 'fordon_horn', 'horns_distrikt,_västergötland', 'motor_horn', 'horn,_niederösterreich', 'jakt_horn', 'gaienhofen', 'sadel_horn', 'trumpetare', 'horn_af_kanckas', 'mungiga', 'cykel_horn', 'kornett', 'horns_distrikt,_östergötland', 'horn_af_kankas', 'trumpet', 'politischer_bezirk_horn', 'jazz_trumpetare', 'horn,_kinda_kommun', 'horn,_the', 'horn'}
how	{'hands_all_over', 'frågeord', 'interrogativa_pronomen', 'frågande_ord', 'hur', 'how'}
hunt	{'hunt', 'jakten', 'jaga', 'william_henry_hunt', 'richard_morris_hunt', 'overhunting', 'james_henry_leigh_hunt', 'hunt_club', 'jägare', 'vaktel_jakt', 'sökande', 'pilbågsjakt', 'william_holman_hunt', 'hunt,_mount', 'jakt', 'fritidsjakt', 'holman_hunt,_william', 'leigh_hunt', 'holman_hunt', 'efter', 'sökning'}
hurting	{'smärtor', 'nociception', 'skada', 'akut_smärta', 'smärtsinnet', 'smärttröskel', 'värk', 'smärtupplevelse', 'smärtsam_känsla', 'smärta', 'smärtan', 'nociceptiv'}
husband	{'äkta_maka', 'partner', 'husband', 'mccool', 'äkta_make', 'gubbe', 'bättre_halv', 'chawla', 'gift_man', 'äkta_hälft', 'maka', 'make', 'm._anderson', 'apollo', 'gift_person', 'ramon', 'man', 'd._brown', 'l._clark'}
i	{'í', 'multiplikativa_identiteten', 'amp', '√−1', 'ett', 'gregorianska_året', 'roten_ur_minus_ett', 'hsd3b1', 'и', 'elektriska_strömmar', 'ström', 'ampere', 'strömriktning', 'nanoampere', 'ℐ', 'ⅈ', '1', 'ⅰ', 'roten_ur_−1', 'tupler', 'kvadratroten_ur_−1', 'ㅣ', 'ampère', 'kvadratroten_ur_-1', 'sqrt', 'atomnummer_53', 'n-tupel', 'förstadel', 'en', 'ⅉ', 'nära_fronten_unrounded_vokal', 'ma', 'imaginär_enhet', 'ì', '√-1', 'kvadratroten_ur_minus_ett', 'helgrind', 'isoleucin', 'elström', 'a', 'milliampere', 'tippel', 'tipel', '█', 'n-tippel', 'strömstyrka', 'iodin', 'sextuple', 'år', 'ℑ', 'i', 'ess', 'roten_ur_-1', 'tuppel', 'i̇', 'jod', 'sluten_främre_orundad_vokal', 'tupel', 'hel', 'imaginära_enheten', 'elektrisk_ström', 'radiojod'}
ice	{'metamfetaminhydroklorid', 'desoxyn', 'methedrine', 'kristall_metamfetamin', 'ishall', 'casp1', 'drivis', 'uterink', 'förbränningsmotor_fordon', 'in_case_of_emergency', 'intercontinentalexchange', 'dextromethamphetamine', 'intercityexpress', 'emirates_airlines', 'ufolaulu', 'förbränningsmotor', 'i_nödfall', 'meth', 'metamfetaminer', 'intercity_express', 'metamfetamin', 'ice_la_fox', 'deoxyephedrine', 'c10h15n', 'förbränningsmotorer', 'ces2', 'ice', 'bilmotor', 'is', 'emirates_airline', 'ice_32', 'is_skörd', 'skridskobana', 'shabu', 'isrink', 'glasyr', 'glasera', 'instituto_costarricense_de_electricidad', 'isglass', 'methedrinal', 'crystal_meth', 'rink', '⛸', 'inre_förbränning', 'glass', 'emirates', 'explosionsmotor', 'konstgjord_is', 'pervitin', 'utomhusrink', 'glaserad'}
if	{'om', 'if....', 'sampo_abp', 'om-then-else', 'stadium_arcadium', 'hump_de_bump', 'if-then-else', '(if)', 'gif', 'if-sats', 'interaktiv_fiktion', 'sampo_oyj', "chateau_d'if", 'dani_california', 'oblandade', 'villkorlig', 'om…', 'if_skadeförsäkring', 'ifall', 'imfact', 'text_äventyr', 'impact_factor', 'if', "château_d'if", 'if...', 'intrinsic_factor', 'sampokoncernen', 'sampo_group', 'command.com', 'text_äventyrsspel', 'slottet_if', 'if_skadeförsäkring_ab', 'cfi'}
ignorance	{'ignorance', 'avidya', 'ignorans_okunskap', 'okunnighet'}
illness	{'naturalförlopp', 'medicinsk_störning', 'medicinska_tillstånd', 'sjuk', 'sjukdom', 'sjukdomar', 'sjuklighet', 'åkomma', 'morbid', 'tillstånd', 'sjukdomskänsla', 'medicinskt_tillstånd'}
impress	{'press-gäng', 'press_gäng', 'tvångsrekvirering', 'trycka', 'imponera'}
in	{'republiken_indien', 'india', 'indium', 'indiana', 'utbildning_i_indien', 'element', '∈', 'indierna', '∉', 'en_tum', 'tum', 'dansk_tum', '∋', 'in', 'cd44', '∍', 'indisk', '∊', 'inches', 'inch', 'republic_of_india', 'på', 'kultur_i_indien', 'främre_indien', 'bharat', 'hoosier_state', '∌', 'verktum', 'indiska_unionen', 'tums', 'i', 'indien', 'atomnummer_49', 'medlemskap', 'engelsk_tum'}
invention	{'uppfinna', 'teknisk_innovation', 'invention', 'uppfanns', 'innovationsprocessen', 'uppfinnare', 'uppfinning', 'uppfinningar', 'innovationsprocess', 'innovation', 'omstörtande_innovationer', 'innovationer', 'innovativa', 'innovatör'}
investigation	{'efterforskning', 'forskningsmetoder', 'vetenskapsmän', 'akademisk_forskning', 'utredning', 'forskning', 'förfrågan', 'research', 'egen_forskning', 'forskare', 'forska', 'undersökning', 'utreda'}
invisible	{'osynlig', 'fördold', 'diskret', 'taylor_swift', 'dold', 'rainbow_in_the_dark', 'undangömd', 'förstulen', 'evilized', 'omärklig', 'golv', 'osynlighet', 'dream_evil', 'invisible', 'holy_diver', 'oansenlig', 'sound_of_white_noise', 'elevate', 'tillbakadragen'}
job	{'uppdrag', 'arbetsplats', 'anställa', 'att_göra-uppgift', 'jobbstyrning', 'arbete', 'arbetsgivare', 'yrke', 'jobs_bok', 'uppgift', 'job,_puy-de-dôme', 'problem', 'anställda', '(tråkig)_rutinuppgift', 'jobb', 'personal', 'syssla', 'sysselsättning', 'typ_av_arbete', '(tråkigt)_rutinarbete', 'job', 'sitt_jobb', 'spekulera', 'jobin', 'affärsverksamhet', 'vakans', 'kontrakt_arbetskraft', 'preliminär_brottare', 'ayub', 'arbetslivet', 'tjänst', 'jobin,_andre', 'anställd', 'andré_jobin', 'anställning'}
jungle	{'jungle', 'oldschool_djungel', 'jungel', 'luffare_läger', 'out_of_the_blue', 'djungel', 'tash_sultana', 'djungler', 'shine_a_little_love'}
key	{'kartografer', 'kartografiska', 'slutsten', 'cay', 'a-dur', 'francis_scott_key', 'nyckelknippa', 'primärnyckel', 'florida_key', 'kartografins_historia', 'kericho_airport', 'krypteringsnyckel', 'tablå', 'chiffer_maskin', 'index', 'inkiness', 'kryptonyckel', 'chiffer', 'keystone', 'kartografi', 'sammansatt_nyckel', 'the_key', 'e-moll', 'frikast_lane', 'holmar', 'tonalitet', 'cayes', 'teckenförklaring', 'icke-grupperat_index', 'hemlig_nyckel', 'databasnyckel', 'samara', 'identifiering_nyckel', 'kartografisk', 'viktig_frukt', 'kryptografinyckel', 'tonart', 'nyckeln', 'c-dur', 'svart', 'key', 'kryptografisk_nyckel', 'databas_index', 'matchningskod', 'unik_nyckel', 'tonal_musik', 'c-moll', 'nyckel', 'hemlig_kod', 'cayo', 'främmande_nyckel', 'tonarter', 'i', 'willem_key', 'alternativnyckel', 'key,_francis_scott', 'mapmaking', 'diagram', 'nycklar'}
kill	{'död', 'avlidna', 'dödsfall', 'för_tidig_död', 'causa_mortis', 'sätta_till_döds', 'dödande', 'avliden', 'avlidet', 'dräpande', 'dör', 'dog', 'dö', 'dräpa', 'kill', 'avlida', 'an_chill', 'mörda', 'döda', 'bortgång', 'the_kill', 'assasinera', 'döden', 'avliva', 'kill,_kildare'}
kindness	{'forgivingness', 'vänlighet'}
king	{'kung', 'kungamakt', 'kungamakten', 'billie_jean_king', 'b.b._king', 'kunglig', 'furste', 'king.com', 'industriman', 't_c_king', 'ruterkung', 'konungadöme', 'manlig_monark', 'king,_b.b.', 'tc_king', 'martin_luther_king_jr', 'storkonung', 'reverend_horton_heat', '♚', 'billie_jean_moffitt', 'spaderkung', 'world-beater', 'king,_billie_jean', 'monarkiska', 'konung', 'george_king', 'bb_king', 'charles_bird_king', 'sjöfart_magnat', 'king_digital_entertainment', 'suverän', 'b._b._kung', 'industrimagnat', 'monarkisk', 'hjärterkung', 'tom_cato_visnes', 'monarken', 'b._b._king', 'monarki', '♔', 'kungarike', 'konungarike', 'martin_luther_king', 'riley_b_king', 'industrialist', 'tidningsmogul', 'visnes,_tom_cato', 'verksamhet_magnat', 'king,_cape', 'klöverkung', 'monarker', 'tycoon', 'industrialister', 'rex', 'king_ov_hell', 'kungadöme', 'the_reverend_horton_heat', 'monark', 'billie_jean_moffitt_kung', 'kungar', 'monarkier', 'kungen', 'krönt_huvud', 'king', 'b.b_king', 'suveräna', 'magnat', 'företagsledare', 'konungar', 'stora_affärsman', 'stormän', 'kungadömet', 'monarkin', 'regnant', 'högsta_verkställande', 'lumber_baron'}
knee	{'kväva', 'knä_strejk', 'knäleden', 'knäskada', 'genu', 'mänskliga_knä', 'knäet', 'knäregionen', 'knäregion', 'knä', 'articulatio_släktet', 'regio_genus', 'knäled', 'knän'}
know	{'veta', 'deklarativ_kunskap', 'procedural_kunskap', 'kognitiva_förmågor', 'vet', 'kunskap', 'kognitioner', 'deklarativa_kunskap', 'kognitiv_bearbetning', 'kognitiv_funktion', 'knulla', 'fundamentism', 'kunna', 'lärd', 'kognitiv_förmåga', 'kognitiva_processer', 'uppleva', 'ha_sex', 'kognitiva', 'känna', 'känna_till', 'vetande', 'kognitiv', 'veta_om', 'kognition', 'noesis', 'lärdom', 'ligga_med'}
lady	{'mary', 'lady', 'kvinna_av_stånd', 'lady_and_the_tramp', 'titulatur', 'vergil_sparda', 'assumptio', 'the_virgin', 'vår_fru', 'titlarna', 'jungfru_maria', 'maria,_jesu_moder', 'jungfru', 'fru', 'frun', 'chefstitel', 'titlar', 'madonna', 'damer', 'maria,_jesu_mor', 'dam', 'sankta_maria', 'fin_dam', 'the_lady', 's:ta_maria', 'dame', 'damen', 'heliga_jungfrun', 'stil', 'adelsdam', 'titel_av_respekt', 'den_heliga_jungfrun', 'lady_och_lufsen', 'titel', 'vergil', 'madonnan', 'maria', 'brorskål', 'titlar_för_social_status', 'form_av_adress'}
lake	{'insjö', 'sjö', 'sjöar', 'pigment', 'lake', 'sjötyper', 'färgpigment', 'intermittent_sjö', 'naturliga_sjön', 'insjöar', 'fjällsjö', 'sötvatten_sjö', 'badsjö'}
land	{'egendom_hus', 'tunnland', 'terra_firma', 'jordbruk', 'världens_länder', 'landade_egendom', 'nationen', 'nationalitet', 'rlf-tidningen', 'fastighetsbeteckning', 'fastighet', 'jord', 'nationer', 'nation', 'äga', 'realty', 'politiska_samhället', 'backe', 'nationaliteten', 'mark', 'länder', 'landsbygdens_folk', 'res_publica', 'fastighetsrätt', 'jord_som_egendom', 'gods', 'suveräna_stater', 'fastighetsmarknaden', 'gamla_förbundsländerna', 'edwin_herbert_land', 'landmassa', 'oavhängig_stat', 'fastighetsbranschen', 'vad_är_suveräna_stater', 'statskroppen', 'markrättigheter', 'fastigheter', 'jorden', 'torra_land', 'lantgods', 'deklarativa_teorin_om_självständig_stat', 'i', 'fast', 'statligt', 'självständigt_land', 'hektar', 'land', 'nationellt', 'staten', 'statliga', 'sfären', 'jordmån', 'nya_förbundsländerna', 'oberoende_politisk_enhet', 'kungsgård', 'fast_egendom', 'tysklands_delstater', 'mexikanska_stater', 'statsmakten', 'landet', 'egendom', 'godsägare', 'edwin_h._land', 'stat', 'din_land', 'statlig', 'föra', 'neue_bundesländer', 'mexikanska_delstaten', 'statsmakt', 'jordbruksskiften', 'landlevande', 'tysklands_förbundsländer', 'territorium', 'jordagods', 'fast_mark', 'feodal_domän', 'administrativ_territoriell_enhet_av_mexiko', 'suverän_stat', 'eget_land', 'delstat', 'pulau_landu', 'jordegendomen', 'marken', 'landa', 'jordegendom', 'självständig_stat', 'edwin_land', 'deklarativa_teorin_om_statsbildning', 'domän', 'statsmakterna', 'alte_bundesländer'}
laugh	{'jape', 'skratt', 'violaskämt', 'lurifax', 'haha', 'skämt', 'skämtsam', 'skratta', 'grina', 'skrattar'}
law	{'kyrkolag', 'naturlig_rätt', 'den_kanoniska_rätten', 'regel', 'fysisk_lag', 'kanonist', 'lagar', 'kyrkolagfarenhet', 'rättskipning', 'naturrättsfilosofi', 'kyrkans_lag', 'naturens_lagar', 'rättsvetare', 'constabulary', 'polisskydd', 'kanoniska_lagen', 'den_lagstiftande_makten', 'corpus_iuris_canonici', 'fysikalisk_lag', 'sociallagstiftning', 'kyrkliga_lag', 'poliskår', 'polisman', 'ius_naturale', 'otillåten_öva_av_lag', 'corpus_juris_canonici', 'naturliga_lagen', 'juridik', 'lagstiftningen', 'polismakt', 'm72_law', 'codex_juris_canonici', 'rättsfilosofi', 'fysikens_lagar', 'juridiska_studier', 'kanonisk_rätt', 'advokatverksamhet', 'polisens', 'juridiska_tjänster', 'naturlagar', 'beväpnad_polis', 'säkerhetsstyrkor', 'naturlig_rättighet', 'polisväsen', 'juridisk', 'naturlagarna', 'potatisgris', 'snuten', 'jus_naturale', 'rätt', 'poliser', 'juridiken', 'juridiska', 'lagkunskap', 'lagstiftning', 'polisväsendet', 'kyrkan_lag', 'bängen', 'polisärenden', 'ordningspolis', 'codex_iuris_canonici', 'juris_studiosus', 'kanonisk_lag', 'legislativ_makt', 'lagstiftande_makt', 'rättsområde', 'naturrätt', 'naturlag', 'lagstiftningsprocessen_i_sverige', 'rättsvetenskap', 'sakområde', 'natural_law', 'law', 'kanoniskrättslig', 'juridikprofessor', 'lagfarenhet', 'rättslära', 'kanon_advokat', 'polisaktion', 'kyrkorätt', 'skriven_lag', '⚖', 'polismyndigheter', 'svarthjälm', 'rättsteori', 'lagstiftande_organ', 'rättskunskap_a', 'polisväsende', 'lag', 'rättslärd', 'snutar', 'polis', 'svarthjälmare', 'lagen', 'lagstiftande', 'snut', 'naturrätten', 'lagstiftande_makten', 'rättslig_strid', 'juridisk_filosof', 'rättsvetenskaplig', 'juridikstuderande', 'jur.', 'juris', 'kanoniska_rätten', 'av_lag', 'lagstiftare', 'eart_hl_i_ng', 'fysiska_lagar', 'rättvetenskap', 'rättsskipning', 'luo', 'rättskunskap', 'earthling', 'polisen'}
leaf	{'rotat_träd', 'träd', 'verso_och_recto', 'paullinia_pterophylla', 'skiva', 'rotade_träd', 'foliant', 'märkt_träd', 'kransställd', 'skog', 'gälblad', 'lövverk', 'klaff', 'spricka_ut', 'epidermis', 'mesofyll', 'löv', 'basal_blad', 'uppspännande_träd', 'bladverk', 'folioformat', 'basala_blad', 'folio', 'folioband', 'nissan_leaf', 'sammansatta_blad', 'verso', 'axils', 'lövas', 'abaxial', 'huvudnerv', 'adaxial', 'recto', 'bladet_axil', 'crenate', 'blad', 'framsidan_och_baksidan', 'ludna', 'framsidan', 'folium', 'nerv', 'blad_slida', 'axil', 'blad_marginal'}
