ability	{'talent', 'sposobnost', 'zmožnost', 'sposobnosti', 'zmogljivost', 'nadarjenost', 'bistrost'}
head	{'cefalično', 'oralni_spolni_odnos', 'rtič', 'vodilni', 'nous', 'narkič', 'iti', 'novica', 'ospredje', 'drumhead', 'head', 'branje_/_pisanje_glave', 'novico', 'zastoj', 'upravljati', 'opna', 'gláven', 'vremenska_stanja', 'glavica', 'headspring', 'vodilo_zgodbe', 'hypertext_transfer_protocol', 'manevrirati', 'duševne_vsebine', 'šola_glavni', 'intelekt', 'voditi', 'članek', 'dirty_mind', 'oseba', 'pokazati', 'premik_naprej', 'protokol_http', 'cifra', 'meriti', 'misel', 'časopisni_članek', 'jedro_besedne_zveze', 'http', 'človeškega_uma', 'glava', 'naslov', 'pena', 'magnetna_glava', 'pamet', 'naslovna_zgodba', 'peljati', 'parni_tlak', 'razum', 'čelo', 'headland', 'narkoman', 'chieftaincy', 'glavar', 'direktor', 'glava_mišice', 'predstojnik', 'možgani', 'top_pes', 'glava_puščice', 'hidravlični_gradient', 'vrh', 'zločin_šef', 'plemenski_poglavar', 'hidravlično_glavo', 'rt', 'brian_welch', 'um', 'vprašanje', 'http/1.1', 'prebivalca', 'prva_vrsta', 'učitelj', 'pseudanthium', 'mainsheet', 'izvir', 'oralni_seks', 'poglavar', 'al_snow', 'protokol_za_prenos_hiperteksta', 'časopisna_zgodba', 'ravnatelj', 'clew', 'usmerjati', 'glavo', 'mrtvaški_prt', 'buča', 'zločin_gospodar', 'vodja', 'usmeriti', 'glavni_izvir', 'chieftainship', 'ravnateljica', 'šef', 'voditelj'}
hear	{'varovanje_sluha', 'zvočna', 'videli', 'najti', 'videti', 'sluh', 'poslušaj', 'zaslišati', 'opaziti', 'zvočno', 'zvočna_občutek', 'poslušati', 'gledati', 'čuti', 'človeškega_sluha', 'zvedeti', 'odkriti', 'slišati'}
heart	{'srček', 'srčika', 'naklonjenost', 'kardialen', 'esenca', 'cor', 'jedro', 'philia', 'pogum', 'alexz_johnson', 'heart', 'nežnost', 'bistvo', 'korajža', 'sredini', 'herc', 'levo_srce', 'bit', 'počutje', 'esenc', 'srž', 'osrčje', 'center', 'sredina', 'središče', 'odločnost', 'srčen', 'toplina', 'razpoloženje', 'mindless_self_indulgence', 'esence', 'gnjidama-kašaste', 'srce_in_duša', 'vnema', 'desno_srce', 'srčica', 'srce'}
heavy	{'visok', 'tegoben', 'tehten', 'mučen', 'trnast', 'priden', 'telo', 'delaven', 'zvočen', 'težkih', 'telesni_stražar', 'država_vs_radric_davis', 'velik', 'v_drugem', 'heavy.com', 'mračen', 'zveneč', 'team_fortress_2', 'naporen', 'sadje', 'nezmeren', 'pomemben', 'težek', 'noseča', 'resen', 'globok', 'heavy', 'zvonek', 'težaven', 'stypsis', 'telesne_straže', 'hud', 'minerality', 'suho', 'sonoren', 'vinska_cvetica'}
help	{'vo', 'razbremenitev_dela', 'podpreti', 'krepila', 'humanitarno_pomoč', 'izkoristijo', 'pomagač', 'asistent', 'podpora', 'pomočnik', 'humanitarne_delavce', 'help!', 'služiti', 'asistenca', 'sodelavec', 'podpirati', 'prispevati', 'koristiti', 'pomoč', 'asistirati', 'pomagáč', 'pomagati', 'the_help', 'pomoči', 'humanitarna_pomoč', 'služijo'}
here	{'tù', 'hera', 'semkaj', 'túkaj', 'sem', 'na_tem_mestu', 'here', 'tukaj'}
hit	{'delati', 'uspešnica', 'pogubiti', 'trčenje', 'moriti', 'izboljšati_se', 'pospraviti', 'fentati', 'baze_hit', 'pokončati', 'šus', 'prizadeti', 'udariti', 'zadel', 'bíti', 'trk', 'usmrtiti', 'prispeti', 'dobiti', 'puč', 'imeti', 'hit', 'udarec', 'likvidacija', 'biti', 'zadeti', 'trčiti', 'masakrirati', 'prožiti_se', 'zadetek', 'ubiti', 'pobiti', 'zaleteti_se', 'iti', 'hīt', 'ustreliti', 'priti', 'poklati', 'ubijati', 'tepe', 'udar', 'odstraniti', 'pridobiti', 'dospeti', 'zaklati', 'biti_se', 'doseči', 'iztrebiti', 'rezultat', 'trčenja', 'umoriti', 'udarjanje'}
hold	{'voditi', 'podpreti', 'vzeti', 'zakasnitev', 'počutiti_se', 'razpolagati', 'zadržati', 'tikati_se', 'pripor', 'uporabiti', 'držati', 'ročica', 'ustaviti', 'roč', 'podpirati', 'prtljažni_prostor', 'obravnavati', 'dobiti', 'oddaja_ima', 'strinjati_se', 'imeti', 'vsebovati', 'obsoditi', 'prijem', 'pridržati', 'omejiti', 'iti', 'izjaviti', 'čakati', 'obdržati', 'strinjati', 'katame-waza', 'obstajati', 'pregledati', 'odlog', 'pridržanja', 'nadzorovati', 'ohranjati', 'hraniti', 'fermata', 'čakalni_krog', 'soditi', 'prenašati', 'sklopke', 'gojiti', 'prtljažnika', 'prisojati', 'pridržanje', 'oprijem', 'obsegati', 'skladiščni_prostor', 'smatrati', 'ovirati', 'prisoditi', 'odlašanje', 'vsebuje', 'razglasiti', 'obdržati_se', 'nastaniti', 'brzdati', 'zdeti', 'imajo', 'vzdrževati', 'morati', 'sodnem_priporu', 'ohraniti', 'prisiliti', 'prostor_za_tovor', 'prtljaæniku', 'izpolniti', 'nasprotovati', 'šteti', 'misliti', 'jemati', 'nositi', 'meniti', 'rokoborba_držite', 'držalo', 'nahajati', 'aretirati', 'dati', 'kontrolirati', 'headlock', 'časovni_zamik', 'ročaj', 'obsojati', 'obvezati', 'pripustiti', 'držati_se', 'uporabljati', 'prenesti', 'pridobiti', 'zadržati_se', 'dogovoriti', 'soglašati', 'preveriti', 'držaj', 'biti', 'veljati', 'rezervirati'}
horn	{'troblja', 'avtomobilske_hupe', 'gaienhofen', 'francoski_rog', 'hupanje', 'kolo_rog', 'trumpeters', 'rog', 'dromlja', 'trobentač', 'kornet', 'jazz_trobentač', 'saddle_horn', 'lovski_rog', 'horn', 'hupa', 'glavič', 'francoskih_rogov', 'avto_rog', 'motor_rog', 'vozila_rog', 'trobenta', 'roževina'}
how	{'vprašalni_zaimek', 'kakó', 'vprašalni_zaimki', 'julia_beatrice_how', 'hands_all_over', 'how', 'vprašalni_beseda'}
hunt	{'hunt', 'richard_morris_hunt', 'lov', 'william_holman_hunt', 'zasledovati', 'prepelice_lov', 'loviti', 'leigh_hunt', 'teči', 'holman_hunt', 'lov_klub', 'lovec', 'iskanje', 'william_henry_hunt', 'overhunting', 'james_henry_leigh_hunt', 'lovci'}
hurting	{'akutne_bolečine', 'bolečina', 'bolečine', 'boli', 'boleč_občutek', 'nocicepcija', 'bolečina_in_nocicepcija', 'bolečina_senzacija'}
husband	{'zakonca', 'zakonski_partner', 'poročen_moški', 'boljša_polovica', 'varčevati', 'soprog', 'partner', 'življenjski_sopotnik', 'ohraniti', 'poročena_oseba', 'zakonec', 'husband', 'soproga', 'mravljinček', 'možiček', 'mož', 'partnerja'}
i	{'i̇', 'amperih', 'a', 'ì', 'imaginarna_enota', 'amper', '1', 'število_1', 'terk', 'joda', 'ma', 'leto_gregorijanskem', 'iodin', 'milliampere', 'ena', 'as', 'n-terico', 'î', 'leto', 'i', 'električnega_toka', 'eden', 'nanoampere', 'atomsko_število_53', 'šestposteljna', 'atoamper', 'multiplikativni_identitete', 'sublimacija_joda', 'и', 'miliamper', 'enotnosti', 'í', 'pikčasto_in_dotless_sem', 'enica', 'električni_tok', 'jod', 'tok', 'ile', 'izolevcin'}
ice	{'motor_z_notranjim_zgorevanjem', 'drsališču', 'meta', 'deoxyephedrine', 'ledu', 'instituto_de_costarricense_electricidad', 'metamfetamin_hidroklorid', 'zgodovina_motorjev_z_notranjim_zgorevanjem', 'motor_ic', 'crystal_meth', 'frape', 'shabu', 'notranjim_zgorevanjem', 'metamfetamina', 'methedrine', 'kristalno_metamfetamin', 'sladoled', 'ice_la_fox', 'diamant', 'zamrzniti', 'drsališče', 'teta_meta', 'c10h15n', 'faith_erin_hicks', 'dextromethamphetamine', 'meth', 'metamfetamin', 'intercityexpress', 'methamphetamines', 'ledeno_trgatev', 'meto', 'led', 'motor_z_notranjim_izgorevanjem', 'ice', 'pervitina', 'emirates', 'v_primeru_izrednih_razmer', 'vodni_led', 'in_case_of_emergency', 'desoxyn', 'glazura'}
if	{'faktor_vpliva', 'če', 'command.com', "chateau_d'če", "château_d'če", 'stadium_arcadium', '(if)', 'intrinzično_faktor', 'impact_factor', 'če-potem-drugje', 'if', 'besedilo_pustolovščina', 'nemešanimi'}
ignorance	{'nevednost', 'praznoglavost', 'neznanje', 'ignoranca', 'nevednosti', 'avidya', 'ignorance'}
illness	{'zdravstveno_stanje', 'bolezni', 'bolézen', 'obolevnost', 'obolenjem', 'bolnik', 'unwellness', 'obolenje', 'bolezen'}
impress	{'tiskati', 'natisniti', 'ganiti', 'doleteti', 'impressment', 'vplivati', 'vtis', 'prizadeti', 'tiskovne_tolpe', 'biti'}
in	{'indiji', 'v', 'palec', 'republike_indije', 'slovenija', 'indij', 'cola', 'članstvo', 'indija', 'republika_indija', 'element', 'palčni', 'in', 'atomsko_število_49', 'cm', 'bharat', 'indiana', 'hoosier_država', 'inč'}
invention	{'novost', 'izumov', 'invencija', 'iznajdba', 'zamisel', 'inovator', 'izumljanja', 'inovacij', 'izum', 'izumil', 'koncept', 'izumiteljev', 'inovacija'}
investigation	{'akademske_raziskave', 'raziskovalna_dejavnost', 'raziskovalnih_metod', 'preiskovanje', 'preiskava', 'raziskovalci', 'raziskovanje', 'raziskava'}
invisible	{'neviden', 'invisible', 'neopazen', 'nevidnost', 'holy_diver', 'sound_of_white_noise', 'evilized', 'dream_evil', 'elevate', 'taylor_swift', 'podrl'}
job	{'firma', 'jobova_knjiga', 'problem', 'job', 'služba', 'poklic', 'prosto_delovno_mesto', 'zadolžitev', 'opravilo', 'priložnostno_delo', 'linija_dela', 'zaposlujejo', 'delodajalec', 'zaposlenih', 'škoda', 'knjiga_job', 'delodajalci', 'opravek', 'naloga', 'posel', 'podjetje', 'zaposleni', 'kraja', 'študentsko_delo', 'chore', 'dejavnost', 'delo', 'zaposlitev'}
jungle	{'skitnica_tabor', 'džúngla', 'out_of_the_blue', 'džungle', 'tash_sultana', 'oldschool_jungle', 'shine_a_little_love', 'džungla', 'jungle'}
key	{'tonalnost', 'sklepnik', 'geslo', 'tipka', 'šifrirnega_ključa', 'imenovati', 'skrivnost_koda', 'centralen', 'ključ', 'odkriti', 'tonalitete', 'indeks_podatkovne_zbirke', 'črnina', 'koda_ujemanja', 'kartografov', 'cay', 'srednji', 'zemljevidi', 'samara', 'tonaliteta', 'cayes', 'indeks', 'bistven', 'identifikacijski_ključ', 'grafikon', 'willem_key', 'key', 'dur', 'inkiness', 'graf', 'tonovski_način', 'ključni_sadje', 'prosti_met_pas', 'florida_ključ', 'opisati', 'orešek', 'registrski_ključ', 'rešitve', 'kilogram_droge', 'kazalo', 'legenda', 'primarni_ključ', 'temeljen', 'nadomestni_ključ', 'prepoznati', 'sprud', 'mehanizem_za_navijanje', 'kartografije', 'šifra', 'francis_scott_key', 'črna', 'šifre', 'šifrirni_ključ', 'kartografija', 'osrednji', 'osnoven', 'identificirati', 'raketa', 'skrivno_kodo', 'cays', 'sifra', 'skrivni_ključ', 'glaven', 'krilati_orešek', 'koralni_greben_ob_obali_floride'}
kill	{'preminutje', 'ubiti', 'usmrčevanje', 'smrt', 'umrl', 'ubil', 'the_kill', 'biti_očarljiv', 'morjenje', 'smrti', 'izbrisati', 'kill', 'prezgodnje_smrti', 'dajanje_na_smrt', 'pobijanje', 'zbrisati', 'zaklati', 'smrtni', 'biti_neudržljiv', 'imeti', 'ubijanje', 'premagati'}
kindness	{'prijaznost', 'ljubeznivost', 'forgivingness', 'dobrota', 'prizanesljivost', 'kindness'}
king	{'charles_bird_king', 'les_baron', 'magnatov', 'riley_b._king', 'martin_luther_king', 'kralj', 'martin_luther_king_jr', 'george_king', 'monarhij', 'vladar', 'king.com', 'kraljica', 'baron', 'moški_monarh', 'billie-jean_king', 'monarhije', 'velik_poslovnež', 'monarhi', 'billie_jean_moffitt', 'industrialec', 'mogočnež', 'ladijski_mogotec', 'billie_jean_king_moffitt', 'veljak', 'b._b._king', 'velikaš', 'vladavini', 'monarhično', 'king_ov_hell', 'tajkun', 'poslovni_magnat', 'vrh_izvršilne', 'monarhov', 'kronal_glavo', 'billie_jean_moffit_king', 'mogočnik', 'regnant', 'samovlada', 'monarhija', 'king', 'suverena', 'billie-jean_moffitt', 'rex', 'reverend_horton_heat', 'billie_jean_king', 'mogotec', 'poslovni_vodja', 'magnat', 'svetovni_mućkalica', 'monarh'}
knee	{'poškodbe_kolena', 'kolenskega_sklepa', 'dušijo', 'articulatio_genus', 'koleno', 'človekovih_koleno', 'genu', 'kolena_skupnega', 'kolena', 'kolenski_sklep', 'kolenom_stavko'}
know	{'doživite', 'spoznavanje', 'kognicija', 'priznavati', 'kognitivnih_procesov', 'poznati', 'noesis', 'potrditi', 'jebati', 'da', 'prepoznati', 'ljubiti', 'séksati', 'spoznanj', 'spolno_občevati', 'znanja', 'znanje', 'vedenje', 'spoznati', 'občevati', 'kavsati', 'priznati', 'vedeti', 'živeti', 'znati', 'spati_z_nekom', 'fukati', 'porivati', 'biti', 'kognitivne_funkcije', 'seksati', 'ljubiti_se'}
lady	{'naslov', 'the_lady', 'sveta_devica', 'naslov_za', 'sv._marija', 'virgin', 'mati_božja', 'dame', 'plemenitašinja', 'slog', 'marija_iz_nazareta', 'marija_zdravja', 'devica_marija', 'sveta_marija', 'maríja', 'gentlewoman', 'naziv', 'dama_in_potepuh', 'nobilistika', 'gospa', 'brezmadežna', 'devica', 'marija', 'plemkinja', 'bogorodnica', 'madona', 'častni_naziv', 'blažena_devica_marija', 'dama', 'peeress', 'oblika_naslova', 'lady_and_the_tramp', 'mary', 'lady'}
lake	{'lake', 'pigment', 'lakey_the_kid', 'presihajoče_jezero', 'pigmentov', 'barvilo', 'jezero', 'sladkovodno_jezero', 'naravno_jezero'}
land	{'fevdalna_domena', 'nepremičnine_hiša', 'suverenih_držav', 'dežela', 'suverena_država', 'nacija', 'posestvo', 'realty', 'nepremičnina', 'tla', 'pristati', 'terra_firma', 'ozemlje', 'demesne', 'nemške_dežele', 'kraljevina', 'nepremičnine', 'nepremičnin', 'kraljestvo', 'prst', 'narod', 'kopnina', 'biti', 'deklarativno_teorijo_državnosti', 'dežele_nemčije', 'politike_telesa', 'naroda', 'nemške_zvezne_dežele', 'pristal_nepremičnin', 'edwin_herbert_land', 'zvezna_dežela', 'trdna_tla', 'površje', 'posest', 'res_publica', 'nepremično_premoženje', 'kopno', 'land', 'pristal_imetnika', 'din_land', 'zemljišče', 'država', 'mehiške_države', 'edwin_h._land', 'zemlja', 'hektarjev', 'pristal_imetnik', 'kmetovanje', 'sfero', 'državi', 'nemška_zvezna_dežela', 'mehiški_državi', 'zvezne_dežele_nemčije', 'politično_družbo', 'turistična_kmetija'}
laugh	{'smeh', 'smejati_se', 'smeha', 'šalo', 'burka', 'nasmeh', 'zasmejati_se', 'nasmejati', 'jape', 'šali', 'šala', 'šaljiv', 'nasmejati_se', 'krohot', 'dovtip', 'šale'}
law	{'pravne_storitve', 'jus', 'pravne_filozofije', 'naravni_zakon', 'policije', 'pravilo', 'zakoni_fizike', 'nedovoljene_prakse_prava', 'policijsko_zaščito', 'pripravo_zakonodaje', 'pravna_fakulteta', 'študent_prava', 'm72_law', 'varnostnih_sil', 'earthling', 'zakonitost', 'zakonodaja', 'zakonodaje', 'pravoznanstvo', 'praksa_prava', 'oborožene_policije', 'policiji', 'policijska_enota', 'pravna', 'zakon_zakon', 'zakon_narave', 'fizikalnih_zakonov', 'profesor_prava', 'kanonsko_pravo', 'pravno_bitko', 'pravna_filozofija', 'pravni_filozof', 'cerkveno_pravo', 'policija', 'naravno_pravo', 'constabulary', 'cerkvenega_prava', 'naravnih_zakonov', 'zakon', 'seznam_fizikalnih_zakonov', 'pravo'}
leaf	{'rastlinski_list', 'hrbtna_in_naslovna_stran', 'listov', 'leafage', 'crenate', 'folio', 'olistati_se', 'hrbtna_stran', 'puhasti', 'axils', 'desna_stran', 'paullinia_pterophylla', 'verso', 'drevo', 'abaxial', 'list', 'nissan_leaf', 'bazalnih_listov', 'midrib', 'podaljšek_za_mizo', 'listja', 'pagina', 'listje', 'axil', 'listih_axil', 'sprednja_stran', 'gozd', 'prednja_stran', 'adaxial'}
left	{'levo_krilo', 'levičarski_politiki', 'ostal', 'levo_roko', 'kolektivistična', 'politične_levice', 'levičarstvo', 'leva_roka', 'leftwing', 'politična_levica', 'levičarji', 'levo', 'preostal', 'venstre', 'levičarski', 'levica', 'levi', 'esquerra_republicana_de_catalunya', 'leva_stran', 'leva'}
leg	{'zlomljeno_nogo', 'noge', 'hlačnica', 'noga_človeka', 'lesena_noga', 'noga', 'goleni', 'bedro', 'etapa', 'dveh_noge', 'krak', 'pegleg', 'krača', 'kateta', 'spodnjih_okončin', 'razvejitev'}
level	{'libela', 'nivo', 'raven', 'porušiti', 'odrgniti', 'adema', 'podreti', 'stopnja', 'nadstropju', 'razirati', 'uničiti', 'zgodba', 'vodoravna_površina', 'izbrisati', 'vodna_tehtnica', 'nadstropji', 'mehurček_ravni', 'točka', 'naperiti', 'fazi', 'levél', 'zbrisati', 'točke', 'razred', 'mark_chavez', 'level', 'stopnjo', 'usmeriti', 'zabrisati', 'razdejati', 'etaža', 'meriti', 'pokazati', 'ravni', 'izkušnje_točk', 'raven_izkušenj', 'nadstropje', 'enak'}
liar	{'republic', 'prevaricator', 'liar', 'so_far,_so_good..._so_what!', 'louder_now', 'lažnivec', 'lyres', 'lira'}
lie	{'prebivati', 'lie', 'lega', 'počivati', 'léči', 'trygve_lie_halvden', 'bivati', 'trygve_lie', 'the_lie', 'biti_v', 'malpresentation', 'v', 'prepričali', 'lagati', 'awake', 'neresnica', 'sestavljati', 'ležati', 'položaj', 'uleči_se', 'nahajati_se', 'laž', 'biti', 'trygve_halvdan_lie', 'absolute_first_album', 'odpočiti_se'}
light	{'svetlobe', 'ožariti', 'razsvetliti', 'svetlo', 'osvetliti', 'raven_svetlosti', 'svetlobo', 'električne_žarnice', 'komaj_zadosten', 'presvetliti', 'vneti', 'luminousness', 'pirotehničnega_pobudnika', 'nezavesten', 'lahek', 'iskra', 'razjasniti', 'prižgati_se', 'vidno_sevanje', 'svetloba', 'razsvetiti', 'v_kristus', 'luč', 'light_yagami', 'svetilnost', 'okno', 'okrasiti', 'notranja_luč', 'svetlost', 'razsvetljava', 'nenaglašen', 'svetloba_znotraj', 'vžigalo', 'vir_svetlobe', 'žar', 'pasti', 'luči', 'iluminirati', 'osvetljava', 'kratek', 'svetel', 'razjahati', 'iskrica', 'vžigalno', 'prižgati', 'láhek', 'veder', 'svetlobnega_valovanja', 'električno_svetilko', 'light', 'odboj_svetlobe', 'vidna_svetloba', 'svetlobno_valovanje', 'vžigalnik', 'lahkoten', 'pojasniti', 'jasen', 'čist', 'svetilka'}
live	{'prožen', 'preživeti', 'obdržati_se', 'delujoč', 'živo', 'r.e.m._live', 'simian_mobile_disco', 'vzdrževati_se', 'bivati', 'live!', 'turnejo', 'iti', 'živeti', 'trajati', 'imeti', 'pigmy_love_circus', 'jennifer_lynn_lopez', 'obstati', 'built_to_spill', 'živéti', 'poznati', 'diskografija_jennifer_lopez', 'live_at_the_marquee', 'domovati', 'biti', 'žív', 'živost', 'vedeti', 'živo_glasbo', 'znati', 'prebivati', 'elastičen', 'doživite', 'jennifer_lopez', 'obstajati', 'live', 'da', 'življenje', 'živahen', 'koncert', 'nahajati_se', 'hraniti', 'živ', 'prireditev', 'nastaniti_se', 'preživljati_se', 'preživljati', 'stanovati', 'j.lo', 'ložirati'}
liver	{'jetrca', 'hepar', 'jetra', 'stanovalec', 'jeter', 'človek', 'jeter_govejega_mesa'}
long	{'koprneti', 'william_henry_long', 'hrepeneti', 'long', 'dolgo', 'dolg', 'velik', 'longa', 'bloody_roar', 'želeti', 'hlepeti'}
louse	{'grizenje_uš', 'členonožci', 'uši', 'členonožcev', 'členonožec', 'uš', 'umazanijo_žogo', 'gnida', 'perojed', 'tekut', 'phthiraptera', 'sesanju_uš', 'arthropoda', 'zajedavske_uši', 'ptica_uš', 'listna_uš', 'obrat_uš'}
magic	{'magic_the_gathering', 'magic!', 'magija', 'dame_kiri_te_kanawa_janette', 'parseltongue', 'alagaësia', 'čarovnija', 'očarljiv', 'thaumaturge', 'dame_kiri_te_kanawa', 'trans', 'čaroben', 'enosmerno_ogledalo', 'thaumaturgus', 'take_me_home', 'artefakt', 'mtg', 'thaumaturgy', 'octarine', 'thaumaturgic', 'čarovniški', 'planeswalker', 'te_kanawa', 'pluto', 'iluzija', 'make_a_scene', 'justin_timberlake', 'legerdemain', 'wonderworking', 'kiri_te_kanawa', 'preobrazba', 'driving_rain', 'secret_time', 'magic', 'leandro_marín', 'čarovništvo', 'octiron', 'dvosmerni_ogledalo', 'occlumency', 'illusionists', 'urok', 'animagus', 'čarovniški_trik', 'axel_rudi_pell', 'magic:_the_gathering'}
man	{'sluga_de_chambre', 'sluga', 'prijateljski_gentleman', 'ljudje', 'homo', 'svet', 'mož', 'isle_of_man', 'služabnik', 'apanónar', 'otok_man', 'misleči_človek', 'ljudje_iz_tolkienove_mitologije', 'man_se', 'man_ag', 'dunlending', 'dunlendings', 'spolno_dozorevanje', 'man', 'podrejenec', 'homo_sapiens_sapiens', 'apanonar', 'homo_sapiens', 'moški', 'manfred_gnadinger', 'človekovih', 'vojak', 'človeštvo', 'mestno_omrežje', 'na_svetu', 'serviser', 'drugorojeni', 'relient_k', 'človek', 'osebni_služabnik', 'vojaška_osebnost', 'cornelis_de_man', 'človeške_vrste', 'strani_man', 'možakar', 'metropolitan_area_network', 'igralna_figura', 'odrasel_moški', 'svetu', 'lakaj', 'spolno_zrelost', 'atanatári', 'človeška_rasa', 'man_strani', 'drugoprišleci'}
many	{'mány', 'mnog', 'many'}
marriage	{'plačevanja_odnos', 'poročen_par', 'zakonska_skupnost', 'zakonske_zveze', 'ničnost', 'poroko', 'civilno_poroko', 'zakonski_par', 'zakonca', 'zakon', 'zakonsko_zvezo', 'poroka', 'zakonska_zveza', 'poroke', 'mož_in_žena', 'obredov', 'krščanski_zakon', 'zakonska', 'svatba', 'poročiti', 'poročni_obred', 'hymeneals', 'unija', 'cerkvena_poroka', 'zakonski_stan', 'zveza', 'poročeni_pari', 'sveti_zakon', 'nihility', 'neveljavnost', 'zavezanost_slovesnosti'}
material	{'materializma', 'tvaren', 'stvari', 'snov', 'tvarina', 'tekstil', 'tkanina', 'materijal', 'materiali', 'gradivo', 'materialisti', 'pravi', 'materializem', 'snoven', 'materiala', 'tvar', 'blago', 'tekstilni', 'dejanski', 'krpo', 'realen', 'material', 'materialen', 'fizična_ontologija', 'telesen', 'fizičen', 'tkanine', 'fizikalizem', 'bistven', 'materialistični'}
mathematical	{'matematika', 'matematik', 'matematično', 'matematike', 'matematiki', 'številčen', 'matematičarka'}
meat	{'bistvo', 'gnjidama-kašaste', 'meso', 'shawn_stasiak', 'esenca', 'srž', 'jedro', 'srčika', 'center', 'srce', 'srčica', 'bit', 'središče', 'esenc', 'jedrce', 'predelano_meso', 'srce_in_duša', 'we_will_rock_you', 'esence'}
mechanism	{'stroj', 'gibanje', 'mašinerija', 'strojev', 'naprava', 'mehanizem', 'stroji', 'urni_mehanizem', 'priprava', 'kemični_mehanizem', 'mehanizem_reakcije'}
medication	{'zdravilo', 'zdravila', 'zdravljenje', 'rescue', 'uspešnica_drog', 'lekarniška', 'medikament', 'lek', 'version_2.0', 'farmacevtski', 'zdravilo_drog', 'zdravil'}
money	{'money', 'denarne', 'denar'}
moon	{'jupiter', 'mesečina', 'lunacije', 'ne_znak', 'pluton', 'saturn', 'draconic_mesec', 'mesec', 'alexander_moon', 'lunaren_mesec', 'mésec', 'luno', 'christopher_robin_milne', '문', 'mars', 'moon', 'luna', 'naravni_satelit', 'venera', 'lune', 'mesečini', 'myung_moon_ne', 'naravni_sateliti', 'sinodski_mesec', 'lunarni_mesec', 'kyôko_fukada', 'lunin_mesec', 'lúna', 'mlaj', 'lunacija', 'satelit', 'merkur', 'ne', 'naravnih_satelitov', 'ščip', 'sun_myung_moon', 'synodic_mesec', 'sonce'}
mother	{'a_chorus_line', 'mati', 'mama', 'mati_boginja', 'sisters_of_avalon', 'zemlja_mati', 'matere', 'nuna', 'redovnica', 'zaroditi', 'matica', 'tihon_nikolajevič_hrennikov', 'pestovati', 'ženska_staršev', 'matere_zemlje', 'spočeti', 'mother', 'ploditi', 'crkljati', 'sestra', 'nune', 'zaploditi', 'chorus_line', 'synchronicity'}
mountain	{'kup', 'mountain', 'gora', 'množica', 'grmada', 'gomila', 'ubi', 'planina', 'zelo_malo', 'dober_posel', '4-8-2', 'gore', 'precej', 'passel', 'masa', 'mickle', 'veliko', 'urejeno_vsoto', 'sahtu', 'muckle'}
mouth	{'govoriti', 'sas', 'sassing', 'sečišče', 'odprtina', 'backtalk', 'rima_oris', 'ustje', 'usta', 'ustne_votline', 'reči', 'ustni_razpoklinsko', 'slišati_se', 'ustna_odprtina', 'izgovoriti', 'predrzen_odgovor', 'presečišče', 'ustni_votlini', 'izraziti', 'nazaj_govori', 'labium', 'estuarij', 'perioral', 'oglasiti_se', 'ustna_votlina', 'stičišče', 'dotikališče', 'zagovornik', 'prebodišče', 'vhod', 'pogovarjati_se'}
movement	{'navidezno_gibanje', 'kretnja', 'gibanje', 'izloček', 'nesnaga', 'iztrebljanje', 'vsebina_odpade', 'težnja', 'fekalnih', 'bm', 'urni_mehanizem', 'the_pillows', 'she_wolf', 'nagnjenost', 'stolica', 'družbeno_gibanje', 'gibalni_dejavnosti', 'defecated', 'kopica', 'iztrebljanja', 'drek', 'punk-rock', 'fekalije', 'ordure', 'umetniških_gibanj', 'razvidno_gibanje', 'gibljivost', 'družbenih_gibanj', 'gib', 'gibanje_živali', 'filozofsko_gibanje', 'premik', 'premikanje', 'perutninskega_gnoja', 'umetnost_gibanja', 'defekacija', 'srala', 'stvar', 'množica', 'movement', 'stavek', 'defecating', 'armada', 'fekalne', 'iztrebek', 'kampanja', 'fekalnih_snovi', 'blato', 'prebava', 'iztrebki', 'feces', 'umetniško_gibanje', 'govno', 'gibanja'}
movie	{'filmov', 'film', 'motion-picture_predstava', 'picture_show', 'premikanje_slike', 'zvočni_film', 'gibljivih_slik_predstava', 'kites', 'nemi_film', 'velik_filmski', 'kino', 'motion_picture', 'polno-motion_video', 'celovečerni_film', 'velik_zaslon'}
music	{'zdravilo', 'evfonija', 'glasba', 'glasbo', 'lepoglasje', 'država-rock', 'the_music', 'glasbe', 'resna_glasba', 'blagozvučnost', 'muziciranje', 'music', 'muzika', 'country_rock', 'blagoglasje'}
name	{'opisati', 'vplivna_oseba', 'javna_osebnost', 'družinsko_ime', 'lastno_ime', 'samostalnik_stavek', 'biti', 'označevalnik', 'imena', 'gens', 'pravilno_ime', 'identifikator', 'odkriti', 'voditi', 'pravilno_samostalnik', 'določevalec', 'prepoznati', 'lastnih_imen', 'našteti', 'identificirati', 'nominalna', 'diagnosticirati', 'poimenovati', 'znana_oseba', 'omeniti', 'žalitev', 'samostalnik', 'id', 'identifikatorji', 'navedemo', 'ime_računalnika', 'oznaka', 'ustanoviti', 'ime', 'imenovati', 'navesti'}
narrow	{'opredeljevati', 'določiti', 'skrčiti_se', 'ozka', 'stiskati', 'krčiti', 'ožiti', 'stisniti', 'ozek', 'soap&skin', 'obravnavati', 'podroben', 'opredeliti'}
