ability	{'zdolność', 'uzdolnienie'}
gold	{'lode_złota', 'złotolity', 'abba_gold:_greatest_hits', 'pre-alpha', 'wersji_oprogramowania_cyklu_życia', 'złote_medale', 'abba_gold', 'złociutki', 'au', 'bursztyn', 'złoty_medal_olimpijski', '(4955)_gold', 'bursztynowy', 'platynowej', 'wersja_alpha', 'cyklu_życia_oprogramowania', 'the_heist', 'wydanie', '4955_gold', 'beta_test', 'e175', 'złocisty', 'gold', 'wersja_stabilna', 'złotą_płytę', 'sandhja', 'złoty_medal', 'the_island_years', 'wersja_pre-alpha', 'liczba_atomowa_79', 'oprogramowanie_w_wersji_beta', 'złoty_rekord', 'złoty_certyfikat', 'złoty', 'anthology', 'pre-beta', 'alpha_software', 'wersja_pre-beta', 'wersja_beta', 'złota', 'złotolicy', 'bobby_brown', 'potrójną_platyną', 'wersja_alfa', 'złoty_medalista', 'wersja_release_candidate', 'barwa_bursztynowa', 'złoto', 'alpha_testu', 'release_candidate', 'young_lust:_the_aerosmith_anthology', 'beta_tester', 'cykl_życia_programu', 'platynową_płytę', 'podwójnej_platyny', 'wersja_rtm', 'wersja_robocza', 'wersji_beta', 'certyfikaty_sprzedaży_w_przemyśle_muzycznym', 'wanna_one', 'barwa_złota', 'pozłocisty'}
good	{'good', 'cnota', 'dobra_materialne', 'dobra', 'zdrowa', 'wartości_grupowe', 'system_wartości', 'etycznych_wartości', 'dobra_i_zła', 'niezawodny', 'miły', 'towar', 'dobre', 'libellé', 'handlu_dobry', 'kochany', 'kompetentny', 'zdrowy', 'zaleta', 'niezły', 'wartości', 'towarów', 'dobro_i_zło', 'good_music', 'dobra_gospodarczego', 'dobroć', 'równy', 'wartość', 'dobry', 'dobrze', 'znaczenie', 'dobro', 'wyrób', 'dokładnie', 'honorowy'}
grass	{'sensimilla', 'trawa', 'karma_dla_zwierząt', 'zioło', 'marycha', 'gunter_grass', 'graminoid', 'grass_gis', 'gandzia', 'marihuany', 'mary_jane', 'kłoski', 'trawka', 'wiechlinowate', 'stoner', 'skylarking', 'rodzina_poaceae', 'rośliny_pastewne', 'traw', 'supergrass', 'sens', 'rodzina_trawa', 'gramineae', 'rośliny_paszowe', 'roślina_paszowa', 'grass', 'poaceae', 'roślina_pastewna', 'sporobolus_caespitosus', 'günter_grass', 'gunter_wilhelm_akryl', 'marihuana', 'graminaceae', 'nothing_can_stop_us', 'ziele', 'ganja', 'guenter_grass', 'sesja', 'trawy', 'rodzina_graminaceae', 'pastwisk', 'skun', 'rodzina_gramineae', 'roślinność_trawiasta', 'green_goddess', 'eatage'}
great	{'świetnie', 'wielkość', 'fajnie', 'potężny', 'i_wielkości', 'wybitność', 'illustriousness', 'wielki', 'wielkości', 'fajno', 'majestatyczny'}
green	{'bukiet', 'vert', 'zielona_polityka', 'tamowanie_krwi', 'zielonawy', 'botwina', 'świadomość_ekologiczna', 'mineralności', 'super_kwas', 'zielone', 'seledyn', 'warzywa_liściaste', 'cat_valium', 'green_river', 'szmaragdu', 'liściastych_warzyw', 'barwa_zielona', 'groen', 'przyjazne_dla_środowiska', 'ciemnozielony', 'green', 'zielonych_warzyw', 'william_green', 'zieloność', 'viridity', 'commons', 'żółty_zielony', 'william_zielony', 'park', 'zieloni', 'olej_miód', 'szary', 'jade', 'naiwny', 'zielonkawo-żółte', 'łatwowierny', 'zieloni!', 'kolor_zielony', 'owoców', 'parku', 'special_k', 'ekologicznych_przyjaznych', 'świadomości_ekologicznej', 'wspólny', 'ekolodzy', 'jade_green', 'żad', 'żółtawo-zielone', 'zieleni', 'super_c', 'działaczy_ekologicznych', 'green_stał', 'zielonkawy', 'groszek_zielony', 'zielone_liściaste_warzywa', 'ekologii', 'putting_green', 'zielonej_polityki', 'ekologizm', 'feldgrau', 'ciała', 'szmaragd', 'ruchem_ekologicznym', 'zielony', 'oddanie_powierzchni', 'karczoch', 'kelly_green', 'zieleń', 'zielenina', 'niedojrzały', 'chartreuse'}
gun	{'mały-arm', 'kowboje', 'wynajęty_morderca', 'triggerman', 'broń_palna', 'heavy_weapon', 'gun', 'akcelerator', 'smarownica', 'pedału_gazu', 'gunfighting', 'strzelba', 'działa', 'broń_pirobalistyczna', 'louder_than_love', 'gaz', 'uderzył_mężczyznę', 'giwera', 'rewolwerowiec', 'hitman', 'zatrudniony_gun', 'broń_strzelecka', 'pistolet_do_wynajęcia', 'zastrzelić', 'broń_artyleryjska', 'broni_palnej', 'smar-gun', 'pedał_gazu', 'conventional_weapons'}
guts	{'przewodu_pokarmowego', 'układu_pokarmowego', 'odwagi', 'wnętrzności', 'guts', 'jelit', 'teorie_wielkiej_unifikacji', 'kuraż', 'układ_pokarmowy_człowieka', 'gut', 'układ_pokarmowy', 'narządów_trawiennych', 'jelito', 'flak', 'pokarmowego', 'przewodzie_pokarmowym', 'braveness', 'męstwo', 'moxie', 'jelita', 'światła_jelita', 'teoria_gut', 'dzielność', 'trzewia', 'górnego_odcinka_przewodu_pokarmowego', 'teoria_wielkiej_unifikacji', 'mężność', 'narządy_trawienne', 'kiszka', 'odwaga', 'bebech', 'serce', 'przewodu_pokarmowego_człowieka', 'śmiałość', 'przewód_pokarmowy'}
hair	{'włosy', 'włos', "hair's-szerokość", 'hair', 'ludzkich_włosów', 'włosiennica', 'katagen', 'włochaty'}
hand	{'gra_karciana', 'zatrudniony_ręka', 'dłoń', 'bridżysta', 'wskazówka', 'dawać', 'pismo_ręczne', 'manus', 'karty', 'dać', 'rozdanie', 'brydżysta', 'ręce', 'pismo', 'gry_karciane', 'hand', 'pisma', 'ręka', 'palma_manus', 'opieka', 'rękach', 'wynajęty_człowiek', 'starszeństwo_kart', 'cordella', 'kuratela', 'drazi', 'pracownik_rolny', 'dłonie', 'system_of_a_down', 'brydżowiec', 'dilgar', 'przekazać', 'pomocna_dłoń', 'dukt', 'brakiri', 'gry_w_karty', 'ręki', 'charakter_pisma', 'gra_w_karty'}
he	{'helu', 'język_hebrajski', 'języka_hebrajskiego', 'e939', 'język_nowohebrajski', 'hans_eworth', 'on', 'г', 'hel', 'ivrit', 'hebrajskiego', 'hebrajszczyzna', 'wideo_hd', 'hans_ewoutsz', 'wideo_wysokiej_rozdzielczości', 'hebrajski', 'liczba_atomowa_32', 'he', 'germanu', 'ge', 'german', 'hej', 'hebr.', 'wikipedysta:vv94/he', 'nadciekłego_helu', 'ה', 'liczba_atomowa_2'}
head	{'przylądek', 'umysł', 'headspring', 'żądanie_http', 'dyrektorem_szkoły', 'http', 'naczelnictwo', 'dirty_mind', 'wanta', 'bębna_głowicy', 'drumhead', 'historii_wiadomości', 'kierowniczka', 'obuch', 'szef', 'głowa', 'psychika', 'dyrektorka', 'główka', 'pryncypał', 'głowę', 'pseudanthium', 'brian_welch', 'nerwy', 'nous', 'arkusz_pogoda', 'wódz', 'oralizm', 'prowadzić_historię', 'szot', 'całun', 'seks_oralny', 'kierownik', 'lik_dolny', 'głowicę_odczytu_/_zapisu', 'tytuł', 'dyrektor', 'duch', 'naczelnik', 'serce', 'head', 'tribal_szef', 'pseudancjum', 'membrana', 'pytanie', 'seks_francuski', 'miłość_francuska', 'hydraulicznej', 'szefa_mafii', 'czołowy', 'róg_szotowy', 'udać', 'prowadzić', 'duchowość', 'psyche', 'hypertext_transfer_protocol', 'artykuł_informacyjny', 'artykuł_z_gazety', 'pogłowie', 'news', 'psychiki', 'artykuł', 'dyrektor_szkoły', 'cypel', 'gradient_hydrauliczny', 'clew', 'stosunek_oralny', 'głowowej', 'straty_ciśnienia', 'zwierzchnik', 'naciągi_perkusyjne', 'zwycięzca', 'ludzkiego_umysłu', 'arkusz', 'przełożony', 'koszyczek', 'kwestia', 'nauczyciel', 'wodza', 'oral', 'dyrektora', 'http/1.1', 'naciąg_perkusyjny', 'artykułu', 'mainsheet', 'caput', 'metoda_http', 'kingston', 'dyro', 'dusza'}
hear	{'port_lotniczy_arisz', 'fonetyczne', 'ochrona_słuchu', 'usłyszeć', 'zobaczyć', 'słuch', 'słuchać', 'modalność_słuchowa', 'zmysł_słuchu', 'port_lotniczy_al-arisz', 'dowiedzieć_się', 'słyszeć', 'ludzkiego_słuchu', 'słuchu', 'odkryć'}
heart	{'prawa_komora_serca', 'little_jimmy_urine', 'istota_bytu', 'esencji', 'budowa_serca', 'lewa_komora_serca', 'istota', 'the_force_behind_the_power', 'tombaugh_regio', 'lyn-z', 'budowa_serca_człowieka', 'serce_człowieka', 'komora_serca', 'sercowy', 'kier', 'serce_duchowe', 'alexz_johnson', 'serca', 'esencja', 'cor', 'czerwo', 'meritum', 'jądro', 'jama_serca', 'serduszko', 'sedna', 'sercem_i_duszą', '24_hours', 'mindless_self_indulgence', 'układ_bodźcotwórczy_i_przewodzący_serca', 'odwaga', 'kwintesencja', 'centrum', 'heart', 'philia', 'serce', 'sedno', 'komory_serca', 'schorzenie'}
heavy	{'bukiet', 'tamowanie_krwi', 'tf2', 'morderczy', 'mineralności', 'heavy', 'szwarccharakter', 'ciężkich', 'moralny', 'state_vs_radric_davis', 'heavy.com', 'ochroniarzy', 'the_state_vs._radric_davis', 'team_fortress_2', 'nielekki', 'bohater_negatywny', 'mięsisty', 'katorżniczy', 'czarny_charakter', 'ochrona', 'ciała', 'ochroniarz', 'ochroniarz_osobisty', 'tf_2', 'owoców', 'ciężki'}
help	{'wykorzystać', 'wsparcie', 'asystent', 'pomagać', 'sukurs', 'pomóc', 'pomocnik', 'pomoc', 'asystentem', 'the_help', 'służyć', 'help!', 'pomocy_humanitarnej', 'służba', 'pomoc_humanitarna', 'przyjść_z_pomocą', 'pomocy', 'służące', 'ratunek', 'pomoże', 'pomagier', 'asystować', 'pomocy_online'}
here	{'here', 'dotąd', 'hera', 'tu', 'tutaj'}
hit	{'hīt', 'punktować', 'tusz', 'zdobywać', 'uderzanie', 'uderzenie', 'extra_base_hit', 'trafienie', 'zdobyć', 'uderzył', 'uderzać', 'osiągnąć', 'zapunktować', 'przebój', 'hit_baza', 'zderzenie', 'hit', 'punkt', 'punkty', 'kolizji', 'uderzyć'}
hold	{'trzymać', 'zamawianie', 'headlock', 'zawierać', 'kontrolować', 'zapasach_przytrzymaj', 'wypełniać', 'obowiązywać', 'chwyt', 'deck_cargo', 'sądowym_areszcie', 'mieć_ważność', 'powierzchnia_magazynowa', 'ładowisko', 'zatrzymania', 'fermata', 'powstrzymywać', 'spóźnienie', 'opóźnienie', 'podtrzymywać', 'zatrzymanie', 'być_w_mocy', 'rękojeść', 'zwłoka', 'zarezerwować', 'klamka', 'rączka', 'ładownia', 'uchwyt', 'mieć', 'rezerwować', 'wspierać', 'sprzęgła', 'poślizg', 'korona', 'składania_trzyma', 'spełniać', 'dać', 'zgadzać_się', 'gałka', 'hamować', 'forteca', 'zawieszone', 'utrzymania', 'twierdza', 'katame-waza', 'przestrzeń_ładunkowa', 'bukowanie', 'przetrzymanie', 'przyczepność', 'zgodzić_się'}
horn	{'saddle_horn', 'silnik_tubowy', 'horn', 'róg_pojazdu', 'powiat_horn', 'trąbka', 'kornet', 'róg_myśliwski', 'waltornia', 'trębacz', 'antena_tubowa', 'sygnał_dźwiękowy', 'klakson', 'klakson_samochodowy', 'trębacz_jazzowy', 'gaienhofen', 'bezirk_horn', 'trębaczy', 'francuskie_rogi', 'rożek', 'car_horn', 'róg', 'trąbienie', 'drumla', 'hamburg-horn'}
how	{'how', 'hands_all_over', 'zaimek_pytający', 'słowo_pytające', 'jak', 'zaimki_pytające'}
hunt	{'łowiectwo', 'richard_morris_hunt', 'polowania', 'leigh_hunt', 'polowanie', 'overhunting', 'james_henry_leigh_hunt', 'łów', 'william_holman_hunt', 'polowanie_przepiórki', 'łażenie', 'myśliwych', 'przeszukiwanie', 'hunt', 'poszukiwaniu', 'holman_hunt', 'hunt_club', 'myślistwo', 'polować', 'poszukiwanie', 'william_henry_hunt'}
hurting	{'czucie_bólu', 'rani', 'nocycepcja', 'bolesne_uczucie', 'bolesność', 'ból'}
husband	{'partner', 'ślubny', 'lepsza_połowa', 'żonaty_człowiek', 'mężuś', 'małżonek', 'husband', 'męża', 'mężulek', 'małżonkowie', 'mąż', 'partnera', 'małżonka', 'żona', 'żonaty', 'apollo', 'współmałżonek', 'partnerka'}
i	{'roku_gregoriańskiego', 'iodin', 'krotki', 'przerywana_i_bez_kropki', 'izoleucyna', 'amper', 'selected_ambient_works_85-92', 'nanoampere', 'a', 'jodu', 'jedność_urojona', 'ma_prądu', 'amperów', 'ace', 'prądu', 'i̇', 'urojona', 'miliamper', 'μa', 'krotek', 'jeden', 'krotka', 'prąd', 'liczba_atomowa_53', 'sześcioodcinkowy', 'jedynka', 'mikroamper', 'い', 'tupla', 'natężenie_prądu', 'í', 'jednostka_urojona', 'ma', 'kiloamper', 'ile', 'rok', 'samogłoska_przymknięta_przednia_niezaokrąglona', '123j', 'i', 'ì', '1', 'roku', 'prąd_elektryczny', 'jedności', 'natężenie_prądu_elektrycznego', 'pikoamper', 'n-krotka', 'jod', 'и'}
ice	{'deoxyephedrine', 'pervitin', 'dextromethamphetamine', 'metyloamfetamina', 'silnik_spalinowy', 'instituto_de_electricidad_costarricense', 'silników_spalinowych', 'c10h15n', 'ice', 'emirates', 'silnika_spalinowego', 'benedykt_gierosławski', 'sztucznej_lodu', 'u.s._immigration_and_customs_enforcement', 'lodu', "ice_d'angelo", 'metamfetamina', 'silnik_o_spalaniu_wewnętrznym', 'metamfetaminy_kryształu', 'w_nagłych_przypadkach', 'silnik_wewnętrznego_spalania', 'ice_la_fox', 'intercity-express', 'intercityexpress', 'chlorowodorek_metamfetaminy', 'met', 'metamfetaminy', 'pojazd_z_silnikiem_spalinowym', 'methedrine', 'polewa', 'lody', 'lodowisko', 'shabu', 'silnik_samochodu', 'i.c.e.', 'perwityna', 'metaamfetamina', 'lukier', 'diament', 'brylant', 'lód', 'lodowe_piekło', 'desoxyn', 'in_case_of_emergency', 'silnika_spalinowego_wewnętrznego_spalania'}
if	{"chateau_d'if", 'jeżeli...', '(if)', 'if...', 'interactive_fiction', 'jeśli', 'impact_factor', 'instrukcja_warunkowa', "czynnik_castle'a", 'command.com', 'czynnik_wewnętrzny', "château_d'if", 'warunkowe', 'wskaźnik_cytowań', 'stadium_arcadium', 'interaktywna_fikcja', 'fikcja_interaktywna', 'zamek_d’if', 'unmixed', 'if-then-else', "zamek_d'if", 'if', 'czynnik_i', 'czynnika_wewnętrznego'}
ignorance	{'ignorancja', 'awidja', 'nieznajomość', 'ignorance', 'nieuctwo', 'nieświadomość', 'nieobeznanie', 'avidya', 'niewiedza'}
illness	{'schorzeniu', 'choroby', 'niedomoga', 'chorobliwą', 'dolegliwość', 'choroba_somatyczna', 'zachorowanie', 'choroby_somatyczne', 'syndrom', 'przypadłość', 'zachorowalność', 'niemoc', 'chorób', 'unwellness', 'patologia', 'niedyspozycja', 'niedomaganie', 'choroba', 'choroba_umysłowa', 'schorzenie'}
impress	{'branka', 'imponować', 'gangi_prasowe'}
in	{'element', 'hoosier_państwo', 'ind', 'bharat', 'indie', 'liczba_atomowa_49', 'wyspy_indii', 'członkostwa', 'indiana', 'indu', 'cal', 'republika_indii', 'indyjski', 'in', 'indii', 'członkostwo'}
invention	{'wynalazki', 'wynalazku', 'wynalezienie', 'innowacji', 'wynalazek', 'wynalazków', 'wynalazców', 'wynalazca', 'innowacja', 'nowatorstwo', 'inwencja', 'invent', 'wymyślanie'}
investigation	{'badania_naukowe', 'metod_badawczych', 'oryginalne_badania', 'naukowców', 'dochodzenie', 'śledztwo', 'badania', 'badanie_naukowe'}
invisible	{'evilized', 'elevate', 'podłogi', 'niewidoczny', 'sound_of_white_noise', 'dream_evil', 'niepozorny', 'invisible', 'niewidzialny', 'taylor_swift', 'holy_diver'}
job	{'praca', 'zadanie', 'job', 'księga_joba', 'zatrudnieni', 'zatrudnienie', 'zawodzie', 'zawód', 'pracę', 'wakat', 'problema', 'kłopot', 'umowy_o_pracę', 'sytuacja_trudna', 'zajęcie', 'działalność_komercyjna_i_zarobkowa', 'hiob', 'pracowników', 'księga_hioba', 'personelu', 'robota', 'zatrudniać', 'do_zrobienia', 'hiobowa_wieść', 'zadanie_do_wykonania', 'wstępny_zapaśnik', 'księga_ijoba', 'kontroli_pracy', 'pracodawców', 'zatrudnienia', 'linii_pracy', 'pracy', 'problem', 'ijob'}
jungle	{'shine_a_little_love', 'oldschool_jungle', 'dżungla', 'dyskografia_pitbulla', 'obóz_hobo', 'tash_sultana', 'out_of_the_blue', 'dżungli', 'natasha_sultana', 'jungle'}
key	{'klucz_tajny', 'kartografów', 'tajny_kod', 'mapmaking', 'czarność', 'filar', 'klucz_szyfrujący', 'willem_key', 'wykresu', 'język_tajny', 'bazowy', 'indeks', 'klucz_szyfrowania', 'kryptograficzny_algorytm_szyfrujący', 'czerń', 'algorytm_kryptograficzny', 'tonalności', 'legenda', 'indeks_nieklastrowany', 'klucz_alternatywny', 'kod_dopasowania', 'port_lotniczy_kericho', 'pole_3_sekund', 'szyfrów', 'kartograf', 'klawisz', 'klucz_główny', 'system_tonalny', 'kartografii', 'kartografia', 'wykres', 'rzut_wolny_pas', 'skrzydlak', 'tonalnej_muzyki', 'główny', 'klucz_do_oznaczania', 'cay', 'kluczowym_owoce', 'tabela', 'klucz_kryptograficzny', 'adriaen_thomas_key', 'mapografia', 'szyfr', 'kartograficznych', 'tonalność', 'key', 'klucza_kryptograficznego', 'pole_trzech_sekund', 'indeksowanie', 'wytyczny', 'francis_scott_key', 'barwa_czarna', 'tonacja', 'kim_ki-bum', 'floryda_key', 'algorytm_ograniczony', 'wpust_woodruffa', 'wpust_czółenkowy', 'obszar_ograniczony', 'inkiness', 'zwornik', 'kolor_czarny', 'szyfrowanie', 'deszyfrowanie', 'klucz', 'samara', 'rdzenny', 'podstawa', '000000', 'klucz_podstawowy', 'klucz_identyfikacyjny', 'cayes', 'centralny', 'rafa_koralowa'}
kill	{'śmierci', 'exitus_letalis', 'śmierć_człowieka', 'śmierć_przedwczesna', 'zgon', 'martwość', 'śmierć_fizyczna', 'śmierć_biologiczna', 'oddanie_do_śmierci', 'odejście', 'zabić', 'the_kill', 'zmarcie', 'zmarł', 'śmierć', 'zabicie', 'zgony', 'zabijać', 'kill', 'skonanie', 'dobić', 'martwota', 'umarcie', 'zabójstwo'}
kindness	{'dobroć', 'forgivingness', 'dobrotliwość', 'dobro', 'gołębie_serce'}
king	{'detektyw_king', 'lider_biznesu', 'magnata', 'monarcha', 'króla', 'magnat_biznesu', 'lider', 'król', 'george_king', 'monarchizm', 'magnateria', 'koronowany_głowę', 'b._b._król', 'światowej_trzepak', 'billie_jean_moffitt', 'bonza', 'billie_jean_king', 'władca', 'przemysłowców', 'billie-jean_moffitt', 'king_ov_hell', 'wielki_biznesmen', 'mężczyzna_monarcha', 'martin_luther_king', 'king_family', 'monarchów', 'przemysłowiec', 'reverend_horton_heat', 'bb_king', 'regnant', 'potentat', 'magnatów', 'monarchii', 'dama', 'bonzo', 'top_executive', 'królewskości', 'lumber_baron', 'leader', 'billie_jean_moffitt_król', 'charles_bird_king', 'damka', 'monarchistyczny', 'monarchy', 'b.b._king', 'b._b._king', 'monarchia', 'riley_king', 'magnaci', 'rex', 'riley_b_king', 'fabrykant', 'magnat', 'suwerenny', 'przodownik', 'king', 'king.com', 'riley_b._king'}
knee	{'kontuzji_kolana', 'articulatio_genus', 'stłumić', 'kolano', 'ludzkie_kolano', 'stawu_kolanowego', 'staw_kolanowy', 'kolanach', 'łękotka', 'kopnięcie_kolanem', 'łękotki', 'łąkotki', 'genu', 'łąkotka', 'kolana_strajku'}
know	{'procesów_poznawczych', 'poznania', 'wiem', 'jebać', 'percepcja', 'procesy_poznawcze', 'proces_poznawczy', 'wiedza', 'wyższe_czynności_psychiczne', 'znać', 'zdolności_poznawczych', 'poznanie', 'funkcje_poznawcze', 'pieprzyć', 'przeżyć', 'pierdolić', 'funkcji_poznawczych', 'wiedzy', 'uprawiać_seks', 'ruchać', 'noesis', 'poznawanie', 'wiedzieć', 'poznawczych'}
lady	{'madonna', 'panie', 'dama', 'lady', 'maryja', 'matka_boska', 'styl', 'tytuły', 'stylu', 'żona_para', 'maria', 'maria,_matka_jezusa', 'błogosławiona_dziewica', 'tytuł_szacunku', 'maria_z_nazaretu', 'maryja_z_nazaretu', 'zwrot_honorowy', 'autokrator', 'święta_maria', 'maryja_panna', 'jejmość', 'zwrot_grzecznościowy', 'tytuł', 'madam', 'pani', 'najświętsza_panienka', 'matka_boża', 'pani_wielkiego_rodu', 'zakochany_kundel', 'dame', 'mary', 'forma_zwracania', 'tytuły_i_zwroty_honorowe', 'szlachcianka', 'the_lady', 'virgin'}
lake	{'jezioro_monomiktyczne', 'barwnik_lakowy', 'barwniki', 'barwidło', 'jezioro', 'słodkowodne_jezioro', 'naturalne_jezioro', 'pigmenty', 'pigment', 'lak_barwny', 'przerywany_jezioro', 'jezioro_oligomiktyczne', 'lake'}
land	{'kraj_związkowy', 'realty', 'majątek_ziemski', 'kraina', 'państwo_niepodległe', 'rządowych', 'nieruchomość', 'strony', 'gospodarzenie_się', 'terytorium', 'ziemi', 'landy_w_niemczech', 'sferze', 'din_teren', 'res_publica', 'wylądował_właściciela', 'majątek_nieruchomy', 'rzecz_nieruchoma', 'społeczeństwa_politycznego', 'dominium', 'krajobraz', 'ziemia_jako_czynnik_produkcji', 'edwin_herbert_teren', 'podział_administracyjny_meksyku', 'nacja', 'deklaratywnej_teorii_państwowości', 'nieruchomości', 'posiadłości', 'narodów', 'kraje_związkowe_niemiec', 'ląd', 'rodzaje_państw_kapitalistycznych', 'gleba', 'domena', 'narodu', 'meksykańskim_stanie', 'wylądował_właściciel', 'nieruchomy', 'stały_grunt', 'rynku_nieruchomości', 'działce', 'zaścianek', 'teren', 'lądowy', 'lądować', 'kraj', 'prawa_nieruchomości', 'posiadłość', 'branży_nieruchomości', 'stan', 'nawa_państwowa', 'suchy_ląd', 'gospodarzenie', 'nieruchomość_gruntowa', 'prowincja', 'gospodarowanie', 'państwa', 'naród', 'feudalne_domeny', 'okolica', 'suwerennych_państw', 'firma_terra', 'własności_ziemskiej', 'land', 'państwo', 'ziemia', 'grunt', 'ha', 'ciało_polityczne', 'kraju', 'akrów'}
laugh	{'żartobliwy', 'śmiech', 'żart', 'żartować', 'kawał', 'dowcipy', 'dowcip', 'żartem', 'śmiać_się', 'śmiechu'}
law	{'port_lotniczy_lawton-fort_sill', 'zbrojnego_policji', 'porządek_prawny', 'stanowienia_prawa', 'filozofii_prawa', 'zasada_stworzona_przez_człowieka', 'jurysprudencja', 'studiów_prawniczych', 'policjant', 'proces_legislacyjny', 'prawa_fizyczne', 'policji', 'm72_law', 'prawnej_batalii', 'dundee_law', 'profesor_prawa', 'prawo_naturalne', 'prawo_kanoniczne', 'prawo_pisane', 'praktyka_prawa', 'siły_bezpieczeństwa', 'earthling', 'prawoznawstwo', 'prawo', 'granatnik_m72_law', 'postępowanie_legislacyjne', 'usług_prawnych', 'prawnik', 'kanon', 'doktryna_prawa', 'prawa_stanowionego', 'ustawodawstwo', 'prawo_fizyki', 'sił_policyjnych', 'student_prawa', 'ochroną_policji', 'prawnictwo', 'prawa_fizyki', 'police_department', 'policja', 'nauki_penalne', 'nauki_prawne', 'prawa_kościelnego', 'prawo_natury', 'prawo_kościelne', 'prawa', 'prawo_empiryczne', 'praktykę_prawa', 'prawodawstwo', 'proces_ustawodawczy', 'współstanowienie', 'ustawa', 'stanowienie', 'nauka_prawa', 'prawo_teoretyczne', 'legislacja', 'prawa_naturalnego', 'prawnik_kanonicznego', 'prawa_kanonicznego', 'teorii_prawa', 'prawo_fizyczne'}
leaf	{'liści', 'dendryt', 'adaxial', 'kartka', 'liścisko', 'liście', 'listowie', 'liść', 'nasada_liścia', 'drzewa', 'karbowany', 'drzewo', 'korzeń_drzewa', 'folio', 'recto', 'zakorzenione_drzewo', 'axil', 'nissan_leaf', 'odosiowej', 'verso', 'ulistnienie', 'dolistne', 'paullinia_pterophylla', 'liść_złożony', 'liść_drzewa', 'środek', 'recto-verso', 'las', 'pachwinach', 'wypuszczać_liście', 'podstawowa_liści'}
left	{'esquerra_republicana_de_catalunya', 'lewicy', 'lewa', 'norweska_partia_liberalna', 'liberalna_partia_danii', 'venstre', 'lewicowy', 'lewicowiec', 'lewa_ręka', 'względny_kierunek', 'nowerska_partia_liberalna', 'lewica', 'lewicowości', 'lewicowość', 'lewo', 'lewicowców', 'republikańska_lewica_katalonii', 'kolektywizmu', 'lewe_skrzydło', 'lewa_opozycja', 'lewy', 'lewoskręt', 'lewicowa_opozycja'}
leg	{'drewniana_noga', 'extremitas_inferior', 'dwunożny', 'dwumecz', 'dwunożny_krawat', 'ludzkiej_nogi', 'etap', 'noga_ludzka', 'noga', 'udziec', 'kończyny_dolne', 'rozgałęzienie', 'rund_nogach', 'nogawka', 'kończyn_dolnych', 'proteza_nogi_drewniana', 'nogi', 'crus', 'kończyna_dolna', 'przyprostokątna', 'etap_podróży', 'mecz', 'kończyny_dolnej'}
level	{'punktu', 'mark_chavez', 'poziom_doświadczenia', 'poziom_gry', 'kondygnacja', 'poziomnica', 'sort', 'klasa', 'levél', 'podłogi_numeracji', 'etapie', 'poziomu_pęcherzyków', 'punkt', 'poziomica', 'piętrowy', 'piętrze', 'poziomej_powierzchni', 'poziomy', 'punkty_doświadczenia', 'warstwa', 'suterena', 'poziom', 'mark_anthony_chavez', 'wyrównać', 'płaski', 'piętro', 'kondygnacji', 'pułap', 'stopień_zaawansowania', 'stopień', 'punkt_doświadczenia', 'level', 'waserwaga', 'zaawansowanie', 'grad_ewolucyjny', 'równy', 'poziomica_wężowa', 'stopnia', 'adema', 'zburzyć', 'libella', 'gładki', 'kategoria', 'libela'}
liar	{'liry', 'louder_now', 'in_my_darkest_hour', 'kłamca', 'łgarz', 'glory', 'lira', 'kłamstwa', 'so_far,_so_good..._so_what!', 'republic', 'liar'}
lie	{'absolute_first_album', 'geojitmal', 'leżą', 'malpresentation', 'łgarstwo', 'kłam', 'niezgodność_z_prawdą', 'fałsz', 'trygve_lie_halvden', 'trygve_lie', 'lie', 'kłamstwo', 'the_lie', 'awake', 'leżeć', 'nieprawda'}
light	{'pulchny', 'inicjatora_pirotechnicznego', 'iskierka', 'oświetlenie', 'światłość', 'lekkie', 'rozwiązły', 'lampa_elektryczna', 'luminacja', 'rozpalić', 'łatwostrawny', 'nietłusty', 'słoneczność', 'team17', 'źródła_światła', 'lekki', 'ogień', 'lampy', 'luminousness', 'światło', 'lekkostrawny', 'zapalać', 'poziom_jasności', 'wewnętrzne_światło', 'chudy', 'chrystusa_w', 'iskra', 'luminancji', 'team17_software', 'zapalnikiem', 'źródło_światła', 'zapalić', 'światło_widzialne', 'lampa_oświetleniowe', 'team_17', 'odbicie_światła', 'światła', 'jasność', 'nietrudny', 'świetle', 'luminancja', 'lampa', 'zapalarka', 'świetlik', 'jasny', 'oświetlać', 'zapalniczka', 'rozpustny', 'okno', 'światła_widzialnego', 'lubieżny', 'łatwy', 'iluminować', 'światła_w', 'zapalniczki', 'inner_light', 'light', 'air', 'promieniowanie_widzialne', 'odinstalować', 'team_17_software', 'promieniowanie_optyczne', 'light_yagami'}
live	{'godsmack_live', 'live!', 'r.e.m._live', 'żyć', 'koncertowej', 'życie_biologiczne', 'pigmy_love_circus', 'niezwietrzały', 'życia', 'trwać', 'definicja_życia', 'live', 'masta_killa_live', 'jennifer_lopez', 'baduizm_live', 'live_at_the_marquee', 'przeżyć', 'koncert', 'żywot', 'życie', 'koncerty', 'procesy_życiowe', 'aktualny', 'ac/dc_live', 'simian_mobile_disco', 'żywy', 'hunter', 'przetrwać', 'mieszkać', 'built_to_spill'}
