ability	{'evne', 'aptitude'}
if	{"chateau_d'if", 'impact_factor', 'sampo_bank', 'if—', 'sampopank', 'ublandede', 'sampobank', 'betinget', 'indre_faktor', 'if_skadeforsikring', 'tekst_eventyrspill', 'slottet_if', 'command.com', 'sampo', 'intrinsic_factor', 'if-', 'interaktiv_fiksjon', "château_d'if", 'tekst_eventyr', 'stadium_arcadium', 'if-then-else', 'hvis', 'if', 'viss'}
ignorance	{'avidya', 'uvitenhet', 'ignorance'}
illness	{'lidelse', 'syke', 'sykdom_sjukdom', 'uvelhet', 'sykdommer', 'affeksjon', 'morbiditetsrate', 'medisinsk_tilstand', 'sykdom', 'helseplage', 'medisinske_tilstander', 'sykelig', 'medisinsk_lidelse', 'sjukdom'}
impress	{'trykke', 'trykker_gjenger', 'impressment', 'imponere'}
in	{'element', 'ind', 'bharat', 'indiana', 'india', 'indar', 'republikken_india', 'hoosier_state', 'romersk_tomme', 'inch', 'internasjonal_tomme', 'medlemskap', 'av', 'i', 'inches', 'atomnummer_49', 'tommer', 'hospitality_state', 'indium', 'indere', 'indisk', 'distrikt', 'uncia', 'inder', 'tommers', 'tomme'}
invention	{'oppfinnelse', 'innovasjon', 'oppfinnelser', 'innovative', 'innovasjoner', 'oppfinnere', 'teknologisk_innovasjon', 'å_finne_opp', 'oppfunnet', 'nyskapning', 'innovativ', 'oppfinne'}
investigation	{'forsking', 'akademisk_forskning', 'forespørsel', 'forskning', 'fou', 'forskere', 'original_forskning', 'undersøke', 'forskningsmetoder', 'undersøkelse', 'forskning_og_utvikling'}
invisible	{'usynlig', 'floored', 'evilized', 'elevate', 'sound_of_white_noise', 'dream_evil', 'usynlighet', 'invisible', 'taylor_swift', 'holy_diver', 'upåfallende'}
job	{'ansatt', 'yrke', 'job', 'foreløpig_wrestler', 'ansettelse', 'gjøremål', 'beskjeftigelse', 'jobbmuligheter', 'virksomhet', 'foreløpig_bryter', 'forretningsaktivitet', 'arbeid', 'ork', 'hverdagsrutine', 'linje_av_arbeid', 'stilling', 'gjøremål_', 'plikt', 'ansette', 'spekulere', 'ansatte', 'problem', 'oppgave', 'jobb-kontroll', 'yrker', 'jobben', 'sysselsetting', 'jobb', 'innleid_arbeidskraft', 'personell', 'jobs_bok', 'arbeidsgivere'}
jungle	{'shine_a_little_love', 'oldschool_jungle', 'jungelen', 'hobo_camp', 'out_of_the_blue', 'jungel', 'jungle'}
key	{'vinget_nøtt', 'hemmelig_nøkkel', 'mapmaking', 'svart', 'referanseintegritet', 'database_indeks', 'krypteringsalgoritme', 'kronestein', 'willem_key', 'indeks', 'fremmednøkler_i_databaseteori', 'unik_nøkkel', 'nøkkelen', 'florida-tasten', 'tonalitet', 'kartograf', 'bestemmelsesnøkkel', 'kartografiske', 'tonal', 'diagrammet', 'chiffer', 'cays', 'hemmelig_kode', 'sluttstein', 'diagram', 'cay', 'kartografi', 'samsvarskode', 'cipher_maskin', 'toneart', 'nøkkel', 'key', 'fremmednøkkel', 'nøkler', 'diagrammer', 'alternativ_nøkkel', 'kartanalyse', 'kilestein', 'keystone', 'francis_scott_key', 'nøkkel_frukt', 'krypteringsnøkkel', 'tast', 'kartografer', 'samara', 'inkiness', 'identifikasjonsnøkkel', 'kryptografisk_nøkkel', 'ikke-gruppert_indeks', 'primærnøkkel', 'cayes', 'hemmelige_koden', 'tonal_musikk', 'frikast_lane'}
kill	{'døde', 'tidlig_død', 'bortgang', 'dødsfall', 'kil', 'dø', 'døden', 'sette_til_døden', 'kill', 'daude', 'the_kill', 'drepe', 'krepere', 'drap', 'død'}
kindness	{'godhet', 'forgivingness'}
king	{'ekskonge', 'forretningsbaron', 'martin_luther_king_jr', 'kongedømme', 'trelast_baron', 'george_king', 'b._b._kongen', 'kronet_hode', 'monarki', 'monarki_kongedømme', 'finansfyrste', 'kongedømmer', 'industrimagnat', 'næringslivsleder', 'billie_jean_king', 'konge', 'king_ov_hell', 'billie_jean_moffitt_kong', 'kongeriket', 'monark', 'stor_forretningsmann', 'b_b_king', 'martin_luther_king', 'industrimann', 'monarkier', 'reverend_horton_heat', 'bb_king', 'kong', 'regnant', 'forretningsmagnat', 'magnater', 'mannlig_monark', 'monarkiet', 'kongen', 'tom_cato_visnes', 'monarkisk', 'suverene', 'monarchic', 'charles_bird_king', 'tycoon', 'b.b._king', 'kongelig', 'b._b._king', 'kongerike', 'skipsreder', 'kongelige', 'industrileder', 'kongedømmet', 'rex', 'toppleder', 'riley_b_king', 'magnat', 'magnat_tycoon', 'monarker', 'verden-beater', 'king', 'king.com', 'riley_b._king'}
knee	{'articulatio_slekten', 'kneskade', 'menneskelig_kne', 'kneleddet', 'kvele', 'genu', 'kne_streik', 'knær', 'kneledd', 'kneet', 'kne'}
know	{'kjenne', 'jokke', 'knulle', 'kunnskaper', 'kognitiv', 'kunnskap', 'tenkning', 'oppleve', 'vet', 'kognitive_evner', 'kognitive_prosesser', 'mental', 'kognitiv_funksjon', 'tanker', 'kognisjon', 'kognitiv_behandling', 'pule', 'kunne', 'noesis', 'kognitive', 'vite'}
lady	{'madonna', 'lady', 'adelskvinne', 'maria', 'kvinne', 'hunkjønn', 'lady_and_the_tramp', 'tiltaleform', 'damer', 'tittelen_på_respekt', 'fruentimmer', 'hans_eksellense', 'gentlewoman', 'titler', 'stil', 'tiltaleformer', 'form_av_adresse', 'lady_&_landstrykeren', 'jomfru_maria', 'madonna_med_barnet', 'madam', 'sankt_maria', 'kvinnemenneske', 'tittel', 'madame', 'the_virgin', 'dame', 'peeress', 'mary', 'hans_majestet', 'stilen', 'lady_og_landstrykeren', 'jomfru', 'hans_eminense', "ma'am", 'the_lady'}
lake	{'flyktig_innsjø', 'innsjø', 'intermitterende_innsjø', 'innsjø_med_ferskvann', 'sjø', 'pigmenter', 'innsjøer', 'naturlige_innsjø', 'pigment', 'the_lake', 'lake'}
land	{'realty', 'landet_pakke', 'bakke', 'landet', 'deklarative_teorien_statsdannelse', 'edwin_herbert_land', 'tysklands_delstater', 'tyske_stater', 'meksikanske_delstaten', 'jord', 'res_publica', 'landet_eierskap', 'riket', 'urokkelig', 'staten', 'nasjonal', 'domenejorda', 'politiske_kropp', 'fast_grunn', 'eiendomsbransjen', 'suveren_stat', 'dekar', 'real-estate', 'landmasse', 'eiendom_hus', 'suverene_stater', 'nasjonen', 'land_i_oppland', 'tyske_delstater', 'rike', 'fast_eiendom', 'tørt_land', 'landet_innehaver', 'landrettigheter', 'faste_eiendom', 'eiendom', 'statsmakt', 'stat', 'forbundsland', 'fast_eiendoms_rettsforhold', 'din_land', 'lande', 'bakken', 'eiendomsmarkedet', 'nasjon', 'delstater_i_tyskland', 'nasjoner', 'jordsmonn', 'bundesland', 'terra_firma', 'landet_eiendom', 'nasjonalt', 'eiendomsmegling', 'deklarative_teori_stat', 'politiske_samfunn', 'føydal_domene', 'statlig', 'statlige', 'meksikanske_stater', 'jorden', 'territorium', 'land_lov', 'land', 'delstat', 'landjord'}
laugh	{'vitsing', 'vittighet', 'vitser', 'lått', 'jape', 'haha', 'spøkefull', 'grovis', 'blødme', 'spøk', 'le', 'å_le', 'latter', 'vits'}
law	{'rettslære', 'lovgivning', 'juss', 'juridisk', 'juridisk_teori', 'politimann', 'm72_law', 'jusprofessor', 'm72', 'politiet', 'væpnet_politi', 'juridisk_kamp', 'kirkelov', 'juridiske_tjenester', 'politikorps', 'uautorisert_praktisering_av_loven', 'allmenn_rettsvitenskap', 'politiarbeid', 'earthling', 'polititjenestemenn', 'lovgiving', 'fysikkens_lover', 'polti', 'polititjenestemann', 'juridiske_fag', 'constabulary', 'politibeskyttelse', 'politi', 'kirkerett', 'rettssystemet', 'naturloven', 'vedtekt_lov', 'fysiske_lover', 'politimenn', 'politimonopolet', 'jusen', 'naturlover', 'naturlov', 'juridisk_filosof', 'praktisering_av_loven', 'lov', 'jussen', 'politisjef', 'jusstudent', 'ordensmakt', 'police_department', 'av_loven', 'police_force', 'juridiske_studier', 'politi_avdelinger', 'kirkelig_lovgivning', 'kanon_advokat', 'naturrett', 'juridicum', 'rettsvitenskap', 'politifolk', 'jus', 'sikkerhetsstyrker', 'rettsstudiet', 'politikammer', 'politistyrkene', 'juridiske', 'politistyrke', 'loven', 'poleti', 'sikkerhetsstyrke', 'rettsfilosofi', 'naturretten', 'm-72', 'rettssystem', 'fysisk_lov'}
leaf	{'adaxial', 'blad_margin', 'verso_og_recto', 'basal_blad', 'foliar', 'løvverk', 'blad', 'abaxial', 'crenate', 'midrib', 'løv', 'axils', 'ark', 'rekto', 'bladet_axil', 'folio', 'recto', 'leafage', 'axil', 'skog', 'tre', 'nissan_leaf', 'lauv', 'verso', 'recto_og_verso', 'verso_og_rekto', 'blad_kappe', 'paullinia_pterophylla', 'blader', 'sammensatte_blader', 'rekto_og_verso', 'bladverk', 'pubescent'}
left	{'esquerra_republicana_de_catalunya', 'venstrefløyen', 'venstresiden', 'venstre_hånd', 'den_politiske_venstresiden', 'politiske_venstresiden', 'venstre', 'venstrevridd', 'venstre-vingen', 'venstreorientert', 'venstre_ving', 'venstreorienterte_politikk', 'venstreorienterte', 'venstresida', 'kollektivistisk'}
leg	{'insektbein', 'cruer', 'leggen', 'to-legged_match', 'underekstremitetene', 'brukket_beinet', 'trebein', 'pinne_ben', 'side', 'menneskelig_ben', 'ben', 'lår', 'ben_bein', 'katet', 'to-legged_slips', 'spill', 'forgrening', 'sidekant', 'parti', 'to-legged', 'tobente', 'etappe', 'pegleg', 'bein', 'kamp', 'nedre_lem'}
level	{'rørlibelle', 'vaterpass', 'vater', 'peke', 'nivå', 'libelle', 'opplevelse_poeng', 'nivået', 'flat', 'erfaringspoeng', 'skala_grad', 'gulv_nummerering', 'grade', 'jevne_med_jorden', 'levél', 'evolusjonær_karakter', 'level', 'libbelle', 'plan', 'punkt', 'gulvet_nummerering', 'etasjer', 'etasje', 'etasjes', 'adema', 'gradering', 'dåselibelle', 'skala_grader', 'leie', 'grad', 'erfaringsnivå', 'horisontal_flate'}
liar	{'liră', 'louder_now', 'løgner', 'prevaricator', 'so_far,_so_good..._so_what!', 'lyrer', 'republic', 'liar', 'so_far,_so_good…_so_what!', 'lyre'}
lie	{'absolute_first_album', 'mudhoneys_diskografi', 'trygve_halvden_lie', 'feilinnstilling', 'usannhet', 'løgner', 'løgn', 'ljug', 'falsity', 'trygve_lie', 'trygve_halvdan_lie', 'lie', 'ligge', 'leie', 'the_lie', 'awake', 'lyge', 'mudhoney_diskografi'}
light	{'antenne', 'pyroteknisk_initiativtaker', 'lys_bølger', 'lyset', 'lettere', 'lighter', 'lett', 'vindu', 'synlighet', 'tenneren', 'pyroteknisk_initiator', 'elektrisk_lampe', 'lys', 'luminousness', 'lysstyrke', 'lys_innen', 'kristus_innenfor', 'synlig_stråling', 'lampe', 'vinduet', 'fyrtøy', 'lightere', 'sigarettennere', 'lysstyrken', 'luminans', 'lysrefleksjon', 'blek', 'speilglassrute', 'tenne', 'lysbølger', 'lyse', 'hva_er_lys', 'flamme', 'lysbølge', 'inner_light', 'kobla_vindu', 'løse_ut', 'synlig_lys', 'sigarettenner', 'lyskilde', 'indre_lys', 'light_yagami'}
live	{'slippfest', 'biotisk', 'r.e.m._live', 'bor', 'live!', 'konsertturné', 'pigmy_love_circus', 'eobionti', 'jennifer_lópez', 'tur', 'barclay_james_harvest_live', 'jennifer_lynn_lopez', 'built_to_spill', 'livet', 'oppleve', 'releasekonsert', 'overleve', 'live', 'vitae', 'j-lo', 'levende_musikk', 'konserter', 'konsert', 'sleppfest', 'konserten', 'levende', 'jennifer_lopez', 'live_at_the_marquee', 'leve', 'jennifer_lynn_lópez', 'bo', 'simian_mobile_disco', 'vare', 'tilværelsen', 'lever', 'turné', 'j._lo', 'liv'}
liver	{'biff_leveren', 'gallegang', 'leveren', 'galleganger', 'gallegangene', 'lever', 'hepar'}
long	{'lenge', 'lengte', 'long', 'lang', 'longa', 'william_henry_long', 'bloody_roar'}
louse	{'suger_lus', 'arthropoda', 'bitende_lus', 'leddyr', 'arthropod', 'phthiraptera', 'lus', 'plante_lus', 'skitt_ball', 'fugl_lus', 'pels-_og_fjærlus'}
magic	{'driving_rain', 'kiri_te_kanawa', 'the_runelords', 'enveis_speil', 'magic:_the_gathering', 'magiker', 'to-veis_speil', 'alagaësia', 'legerdemain', 'thaumaturge', 'rituell_magi', 'transe', 'make_a_scene', 'thaumaturgic', 'thaumaturgy', 'animagus', 'conjuring_trick', 'parseltongue', 'trylling', 'magi', 'dame_kiri_janette_te_kanawa', 'magic!', 'axel_rudi_pell', 'illusjonisme', 'secret_time', 'octiron', 'leandro_marín', 'tryllekunster', 'occlumency', 'illusionists', 'transfiguration', 'trylle', 'illusjonister', 'planeswalker', 'dame_kiri_te_kanawa', 'tryllekunst', 'vitenskapelig_illuminisme', 'magiske_triks', 'take_me_home', 'magick', 'te_kanawa', 'undergjøreren', 'gjenstand', 'en_speil', 'magisk', 'magikeren', 'illusjonist', 'magic', 'undergjørende', 'scenemagi', 'octarine', 'arven', 'justin_timberlake', 'pluto', 'tryllekunstner'}
man	{'menneskerasen', 'kjønnsmodning', 'menneskeslekt', 'man', 'individ', 'person', 'metropolitan_area_network', 'manfred_gnadinger', 'hominin', 'isle_of_mann', 'verden_verd_klode', 'verden', 'verden_verd', 'homo', 'menn', 'cornelis_de_man', 'seksuell_modenhet', 'mennesket', 'gentlemans_gentleman', 'homo_sapiens', 'menneskedyr', 'imn', 'bydatanett', 'menneskehet', 'øyen_man', 'servicemann', 'dunlending', 'herrer', 'eksmann', 'man-sidene', 'manchester_lufthavn', 'man_sider', 'betjent', 'menneskene', 'egcc', 'militær_mann', 'human', 'hr.', 'soldat', 'menneskelige_arter', 'valet_de_chambre', 'i_verden', 'mannlig', 'man_se', 'hannkjønn', 'mannsperson', 'menneskevesen', 'isle_of_man', 'relient_k', 'atanatári', 'menneskeslekten', 'man_ag', 'menneskebarn', 'menneskelig', 'manchester_airport', 'homininer', 'menneskeheten', 'meneskekroppen', 'homo_sapiens_sapiens', 'personer', 'the_man', 'menneske', 'menneskelige_rase', 'm.a.n', 'brikke', 'mennesker', 'øya_man', 'dunlendings', 'voksen_mann', 'herre', 'hode', 'mann'}
many	{'many', 'mange'}
marriage	{'ektefelle', 'giftermål', 'ekte', 'gift_par', 'sivil_bryllup', 'forening', 'nihility', 'ekteskapsinngåelsen', 'intet', 'bryllup', 'ekteskap', 'nuptials', 'forpliktelse_seremoni', 'mann_og_kone', 'hymeneals', 'nullity', 'gifte_seg', 'bryllaup', 'spousal_forhold', 'ekteskaps', 'gift', 'ektepar', 'union', 'bryllups', 'giftemål', 'vielsen'}
material	{'materialisme', 'materialistisk_monisme', 'tøy', 'tekstil', 'materiale', 'fysisk_ontologi', 'fysikalisme', 'materialister', 'tøy_stoff', 'stoff', 'materialismen', 'klut', 'tekstilprodukt', 'materialer', 'filosofisk_materialisme', 'materialistiske', 'tekstiler', 'materialistisk', 'ting', 'material'}
mathematical	{'math', 'teoretisk', 'matematisk', 'matematiske', 'matematikk', 'matematisk_matematisk', 'matematikken', 'matematiske_fag'}
meat	{'substans', 'nitty-gritty', 'we_will_rock_you,_the_musical', 'we_will_rock_you', 'shawn_stasiak', 'essensen', 'bearbeidet_kjøtt', 'essenser', 'kjøt', 'hjerte_og_sjel', 'kjøttvare', 'kjøtt_vitenskap', 'kjøtt'}
mechanism	{'maskiner', 'maskin', 'bevegelsen', 'urverk', 'reaksjonsmekanisme', 'kjemisk_mekanisme', 'maskineri', 'mekanismen', 'mekanisme', 'mekanikk', 'driftsmidler'}
medication	{'medisinsk_narkotika', 'version_2.0', 'legemiddelformer', 'medikamenter', 'legemidler', 'preparat', 'farmasøytiske', 'legemiddel', 'farmasøytiske_legemidler', 'rescue', 'medisin', 'medisiner', 'farmasøytisk', 'medikasjon', 'blockbuster_narkotika', 'medikament'}
money	{'history:_past,_present_and_future,_book_i', 'history_–_past,_present_and_future,_book_i', 'penger', 'history:_past,_present_and_future_book_i', 'money', 'økonomisk', 'valuta', 'history_-_past,_present_and_future,_book_i', 'formue', 'greatest_hits_–_history_volume_i', 'penge'}
moon	{'christopher_robin_milne', 'naturlig_satellitt', 'synodisk_måned', 'lunar_måned', 'moon', 'månens', 'måner', 'måneskinn', 'soltegn', 'draconic_måned', 'moon_type', 'naturlige_satellitter', 'solen', 'lunasjon', 'venus', 'kyôko_fukada', 'luna', 'mars', 'sun_myung_moon', 'månen', 'jupiter', 'måne', 'måneskive', 'satellitt', 'jordas_måne', 'naturlige_satellitt', 'lunation', 'lunar_måneden', 'mercury', 'moon_sun-myung', 'naturlig_satelitt'}
mother	{'nonner', 'mamma', 'moder_jord', 'synchronicity', 'mødre', 'a_chorus_line', 'magna_mater', 'earthbound_zero', 'modergudinne', 'nonne', 'den_store_morsgudinnen', 'tikhon_khrennikov', 'biologiske_mor', 'kvinnelig_forelder', 'moderguddom', 'tichon_chrennikov', 'mother', 'sisters_of_avalon', 'mor', 'chorus_line', 'hva_er_mamma', 'tikhon_nikolajevitsj_khrennikov'}
mountain	{'passel', 'mye', 'fjellsoknar', 'fjell', 'ganske_lite', 'slew', 'mickle', 'ryddig_sum', 'fjellsokning', 'muckle', 'god_deal', 'god_del', 'fjellsokner', 'sahtu', 'del', 'fjellrike', 'mountain', '4-8-2', 'fjellformasjon', 'parti', 'mountain_ep'}
mouth	{'munnen', 'munning', 'estuar', 'kvern', 'hjørne', 'perioral', 'elveos', 'sassing', 'toppunkt', 'toppunktet', 'munnhulen', 'ytterpunkt', 'sass', 'tilbake_snakke', 'munnhule', 'gap', 'cavum_oris', 'elvemunning', 'munn', 'oral_fissure', 'kjeft', 'snakke', 'spiseapparatus', 'store_kjønnsleppen', 'backtalk', 'rima_oris'}
movement	{'fugleskitt', 'bæsjer', 'ordure', 'bunke', 'dritt', 'filosofisk_bevegelse', 'lokomotorisk_aktivitet', 'fekalier', 'kunstbevegelse', 'fæces', 'phi_fenomen', 'årsaken', 'bevegelsen', 'faeces', 'bæsje', 'bevegelse', 'defekasjon', 'bærsj', 'skitt', 'ekskrementer', 'defecation', 'sosiale_bevegelser', 'ekskret', 'skit', 'motilitet', 'bomp', 'kollektiv_aksjon', 'kunst_bevegelser', 'masse', 'mengde', 'tilsynelatende_bevegelse', 'ekskreter', 'møkk', 'bajs', 'publikum', 'the_pillows', 'lort', 'bevegelighet', 'sats', 'kunst_bevegelse', 'drite', 'fecal_saken', 'fecal', 'kunstnerisk_bevegelse', 'urverk', 'sosial_bevegelse', 'million', 'rørsle', 'she_wolf', 'movement', 'arsenal', 'avføring', 'bæsj', 'ekskrement', 'sak', 'defecated'}
movie	{'bevegelig_bilde', 'filmen', 'store_skjermen', 'full-motion_video', 'full_motion_video', 'motion-bilde_viser', 'teatralsk_film', 'store_filmselskaper', 'bevegelige_bilder', 'kites', 'film', 'bevegelige_bildet_viser', 'filmer', 'bildet_viser', 'motion_picture'}
music	{'musikk', 'vellyd', 'forhistorisk_musikk', 'country-rock', 'music', 'musikken', 'countryrock', 'country_rock', 'the_music'}
name	{'herrenavn', 'nominell', 'navnene', 'pikenavn', 'nominalfrase', 'figur', 'jentenavn', 'offentlig_person', 'mannsnavn', 'damenavn', 'namn', 'navn', 'personnavn', 'ry', 'skikkelse', 'id', 'nevne', 'kvinnenavn', 'sitere', 'substantivfrase', 'utnevne', 'fornavn', 'velge', 'omtale', 'kaller', 'kalle', 'nominell_setning', 'egennavn', 'identifikator', 'guttenavn', 'navnet', 'gens', 'substantiv_setning', 'nemne', 'identifikatorer', 'datamaskinnavn', 'substantiv_setninger'}
narrow	{'sneversynt', 'smal', 'smale'}
nation	{'nasjonal', 'tyske_delstater', 'nation', 'suveren_stat', 'kendrick_lamar', 'land', 'discworld', 'forbundsland', 'politiske_samfunn', 'nasjoner', 'nasjonen', 'statlige', 'meksikanske_stater', 'deklarative_teori_stat', 'delstat', 'skiveverdenen', 'staten', 'tyske_stater', 'skiveverden', 'deklarative_teorien_statsdannelse', 'carry_amelia_moore_nation', 'nasjon', 'statlig', 'statsmakt', 'politiske_kropp', 'landet', 'student_nasjon', 'meksikanske_delstaten', 'bundesland', 'stat', 'carry_nation', 'rike', 'nasjonalt', 'res_publica', 'delstater_i_tyskland', 'tysklands_delstater', 'suverene_stater'}
near	{'near_shoemaker', 'nær', 'nesten', 'nærme_seg', 'tett'}
neck	{'hals', 'nykk', 'nykkjen', 'nuchal', 'nøkk', 'nykken', 'fossegrimen', 'fossegrim', 'nøkken', 'halsen', 'halsåpningen', 'flaskehals'}
new	{'nylig', 'nyfødt', 'nye', 'ny', 'new'}
news	{'nyhetskriterier', 'nyheten', 'nyhetsprogram', 'nyhet', 'nyhetssending', 'nyhetsverdi', 'nyheter', 'nyheter_show', 'news', 'aktuelle_hendelser', 'tv-nyheter', 'nyhetskanal', 'budskap', 'nyheter_rapport', 'nyhetsjournalistikk', 'ord'}
night	{'midnatt', 'natt', 'nighttime', 'nyx', 'midnight_blue', 'nox', 'natten', 'elie_wiesel', 'mørke', 'skumring', 'night', 'kveld', 'eliezer_wiesel', 'wiesel'}
noise	{'stochasticity', 'cmbr', 'lydbølger', 'mikrobølge_bakgrunnsstrålingen', '1/f_støy', 'elektronisk_støy', 'forstyrrelser', 'akustisk_bølge', 'harde_støy', 'kosmisk_bakgrunnsstråling', 'haphazardness', 'kosmisk_mikrobølgebakgrunnsstråling', 'radiostøy', 'termisk_støy', 'bildestøy', 'akustisk_stråling', 'naoise', 'atmosfærisk_statisk', 'industriell_støy', 'uforutsigelighet', 'naoise_mac_usnech', 'kosmiske_bakgrunnsstrålingen', 'lyd', 'lydforplantning', 'tilfeldig_støy', 'signal_støy', 'kosmiske_mikrobølge_bakgrunnsstrålingen', 'lydbølge', 'lyder', 'elektrisk_støy', 'støy_regulering', 'støy', 'støymusikk', 'cbr', 'noise', 'lyd_forurensning', 'kosmisk_mikrobølge_bakgrunnsstråling', '1/f-støy', 'cmb', 'elementary_os', 'atmospherics', 'støyforurensning'}
nose	{'aromater', 'gore', 'snyteskaft', 'nesen', 'snute', 'nesehulen', 'fragrancy', 'menneskelige_nese', 'aromaer', 'redolence', 'nesebor', 'aroma', 'snabel', 'nesegang', 'bukett', 'dyser', 'dyse', 'magnetisk_dyse', 'nase', 'aromatisk', 'nese', 'olfactory_organ'}
not	{'ikke', 'logiske_porter', 'diskret_logikk', 'logisk_port', 'and', 'logikk_gate', 'logikk_krets', '¬', 'negasjon', 'logisk_negasjon'}
obligation	{'obligasjonsrett', 'gjeldsinstrument', 'forpliktelser', 'ansvar', 'sertifikat_av_gjeld', 'avtalerett', 'formfrihet', 'løftet', 'gjeldsbrev', 'forpliktelse', 'løfte', 'plikter', 'obligasjonslån', 'ord', 'plikt'}
old	{'gammel', 'gamle', 'gamle_vine'}
one	{'vertical_man', 'armin_van_buuren', 'daniel_rosenfeld', 'the_one', 'one', 'c418', 'ett', 'èn', 'enhet', 'ess', 'achiever', 'planetshakers', 'enneagrammet', 'tupler', 'succeeder', 'enneagram', 'sextuple', 'vampire_weekend', 'national_express_east_anglia', 'n-tuppel', 'en', 'et', 'supposed_former_infatuation_junkie', 'én', '1', 'tuppel', 'multiplikativ_identitet'}
other	{'den_andre', 'ulik', 'forskjellig', 'andre', 'annerledes'}
pain	{'forever', 'vondt_i_ræva', 'fysisk_smerte', 'smerte_sensasjon', 'akutt_smerte', "game's_pain", 'plage', 'smertefull_følelse', 'smerte', 'pain', 'bedrøvelse', 'king_of_da_ghetto', 'irritasjon', 'kval', 'sårer'}
personality	{'personlighet', 'personality', 'personlighetstrekk'}
philosophy	{'skole', 'anvendt_filosofi', 'filosofien', 'filosof', 'politisk_doktrine', 'filosofiske_fag', 'filosofiske', 'filosofer', 'filosofi', 'skole_med_tanke', 'filosofisk_system', 'doktrinære', 'tenker', 'tenkjar', 'doktriner', 'isme', 'skolen_av_tanke', 'philosphy', 'doktrine', 'filosofisk'}
picture	{'occlumency', 'illustrasjon', 'bilde', 'filmen', 'bildestoff', 'pictorial_saken', 'håndtegning', 'word-maleri', 'se', 'avbildning', 'parseltongue', 'frihåndstegning', 'fotografiet', 'billede', 'malerkunsten', 'illustrert', 'motion_picture', 'foto', 'bildet', 'kontobilde', 'malerkunst', 'kunstmaling', 'illustrasjoner', 'motion-bilde_viser', 'bilder', 'illustrerte_bøker', 'store_filmselskaper', 'mentalt_bilde', 'malekunsten', 'ord-maleri', 'tegne', 'klassisk_maleri', 'ord_bilde', 'scene', 'store_skjermen', 'maleri', 'malerier', 'kunstmaler', 'fotografier', 'sakillustrasjon', 'teatralsk_film', 'fotografi', 'mentale_bilder', 'forestille_seg', 'kiss', 'bevegelige_bildet_viser', 'filmer', 'film', 'bildet_viser', 'tegnekunst', 'bevegelig_bilde', 'transfiguration', 'fotografere', 'cobol', 'malekunst', 'handtegning', 'tegning', 'ord_maleri', 'animagus', 'malere', 'bevegelige_bilder', 'avatar'}
pig	{'sus', 'rørledningsinspeksjon_gauge', 'conjoiners', 'humber_fv1611', 'grisene', 'conjoiner', 'purk', 'feral_hog', 'svinekjøtt', 'få_grisungar', 'piglet', 'trøffelsvin', 'purke_sugge_hunngris_hunnsvin', 'norsk_slaktegris', 'svinenakke', 'ordenshåndhever', 'sus_scrofa', 'griser', 'piggy', 'cop', 'gris', 'porc', 'politibetjent', 'svin', 'sus_scrofa_domestica', 'purke_sugge', 'pattegris', 'humber_one-ton', 'scrofa', 'få_grisunger', 'pigging', 'purka', 'funksjonær', 'trøffelgris', 'svineslekten', 'innenlandske_gris', 'slask', 'pudge', 'norsk_slaktegis', 'sus_scrofa_domesticus', 'grisekjøtt', 'villsvin', 'gris_seng', 'svin_og_griser', 'humber_fv_1611', 'betjent', 'tjenestemann', 'vill_gris', 'politimann', 'slaktegris', 'sloven', 'grisunge', 'purke_sugge_hunngris', 'purke', 'shote', 'grise', 'sus_domesticus', 'tamgris', 'suini', 'slovenly_person', 'griseslekten', 'tamsvin', 'hog', 'grisen', 'panser', 'shoat'}
plan	{'plan_international', 'folkets_frigjøringshærs_marine', 'programledelse', 'arkitektonisk_plan', 'plan', 'planlegge', 'den_kinesiske_marine', 'planen', 'tegninger', 'program_manager', 'arkitektoniske_plan', 'planere', 'designe', 'formgi', 'program', 'arkitektonisk_planlegging', 'folkets_frigjøringshærs_flåte', 'planer'}
plant	{'planteart', 'mølle', 'anlegg', 'manufactory', 'plantene', 'plantearter', 'planteriket', 'satt_opp', 'factorij', 'fabrikkarbeider', 'plantae_–_planterike', 'produksjonsanlegg', 'fabrikker', 'planteliv', 'planter', 'flora', 'samlebåndet', 'fysiske_anlegget', 'plantae', 'industrianlegg', 'vegetabilia', 'etablere', 'fabrikant', 'faktori', 'industribygg', 'produksjons-linje', 'faktorie', 'shill', 'verksmester', 'floraer', 'planteslag', 'fabrikken', 'floristikk', 'produksjon-line', 'skapning_type', 'trigun', 'fungerer', 'samlebånd', 'produksjonslinje', 'plante', 'samlebåndsproduksjon', 'feitoria', 'fabrikk', 'plantevekst'}
play	{'spille_periode', 'dramatikk', 'tur', 'gaming', 'lek', 'vedde', 'bringe', 'dramatiske_lek', 'manøver', 'play', 'drama_dramatikk', 'stageplay', 'gambling', 'spilletid', 'gambol', 'shimmer', 'satse', 'rett_lek', 'kjøre', 'android_market', 'googleplay', 'dramaer', 'teatralsk_skuespill', 'leke', 'spille', 'dødgang', 'periode_av_lek', 'androidmarket', 'lekende', 'satser', 'spill', 'tilbakeslag', 'sverdkamper', 'stykket', 'kjørt', 'drama', 'scenekunst', 'frie_tøyler', 'gamblere', 'google_play', 'skuespill', 'boltre'}
