ability	{'alkalmasság', 'képesség'}
law	{'rendőrség', 'egyházi_törvény', 'a_fizika_törvényei', 'jogbölcselet', 'earthling', 'joghallgató', 'egyházjog', 'jogi_tanulmányok', 'törvény', 'police_department', 'jogalkotás', 'm72_law', 'fizikai_törvények', 'jogszabályok', 'rendőri_szervek', 'jogi', 'becikkelyezett_törvény', 'rendőr', 'rendőri_erők', 'kanonikus_jog', 'természet_törvénye', 'rendőrök', 'jogi_csata', 'természeti_törvény', 'jogosulatlan_joggyakorlat', 'természeti_törvények', 'törvényhozás', 'törvényekre', 'jogi_szolgáltatások', 'jog', 'jogtudomány', 'jogfilozófia', 'jogi_elmélet', 'jogi_filozófus', 'kánon', 'kánon_ügyvéd', 'jogi_filozófia', 'egyházi_jog', 'rendőri_védelem', 'kánonjog', 'fizikai_törvény', 'természetjog', 'fegyveres_rendőri', 'biztonsági_erők', 'joggyakorlat'}
leaf	{'fólió', 'levél', 'erdő', 'gyökeres_fa', 'nissan_leaf', 'fa', 'crenate', 'középső_erezet', 'levelek', 'levél_hónalj', 'falevél', 'levél_hüvely', 'lap', 'lombkorona', 'folio', 'hónalj', 'vendéglap', 'recto', 'axils', 'recto_és_verso', 'bazális_levél', 'összetett_levelek', 'serdülő', 'fagráf', 'lomb', 'paullinia_pterophylla', 'abaxiális', 'betét', 'lombozat', 'verso', 'adaxial', 'levélmódosulás'}
left	{'viszonylagos_irány', 'kollektivista', 'baloldali_politikus', 'politikai_baloldal', 'bal_oldali', 'venstre,_danmarks_liberale_parti', 'baloldali_politika', 'venstre', 'bal', 'baloldaliság', 'bal_kezét', 'baloldaliak', 'baloldali', 'balra', 'szélsőbaloldal', 'esquerra_republicana_de_catalunya', 'baloldal', 'liberális_párt'}
leg	{'befogó', 'pegleg', 'gólyaláb', 'lábát', 'elágazás', 'láb', 'alsó_végtag', 'két_lábon_járó', 'crus', 'faláb', 'alsó_lábszár', 'emberi_láb', 'lábak'}
level	{'szint', 'szintez', 'levél', 'lerombol', 'emeletes', 'evolúciós_minőségű', 'tapasztalati_pontokat', 'level', 'szintező', 'emelet', 'zenei_fok', 'fokozat', 'lapos', 'adema', 'libella', 'szintű', 'kiegyenlít', 'vízszintes_felület', 'egyenletes', 'szinten', 'rámutat', 'mérték', 'skálával', 'emeleten', 'vízmérték', 'egyenget'}
liar	{'lant', 'hazug', 'republic', 'so_far,_so_good..._so_what!', 'lüra', 'lyres', 'glory', 'líra', 'louder_now', 'liar', 'a_hazug', 'so_far,_so_good…_so_what!'}
lie	{'hazugság', 'lie', 'fekszik', 'hamisság', 'trygve_lie_halvden', 'malpresentation', 'valótlanság', 'the_lie', 'absolute_first_album', 'lefektet', 'trygve_lie', 'awake'}
light	{'light_yagami', 'öngyújtó', 'kivesz', 'gyújt', 'látható_sugárzás', 'light', 'ablak', 'könnyű', 'villamos_lámpa', 'jagami_light', 'gyújtó', 'licht', 'fényhullámok', 'fényforrás', 'belső_fény', 'meggyújt', 'tűz', 'fény', 'könnyű_belül', 'halvány', 'gyújtóval', 'fényerejét', 'felgyújt', 'yagami_light', 'luminousness', 'fény_hullám', 'fényében', 'fényesség', 'krisztus_belül', 'fényerő', 'látható_fény', 'fényvisszaverődés', 'világos', 'halovány', 'fakó', 'fénysűrűség', 'öngyújtók', 'lámpa'}
live	{'koncert_turné', 'live', 'simian_mobile_disco', 'live!', 'élő', 'túlélni', 'életben', 'jennifer_lynn_lopez', 'hangverseny', 'élni', 'megtapasztalják', "live:_2_cd_collector's_edition", 'r.e.m._live', 'túra', 'monty_python_live', 'live_at_the_marquee', 'fennmarad', 'built_to_spill', 'lakik', 'jennifer_lopez', 'livid', 'életkritériumok', 'zombie_live', 'tovább_él', 'turné', 'pigmy_love_circus', 'koncertek', 'él', 'élet', 'megmarad', 'koncert', 'j.lo', 'élő_koncert'}
liver	{'marha_máj', 'hepar', 'máj'}
long	{'long', 'hosszú', 'bloody_roar', 'sóvárog', 'long,_somme', 'longa', 'vágyódik', 'william_henry_long'}
louse	{'ízeltlábú', 'szívó_tetű', 'ízeltlábúak', 'tetvek', 'csípő_tetű', 'arthropoda', 'levéltetű', 'szennyeződés_labda', 'bird_tetű', 'tetű', 'phthiraptera'}
magic	{'varázsló', 'az_örökség', 'csodatevő', 'octiron', 'matra_magic', 'varázslat', 'wonderworking', 'axel_rudi_pell', 'örökség-ciklus', 'justin_randall_timberlake', 'magic:_the_gathering', 'magic–2', 'r550_magic–2', 'illuzionisták', 'dame_kiri_te_kanawa_janette', 'dame_kiri_te_kanawa', 'feketemágia', 'varázslattípusok_a_harry_potter_regénysorozatban', 'harry_potter-varázslatok_listája', 'okklumencia', 'justin_timberlake', 'driving_rain', 'bűvész', 'transz', 'egyirányú_tükör', 'r550_magic', 'kiri_te_kanawa', 'alagaësia', 'színpadi_bűvész', 'színpadi_varázslat', 'ereklyét', 'varázslat-típusok', 'átváltoztatástan', 'mágia', 'magic', 'te_kanawa', 'bűvészet', 'időcsavar', 'varázsigék_a_harry_potter_sorozatban', 'planeswalker', 'mágia_a_harry_potter-univerzumban', 'pluto', 'pl–7', 'thaumaturgic', 'a_harry_potter-sorozatban_szereplő_varázsigék_listája', 'animágus', 'korongvilág', 'secret_time', 'oktarin', 'magic_2', 'take_me_home', 'varázsigék', 'bűvésztrükk', 'magic!', 'varázslattípusok_a_harry_potter_sorozatban', 'harry_potter-varázsigék', 'párszaszóul', 'make_a_scene', 'thaumaturgus', 'mágikus_trükk', 'taumaturgia', 'kétirányú_tükör'}
man	{'ffi', 'ember', 'emberi', 'manfred_gnadinger', 'man', 'atanatári', 'felnőtt_férfi', 'homo_sapiens', 'man-sziget', 'a_világon', 'ivarérett', 'komornyikja', 'világ', 'cornelis_de_man', 'homo_sapiens_sapiens', 'relient_k', 'nagyvárosi_hálózat', 'inas', 'ki_a_faszagyerek?', 'emberiség', 'homo', 'férfi', 'emberek', 'hím', 'férfiak', 'man_oldalt', 'városi_hálózatok', 'man,_elefántcsontpart', 'man_ag', 'manusz', 'katona', 'városi_hálózat', 'mann', 'emberi_lény', 'man_sziget', 'wen', 'man,_ivory_coast', 'man_oldalak', 'isle_of_man', 'úriember_úriember', 'man_se', 'dunlending', 'emberi_lények', 'wan', 'dunlendings', 'szexuális_érés', 'emberi_faj'}
many	{'mány', 'many', 'many,_moselle', 'sok'}
marriage	{'férj_és_feleség', 'semmisség', 'feleségül', 'házasságkötés', 'die_ehe', 'kötelezettségvállalás_ceremónia', 'lakodalom', 'katolikus_házasság', 'nemlétezés', 'házaspárok', 'házastársi_kapcsolat', 'poligámia', 'polgári_esküvő', 'nász', 'házassági', 'polgári_házasság_magyarországon', 'nihility', 'házaspár', 'hymeneals', 'esküvő', 'házas', 'házasság', 'esküvők', 'házasélet', 'házasságok', 'házastárs', 'unió'}
material	{'anyagászat', 'anyagszerű_megjelenés', 'dolog', 'material_design', 'szövetanyag', 'cucc', 'materialista', 'materializmus', 'anyagelvűség', 'sávolykötés', 'fizikai_ontológia', 'anyagok', 'fizikalizmus', 'atlaszkötés', 'kelme', 'vászonkötés', 'textil', 'dialektikus_materializmus', 'szaténkötés', 'ruha', 'anyag', 'materialisták', 'szövet'}
mathematical	{'matek', 'matematika', 'matematikai', 'matematikailag', 'mennyiségtan'}
meat	{'we_will_rock_you_musical', 'tetves-kavicsos', 'shawn_stasiak', 'lényeg', 'szív_és_lélek', 'kivonat', 'hús', 'feldolgozott_hús', 'eszencia', 'húsok', 'hús_tudomány', 'we_will_rock_you'}
mechanism	{'gép', 'reakciómechanizmus', 'eszköz', 'gépek', 'mechanizmus', 'munkaeszközök', 'kémiai_mechanizmus', 'gépezet', 'reakció_mechanizmus'}
medication	{'orvosság', 'gyógyszerek', 'rescue', 'version_2.0', 'gyógyászati', 'kasszasiker_gyógyszer', 'gyógyszer', 'gyógyszerként', 'gyógyszerészeti'}
money	{'fizetőeszköz', 'money', 'history:_past,_present_and_future', 'history', 'monetáris', 'pénzt', 'the_sound_of_girls_aloud:_the_greatest_hits', 'készpénz', 'pénz'}
moon	{'hold_típus', 'hamuszürke_fény', 'félhold', 'szinodikus_hónap', 'sun_myung_moon', 'természetes_műholdak', 'alexander_moon', 'hold', 'jupiter', '문', 'moon', 'műhold', 'holdkeringés', 'természetes_műhold', 'merkúr', 'nap', 'holdhónap', 'holdfázis', 'telihold', 'drákói_hónap', 'holdfényben', 'holdak', 'kyoko_fukada', 'mars', 'holdvilág', 'telehold', 'hold_hónap', 'vénusz', 'holdfény'}
mother	{'apácák', 'sisters_of_avalon', 'földanya', 'a_chorus_line', 'anya', 'chorus_line', 'apáca', 'nővér', 'föld_anya', 'mother', 'anyák', 'synchronicity', 'tihon_hrennyikov', 'anya_és_a_szerelem', 'nőivarú_szülő', 'anyám!', 'anyja', 'anya_istennő', 'ősanya'}
mountain	{'muckle', 'hegyvidéki', 'nyáj', 'takaros_összeget', 'hegység', "david_o'reilly", 'mountain', 'passel', 'jó_üzlet', 'nagy', 'elég_egy_kis', 'csomó', 'hegyek', 'hegycsúcs', '4-8-2', 'hegy', 'csavarodás', 'sokra_megy', 'sahtu', 'adag'}
mouth	{'csúcspont', 'beszélni', 'vissza_beszélni', 'csúcs', 'labium', 'sass', 'sassing', 'backtalk', 'tölcsértorkolat', 'szóbeli_repedés', 'rima_oris', 'száj', 'os', 'folyótorkolat', 'szájüreg', 'torkolat', 'szájkörüli', 'cavum_oris'}
movement	{'fekália', 'tétel', 'állatok_mozgása', 'látszólagos_mozgás', 'defecated', 'trágya', 'motilis', 'the_pillows', 'faeces', 'phi-jelenség', 'művészeti_mozgalmak', 'csoportos_kereset', 'excrementum', 'fekáliák', 'mozgékonyság', 'phi_jelenség', 'társadalmi_mozgalom', 'állatok_mozgásban', 'székletürítés', 'mozgalom', 'művészeti_mozgalom', 'lokomotoros_aktivitás', 'széklet', 'mozgás', 'székelés', 'szórakozol', 'defecating', 'szar', 'tömeg', 'movement', 'üríteni', 'állati_mozgás', 'kakilás', 'filozófiai_mozgalom', 'fécesz', 'art_mozgalom', 'motilitás', 'oka', 'madárürülék', 'she_wolf', 'társadalmi_mozgalmak', 'ürülék'}
movie	{'a', 'mozgó-kép_megjelenítése', 'teljes_képernyős_videó', 'mozgás-kép_megjelenítése', 'mozgóképek', 'nagy_képernyőn', 'színházi_film', 'filmezés', 'mozgás-kép', 'filmművészet', 'mozifilm', 'kites', 'motion_picture', 'picture_show', 'filmek', 'jelentős_mozgókép', 'mozgókép', 'film', 'filmműfajok'}
music	{'country-rock', 'the_music', 'country_rock', 'ország_rock', 'music', 'muzsika', 'ország-rock', 'zengzetesség', 'zenék', 'zene', 'őskori_zene'}
name	{'alak', 'fôneves_kifejezés', 'idézni', 'említ', 'névleges', 'gens', 'tulajdonnevek', 'számítógépnév', 'névszó', 'megemlít', 'megfelelő_nevet', 'elnevezés', 'név', 'azonosítókat', 'id', 'tulajdonnév', 'azonosító', 'nominális_mondat', 'hírnév', 'közéleti_személyiség'}
narrow	{'keskeny', 'soap&skin'}
nation	{'szuverén_állam', 'kendrick_lamar', 'mexikó_szövetségi_államai', 'res_publica', 'mexikói_állam', 'politikai_test', 'carry_amelia_moore_nation', 'nemzetek', 'németország_tartományai', 'deklaratív_elmélet_államiság', 'korongvilág', 'carry_nation', 'országok', 'német_szövetségi_államok', 'kormányzati', 'állam', 'mexikó_államai', 'nemzet', 'szuverén_államok', 'politikai_társadalom', 'gare_de_nation', 'mexikó_tagállamai', 'országban', 'ország', 'nation', 'tartomány', 'hazai'}
near	{'nate_river', 'közel', 'szinte', 'near_shoemaker', 'near_earth_asteroid_rendezvous', 'near', 'majdnem'}
neck	{'nyaki', 'nyak_megnyitása', 'nyak', 'cervix'}
new	{'new', 'újonnan', 'új'}
news	{'hír', 'újság', 'hírműsor', 'aktuális_események', 'híradás', 'szó', 'híreket', 'newsworthiness', 'hírek', 'news', 'hírek_mindet'}
night	{'sötétség', 'éj', 'eliezer_wiesel', 'wiesel', 'este', 'éjfél', 'elie_wiesel', 'nyx', 'night', 'éjszaka', 'nox', 'nüx'}
noise	{'hanghullámok', 'zörej', 'jel_zaj', 'interferencia', 'fehérzaj', 'durva_zaj', 'légköri_statikus', 'zaj_zene', 'cmbr', 'mikrohullámú_kozmikus_háttérsugárzás', 'rádiózaj', 'haphazardness', 'noise', 'zajzene', 'stochasticity', 'hang_szennyezés', 'elementary_os', 'kozmikus_mikrohullámú_háttérsugárzás', 'mikrohullámú_háttérsugárzás', 'zaj', 'akusztikai_hullám', 'véletlenszerű_zaj', 'hanghullám', 'kozmikus_háttérsugárzás', 'cbr', 'légköri_zavarok', 'hangszennyezés', 'elektronikus_zaj', 'akusztikus_hullám', 'hang', 'zajterhelés', 'cmb', 'zajszennyezés', 'hangterjedés', 'hangok', 'ipari_zaj'}
nose	{'hossz', 'aromák', 'mágneses_fúvóka', 'orr', 'buké', 'csokor', 'nasus', 'aroma', 'emberi_orr', 'orrhossz', 'aromás', 'orrát', 'szagló_szerv', 'fúvókák', 'fúvóka', 'parfüm', 'édes_illat', 'gore'}
not	{'logikai_kapuk', 'and', 'xnor', 'nor', 'negáció', 'diszkrét_logikai', 'nand', 'logikai_kapu', 'logikai_áramkör', 'tagadás', 'nem', 'not', 'logikai_tagadás'}
obligation	{'bizonyítvány_eladósodás', 'kötvények', 'hitelviszonyt_megtestesítő_értékpapír', 'kötelmi_jog', 'felelősség', 'lekötelezettség', 'ígéret', 'kötelezettség', 'igéret', 'kötelezettségek'}
old	{'éves', 'hajdani', 'too-rye-ay', 'egykori', 'old', 'régi', 'előbbi', 'régi_szőlő', 'korábbi', 'előző'}
one	{'n-est', 'rendezett_n-es', 'enneagramma', 'tuple', '1', 'tanul', 'multiplikatív_identitás', 'hármas', 'hatszoros', 'vampire_weekend', 'az_egyetlen', 'ász', 'succeeder', 'rendezett_szám_n-es', 'the_beatles_1', 'one', 'armin_van_buuren', 'gps', 'egy', 'planetshakers', 'vertical_man', 'the_one', 'supposed_former_infatuation_junkie', 'egység'}
other	{'más'}
pain	{'bosszúság', 'pain', 'fájdalom', "game's_pain", 'a_fájdalom', 'fáj', 'akut_fájdalom', 'fájdalmas_érzés', 'seggfej', 'kín', 'fájdalomérzet', 'king_of_da_ghetto', 'forever'}
personality	{'személyiség', 'personality', 'egyéniség'}
philosophy	{'iskola', 'doktrína', 'filozófiai', 'elmélet', 'politikai_doktrína', 'irányzat', 'doktrinális', 'alkalmazott_filozófia', 'filozófiai_rendszer', 'filozófia'}
picture	{'festőművész', 'fiókkép', 'festmény', 'kép', 'fényképet', 'mozgó-kép_megjelenítése', 'festőművészet', 'fényképfelvétel', 'mentális_képek', 'színházi_film', 'mozgás-kép', 'illusztrált', 'mozifilm', 'fényképek', 'avatar', 'motion_picture', 'mentális_képet', 'illusztrációk', 'varázslattípusok_a_harry_potter_regénysorozatban', 'harry_potter-varázslatok_listája', 'okklumencia', 'szó-festés', 'klasszikus_festészet', 'képi_anyag', 'rajz', 'festői_leírás', 'festés', 'film', 'filmműfajok', 'illusztráció', 'a', 'lemezkép', 'varázslat-típusok', 'átváltoztatástan', 'illusztrált_könyvek', 'festők', 'mozgás-kép_megjelenítése', 'fotó', 'mozgóképek', 'nagy_képernyőn', 'varázsigék_a_harry_potter_sorozatban', 'szó_kép', 'mágia_a_harry_potter-univerzumban', 'a_harry_potter-sorozatban_szereplő_varázsigék_listája', 'felvétel', 'animágus', 'filmezés', 'filmművészet', 'festészet', 'kiss', 'képi', 'képek', 'picture_show', 'filmek', 'jelentős_mozgókép', 'varázsigék', 'festmények', 'képet', 'mozgókép', 'cobol_programozási_nyelv', 'mentális_kép', 'harry_potter-varázsigék', 'varázslattípusok_a_harry_potter_sorozatban', 'párszaszóul', 'cobol', 'fénykép', 'fotográfia', 'jelenetet', 'festő'}
pig	{'malac', 'hájpacni', 'disznó', 'sár', 'csőgörény', 'sus_scrofa_domestica', 'disznóhús', 'lompos_ember', 'porc', 'shoat', 'conjoiners', 'házidisznó', 'vaddisznó', 'rendőr', 'zsaru', 'raymond_watts', 'szlovén', 'desznó', 'zabál', 'házisertés', 'hazai_sertés', 'vad_disznó', 'kis_kövér_ember', 'shote', 'sertés', 'dagi', 'koca', 'vadon_élő_sertés', 'sus', 'csővezeték_ellenőrző_szelvény', 'kismalac', 'humber_pig', 'kövér_ember', 'sus_scrofa', 'conjoiner', 'scrofa', 'sertés_ágy', 'fal'}
plan	{'design', 'építészeti_tervezés', 'rajzok', 'kína_hadiflottája', 'építészeti_terv', 'plan,_isère', 'program_vezetője', 'terv', 'tervek', 'kínai_hadiflotta', 'plan,_huesca', 'építészeti_tervdokumentáció', 'program', 'plan', 'tervezi', 'kína_haditengerészete', 'kínai_haditengerészet', 'tervezni'}
plant	{'növényvilág', 'manufaktúra', 'floras', 'fizikai_üzem', 'növény', 'factorij', 'flóra', 'telepít', 'ipari_üzem', 'plantae', 'trigun', 'növények', 'növényfaj', 'gyári_munkás', 'növényélet', 'szerelőszalag', 'gyár', 'shill', 'növényi_élet', 'lény_típus', 'feitoria', 'gyártó_üzemet', 'gyárak', 'növényi', 'munkálatok', 'üzem', 'gépsor', 'termelési-line', 'futószalagon', 'összeszerelő_sorok'}
play	{'játszik_időszak', 'stageplay', 'drámai_művészet', 'drámai_játék', 'google_play', 'játék', 'lejátszás', 'hazárdőr', 'fut', 'swordplay', 'google_play_store', 'játszanak', 'csillámlik', 'manőver', 'drámák', 'play_store', 'színházi_játék', 'fogadási', 'színdarab', 'filmdráma', 'szerencsejátékosok', 'play', 'darab', 'színpadon_játszik', 'játszik', 'holtjáték', 'időszakra_játék', 'játszani', 'játékosok', 'szerencsejáték', 'vidámság', 'ugrándozás', 'play_–_gyerekjáték?', 'szabad_kezet', 'dráma', 'egy', 'egyenes_játék', 'google_store', 'hadművelet', 'android_market'}
pleasure	{'öröm', 'fredrik_ball', 'kellemes', 'boldogság', 'pleasure_p', 'semisonic', 'sondre_lerche'}
poor	{'alacsony_jövedelmű', 'szegények', 'szegénységi_ráta', 'relatív_szegénység', 'önkéntes_szegénység', 'nyomorúság', 'szegény', 'nincstelenség', 'fogadalmat_a_szegénység', 'anyagi_szegénység', 'városi_szegénység', 'rászoruló', 'elszegényedett', 'globális_szegénység', 'henry_varnum_poor', 'elszegényedés', 'zavallılar', 'szegénység'}
prison	{'börtönökben', 'minimális_biztonsági', 'közepes_biztonsági', 'börtön', 'fegyház', 'szegényes', 'megyei_börtönben', 'nyomorúságos', 'bezár', 'tom_robinson'}
professional	{'szakember', 'szakértő', 'professzionális_sport', 'szakmai', 'professzionális_megjelenésű', 'szaki', 'profi_sportolók', 'szakmaiság', 'professzionális', 'szakértők', 'profi_sportoló', 'profi', 'szakemberek'}
protection	{'védelmet', 'biztonság', 'védőburkolattal', 'égisze_alatt', 'kereskedelmi_védelmi', 'biztonsági', 'védelem', 'biztonságot', 'protection'}
pull	{'batsmen', 'visszirányú_sweep', 'húzza', 'vonz', 'lábát_pillantást', 'pull', 'batting', 'elkövet', 'vontatás'}
push	{'get-up-and-go', 'push', 'tol', 'gomb', 'gombot', 'népszerűsít', 'halom', 'lökést', 'precious', 'verem', 'black_and_white_america', 'das_leben_ist_kostbar', 'lök', 'precious_–_a_boldogság_ára', 'toló', 'stack', 'álljon', 'megtol', 'nyomógomb', 'confessions_on_a_dance_floor', 'az_energia'}
quality	{'hangszínek', 'hangzásbéli', 'csengés', 'tulajdonság', 'karakter', 'hangszín', 'minőség', 'hang_színe', 'sajátság', 'quality', 'a_csere'}
rain	{'john_colton', 'heavy_rain', 'rain', 'rains', 'csi:_new_york-i_helyszínelők', 'csapadék', 'zuhogó', 'búzamező_esőben', 'in_blue', 'felhőszakadás', 'esővíz', 'eső_vihar', 'eső'}
reaction	{'választ', 'reaktáns', 'reaction', 'kémiailag', 'kémiai_reakció', 'kémiai_reakciók', 'kémiai_változások', 'reakció'}
read	{'read', 'catherine_read', 'olvas', 'elolvas', 'olvasás', 'hogy', 'tanulni'}
red	{'red_river', 'day_&_age', 'after_school', 'anil_kapoor', 'bolshy', 'piros_tintával', 'piros', 'smallville', 'bolsevik_párt', 'karmazsin', 'karmazsinvörös', 'vörös', 'red', 'veszteség', 'bolsevikok', 'bolsevizmus', 'angry_birds', 'bolsevik'}
relationship	{'származású_csoport', 'interperszonális', 'ismerős', 'rokonság', 'családi_kapcsolat', 'interperszonális_kapcsolatok', 'az_emberi_kapcsolatok', 'kapcsolat', 'szülők', 'viszony', 'rokon', 'hosszú_távú_kapcsolat', 'ismeretségi', 'ismerőse', 'rokonság_és_süllyedés', 'interperszonális_kapcsolat', 'emberi_interakció', 'emberi_kapcsolat'}
religious	{'vallási', 'ájtatos', 'pap', 'klerikus', 'vallásos', 'istenfélő', 'lelkész', 'szerzetes', 'egyházi_személy'}
residence	{'kastély', 'kúria', 'hely', 'magánlakás', 'lakhely', 'lakos', 'lakások', 'lakás', 'lakó', 'lak', 'lakóhely', 'udvarház', 'lakóház', 'tartózkodási_hely', 'tartózkodás', 'ház', 'otthon'}
right	{'törvényes_jog', 'moral_philosophy', 'természetes_jogok', 'jobb', 'etikai_rendszer', 'rightism', 'törvényes_jogait', 'jobboldali_politika', 'helyes', 'most', 'helyes_és_helytelen', 'jogok', 'hibátlan', 'young_americans', 'erkölcsi_filozófus', 'jobb_kéz', 'jobbra', 'etika', 'erkölcsfilozófia', 'etikai_normák', 'jobbkezes', 'konzervatív_párt', 'jobboldali', 'természetes_és_jogi_jogokat', 'elidegeníthetetlen_jogok', 'jog', 'jogosságát', 'természetes_jog', 'jobboldal', 'handedness', 'jobb_oldal', 'elidegeníthetetlen_joga', 'etikai', 'etikai_kérdések', 'viszonylagos_irány', 'megfelelően', 'etikátlan', 'right_wing', 'etikai_kérdésekben', 'elidegeníthetetlen', 'erkölcsi_filozófia', 'etikai_elmélet', 'jobb_oldali', 'jó_és_rossz', 'erkölcstan', 'balkezes'}
river	{'patakok', 'időszakos_patak', 'sestao_river_club', 'ruisseau', 'patak', 'vízfolyás', 'ellsworth-tó', 'folyami', 'sestao_rc', 'river', 'folyó', 'folyók', 'watermark', 'folyam'}
road	{'főút', 'the_road', 'az_út', 'műút', 'road_játék', 'út', 'new', 'gátak', 'közúti', 'idegenben_játék'}
root	{'nulla', 'szótő', 'hangköz', 'erdő', 'gyökvonás', 'ős', 'szőr', '0', 'haj', 'eredetű', 'gyökeres_fa', 'fa', 'gyök', 'ered', 'interval', 'zéró', 'android_rootolás', 'superuser', 'gyökér_szó', 'alaphangot', 'hangközök', 'gyökeresedési', 'ősi', 'foggyökér', 'szőrszálakat', 'root_felhasználó', 'köbgyök', 'növekvő', 'szó_szár', 'szár', 'haja', 'őse', 'törtkitevős_hatványozás', 'konohagakure', 'ok', 'intervallum', 'forrás', 'járulékos_gyökerek', 'gyökér_szintű_felhasználó', 'gyökér', 'gyökér_helyzetben', 'zenei_intervallum', 'előzménye', 'root', 'kezdet', 'emberi_haj', 'fagráf', 'tonális_központ', 'fej_haj', 'ősei', 'szőrös', 'tonika', 'ősök', 'tónusos'}
rope	{'roofy', 'r-2', 'kötelek', 'kötél', 'a_kötél', 'ropemaker', 'rope', 'nefelejcs_kábítószer', 'mexikói_valium', 'rophy'}
rotten	set()
round	{'töltény', 'töltényhüvely', 'ökölvívás', 'boksz', 'ökölvivás', 'bokszolás', 'száraz', 'test', 'egy_lövés', 'legjelentősebb_számjegy', 'napi_forduló', 'round', 'amatőr_ökölvívás', 'box', 'mineralitás', 'patron', 'kör_italt', 'legkisebb_helyiértékű', 'díjat_harcos', 'helyiértékű', 'gyümölcs-és', 'számtani_pontosságot', 'stypsis', 'jelentős_alakja', 'ökölvívó', 'kör_golf', 'egység_lőszer', 'pontosság', 'bokszol', 'bareknuckle', 'prizefighting', 'kerekít', 'kerek', 'gyümölcs', 'számjeggyel'}
rub	{'orosz_rubel', 'dörzsöl', 'rub', 'törlés'}
sad	{'szomorú', 'szomorúság', 'østerlars', 'bánat', 'sadhe', 'lost_dogs', 'osterlars', 'szezonális_affektív_zavar'}
salt	{'sós', 'sók', 'saltcellar', 'sóz', 'só', 'salt', 'kálium-só', 'klórnátron', 'konyhasó', 'közúti_só', 'asztali_só', 'cheryl_james', 'ionos_káliumsójának', 'ionos_só', 'natrium_muriaticum', 'nátrium-klorid', 'só_termelés', 'nacl', 'salt,_girona', 'sót', 'nátrium-klorid-', 'sótartó', 'stratégiai_arms_korlátozása_talks', 'nátrium_klorid', 'salt_ügynök', 'henry_salt', 'salt-n-pepa', 'közönséges_só'}
sand	{'sand', 'amandine_aurore_lucie_dupin', 'homok', 'baroness_dudevant', 'amandine_aurore_lucile_dupin', 'sand_am_main', 'belek', 'schönenberg-kübelberg', 'george_sand', 'amandine_aurore_lucile_dupin,_baronne_dudevant', 'moxie'}
say	{'osakis', 'tegyük_fel', 'kiejt', 'kimond', 'thomas_say', 'in_blue', 'jean-baptiste_say', 'say', 'mond', 'mondjuk'}
science	{'mainstream_tudomány', 'tudományág', 'tudományos_kutatás', 'tudományos_megismerés', 'készség', 'science', 'empirikus_tudomány', 'tudományok', 'tudományos_közösség', 'tudományos', 'általános_tudomány', 'discovery_science', 'tudományos_tevékenység', 'tudomány'}
scratch	{'gelt', 'scratch_vonal', 'hátrány', 'pustules', 'firkálás', 'cacography', 'mullah', 'dohány', 'bőrelváltozás', 'kagyló', 'kopás', 'beszűrődés', 'golf_handicap', 'peter_gabriel', 'scratch', 'bőrbetegségek', 'simoleons', 'bőrfekély', 'bőrelváltozások', 'gazdagság', 'excoriatio', 'handicap', 'karcolás', 'lichenification', 'foltok', 'dinero', 'startvonal', 'vagyon', 'horpadás'}
sea	{'óceánok', 'sea', 'holdi_mare', 'óceánok_világnapja', 'a_tenger', 'óceán', 'globális_óceán', 'világóceán', 'tengeri_környezet', 'hold_maria', 'tenger', 'tengeri_környezetre'}
seafood	{'tenger_gyümölcse', 'halbalhé', 'tenger_gyümölcsei', 'tengeri_ételek'}
see	{'szentszék_város', 'scopolamine', 'úgy', 'megvizsgál', 'hallani', 'vizuális_észlelés', 'vizuális_érzékelés', 'többet', 'látni', 'megpillant', 'hogy', 'érseki_látni', 'meglát', 'lát', 'meglátogat', 'püspökséget', 'tycho', 'hioszcin', 'szkopolamin', 'észrevesz', 'észre', 'szkopolamin-hidrobromid', 'látogassa_meg', 'találkozik', 'világos', 'ért', 'nézni', 'see', 'szkopolamin-butilbromid', 'látás', 'górcső_alá_vesz', 'szemlélve'}
seed	{'seed', 'elődöntőben', 'ejakulátum', 'egyenes_kieséses_rendszer', 'középdöntő', 'mag', 'elődöntő', 'kezdőérték', 'negyeddöntőbe', 'cum', 'ondó', 'sublime', 'vetőmag', 'sperma', 'ondófolyadék', 'lövell', 'final_fantasy_viii', 'jön', 'kiemelt_játékos', 'forrása', 'egy-eliminációs_torna', 'egyszerű_kieséses_versenyen_ahol', 'kiemelés', 'egy_eliminációs', 'santi', 'negyeddöntőben', 'elődöntős'}
sell	{'sell', 'ad', 'eladni', 'kereskedelem', 'elad', 'tengeri_kereskedelem', 'árul', 'elárul'}
sew	{'stitchery', 'varrás', 'varrott', 'varrni'}
sexy	{'elephunk'}
shape	{'alak', 'emberi_anatómia', '4-3-3', 'corpus_humani', 'test', 'anyagi_test', 'wm_kialakulását', 'bod', 'formában', 'forma', 'szövetséges_műveleti_parancsnokság', 'zenei_műforma', 'minta', 'humánfiziológia', 'szövetséges_főparancsnok_európa', 'fizikai_test', 'emberi_test', 'emberi_fiziológia', 'shape', 'felállás', 'primitív', 'bőr_pigmentáció', 'supreme_headquarters_szövetséges_erők_európai', 'zenei_formában', 'alakítani', 'mourvèdre', 'az_emberi_test', 'definíció', 'zenei_forma'}
