ability	{'capacidad', 'poder', 'habilidad', 'ingenio', 'talento', 'aptitud'}
leg	{'fractura_de_tibia', 'dos_patas', 'pegleg', 'etapa', 'pata', 'ramificación', 'miembro_pelviano', 'pata_de_palo', 'miembro_inferior_humano', 'fase', 'extremidad_inferior', 'catetos', 'membrum_inferius', 'cateto_opuesto', 'miembro_inferior', 'piernas', 'eliminatoria_a_doble_partido', 'parte_inferior_de_la_pierna', 'ronda', 'miembros_inferiores', 'crus', 'cateto', 'dos_patas_partido', 'pierna', 'fractura_en_la_pierna', 'pelviano', 'pierna_humana'}
level	{'plana', 'niveles_de_dificultad', 'etapa', 'adema', 'llano', 'level', 'dirigir', 'empatado', 'nivel_de_burbuja', 'experiencia', 'abatir', 'nivel_burbuja', 'parejo', 'punto_de_experiencia', 'pisos', 'demoler', 'demolir', 'tramo', 'llana', 'estrato', 'puntos_de_experiencia', 'levél', 'desmantelar', 'piso', 'planta_de_numeración', 'nivel_de_dificultad', 'arrasar', 'nivelar', 'grado_evolutivo', 'nivel_de_experiencia', 'uniformar', 'superficie_horizontal', 'fase', 'planta', 'grado', 'nivelado', 'mapeado', 'aniquilar', 'grados_de_la_escala', 'igualar', 'grado_musical', 'grado_de_la_escala', 'apuntar', 'punto', 'desarticular', 'grados_conjuntos', 'liso', 'raso', 'mark_chavez', 'nivel_de_aire', 'allanar', 'nivel', 'plano'}
liar	{'mentiroso', 'liar', 'in_my_darkest_hour', 'louder_now', 'so_far,_so_good..._so_what!', 'hook_in_mouth', 'mentirosa', 'so_far_so_good_so_what!', 'so_far_so_good..._so_what!', 'liras', 'so_far,_so_good…_so_what!', 'republic', 'prevaricador', 'embustero', 'so_far_so_good…_so_what!', 'so_far,_so_good_so_what!', 'mary_jane', 'falsario', 'glory', 'lira'}
lie	{'falsedad', 'lies', 'trygve_lie', 'acostarse', 'radicar', 'estar_tumbado', 'tumbar', 'awake', 'extenderse', 'trygve_lie_halvden', 'trygve_halvdan_lie', 'mentira_blanca', 'patraña', 'acostar', 'consistir', 'yacer', 'bola', 'mala_presentación', 'the_lie', 'mentira_de_emergencia', 'estar_ubicado', 'mentira', 'geojitmal', 'morar', 'echarse', 'tender', 'mentirilla', 'absolute_first_album', 'trola', 'residir', 'hallarse', 'historia', 'mentiras', 'estar_echado', 'ocupar', 'mentirijilla', 'infundio', 'estar', 'película', 'lie', 'hopeless_fountain_kingdom', 'estar_acostado', 'embuste', 'habitar', 'tenderse', 'mentir'}
light	{'descabalgar', 'corto', 'encaramarse', 'radiacion_luminica', 'twinbee', 'el_extraño', 'lampara_eléctrica', 'twinbee_da!!', 'acalórico', 'team_17', 'mechero', 'radiación_luminica', 'twinbee_deluxe_pack', 'luz_visible', 'nítido', 'arenoso', 'recaer', 'onda_de_luz', 'bajarse', 'twinbee_dungeon', 'ligero', 'pálido', 'brillo', 'haz_de_luz', "pop_'n'_twinbee", 'ligeros', 'fuente_de_luz', 'encendedores', 'luminaria', "l'equipier", 'luminoso', 'chispa', 'ventanales', 'claro', 'lámpara', 'ondas_de_luz', 'lámpara_eléctrica', 'despejado', 'radiación_lumínica', 'encendedor', 'air_tv', 'radiacion_lumínica', 'lámpara_electrica', 'suave', 'cerveza_en_escocia', 'naturaleza_de_la_luz', 'iluminar', 'escaso', 'iluminación', 'friable', 'light_yagami', 'lampara_electrica', 'briquet', 'ágil', 'fuente_lumínica', 'radiación_visible', 'kira', 'luces', 'ventanas', 'yesquero', 'iniciador_pirotécnico', 'yagami_light', 'reflexión_de_la_luz', 'licencioso', 'encender', 'ventana', 'pastel_jan', 'claridad', 'ligeramente', 'detana_twinbee_yahho!_deluxe_pack', 'team17_software', 'luz_interior', 'ventanal', 'débil', 'promiscuo', 'encenderse', "l'équipier", 'bulbo', 'bulbo_de_luz', 'aclarar', 'team17', 'apearse', 'air', 'dentro_de_cristo', 'cerveza_de_escocia', 'light', "pop'n_twinbee", 'lascivo', 'incendiar', 'desmontar', 'libertino', 'átono', 'liviano', 'tnfsf14', 'agacharse', 'cervezas_de_escocia', 'posarse', 'fuego', 'luz', 'luminosidad', 'prender', 'alumbrar', 'luminancia', 'lujurioso', 'limpio', 'ventanuco', 'fuente_luminosa', 'nivel_de_brillo'}
live	{'jennifer_lynn_lopez', 'bang_tango', 'jennifer_lópez', 'ac/dc_live', 'funciones_contractiles', 'live!', 'simian_mobile_disco', 'gira', 'lacrimosa_live', 'r_e_m._live', 'j.lo', 'concertista', 'built_to_spill', 'audición', 'directo', 'vivo', 'monty_python_live', 'música_en_vivo', 'live_ep', 'public_affection', 'live_in_london', 'conciertos_de_música', 'saber', 'jennifer_lynn_lópez', 'durar', 'r._e._m._live', 'existir', 'jennifer_lopez', 'zombie_live', 'gira_de_conciertos', 'r_e._m._live', 'dúctil', 'selena_live!', 'cargado', 'conciertos', 'live', 'elástico', 'selena_en_vivo', 'sentir', 'concierto_de_música', 'jlo', 'morar', 'residir', 'perdurar', 'la_vida', 'características_de_la_materia_viva', 'caracteristicas_de_la_materia_viva', 'pigmy_love_circus', 'recital', 'flexible', 'concerto', 'vida', 'ocupar', 'persistir', 'subsistir', 'vivir', 'representación', 'poblar', 'actuación', 'concierto', 'j-lo', 'j_lo', 'lacrimosa', 'r_e.m._live', 'habitar', 'sobrevivir', 'r_e_m_live', 'selena_live', 'r.e.m._live', 'experimentar', 'live_at_the_marquee', 'cable'}
liver	{'hígado_de_res', 'hepático', 'higado_de_ternera', 'hepatoprotector', 'hígado', 'higado', 'hígado_de_vaca', 'hepatico', 'hígado_de_ternera', 'hepar', 'hepática', 'rojo_hígado', 'hígado_de_pollo', 'hígado_de_cerdo'}
long	{'tenaz', 'ansiar', 'long', 'luengo', 'retentivo', 'desear_ardientemente', 'longa', 'largo', 'desear', 'alto', 'excedente', 'sobrante', 'william_henry_long', 'longas', 'lejos', 'alta', 'larga', 'extenso', 'lueñe', 'bloody_roar', 'consumirse', 'doler', 'anhelar'}
louse	{'pipi', 'ftiráptero', 'artropodo', 'canalla', 'artrópodos', 'sabandija', 'ftirapteros', 'pájaro_piojo', 'ftiraptero', 'piojos', 'artropodos', 'piojo', 'suciedad_pelota', 'phthiraptera', 'piojo_morder', 'chupando_piojo', 'arthropod', 'artrópodo', 'pulgón', 'piojoso', 'ftirápteros', 'arthropoda', 'arthropodo', 'planta_piojo'}
magic	{'r.550_magic', 'planeswalkers', 'magic', 'magic!', 'bola_de_fuego', 'inheritance', 'numismagia', 'axel_rudi_pell', 'wonderworking', 'magic_the_gathering', 'dame_kiri_te_kanawa_janette', '4º_libro', 'matra_r550_magic', 'take_me_home', 'mágico', 'matra_magic', 'transfiguración', 'magic:_the_gathering', 'defensa_contra_las_artes_oscuras', 'urza', 'lucas_marín', 'matra_magic_ii', 'conjurando_truco', 'ilusionistas', 'encanto', 'mi_familia_magica', 'alagaësia', 'driving_rain', 'telescopio_magic', 'llevame_a_casa', 'oclumancia', 'dame_kiri_te_kanawa', 'el_legado', 'taumatúrgica', 'make_a_scene', 'maho', 'justin_timberlake', 'truco', '4_libro', 'ilusión', 'fuego_feérico', 'ilusionismo', 'encantamiento', 'kiri_te_kanawa', 'fuego_feerico', 'conjuro', 'animago', 'magic:the_gathering', 'octiron', 'espejo_de_dos_vías', 'el_legado_libro_4', 'octarina', 'magia_de_escenario', 'leandro_marín', 'taumaturgica', 'mágicos', 'prestidigitacion', 'truco_de_magia', 'caminantes_de_planos', 'el_muñeco_diabólico', 'pluto', 'secret_time', 'magia_en_harry_potter', 'magico', 'mágica', 'trilogía_el_legado', 'artefacto', 'pársel', 'magia', 'trance', 'trampantojo', 'espejo_simulado', 'magic:_el_encuentro', 'planeswalker', 'timberlake', 'justin_randall_timberlake', 'te_kanawa', 'wolves', 'el_muneco_diabólico', 'matra_r.550_magic', 'magia_sexual', 'el_muneco_diabolico', 'magicos', 'lucas_marin', 'espejo_unidireccional', 'mundodisco', 'magic_ii', 'leandro_marin', 'caminante_de_planos', 'trilogia_el_legado', 'taumaturgia', 'llévame_a_casa', 'taumaturgo', 'mi_familia_mágica', 'split_second_love', 'taumatúrgico', 'magic_el_encuentro', 'prestidigitación', 'taumatúrgicas', 'magic_2', 'r550_magic', 'hechizo'}
man	{'hombre_de_confianza', 'valet', 'homo_sapiens_sapiens', 'maschinenfabrik_augsburg-nurnberg', 'man_ferrostaal', 'personas', 'manchester_airport', 'man_se', 'tierra', 'manfred_gnädinger', 'apanónar', 'egcc', 'humanidad', 'mundos', 'cornelis_de_man', 'página_de_man', 'atani', 'humà_anatòmicament_modern', 'hombre_moderno', 'maschinenfabrik_augsburg-nürnberg', 'globo', 'aeropuerto_de_manchester', 'homo_sapiens', 'eboennin', 'ser_humano', 'ministro_de_defensa_nacional_de_rumania', 'manfred_gnadinger', 'manolo_carot', 'humana', 'maschinenfabrik_augsburg_nurnberg', 'man_ag', 'militar', 'homo', 'humán', 'maschinenfabrik_augsburg_nürnberg', 'tripular', 'hombres', 'hildor', 'ayudante_de_cámara', 'atanatári', 'género_homo', 'maduración_sexual', 'ministerio_nacional_de_defensa_de_rumania', 'man', 'madurez_sexual', 'páginas_de_manual', 'man_bucle', 'género_humano', 'manuel_carot', 'pagina_de_man', 'fírimar', 'humanas', 'homo_sapiens_actual', 'ministerio_de_defensa_nacional_de_rumania', 'isle_of_man', 'machote', 'raza_humana', 'wen', 'ayuda_de_cámara', 'aphadrim', 'engwar', 'ministerio_de_defensa_de_rumanía', 'aeropuerto_internacional_de_manchester', 'ministerio_nacional_de_defensa_de_rumanía', 'red_de_área_metropolitana', 'especie_humana', 'edain', 'isla_de_man', 'ser_humano_masculino', 'firebrim', 'ministerio_de_defensa_de_rumania', 'dunlendinos', 'aeropuerto_internacional_de_mánchester', 'paginas_man', 'macho_adulto', 'ministerio_de_defensa', 'homo_sápiens', 'pieza', 'peón', 'wan', 'huma_anatomicament_modern', 'red_de_area_metropolitana', 'aeropuerto_de_mánchester', 'sexo_fuerte', 'metropolitan_area_network', 'isla_del_hombre', 'apanonar', 'edecán', 'mundo', 'hombre_adulto', 'red_área_metropolitana', 'segundos_nacidos', 'firimar', 'humanos', 'páginas_man', 'persona', 'humano', 'manpage', 'valet_de_chambre', 'redes_de_área_metropolitana', 'genero_humano', 'global', 'macho', 'humano_masculino', 'varones', 'caballero_caballero', 'detective_por_error', 'relient_k', 'hombre', 'página_de_manual', 'red_man', 'especies_humanas', 'varon', 'la_isla_de_man', 'seres_humanos', 'varón', 'gente', 'ficha', 'sexo_feo'}
many	{'many', 'muchas', 'muchos', 'mucho'}
marriage	{'matrimonio_cristiano', 'relación_conyugal', 'enlace', 'casamiento', 'nulidad', 'marriage', 'cónyugues', 'himeneo', 'matrimonio_católico', 'marriage,_not_dating', 'relaciones_matrimoniales', 'casados', 'nupcias', 'ceremonia_matrimonial', 'pares_casados', 'matrimonial', 'ceremonia_de_la_boda', 'matrimonios', 'fiesta_de_bodas', 'casarse', 'nupcial', 'ceremonia_compromiso', 'relación_matrimonial', 'pareja_casada', 'bodas', 'unión', 'marriage_records', '⚭', 'el_matrimonio', 'contrato_de_matrimonio', 'boda_civil', 'matrimonio', 'boda', 'sacramento_del_matrimonio', 'nupcia', 'enlace_matrimonial', 'compromiso_matrimonial', 'casorio', 'ceremonia_de_matrimonio', 'hymeneals', 'connubio', 'matrimonio_canónico', 'nada', 'casados_por_iglesia', 'matrimonio_canonico', 'matrimonio_en_la_iglesia_católica', 'marido_y_mujer', 'matrimonio_catolico', 'esponsales', 'nihilidad', 'nupciales'}
material	{'materialistas', 'ontologia_fisica', 'materialismo_científico', 'telas', 'materialismo_cientifico', 'amaurosis_scacchistica', 'real', 'materialismos', 'sustancial', 'materialista', 'textil', 'cosa', 'ontología_física', 'filosofías_materialistas', 'ceguera_ajedrecística', 'material_design', 'tejido', 'material', 'corpóreo', 'ceguera_ajedrecistica', 'materia', 'fisicalismo', 'textiles', 'género', 'materialismo', 'fisicalista', 'trapo', 'tela', 'datos', 'paño', 'filosofias_materialistas', 'estofa', 'cosas'}
mathematical	{'matemáticamente', 'mates', 'matemática', 'licenciatura_en_ciencias_matematicas', 'ciencias_matematicas', 'grado_en_matematicas', 'matemático', 'numérico', 'ciencias_exactas', 'matematica', 'matematicas', 'matemáticas', 'metamatematica', 'exacto', 'grado_en_matemáticas', 'licenciatura_en_ciencias_matemáticas', 'ciencias_matemáticas'}
meat	{'carne_de_res', 'ciencia_carne', 'corazón_y_el_alma', 'jugo_de_carne', 'sustancia', 'carne_procesada', 'carne_de_camello', 'carne_de_vaca', 'carne_humana', 'corazón', 'meollo', 'enjundia', 'carne', 'meat', 'medula', 'carne_vacuna', 'carne_bovina', 'carne_de_toro', 'vianda', 'we_will_rock_you', 'médula', 'shawn_stasiak', 'quid', 'carne_de_vacuno', 'cárnico', 'carnes', 'esencia', 'carne_de_buey', 'esencial', 'extracto', 'almendra', 'carnico', 'esencias', 'centro', 'núcleo'}
mechanism	{'máquinas', 'maquinaria', 'movimiento', 'maquina', 'mecanismo_de_reacción', 'aparato', 'maquinas', 'sistema_mecanico', 'mecanismos_de_reacción', 'mecanismo_social', 'mecanismos_de_reaccion', 'mecanismo_de_reaccion', 'dispositivo', 'mecánica', 'mecanismo', 'máquina', 'mecanismo_químico', 'equipo', 'sistema_mecánico'}
medication	{'preparado_oficinal', 'fármaco', 'medicamento_en_investigación', 'producciones_de_medicamentos', 'version_2.0', 'formas_farmacéuticas', 'formula_oficinal', 'diseño_farmaceutico', 'fórmula_oficinal', 'diseno_farmaceutico', 'rescue', 'remedio', 'farmacéuticos', 'farmacéutico', 'droga_medicinal', 'formas_de_dosificación', 'medicamentos', 'medicacion', 'diseno_farmacéutico', 'forma_farmaceutica', 'formas_de_dosificacion', 'version_2_0', 'forma_galenica', 'diseño_farmacéutico', 'medicamento_en_investigacion', 'medicamento_con_receta_médica', 'producto_farmacéutico', 'especialidades_farmacológicas_publicitarias', 'version_2.0_special_live_edition', 'formas_farmaceuticas', 'medication', 'version_2_0_special_live_edition', 'droga_farmacéutica', 'medicación', 'medicina', 'medicamentar', 'medicamento', 'forma_farmacéutica', 'medicamento_heroico', 'forma_galénica'}
money	{'greatest_hits:_history,_volume_i', 'plata', 'parne', 'parné', 'the_art_of_letting_go', 'real', 'lana_pasta_pisto', 'history', 'money', 'monetario', 'history_past_present_and_future_book_i', 'history_past_present_and_future_-_book_i', 'creacion_monetaria', 'creacion_de_dinero', 'history:_past,_present_and_future_book_i', 'divisa', 'me._i_am_mariah…_the_elusive_chanteuse', 'all_i_need', 'history:_past,_present_and_future,_book_i', 'extreme_ii:_pornograffitti', 'creación_de_dinero', 'cobres', 'moneda', 'history:_past_present_and_future_-_book_i', 'dinero', 'creación_monetaria', 'décimocuarto_álbum_de_estudio_de_mariah_carey', 'history:_past,_present_and_future_-_book_i', 'el_dinero', 'history:_past_present_and_future_book_i'}
moon	{'luz_de_la_luna', 'satelites_naturales', 'sol', 'kyōko_fukada', 'plutón', 'la_luna', 'alexander_moon', 'luz_de_luna', 'christopher_robin', 'fukada_kyoko', 'satélites_naturales', 'lunas', 'sun_myung_moon', 'planeta', 'christopher_robin_milne', 'rev_sun_myung_moon', 'marte', 'mercurio', 'júpiter', 'saturno', 'sun_myung-moon', 'air', 'mostrar_el_culo', 'moon', 'signo_solar', '문', 'claro', 'mes_sinódico', 'satélite', 'distancia_lunar', 'lunación', 'mes_draconiano', 'air_tv', 'kyoko_fukada', 'soñar_despierto', 'luna', 'municipio_de_moon', 'venus', 'satelite_natural', 'mes_lunar', 'sun-myung_moon', 'claro_de_luna', 'satélite_natural', 'rev._sun_myung_moon', 'distancia_a_la_luna'}
mother	{'mimar_en_exceso', 'madeo', 'tijon_jrennikov', 'podunk', 'mama', 'diosas_matronas', 'madre_diosa', 'producir', 'earthbound', 'how_big,_how_blue,_how_beautiful', 'ellay', 'señora', 'gran_diosa_madre', 'madre', 'tijon_nikolayévich_jrenikov', 'mother', 'generar', 'mami', 'madres', 'engendrar', 'diosas-madre', 'progenitora', 'sisters_of_avalon', 'sor', 'diosa_madre', 'la_madre_tierra', 'chorus_line', 'earthbound_zero', 'gran_madre', 'a_chorus_line', 'concebir', 'tijon_jrenikov', 'tijon_jrénnikov', 'madre_del_vino', 'mimar', 'progenitor_femenino', 'synchronicity', 'gran_diosa', 'la_madre', 'maternidad', 'madre_tierra', 'sobreproteger', 'mamá', 'hermana', 'the_mother', 'monjas', 'diosas_madre', 'monja', 'sorores', 'tikhon_khrennikov', 'tijon_nikolayevich_jrenikov', 'madre_biológica', 'religiosa', 'tichon_nikolajewitsch_chrennikow', 'tierra_madre', 'mother!', 'ma'}
mountain	{'sahtu', 'avalancha', 'fajo', 'formación_montanosa', 'formación_montañosa', 'montañas', 'mountain_labs', 'formacion_montañosa', 'mountain', 'gran_cantidad', 'buena_suma', 'passel', 'cantidad', 'bastante_un_poco', 'mogollón', 'mickle', 'montaña', 'montanas', 'mucho', 'burrada', 'muckle', 'pila', '4-8-2', 'montañoso', 'multitud', 'montura', 'montanosa', 'cúmulo', 'formacion_montanosa', 'lote', 'barbaridad', 'bestialidad', 'monte', 'montañosa', 'lote_interno', 'montón', 'enormidad', 'la_montaña_siniestra', 'soporte'}
mouth	{'portavoz', 'descoco', 'rima_oris', 'impertinencia', 'bucal', 'sass', 'conversar', 'boca_humana', 'estuario', 'vertice', 'dialogar', 'decir', 'desembocadura', 'cavidad_oral', 'perioral', 'pronunciar', 'cavidad_bucal', 'nariz', 'boca', 'sassing', 'cavidad_bucal_humana', 'labio', 'insolencia', 'fisura_oral,', 'veerbalizar', 'vértice', 'proferir', 'antonella_gambotto_burke', 'abertura_bucal', 'hablar', 'representante', 'r', 'pasar_la_boca', 'cavitas_oris', 'hablar_de_nuevo'}
movement	{'evacuación', 'movimiento', 'mótil', 'movimiento_popular', 'estilo_artistico', 'movimientos_artísticos', 'jinar', 'misión', 'fenomeno_phi', 'muchedumbre', 'ejército', 'boniga', 'corriente_filosófica', 'heces_fecales', 'doctrinas_filosóficas', 'bonigas', 'movimientos_populares', 'excremento', 'movimientos_sociales', 'zurullo', 'deshecho_fecal', 'jiñar', 'estilo_artístico', 'escuela_de_filosofía', 'corriente_artística', 'the_pillows', 'defecacion', 'escuela_de_pensamiento', 'cruzada', 'años_luz', 'heces', 'empeño', 'movimientos_filosoficos', 'movimiento_artístico', 'accion_de_grupo', 'fecas', 'loba', 'movimientos_artisticos', 'corrientes_de_pensamiento', 'arte_movimiento', 'escuelas_de_pensamiento', 'movimientos_pictóricos', 'movimiento_social', 'escuelas_artísticas', 'movement', 'masa', 'hez', 'excremento_de_perro', 'fenómeno_phi', 'causa', 'garca', 'defecación', 'campaña', 'montón', 'deyección', 'doctrina_filosófica', 'movimientos_filosóficos', 'locomoción', 'escuela_filosofica', 'migracion_celular', 'efecto_phi', 'motilidad_celular', 'escuela_filosófica', 'cagando', 'doctrina_filosofica', 'locomocion', 'anos_luz', 'deposicion', 'sorete', 'locomoción_animal', 'escuela_artistica', 'cagar', 'estilos_artísticos', 'corriente_artistica', 'corriente', 'movimiento_pictórico', 'ñordo', 'tendencia', 'movimiento_musical', 'desplazamiento', 'motilidad', 'escuelas_filosóficas', 'movimiento_filosófico', 'mover', 'feca', 'movimiento_filosofico', 'corriente_de_pensamiento', 'hez_fecal', 'movimiento_intestinal', 'deposición', 'boñigas', 'movimiento_ciudadano', 'cacona', 'fecales', 'acción_de_grupo', 'she_wolf', 'locomocion_animal', 'cometido', 'traslado', 'mierda', 'escuelas_artisticas', 'caca', 'estilos_artisticos', 'movimientos_intestinales', 'deshechos_fecales', 'horda', 'excrementos', 'escuelas_filosoficas', 'materia_fecal', 'multitud', 'evacuación_intestinal', 'motil', 'popó', 'movimiento_artistico', 'movimiento_aparente', 'desecho_fecal', 'actividad_locomotora', 'fecal', 'defecar', 'phi_phenomenon', 'excrementos_de_aves', 'doctrinas_filosoficas'}
movie	{'obra_cinematografica', 'muestra_la_imagen', 'gran_película', 'kites', 'film', 'obras_cinematograficas', 'peliculas', 'cine', 'película_cinematografica', 'pelicula', 'motion-picture_show', 'fmv', 'peliculero', 'imagen_en_movimiento', 'filmación', 'pelicula_cinematográfica', 'video_de_movimiento_completo', 'película_cinematográfica', 'pelicula_cinematografica', 'full_motion_video', 'vídeo_de_movimiento_completo', 'pelicular', 'movimiento_se_muestra_la_imagen', 'rodaje', 'filmaciones', 'imágenes_en_movimiento', 'pantalla_grande', 'obra_cinematográfica', 'peliculon', 'producción', 'filme', 'película', 'películas', 'obras_cinematográficas', 'peliculón', 'película_teatral', 'realización_de_cine', 'm.o.v.i.e.'}
music	{'música_prehistórica', "nobody's_perfect", 'estilo_libre', 'eufonía', 'orígenes_de_la_música', 'música_prehistorica', 'música', 'rock_country', 'música_en_la_prehistoria', 'músicas_de_la_prehistoria', 'musicas_de_la_prehistoria_y_las_musicas_de_las_antiguas_civilizaciones_de_medio_oriente', 'arqueologia_musical', 'musica_prehistórica', 'musicas_de_la_prehistoria_y_las_músicas_de_las_antiguas_civilizaciones_de_medio_oriente', 'músicas_de_la_prehistoria_y_las_músicas_de_las_antiguas_civilizaciones_de_medio_oriente', 'músicos', 'jade,_chile', 'origenes_de_la_musica', 'músico', 'the_music', 'musica_de_la_prehistoria', 'musicos', 'jade', 'musica_en_la_prehistoria', 'musica_prehistorica', 'musicas_de_la_prehistoria', 'música_de_la_prehistoria', 'musicas', 'melómano', 'músicas', 'country-rock', 'country_rock', 'arqueología_musical', 'jade_chile', 'paradise', 'i_deserve_it', 'amazing', 'artes_musicales', 'musica', 'mad_love', 'music', 'musico'}
name	{'gens_romana', 'descubrir', 'nominal', 'renombre', 'escoger', 'identificadores', 'id', 'nombres_propios', 'nominar', 'denominación', 'referir', 'epíteto', 'describir', 'especificar', 'diagnosticar', 'personaje_público', 'reputación', 'grupo_nominal', 'identificar', 'frase_nominal', 'llamar', 'identificador', 'nombre', 'fama', 'designar', 'nombres_de_pila', 'mentar', 'nombre_de_equipo', 'figura', 'gens', 'id.', 'precisar', 'elegir', 'citar', 'denominar', 'advertir', 'persona', 'sintagma_nominal', 'distinguir', 'nombrar', 'identificación', 'bautizar', 'gentes', 'nombre_propio', 'nombres', 'aludir', 'mencionar'}
narrow	{'angostarse', 'minucioso', 'especializarse', 'especificar', 'identificar_exactamente', 'clavar', 'marginal', 'soap&skin', 'estrecho', 'reducir', 'estrechar', 'insignificante', 'estrecharse', 'angosto', 'estrecho_de_miras', 'anja_plaschg', 'intolerante'}
nation	{'lista_de_los_estados_de_méxico', 'datos_administrativos_de_méxico', 'territorio', 'organización_territorial_de_méxico', 'país', 'estados_de_mexico', 'naciones', 'datos_administrativos_de_mexico', 'estado_federado_alemán', 'lista_de_los_estados_de_mexico', 'estado', 'países', 'nación_estudiante', 'estado_alemán', 'sesugh_uhaa', 'organización_territorial_de_mexico', 'nacional', 'land_alemán', 'nacion', 'estados_de_alemania', 'kendrick_lamar', 'fundamentos_filosóficos_de_la_nación', 'estados_soberanos', 'tierra', 'carry_a_nation', 'estación_de_nation', 'teoría_declarativa_de_la_estadidad', 'estados_de_la_republica_mexicana', 'estados_mexicanos', 'fundamentos_filosoficos_de_la_nación', 'sociedad_política', 'discworld', 'paises', 'estados_de_la_república_mexicana', 'estados', 'nation', 'estacion_de_nation', 'estado_de_méxico', 'res_publica', 'pais', 'carrie_amelia_nation', 'pueblo', 'land', 'carry_nation', 'carry_a._nation', 'república', 'nación', 'gubernamentales', 'estado_federado_de_alemania', 'estados_federados_de_alemania', 'poder_público', 'entidad_teritorial_administrativa_de_mexico', 'organizacion_territorial_de_méxico', 'estado_de_mexico', 'estatal', 'land_de_alemania', 'uhaa_nation', 'fundamentos_filosoficos_de_la_nacion', 'carrie_nation', 'estado_soberano', 'llevar_a_amelia_nación_moore', 'apollo_crews', 'mundodisco', 'estado_mexicano', 'estado_independiente', 'los_magos', 'estatista', 'país_estado_soberano', 'estado_federado', 'organizacion_territorial_de_mexico', 'estados_de_méxico', 'cuerpo_político'}
near	{'abordar', 'virtualmente', 'subir', 'nate_river', 'más', 'querido', 'próxima', 'acercar', 'near', 'aproximarse', 'aproximar', 'aproximado', 'cabe', 'cercana', 'acercarse', 'near_earth_asteroid_rendezvous_shoemaker', 'cercano', 'acostar', 'encarar', 'near_earth_asteroid_rendezvous', 'rácano', 'casi', 'prácticamente', 'near_shoemaker', 'próximo', 'cerca', 'venir', 'aproximadamente'}
neck	{'pescuezo', 'cuello_de_botella', 'nucal', 'cervical', 'nuca', 'besuquearse', 'cuello', 'collum', 'nixe', 'cogote', 'mástil', 'cuello_de_apertura', 'acariciarse', 'cerviz'}
new	{'inaudito', 'novel', 'inexperto', 'nuevo', 'reciente', 'novato', 'new', 'recién', 'temprano', 'novedoso', 'nuevamente', 'contemporáneo', 'prístino', 'novedosa', 'ultramoderno', 'nueva', 'fresco', 'moderno'}
news	{'nuevas', 'noticiario', 'palabra', 'hecho_periodistico', 'informativos', 'noticiabilidad', 'actualidades', 'actualidad', 'informativo', 'hecho_periodístico', 'informe_noticias', 'noticia', 'programa_de_noticias', 'suceso_de_actualidad', 'news', 'noticias', 'telediario', 'noticiero', 'n.e.w.s', 'transmisión_de_noticias'}
night	{'gazpacho', 'nix', 'night', 'nix_nyx_nicte', 'elie_wiesel', 'nott', 'nicta', 'noche', 'noches', 'azul_nocturno', 'nyx', 'azul_noche', 'nótt', 'la_noche', 'eliezer_wiesel', 'nox', 'tarde', 'wiesel', 'oscuridad', 'nicte', 'medianoche', 'azul_de_medianoche', 'unbreakable'}
