ability	{'la_capacitat', 'aptitud', 'poder', 'habilitat', 'capacitat', 'enginy'}
grass	{'denunciar', 'eatage', 'xocolata', 'poaceae', 'stoner', 'mary_jane', 'família_poaceae', 'família_graminaceae', 'haixís', 'marihuana', 'farratger', 'trair', 'farrratge', 'gunter_grass', 'poàcies', 'alexander_egorovich_varlamov', 'pastures', 'skylarking', 'herbes', 'plantes_farratgeres', 'graminaceae', 'maria', 'poacea', 'herba_de_la_família', 'grass_gis', 'deessa_verd', 'cannabis', 'farratges', 'sporobolus_caespitosus', 'aleksandr_egórovitx_varlàmov', 'espiguetes', 'günter_grass', 'sens', 'sess', 'cànnabis', 'herba', 'nothing_can_stop_us', 'família_de_les_gramínies', 'farratgera', 'supersoplón', 'fum', 'farratge', 'gramineae', 'gramínea', 'cànem', 'planta_farratgera', 'gunter_grass_wilhelm', 'poàcia', 'grass', 'gramínees', 'pastura', 'gramínia', 'gramínies', 'supergrass'}
great	{'súper', 'bestial', 'excel·lent', 'grandesa', 'vast', 'gran', 'destacat', 'enorme', 'prenyada', 'brutal', 'capital', 'majúscula', 'embarassada', 'excepcional', 'gestant', 'illustriousness', 'fantàstic', 'fenomenal', 'guai', 'genial'}
green	{'activistes_ambientals', 'moviment_ecologista', 'comú', 'stypsis', 'verd_groguenc', 'verdura_de_fulla', 'parc', 'reverdir', 'fruites', 'preservació_del_medi_ambient', 'respectuós_amb_el_medi_ambient', 'super_c', 'parc_natural', 'ambientalistes', 'agalev', 'equilibri', 'verdures', 'crèdul', 'special_k', 'verdura', 'enverdir-se', 'verd_botella', 'putting_green', 'verdós', 'problemes_ambientals', 'ingenu', 'confiat', 'enverdir', 'ecologisme', 'zona_verda', 'ecologista', 'verd_fosc', 'hortalisses_de_fulla', 'immadur', 'cos', 'verd', 'mineralitat', 'william_green', 'cat_vàlium', 'brunswick_verd', 'súper_àcid', 'groc_verdós', 'verda', 'carxofa', 'green', 'sec', 'vegetals_verds', 'verdancia', "going_s'havia", 'maragda', 'procomú', 'chartreuse', 'moviment_verd', 'groen', 'innocent', 'sinople', 'política_verda', 'verdejar', 'jade', 'verd_jade', 'green_river', 'verd_clar', 'hortalissa', 'mel_oli', 'vert', 'verd_ampolla', 'activisme_ambiental', 'consciència_ambiental', 'kelly_verd', 'verdures_de_fulla', 'rifle_verd', 'groen!', 'immatur', 'ambientalisme', 'astrigència', 'color_verd', 'posant_superfície', 'ecologistes', 'groc_verd', 'verdures_de_fulla_verda', 'verdor', 'cat_valium', 'activista_ambiental', 'bé_comú', 'feldgrau'}
gun	{'arma_de_foc', 'gun_for_hire', 'greix-gun', 'disparar', 'assassí_a_sou', 'escopeta', 'pistoler', 'pistola_de_lubricar', "del_pedal_de_l'accelerador", 'sicari', 'accelerador', 'artilleria', 'arma', 'lubricadora_a_pressió', 'armes_de_foc', 'conventional_weapons', 'arma_portàtil', 'districtes_del_japó', 'gun', 'pistola', 'pistolers', 'districte_del_japó', 'armes', 'assassí_professional', '郡', "pedal_l'accelerador", "pedal_de_l'accelerador", 'gunfighting', 'gatillero', 'arma_pesada', 'gas', 'arma_de_foc_portàtil', 'canó', 'louder_than_love', 'màquines_de_tró', 'heavy_weapon', 'armes_petites', 'obús', 'màquines_de_tro', 'petita_braç', "botiga_d'armes"}
guts	{'teoria_de_la_gran_unificació', 'tripa', 'intestí', 'guts', 'valentia', 'gi_tracte', 'lumen_intestinal', 'intestins', 'òrgans_digestius', 'aparell_digestiu', 'intestinal', 'vísceres', 'entranyes', 'budell', 'tracte_gastrointestinal_humà', 'so', 'víscera', 'coratge', 'ous', 'gastrointestinal', 'moxie', 'mucosa_intestinal', 'sistema_gastrointestinal', 'tracte_gastrointestinal_superior', 'força_electronuclear', 'budells', 'tracte_intestinal', 'collons', 'tub_digestiu', 'tracte_gi', 'agalles', 'tracte_digestiu', 'tracte_gastrointestinal', 'dintres', 'gran_unificació', 'valor', 'pebrots'}
hair	{"hair's-amplada", 'cabells', 'cabell_humà', 'hairsbreadth', 'enllaços_cabells', 'pèls', 'pèl', 'cabell', 'hair', 'a_pèl', 'pelut', 'vestit_de_pèl', 'toment'}
hand	{'cordella', 'baralla_francesa', 'apropar', 'jugador_de_bridge', 'jocs_de_cartes', 'hand', 'puny', 'escriptura_a_mà', 'joc_de_cartes', 'acostar', 'entregar', 'busca', 'índex', 'jornaler', 'baralla_espanyola', 'traspassar', 'mans', 'manus', 'part', 'banda', 'brakiri', "mà_d'ajuda", 'escriptura', 'aproximar', 'maneta', 'dilgar', 'mà', 'propinar', 'cop_de_mà', 'targetes', 'dispensar', 'cartes_espanyoles', 'donar', 'bracer', 'passar', 'drazi', 'assalariat', 'jugador_de_pont', 'naip', 'lletra', 'custòdia', 'cedir', 'lliurar', 'costat', 'system_of_a_down'}
he	{'へ', 'עברית', 'llengua_hebrea', 'ge', 'г', 'ell', 'nombre_atòmic_32', 'he', 'ヘ', 'número_atòmic_32', 'ペ', "vídeo_d'alta_definició", 'ה', 'hebreu', 'hē', 'nombre_atòmic_2', 'vídeo_hd', 'べ', 'ぺ', 'llengües_hebrees', 'heli', 'hebraica', 'idioma_hebreu', 'germani', 'alta_definició', 'hans_eworth', 'ベ', 'ﾍ', 'heli_superfluid', 'número_atòmic_2', 'hebraic'}
head	{'head', 'autoritat', 'obenc', 'lectura_/_escriptura_del_cap', 'escota_de_major', 'deu', "mestre_d'escola", 'cap_de_clan_escocès', 'cabdill', 'escota', 'responsable', 'protocol_de_transferència_d’hipertext', 'contingut_mental', 'cacic', 'cap', 'nucli_sintàctic', 'conduir_història', 'maniobrar', 'cervell', 'brian_welch', 'cap_de_tambor', 'senyor_del_crim', 'principi', 'pèrdua_de_càrrega', "puny_d'escota", 'http', 'article', 'encapçalar', 'coberta', "director_d'escola", "protocol_de_transferència_d'hipertext", 'cap_de_la_tribu', 'promontori', 'escapçar', 'director_de_la_companyia', 'cap_mestre', 'escuma_de_la_cervesa', 'directora', 'mestressa', 'apuntar', 'director', 'article_periodístic', 'gradient_hidràulic', 'capçalera', 'dirigent', 'aspecte', 'dirigir', 'manejar', 'sexe_oral', 'líder', 'primavera_de_cap', "director_de_l'escola", 'cap_de_la_màfia', 'pedac_de_tambor', 'pseudanthium', 'qüestió', 'notícies_història', 'cap_hidràulic', 'cara', 'hypertext_transfer_protocol', 'dur', 'direcció', 'protocol_http', 'nous', 'mandamás', 'clima_full', 'pedaç_de_tambor', 'http/1.1', 'punta', 'càrrega_hidràulica', 'ment_humana', 'penyal', 'encaminar', 'títol', 'htpp', 'patró', 'cap_tribal', 'dirty_mind', 'orsa', 'supervisor', 'faralló', 'liderar', 'cap_del_crim', 'niell', 'cefalizació', 'reportatge', 'encapçalament', 'notícia', 'psique', 'guiar', 'alçària_piezomètrica', 'pseudant', 'escull', 'full', 'psíquic', 'sol_·_licitud_http', 'cefàlica', 'ment'}
hear	{'escoltar', 'oïda', 'assabentar', "sentit_de_l'oïda", 'assabentar-se', 'descobrir', 'aprendre', 'audició_humana', 'tradició', 'facultat_auditiva', 'sentir', 'audició', 'veure', 'modalitat_auditiva', 'oir', 'escolta', 'sentit_auditiu', 'auditiu'}
heart	{'mindless_self_indulgence', 'centre', 'tendresa', 'esperit', 'ull', 'moll', 'philia', 'ésser', 'cambra_del_cor', 'afectivitat', 'essència', 'nervi', 'cor_dret', 'substància', 'afectius', 'contracció_cardíaca', 'essències', 'entitat', 'nucli', 'cambra_cardíaca', 'fermesa', 'ànima', 'cor', 'simpatia', 'heart', 'afecte', 'ànim', 'cardíac', 'afecció', 'cuore', 'tremp', 'empenta', 'quid', 'segona_temporada_de_supernatural', 'cavitat_cardíaca', 'bessó', 'si', 'damn_yankees', 'fortesa', "cor_i_l'ànima", 'càmera_cor', 'cor_humà', 'ousia', 'cambres_cardíaques', 'alexz_johnson', 'mig'}
heavy	{'pesat', 'stypsis', 'fatigant', 'team_fortress_2', 'penós', 'prenyada', 'heavy.com', 'fruites', 'heavy', 'carregat', 'sec', 'gestant', 'dur', 'pesada', 'dens', 'guardaespatlles', 'impenetrable', 'the_state_vs_radric_davis', 'astrigència', 'ardu', 'protecció_personal', 'laboriós', 'fatigós', 'mineralitat', 'escorta', 'fortes', 'esgotador', 'embarassada', 'cos', 'feixuc', 'greu', 'equilibri'}
help	{'ajuda_en_línia', 'cooperant', 'ajudant', 'the_help', 'ajuda_humanitària', 'assistència_humanitària', 'suport', 'socorrista', 'servir', 'aprofitar', 'ajut', 'auxili', 'dependent', 'assistente', 'pot', 'assistència', 'socórrer', 'assistir', 'socors', 'auxiliar', 'help!', 'ajudar', 'assistent', 'va_poder', 'administració', 'ajuda'}
here	{'here', 'ací', 'hera', 'fer_servadou', 'aquí'}
hit	{'col·lisió', 'cop', 'disparar', 'donar-se', 'hit', 'arribar_a', 'atac', 'pegar', 'col_·_lisions', 'xut', 'tustar', 'topar', 'carregar-se', 'encertar', 'trobar', 'batre', 'xutar', 'xocar', 'assassinar', 'contactar', 'èxit', 'arriben', 'assolir', 'pegar-se', 'eliminar', 'batada_vàlida', 'xoc', 'copejar', 'topada', 'arribar', 'marcar', 'creuar-se', 'ensopegar', 'pico', 'ferir', "treure_de'n_mig", 'colpejar', 'impacte', 'ocórrer', 'col_·_lisió', 'anotar', 'hīt'}
hold	{'abrigar', 'aferrall', 'perdurar', 'clau_de_cap', 'limitar', 'defensar', 'aguantar', 'considerar', 'bodega', 'tirador', 'entregar', 'prensió_palmar', 'ansa', 'portar', 'declarar', "s'apliquen", 'subjectar', 'agafador', 'demora', 'moderar', 'posseir', 'custodiar', 'propinar', 'sostenir', 'detenir', 'judicar', 'imperar', 'contenir', 'controlar', 'estancar', 'donar', 'cubertada', 'primar', 'presó_provisional', 'sostenir_la_lluita_lliure', 'aferrador', 'sustentar', 'aplicar-se', 'posseïr', 'àrea_de_càrrega', 'manejar', 'mantenir', 'ostentar', 'obligar', 'katame-waza', "àrea_d'emmagatzematge", 'presentació_sosté', 'acord', 'coincidir', 'resistir', 'adherència', 'mànec', 'dur', 'detenció_provisional', 'tenir', 'revelar', 'apreciació', 'agarrada', 'agafada', 'nansa', 'prendre', 'ser_aplicable', 'prevaler', 'embragatges', 'retard', 'jutjar', 'convenir', 'maneta', 'acordar', 'el_celler_de_càrrega', 'agafall', 'detenció', 'reflex_palmar', 'dispensar', 'empunyadura', 'calderó', 'suportar', 'conservar', 'espera', 'contenen', 'custòdia_policial', 'estimar', "estar_d'acord", 'reservar', 'custòdia_judicial', 'custòdia', 'retardament', 'pactar', 'sostenir-se', 'calderò', 'temps_de_retard'}
horn	{'banyes_francesos', 'trompes', 'antena_botzina', 'trompetista', 'banya_de_caça', 'banya_francès', 'automòbil_banya', 'horn', 'botzina_de_bicicleta', 'trompa', 'corneta', 'cornetes', 'clàxon', 'cadira_banya', 'clàxon_del_vehicle', 'corn_francès', 'trompetistes', 'banya', 'motor_banya', 'gaienhofen', 'cotxe_banya', 'trompeta', 'banyes', 'banyam', 'trompista', 'trompetista_de_jazz', 'corn'}
how	{'paraula_interrogativa', 'pronom_interrogatiu', 'pronoms_interrogatius', 'com', 'hands_all_over', 'how', 'interrogatiu'}
hunt	{'richard_morris_hunt', 'cacera', 'james_henry_leigh_hunt', 'william_holman_hunt', 'cinegètiques', 'caçar', 'recerca', 'caça_de_la_guatlla', 'caça_excessiva', 'hunt', 'holman_hunt', 'caça', 'cerca', 'hunt_club', 'cinegètica', 'leigh_hunt', 'caçadors', 'cinegètic', 'william_henry_hunt'}
hurting	{'indolores', 'mal', 'dolor_agut', 'dolor', 'sensació_de_dolor', 'sensació_dolorosa', 'dany'}
husband	{'marit', 'consort', 'esposa', 'husband', 'home', 'cònjuge', 'economitzar', 'espòs', 'persona_casada', 'company', 'home_casat', 'preservar', 'mitja_taronja', 'conservar', 'soci', 'parella'}
i	{'upla', 'iode_molecular', 'tupla', 'a', 'yo,_la_peor_de_todas', 'ｲ', 'n-pla', 'nanoampere', 'イ', 'u', 'n-epla', 'ｨ', 'n-upla', 'nombre_u', 'identitat_multiplicativa', 'nombre_atòmic_53', 'isoleucina', 'amperes', 'i̇', 'unitat', 'miliampers', '1', 'tuples', 'ì', 'intensitat', 'n-eples', 'n-tupla', 'ィ', 'amper', 'intensitat_de_corrent', 'intensitat_de_corrent_elèctric', 'い', 'any', '+1', 'ぃ', 'vocal_tancada_anterior_no_arrodonida', 'í', 'nombre_1', 'dos', 'tuple', 'и', 'corrent_elèctric', 'i', 'yo', 'epla', 'n-tuple', 'sèxtuple', 'vocal_i', 'front_estret_sense_arrodonir_vocal', 'n-ples', 'intensitat_elèctrica', 'corrent_convencional', 'ma', 'iode', 'ampere', 'vocal_tancada_anterior_no_arredonida', 'corrents_elèctrics', 'unitat_imaginària', 'ile', 'any_gregorià', 'corrent', 'un', 'número_atòmic_53'}
ice	{'c10h15n', 'desoxyn', 'meth', 'motor_de_combustió_interna', 'patinatge_sobre_gel', 'clorhidrat_de_metamfetamina', 'gel', 'shabu', 'gelar', 'inter-city_express', 'pervitin', 'glaçar-se', 'collita_de_gel', 'glacejat', 'emirates_airline', 'in_case_of_emergency', 'gelar-se', 'dextromethamphetamine', 'gebrat', 'pista_de_gel', 'ice', 'motors_de_combustió', 'vehicle_motor_de_combustió_interna', 'inter_city_express', 'metil_metanfetamina', 'gelat', 'intercityexpress', "institut_costarricense_d'electricitat", 'congelant', 'motor_de_cotxe', "en_cas_d'emergència", 'glaçar', "cas_d'emergència", 'combustió_interna', 'deoxyephedrine', 'metamfetamina', 'sucre_glacé', 'pista_de_patinatge', 'glaç', 'motors_de_combustió_interna', 'gel_artificial', 'metanfetamina', 'pista_de_patinatge_sobre_gel', 'metedrina', 'metamfetamines', 'línies_aèries_dels_emirats', 'emirates', 'ice_la_fox', 'aa', 'emirates_airlines', 'metamfetamina_cristal_·_lina'}
if	{'if....', "factor_d'impacte", 'aventura_de_text', 'if', 'unmixed', 'factor_d’impacte', 'impact_factor', "castell_d'it", 'si', 'command.com', "château_d'if", 'if...', 'ficció_interactiva', 'condicional', 'stadium_arcadium', '(if)', 'factor_intrínsec', 'aventures_conversacionals', 'aventures_de_text', 'aventura_conversacional', 'if-then-else', "castell_d'if"}
ignorance	{'ignorància', 'incultura', 'ignorance', 'avidya'}
illness	{'afecció', 'malalt', 'malestar', 'condició_mèdica', 'taxa_de_morbiditat', 'malalties', 'morbositat', 'malaltia', 'morbosa', 'patologies', 'tel·lurisme', 'patologia', 'condicions_mèdiques'}
impress	{'reclutament_forçós', 'colles_de_premsa', 'imprimir', 'requisa', 'requisició', 'repercutir', 'estampar', 'marcar', 'afectar', 'impressionar'}
in	{'número_atòmic_49', 'dins', 'nombre_atòmic_49', "l'índia", 'element', 'hoosier_estat', "república_de_l'índia", 'in', 'a_dins', 'indiana', 'unió_índia', 'polzada', "república_d'índia", 'bharat', 'polzades', 'india', 'indi', 'en', 'índia'}
invention	{'innovacio', 'innovació', 'invenció', 'innovació_tecnològica', 'concepció', 'invents', 'innovacions', 'inventors', 'inventar', 'invent', 'inventat'}
investigation	{'investigació_científica', 'pesquisidor', 'investigador', "mètodes_d'investigació", 'perquisició', 'estudiós', 'investigació', 'recerca', 'investigadors', 'indagació', 'investigació_original', 'recerca_científica', 'perquisidor', 'indagador', 'recercador', 'investigar', 'investigadora', 'investigació_acadèmica'}
invisible	{'holy_diver', 'elevate', 'invisible', 'taylor_swift', 'dream_evil', 'evilized', 'sound_of_white_noise', 'invisibilitat', 'floored', 'discret'}
job	{'problema', 'emprar', 'ocupació', "mà_d'obra_contractada", 'tasques_pendents', 'control_de_tasques', 'ocupadors', 'especular', 'job', 'vacant', 'quefer', 'lluitador_preliminar', 'vida_laboral', 'feina', 'empleats', 'negoci', 'línia_de_treball', 'tasca', 'deure', 'dificultat', 'treball', 'faena', 'emprats', 'personal', 'llibre_de_job'}
jungle	{'selva', 'oldschool_jungle', 'jungle', 'the_jungle', 'hobo_campament', 'jungla', 'la_jungla', 'out_of_the_blue', 'jungles', 'selves', 'shine_a_little_love'}
key	{'tecla', 'cayes', 'clau_criptogràfica', 'cartògraf', 'xifra', 'índex_de_base_de_dades', 'dicotomica', 'clau_dicotòmica', 'adriaen_thomasz_key', 'quadre', 'color_negre', 'índex', 'inkiness', 'tonalitat', 'taula', 'elemental', 'clau_de_pany', 'gràfic', 'màquina_de_xifrat', 'claus_de_volta', 'central', 'negror', 'clau', 'clau_de_xifrat', 'pedra_clau', 'carril_de_tirs_lliures', 'xifrat', 'key', 'essencial', 'fonamental', 'cartogràfics', 'cay', 'cartografia', 'disàmara', 'identificar', 'cartogràfic', 'clau_secreta', 'cartògrafs', 'codi_de_correspondència', 'clau_principal', 'gràfica', 'florida_clau', 'índex_de_base_dades', 'la_cartografia', 'bàsic', 'cartogràfiques', 'samara', 'xifres', 'descriure', 'clau_única', 'xaveta', 'codi_secret', "clau_d'arc", 'primordial', 'diagrama', 'denominar', 'clau_musical', 'samaroide', 'descobrir', 'música_tonal', "clau_d'identificació", 'negres', 'criptogràfic', 'cayos', 'willem_key', 'fruit_clau', 'sàmara', 'francis_scott_key', 'clau_de_xifratge', 'clau_de_volta', 'negre', 'sistema_tonal'}
kill	{'defuncions', 'homicidi', 'kill', 'defunció', 'morir', 'decés', 'derrotar', 'traspàs', 'assassinat', 'the_kill', 'traspassament', 'òbit', 'va_morir', 'desaparició', 'mort', 'esborrar', 'matant', 'matança', 'assassinar', 'matar', 'mort_prematura'}
kindness	{'amabilitat', 'forgivingness', 'bondat', 'gentilesa', 'clemència', 'cortesia'}
king	{'sobirà', 'campió_mundial', 'george_king', 'gran_empresari', 'martin_luther_king_jr', 'fusta_baró', 'billie_jean_king', 'magnat_dels_negocis', 'riley_b_king', 'gran_home_de_negocis', 'potentat', 'billie_king_jean', 'rex', 'monàrquics', 'charles_bird_king', 'monarquia', 'executiu', 'king', 'magnats', 'reialesa', 'b.b._king', 'billie-jean_king', 'billy_jean_king', 'industrials', 'billie_jean_moffit', 'reines', 'martin_luther_king', 'monarca_masculí', 'el_líder_empresarial', 'plusmarquista_mundial', 'monarquía', 'regnant', 'rei', 'king.com', 'b._b._king', 'líder_empresarial', 'monarquies', 'king_ov_hell', 'monarca', 'magnat', 'monàrquic', 'reverend_horton_heat', 'magnat_navilier', 'campió_del_món', 'monarques', 'industrial', 'billie_jean_moffitt_king', 'cap_coronat'}
knee	{'cassoleta', 'articulatio_gènere', 'sufocar', 'genoll_humana', 'genolls', 'genu', 'lesió_al_genoll', 'genoll', 'articulació_del_genoll'}
know	{'coneixements', 'fotre', 'capacitats_cognitives', 'noesis', 'coneixement', 'cognitiu', 'episteme', 'facultats_cognitives', 'fer_un_clau', 'tirar-se', 'capacitat_cognitiva', 'conèixer', 'cognicions', 'coneixença', 'processos_cognitius', 'noesi', "fer_l'amor", 'fotre_un_clau', 'experimentar', 'processament_cognitiu', 'processat_de_la_informació', 'facultat_cognitiva', 'cognició', 'reconèixer', 'encantar', 'sentir', 'follar', 'cardar', 'funció_cognitiva', 'saber'}
lady	{'senyora', 'títol', 'aristòcrata', 'verge_maria', 'santa_maria', 'la_verge', 'paresa', 'títol_de_respecte', 'dames', 'la_verge_maria', 'lady_and_the_tramp', 'mare_de_deu', "mare_de_déu_de_l'assumpció", 'títols', 'noble', 'the_lady', 'maria,_mare_de_jesús', 'la_dama_i_el_rodamón', 'maria_de_natzaret', 'dama', "dóna'm", 'virginitat_perpètua_de_maria', 'mary', 'lady', 'verge', 'estil', 'forma_de_direcció', 'maria'}
lake	{'llac_natural', 'llac_efímer', 'lake', 'estany', 'pigmentació', 'llacs', 'pigmentats', 'pigments', 'llac', 'the_ramble_and_the_lake', "llac_d'aigua_dolça", 'llac_intermitent', 'pigment', 'laca'}
land	{'immobiliària', 'länder', 'dret_immobiliari', 'bé_immoble', 'estats_federats_alemanys', 'land_alemany', 'propietari_terratinent', 'béns_seents', 'inamovible', 'béns_arrels', "estats_d'alemanya", 'aterrar', 'bundesland', 'estats_mexicans', 'societat_política', 'organització_territorial_de_mèxic', 'terra_seca', 'estats_alemanys', 'propietat', 'estat_del_món', 'nacional', 'sector_immobiliari', 'terra_ferma', 'finca', "teoria_declarativa_de_la_de_condició_d'estat", 'llei_de_terres', 'indústria_de_béns_arrels', 'immoble', 'estat_federat_alemany', 'hisenda', "estats_federals_d'alemanya", 'estat_alemany', 'divisions_administratives_de_mèxic', 'acres', 'domini', 'domini_feudal', 'heretat', 'estatal', 'terra', 'drets_de_la_terra', 'agricultura', 'nacions', 'terreny', 'cos_polític', 'país', 'república', 'res_publica', "estat_federat_d'alemanya", 'terra_sòlida', 'divisió_política_de_mèxic', 'land', 'bundesländer', 'edwin_h._land', "teoria_declarativa_de_la_condició_d'estat", 'estat_federal', 'latifundi', 'governamentals', "estat_d'alemanya", 'bundesland_alemany', 'estat_sobirà', 'immobles', 'territori', 'teoria_declarativa_de_la_estadidad', 'països', 'estat_propi', 'béns', 'estat_independent', 'estat_mexicà', 'propietat_de_la_terra', 'estat_federat', 'sòl', "forma_d'estat", 'estat', 'din_land', 'poble', "teoria_constitutiva_de_la_condició_d'estat", 'edwin_herbert_land', 'nació', "estats_federats_d'alemanya", "teoria_declarativa_de_l'estadidad", 'estats', 'béns_immobles', 'estats_sobirans', 'federació_mexicana', 'de_terra_ferma,', 'entitats_federatives_de_mèxic', 'portar', 'estat_federal_alemany', 'àmbit', 'estats_federals_alemanys'}
laugh	{'rialla', 'agudesa', 'sortida', 'acudits', 'jocosa', 'acudit', 'ocurrència', 'jocós', 'broma', 'gràcia', 'riure'}
law	{'forces_policials', 'dret_bizantí', 'legal', 'la_filosofia_del_dret', 'dret', 'codi_de_dret_canònic', 'legislativa', "exercici_de_l'advocacia", 'earthling', 'ciències_del_dret', "agent_de_l'autoritat", 'agent_de_policia', 'policials', 'cànon', 'teoria_legal', 'filòsof_legal', 'regla', 'forces_de_seguretat', 'agents', 'llei_natural', 'departament_de_policia', 'estudiant_de_dret', 'canonista', 'canònic', 'estatut_de_la_llei', 'jurídic', 'drets_naturals', 'policia_armada', 'dret_canònic', 'jusnaturalisme', "forces_de_l'ordre", 'força_de_policia', 'protecció_policial', 'policia', "llei_de_l'església", 'pràctica_de_la_llei', 'jurisprudent', 'cos_policial', 'llei_eclesiàstica', 'lleis_de_la_física', 'llei_de_la_naturalesa', 'estudis_jurídics', 'professor_de_dret', 'jurisprudència', 'serveis_legals', 'lleis_físiques', 'llei_física', 'jurídics', 'llei_científica', 'dret_processal', 'departaments_de_policia', 'força_policial', 'iusnaturalista', 'lleis_naturals', 'batalla_legal', 'pràctica_no_autoritzada_de_la_llei', 'dret_grecoromà', 'llei', 'llei_social', 'normativa', "forces_de_l'ordre_públic", 'legislació', 'dret_natural', 'dret_adjectiu', 'filosofia_del_dret', 'm72_law', 'iusnaturalisme', 'dret_eclesiàstic', 'advocat_canònic', 'la_llei_natural'}
leaf	{'infoli', 'vers', 'recto', 'dors', 'arbre', 'in-folio', 'leafage', 'aixelles', 'fulla', 'nomofil·les', 'foli', 'adaxial', 'afil·le', 'crenats', 'beina_de_la_fulla', 'full_basal', 'fullatge', 'nervadura_central', 'anvers_i_revers', 'recte', 'foliar', 'nissan_leaf', 'paullinia_pterophylla', 'fulle', 'fulles_compostes', 'recto_i_verso', 'abaxial', 'fullejar', 'aixella_del_full', 'verso', 'marge_del_full', 'bosc', 'aixella', 'fullam', 'pubescents', 'fulles', 'full'}
left	{'esquerres', "d'esquerres", 'jardí_esquerra', 'col·lectivista', 'esquerre', 'esquerra', 'progressisme', 'ultraesquerra', 'tendència_esquerrana', 'e.r.c.', 'esquerrà', 'crida_nacional_a_esquerra_republicana', 'progresisme', 'erc', 'catalunya_decideix', 'esquerra_republicana_de_catalunya，缩写为erc', "a_l'esquerra", 'esquerrans', "política_d'esquerres", 'crida_nacional_a_esquerra_republicana_de_catalunya', 'crida_nacional_a_erc', 'oposició_d’esquerra', 'restant', 'mà_esquerra', 'er', "política_d'esquerra", 'esquerranisme', 'esquerra_política', 'progressiste', 'esquerra_republicana', 'esquerra_republicana_de_catalunya', 'esquerra_republicana_de_catalunya_-_secció_local_dels_hostalets_de_pierola', 'ala_esquerra', "oposició_d'esquerra", 'crida_nacional', 'sobrer', 'progressista', 'crida_nacional_a_esquerra', 'col_·_lectivista', 'venstre'}
leg	{'membre_inferior', 'coixinet', 'pegleg', 'etapa', 'cama_de_fusta', 'cama', 'cama_artificial', 'catet', 'extremitat_inferior', 'cama_humana', 'crus', 'cames', 'pota_de_pal', 'cama_protètica', 'ramificació', 'membres_inferiors', 'dues_potes_partit', 'pota', 'dos_potes', 'fractura_a_la_cama', 'eliminatòria_a_doble_partit', 'potons'}
level	{'punt', 'grau_tonal', 'aplanar', 'nivell_bombolla', 'esplanar', 'etapa', "graus_de_l'escala", 'plantes', "grau_de_l'escala", 'nivell_de_bombolla', 'desarticular', 'planta_de_numeració', 'experiència', 'pisos', 'grau', 'anivellar', 'pla', 'nivell', 'allisar', "punts_d'experiència", 'tapar_sots', 'llis', 'fase', "nivell_d'aire", 'terraplenar', "nivell_d'experiència", 'planta', 'uniformar', 'apuntar', 'levél', 'adema', 'igualar', 'talar', 'superfície_horitzontal', 'pis', 'arrasar', 'level', 'grau_evolutiu'}
liar	{'lires', 'chelys-lyra', 'lira', 'liar', 'republic', 'so_far,_so_good..._so_what!', 'prevaricador', 'louder_now', 'mentider'}
lie	{'ocupar', 'jaure', "ajeure's", 'trygve_halvdan_lie', 'engany', 'jeure', 'mentir', 'història', 'residir', 'trobar-se', 'falsa', 'falsedat', 'falsetat', 'allitar', 'habitar', 'bola', 'falsia', 'abocar', 'bluf', 'falòrnia', 'trola', 'ajeure', 'trygve_lie', 'pel·lícula', 'estendre', 'trygve_lie_halvden', 'absolute_first_album', 'the_lie', 'ajaçar', 'lie', 'radicar', 'mentida', 'mala_presentació', 'ajaçar-se', 'awake'}
light	{'abrandar', 'reflexió_de_la_llum', 'team_17', 'guspira', 'encenedors', 'calar', 'lluminositat', 'radiació_visible', 'brillant', 'luminància', 'encenedor', 'làmpada', 'team17', 'peladits', 'lasciu', 'enllumenar', 'light', 'mistera', 'desmuntar', 'light_yagami', 'claror', 'iniciador_pirotècnic', 'radiació_electromagnètica_visible', 'festejador', 'espectre_visual', 'llum_elèctrica', 'nivell_de_brillantor', 'pàl·lid', 'flama', 'luxuriós', 'encimbellar-se', 'net', 'finestres', 'font_de_llum', 'posar', 'encendre', 'il·luminar', 'dins_de_crist', 'ones_de_llum', 'abstemi', 'finestral', 'promiscu', 'clar', 'espurna', 'llum', 'llum_interior', 'llicenciós', 'lleuger', 'lluminós', 'claredat', 'llum_visible', "encendre's", 'parar-se', 'finestra', 'nítid', 'ona_de_llum', 'team17_software', 'metxa', 'il·luminació', 'llibertí', 'brillantor'}
live	{'ser_viu', 'perdurar', 'habitar', 'jennifer_lopez', 'dúctil', 'flexible', 'viu', 'simian_mobile_disco', 'forma_de_vida', 'sentir', 'gira_de_concerts', 'existir', 'directe', 'live', 'sobreviure', 'subsistir', 'saber', 'viure', 'ocupar', 'concerts_de_música', 'pigmy_love_circus', 'morar', 'concerts', 'vital', 'poblar', 'recitals', 'live!', 'recital', 'r.e.m._live', 'audició', 'gira', 'música_en_viu', 'residir', 'durar', 'en_directe', 'jennifer_lópez', 'persistir', 'live_at_the_marquee', 'experimentar', 'vida', 'matèria_viva', 'en_viu', 'doble_concert', 'concert', 'built_to_spill', 'vitalitat', 'elàstic'}
liver	{'fetge_de_res', 'fetge', 'hepàtics', 'hepàtic', 'hepàtica', 'fetge_de_vaca'}
