ability	{'yetenek', 'yeteneği'}
lady	{'leydinin_aşkı', 'adres_formu', 'nam', 'bayanlar', 'lady_and_the_tramp', 'unvan', 'saygı_başlığı', "tanrı'nın_anası", 'san', 'bakire_meryem', 'tarzı', 'meryemana', 'virgin', 'hanım', 'titr', 'meryem', 'başlık', 'dame', 'the_lady', 'meryem_ana', 'lady', 'bayan', 'leydi_ve_sokak_köpeği', 'soylu_kadın', 'kutsal_bakire', 'leydi_oldu', 'mary', 'leydi', 'leydi_ile_serseri', 'hanımefendi'}
lake	{'aralıklı_göl', 'göl', 'pigment', 'pigmentler', 'doğal_göller', 'pigmentasyon', 'doğal_göl', 'lake', 'tatlı_su_gölü'}
land	{"meksika'nın_eyaletleri", "meksika'nın_idari_bölümleri", 'egemen_devlet', 'taşınmaz_mal', 'res_publica', 'ulusal', 'toprak_sahibi', 'land', "almanya'nın_eyaletleri", 'arazi', 'sağlam_bir_zemin', 'gayrimenkul', 'tarım', 'din_arsa', 'mülk', 'dönüm', 'yer', 'meksika_devlet', "meksika'nın_idari_bölünüşü", 'demesne', "almanya'nın_eyâletleri", 'devlet_kurumu', 'dünyasında', 'devlet', 'memleket', 'karada', 'almanya_eyaletleri', 'hükümranlık_alanı', 'feodal_etki', 'ulus', "almanya'nın_bölgeleri", 'gayrimenkul_hukuku', 'arazi_hakları', 'millet', 'eyalet', 'ülke', 'emlâk', 'taşınmaz', 'edwin_herbert_land', 'malikâne', 'bölge', 'kara', 'toprak', 'kara_kütlesi', 'toprak_hukuku', 'meksika_eyaletinden', 'emlak'}
laugh	{'kahkaha', 'gülmek', 'fikra', 'şaka', 'şakacı', 'seyrani', 'fıkra', 'gülüş', 'alay_etmek'}
law	{'doğal_hukuk', 'hukuk_eğitimi', 'doğa_hukuku', 'lav_silahı', 'kilise_kanunu', 'polis_departmanı', 'polislik', 'polis_departmanları', 'hukuk_fakültesi', 'earthling', 'kanun_uygulaması', 'polisler', 'yasa_dışı', 'hukuki', 'doğa_kanunu', 'hukuk_felsefesinin', 'fizik_kanunu', 'kanonik_hukuk', 'hukukçu', 'm72_law', 'hukuk_profesörü', 'fıkıh', 'zabıta', 'resmî', 'güvenlik_güçleri', 'kilise_hukuku', 'hukuk_felsefecisi', 'hukuk', 'hak', 'kanon_hukuku', 'canon_avukat', 'yasama', 'doğal_hukuk_kuramı', 'hukuk_öğrencisi', 'silahlı_polis', 'kanunu', 'kanun', 'polis_gücü', 'hukuksal', 'güvenlik_gücü', 'hukukî', 'yasal', 'polis_koruması', 'polis', 'yasa', 'tüze', 'yasalar', 'yazılı_hukuk', 'resmi'}
leaf	{'yapraklar', 'sayfa', 'büyük_boy', 'orman', 'yeşillik', 'nissan_leaf', 'axil', 'bazal_yaprak', 'recto', 'axils', 'tüylü', 'ağaç', 'çentikli', 'yaprak', 'yaprağın_görevi', 'paullinia_pterophylla', 'abaxial', 'yaprak_kılıf', 'verso', 'recto_ve_verso', 'adaxial', 'folyo'}
left	{'sol_politika', 'sol_muhalefet', 'kolektivist', 'sol_el', 'sol_siyasetin', 'sol_eğilimli', 'solculuk', 'venstre', 'sol-kanat_oyuncusu', 'sol_kanat', 'sol', 'solcular', 'esquerra_republicana_de_catalunya', 'solcu'}
leg	{'çift_maçlı_eliminasyon_sistemi', 'kırık_bacak', 'pegleg', 'çift_maçlı_eleme_sistemi', 'ayak', 'dallanma', 'i̇nsan_bacağı', 'iki_ayaklı', 'iki_ayaklı_kravat', 'tahta_bacak', 'çift_maçlı_eleminasyon_sistemi', 'iki_ayaklı_maç', 'ayağı', 'insan_bacak', 'alt_bacak', 'alt_ekstremite', 'bacak', 'dik_kenar', 'budaklanma'}
level	{'evrimsel_notu', 'levél', 'zemin_numaralandırma', 'derecesi', 'katta', 'katlı', 'kumpas', 'düzey', 'üzerine_gitmek', 'ölçek_derece', 'level', 'skala_derecesi', 'bölüm', 'düz', 'su_terazisi', 'adema', 'seviye', 'yatay_yüzey', 'kat', 'deneyim_puanı', 'tecrübe_puanı'}
liar	{'liră', 'yalancı', 'republic', 'louder_now', 'liar', 'glory', 'lyres', 'lir', 'so_far,_so_good..._so_what!'}
lie	{'malprezentasyon', 'palavra', 'vefasızlık', 'yatmak', 'lie', 'trygve_halvden_lie', 'yalan', 'awake', 'uzanmak', 'lie_trygve', 'the_lie', 'absolute_first_album', 'trygve_lie', 'martaval', 'sahtelik', 'beyaz_yalan'}
light	{'ışık_yansıması', 'hafif', 'ışıklılık', 'light_yagami', 'ışık_dalgaları', 'pervaz', 'işık', 'ışık_yansıma', 'light', 'pencere', 'işığın_kırılması', 'açık', 'yakmak', 'aydınlatmak', 'görünür_ışık', 'içinde_işık', 'çıkarmak', 'soluk', 'ışık', 'ışığında', 'görünür_radyasyon', 'yeğni', 'ışık_kaynağı', 'elektrik_lambası', 'dayanmalık', 'görünür_ışınlar', 'isik', 'parlaklık_seviyesi', 'ışıklandırmak', 'cam', 'çakmak', 'luminousness', 'parlaklık', 'görülebilir_ışık', 'lamba', 'mesih_içinde', 'air', 'iç_işık', 'işık_dalgaları'}
live	{'live!', 'live', 'simian_mobile_disco', 'live_1999', 'j-lo', 'ömür', 'yaşam', 'deneyim_başardık', 'r.e.m._live', 'gösteri', 'performans', 'yaşamın_kökeni', 'sürecek', 'jennifer_lópez', 'jennifer_lynn_lópez', 'selena_live!', 'canlı', 'live_at_the_marquee', 'hayat', 'built_to_spill', 'konser_turnesi', 'jennifer_lopez', 'j._lo', 'jlo', 'canlı_konser', 'pigmy_love_circus', 'canlı_müzik', 'yaşamak', 'konser', 'müzik_konserleri', 'j.lo'}
liver	{'sığır_karaciğeri_vardır', 'ciĝer', 'sığır_eti_karaciğer', 'hepatik', 'hepar', 'karaciğer'}
long	{'longa', 'long', 'özlemek', 'bloody_roar', 'hislenmek', 'uzun', 'william_henry_long'}
louse	{'arthropod', 'eklem_bacaklı', 'bitler', 'biti_emme', 'yavşak', 'sirke', 'eklem_bacaklılar', 'artropodlar', 'ısırma_biti', 'arthropoda', 'biti', 'artropod', 'bit_sirkesi', 'kir_topu', 'kuş_biti', 'fidanbiti', 'bit', 'eklembacaklı', 'eklembacaklılar', 'phthiraptera'}
magic	{'gözbağı', 'thaumaturgy', 'octiron', 'başkalaşım', 'axel_rudi_pell', 'sahne_sihirli', 'leandro_marín', 'justin_randall_timberlake', 'ak_büyü', "traumaturgus'un", 'animagus', 'büyü', 'magic:_the_gathering', 'hüner_conjuring', 'dame_kiri_te_kanawa_janette', 'dame_kiri_te_kanawa', "hogwarts'daki_portreler", 'sihir', 'hokkabaz', 'justin_timberlake', 'driving_rain', 'büyücülük', 'çataldili', 'sihirli_aile', 'hokkabazlık', 'zihinbend', 'iki_yönlü_ayna', 'kiri_te_kanawa', 'sihirli', 'octarine', 'te_kanawa', 'magic', 'thaumaturge', 'harikalar', "hogwarts'taki_portreler", 'i̇llüzyonist', 'sahne_sihirbaz', 'bir_çeşit_büyü', 'pluto', 'thaumaturgic', 'maji', 'diskdünya', 'secret_time', 'take_me_home', 'miras_döngüsü', 'magic!', 'volshebstvo', "harry_potter'da_sihir", 'illüzyonistler', 'make_a_scene', 'direnişçi'}
man	{'metropol_alan_ağı', 'erkekler', 'ellan_vannin', 'kişi', 'manfred_gnadinger', 'man', 'atanatári', 'vale', 'homo_sapiens', 'firiath', 'firyar', 'man_sayfaları', 'kimse', 'fírimar', 'acun', 'cornelis_de_man', 'adam', 'i̇nsan', 'relient_k', 'uşak', 'mann_adası', 'insanlık', 'engwar', 'ana_kent_alan_ağı', 'herif', 'cinsel_olgunlaşma', 'insanlar', 'firebrim', 'erkek', 'metropolitan_alan_ağı', 'man_adası', 'eboennin', 'centilmen_centilmen', 'homo', 'firimar', 'mann_adasi', 'kişioğlu', 'insan_türünün', 'asker', 'batman', 'insanoğlu', 'cinsel_olgunluğa', 'manchester_havalimanı', 'âdemoğlu', 'wen', "dunlandliler'i", 'beşer', 'man_-_metropol_alan_ağı', 'cinsel_olgun', 'ademoğlu', 'insan', 'man_(elkitabı)_sayfası', 'i̇nsanoğlu', 'isle_of_man', 'şahıs', 'valet_de_chambre', 'dunlending', 'aphadrim', 'apanonar', 'apanónar', 'adem_evladı', 'man_truck_&_bus_ag', 'beşeriyet', 'hildor', 'taş', 'insan_ırkı', 'wan', 'i̇nsan_oğlu', 'dünya', 'yetişkin_erkek', 'i̇nsanlar'}
many	{'çok', 'many', 'birçok'}
marriage	{'evlilik', 'evlenmek', 'nikah', 'sünnet_düğünü', 'evlilik_töreni', 'düğün', 'katolik_evlilik', 'evli_çift', 'karı_koca', 'eş_ilişkisi', 'hymeneals', 'hiçlik', 'çiftler_evli', 'gerdek', 'birlik', 'evli', 'sivil_düğün', 'nikâh', 'hiçlikten', 'birliktelik', 'bağlılık_töreni', 'düğün_töreni'}
material	{'şeyler', 'otel_tekstili', 'hammadde', 'özdekçilik', 'materyalizm', 'materyalcilik', 'physicalism', 'materyalizim', 'tekstil', 'maddeci', 'materyalistik', 'fiziksel_ontoloji', 'kumaş', 'materyalistler', 'ev_tekstili', 'tekstil_terimleri', 'malzeme', 'materyalist', 'maddecilik', 'dokumacılık', 'tekstilci'}
mathematical	{'matematiğin_günlük_hayattaki_önemi', 'riyaziye', 'math', 'matematik', 'matamatik', 'dağılımlı_kafes', 'matematiğin_kronolojisi', 'matematiksel', 'modern_matematik', 'matematikte'}
meat	{'et_bilim', 'özü', 'ana_fikir', 'asıl_mesele', 'canı_gönülden', 'shawn_stasiak', 'özet', 'etler', 'işlenmiş_et', 'göbek', 'et', 'esansları', 'öz', 'we_will_rock_you'}
mechanism	{'makine', 'kimyasal_mekanizma', 'tepkime_mekanizması', 'sermaye_ekipmanları', 'mekanizma', 'mekanizması', 'reaksiyon_mekanizması', 'hareketi', 'makineleri', 'makina'}
medication	{'i̇lâç', 'i̇lac', 'eczacılık', 'rescue', 'version_2.0', 'i̇laçlar', 'i̇laçların_farmasötik_şekilleri', 'tıbbi_ilaç', 'ilaç', 'i̇laç', 'ilaçlar'}
money	{'money', 'tıngır', 'yeken', 'history', 'para', 'para_birimi', 'servet', 'zenginlik', 'history:_past,_present_and_future_-_book_i', 'history:_past,_present_and_future,_book_i', 'akçe', 'maddi'}
moon	{'ay', 'doğal_uydular', 'güneş', 'luna', 'peyk', 'kamer', 'sun_myung_moon', 'güneş_işareti', 'jüpiter', 'mehtap', 'draconic_ay', 'merkür', 'doğal_uydu', 'uydu', 'ay_ışığında', 'moon', 'kameri_ay', '☽', 'gezegen_uydusu', 'mars', 'synodic_ay', 'air', 'kyôko_fukada', 'venüs', 'ay_ışığı'}
mother	{'sisters_of_avalon', 'a_chorus_line', 'ana', 'chorus_line', "dünya_ana'nın", 'anne', 'annenin_önemi', 'annelerimiz', 'mother', 'rahibe', 'synchronicity', 'rahibeler', 'anne!', 'tanrıça_tapınımı', 'ana_tanrıça', 'dişi_ebeveyn', 'mother!', 'sör', 'toprak_ana', 'annelik'}
mountain	{'yer_kabuğundaki_çıkıntı', 'sahtu_dene', 'az_miktar', 'çok', 'kuzey_slaveyleri', 'cebel', 'çok_miktar', 'sahtular', 'çevirmek', 'dağlar', 'oldukça_küçük_bir', 'lot_', 'mountain', 'büyük', 'passel', 'iyi_anlaşma', 'sürü', '4-8-2', 'dağlık', 'satular', 'dağ', 'iyi_bir_anlaşma', 'sahtu', 'düzenli_toplamı'}
mouth	{'köşe', 'şımarıklık', 'haliç', 'perioral', 'alay', 'labium', 'backtalk', 'oral_fissür', 'oral', 'rima_oris', 'cevap_vermek', 'köşenokta', 'mansaplar', 'ağız_boşluğu', 'ağız'}
movement	{'pislikleri', 'gübre', 'görünürdeki_hareketi', 'defecated', 'hareketi', 'sıçkı', 'arınmak', 'the_pillows', 'devinim', 'dışkılama', 'bağırsak_hareketi', 'sıçmak', 'dışkı', 'motilite', 'phi_fenomeni', 'hareket', 'sıçmık', 'kaka', 'sanat_hareketleri', 'belirgin_hareket', 'bok', 'phi_fenomen', 'tezek', 'kuş_pislikleri', 'hareketin', 'sosyal_hareket', 'büyük_abdest_yapmak', 'movement', 'gayta', 'fışkı', 'nedeni', 'shitting', 'sanat_hareketi', 'pislik', 'tuvaletimi', 'toplumsal_hareket', 'kaka_yapmak', 'kalabalık', 'she_wolf', 'motor_beceri'}
movie	{'büyük_ekran', 'hareketli_resim', 'resim_göstermek', 'hareketli_resim_göstermek', 'sinema_filmi', 'filmide', 'tiyatro_film', 'kites', 'filmlerin', 'tam_hareketli_video', 'sinema_gösterisi', 'hareketli_görüntü', 'film', 'sinema', 'tv_filmi'}
music	{'müzik_türü', 'country-rock', 'musiki', 'the_music', 'musıki', 'müzik', 'country_rock', 'muzic', 'music', 'ahenk', 'muzik', 'teknolojinin_müziğe_etkileri', 'paradise', 'müzi̇k', 'experimental', 'prehistorik_müzik'}
name	{'nam', 'özel_isim', 'söylemek', 'figür', 'bilgisayar_adı', 'değinmek', 'uygun_isimler', 'ad_öbeği', 'isim', 'söz_etmek', 'örnek', 'bahsetmek', 'alenen_tanınmış_kişi', 'isim_tamlaması', 'dile_getirmek', 'özel_isimler', 'kimlik', 'uygun_ad', 'söz', 'gens', 'noun_phrase', 'nominal', 'zikretmek', 'alıntı', 'tanımlayıcıları', 'özel_ad', 'tanımlayıcı', 'id', 'nominal_deyimi', 'ad'}
narrow	{'dar'}
nation	{"meksika'nın_eyaletleri", 'discworld', 'ulus', 'egemen_devlet', "meksika'nın_idari_bölümleri", 'ulusal', 'res_publica', "almanya'nın_bölgeleri", 'kendrick_lamar', 'amelia_moore_ulus_carry', "almanya'nın_eyaletleri", 'millet', 'eyalet', 'diskdünya', 'mülk', 'ülke', 'meksika_devlet', "meksika'nın_idari_bölünüşü", 'ulus_carry', 'apollo_crews', 'toprak', "almanya'nın_eyâletleri", 'devlet_kurumu', 'devlet', 'memleket', 'nation', 'meksika_eyaletinden', 'almanya_eyaletleri'}
near	{'yaklaşmak', 'neredeyse', 'near_shoemaker', 'yakın'}
neck	{'boyun_açılış', 'boyun', 'ense'}
new	{'yeni', 'new'}
news	{'newsworthiness', 'haber_programı', 'güncel_olaylar', 'tv_haber', 'news', 'haberler', 'sorak', 'haber', 'kelime'}
night	{'niks', 'gece_yarısı', 'nyks', 'unbreakable', 'gece', 'eliezer_wiesel', 'gece_vakti', 'élie_wiesel', 'wiesel', 'lacivert', 'nyx', 'night', 'elie_wiesel', 'nox'}
noise	{'spk', 'kozmik_mikrodalga_arkaplan', 'gürültü', 'ses_şiddeti', 'statik_atmosferik', 'akustik_dalga', 'sesler', 'cmbr', 'elektronik_gürültü', 'haphazardness', 'noise', 'sert_gürültü', 'stochasticity', 'ses_nasıl_oluşur', 'radyo_paraziti', 'elementary_os', 'ses_kirliliği', 'ses', 'sinyal_gürültü', 'ses_en_çok_hangi_ortamda_yayılır', 'parazit', 'gürültü_kirliliği', 'ses_dalgası', 'sinyal_gürültü_oranı', 'kozmik_mikrodalga_arka_plan_radyasyon', 'enterferans', 'kozmik_mikrodalga_arkaplan_ışıması', 'gürültü_müzik', 'endüstriyel_gürültü', 'kozmik_mikrodalga_arka_plan', 'kozmik_ışınım', 'rasgele_gürültü', 'cbr', 'ses_dalgaları', 'kozmik_mikrodalga_arkaplan_radyasyonu', 'gürültü_yönetmeliği', 'sesin_oluşumu', 'kozmik_fon_radyasyonu', 'kozmik_mikrodalga_arka_plan_ışıması'}
nose	{'aroması', 'fragrancy', 'koku_organı', 'kokular', 'buket', 'memeleri', 'ıtır', 'burun', 'gore', 'aromatik'}
not	{'mantık_kapısı', 'mantık_kapıları', 'mantıksal_kapılar', 'mantıksal_kapı', 'lojik_kapılar', 've', 'ayrık_mantık', 'değil', 'mantık_devresi', 'olumsuzlama'}
obligation	{'yükümlülüktür', 'söz', 'tahvil', 'borçluluk_belgesi', 'borçlanma_aracı', 'yükümlülük', 'görev', 'mesuliyet', 'yükümlülükleri', 'sorumluluk', 'borçlar_hukuku'}
old	{'yaşlı', 'ihtiyar', 'eski_asma', '5_yaşında', 'önce', 'eski', 'önceki'}
one	{'①', '➊', 'başlığın', 'n-tuple', '1', 'altı_misli', 'tek', '１', 'başarılı_kimse', 'vampire_weekend', 'succeeder', '➀', 'as', '❶', 'bir', '〡', 'one', 'armin_van_buuren', 'birlik', 'planetshakers', 'vertical_man', 'the_one', 'one,_inc.', 'supposed_former_infatuation_junkie'}
other	{'diğer'}
pain	{'pain', "game's_pain", 'akut_ağrı', 'ağrı', 'belası', 'acı_hissi', 'acı', 'ağrı_hissi', 'forever', 'king_of_da_ghetto', 'zarar'}
personality	{'kişiliği', 'personality', 'kişilik'}
philosophy	{'felsefi_akım', 'felsefi_düşünce_akımı', 'düşünce_tarzı', 'felsefi', 'filozof', 'felsefi_bilgi', 'doktriner', 'fikri_akımları', 'felsefî_akımlar', 'felsefî', 'düşünür', 'öğreti', 'filozofi', 'okul', 'felsefi_sistemi', 'felsefeci', 'doktrini', 'düşünbilim', 'filozoflar', 'doktrin', 'felsefi_görüş', 'felsefe_akımları', 'felsefe', 'felsefi_düşünceler', 'felsefi_akımlar', 'felsefi_öğreti', 'felsefi_bir_görüş'}
picture	{'foto', 'büyük_ekran', 'resim_sanatı', 'hareketli_resim', 'kelime_resim', 'başkalaşım', 'filmide', 'tiyatro_film', 'görüntü', 'fotografçılık', 'imaj', 'resimlemecilik', 'zihinsel_imgeler', 'resimleme', 'zihinsel_görüntü', 'animagus', 'avatar', 'resim', 'görsel', 'i̇llüstratör', "hogwarts'daki_portreler", 'hareketli_resim_göstermek', 'soyut_resim', 'çataldili', 'zihinsel_resim', 'fotoğraf', 'zihinbend', 'zihinsel_imge', 'i̇llustrasyon', 'film', 'tv_filmi', 'i̇llüstrasyon', 'kelime-boyama', 'resim_göstermek', 'desen', 'fotoğraf_nedir', "hogwarts'taki_portreler", 'filmlerin', 'sinema_gösterisi', 'kiss', 'resimsel_madde', 'ressamlar', 'sinema', 'ressamlık', 'resimli', 'resimli_kitaplar', 'fotograf', 'klasik_resim', 'i̇lustrasyon', 'hesap_resmi', 'sinema_filmi', 'tasvir', 'resimsel', 'ressam', "harry_potter'da_sihir", 'resimlemeci', 'cobol', 'hareketli_görüntü', 'illüstrasyon', 'çizim', 'resmi'}
pig	{'bayağı_yaban_domuzu', 'evcil_domuz', 'shote', 'sus_scrofa_domestica', 'domuzu', 'porc', 'hırpani_kişi', 'pasaklı', 'kılıksız_kimse', 'yabandomuzu', 'domuz_yavrusu', 'shoat', 'conjoiners', 'vahşi_domuz', 'boru_hattı_kontrol_aygıtı', 'aynasız', 'domuz_yatağı', 'domuz', 'domuz_eti', 'polis', 'yabani_domuz', 'yaban_domuzu', 'domuzcuk', 'hınzır', 'yerli_domuz', 'sus_scrofa', 'conjoiner', 'scrofa', 'saçmak', 'pig', 'tiksindirici', 'pudge'}
plan	{'planı', 'program_yöneticisi', 'çizimler', 'plan', 'program_yönetimi', 'program', 'mimari_plan', 'akıl_etmek', 'mimari_planı', 'mimari_planlama'}
plant	{'montaj_hattı', 'montaj_hatları', 'fabrika', 'bitkiler', 'fabrika_işçisi', 'bitkiler_âlemi', 'bitey', 'factorij', 'vejetasyon', 'trigun', 'flora', 'plantae', 'tesis', 'kurmak', 'bitki', 'sanayi_tesisi', 'montaj_bandı', 'üretim_tesisi', 'plant', 'yaratık_türü_verilir', 'shill', 'fiziksel_tesis', 'florasında', 'feitoria', 'fabrikada', 'bitkinin_kısımları', 'üretim-line', 'üretim_tesisleri', 'üretim_hattı', 'üretimevi', 'işleri', 'bitki_örtüsü', 'nebatat', 'tohumsuz_bitkiler', 'plantea'}
play	{'google_play', 'stageplay', 'tiyatro', 'başıboş', 'oyun_dönemi', 'oyun', 'getirebilir', 'google_play_store', 'play_framework', 'dırama', 'dönemi_oynuyor', 'sıra', 'pırıldamak', 'çalmak', 'oyunlar', 'play_store', 'dramatik_sanatlar', 'piyes', 'eylencelik', 'play', 'dram', 'getirmek', 'drama', 'eğlencelik', 'bahis', 'android_market', 'dramatik_oyun', 'düz_oyun', 'oynamak', 'kumar', 'neşe', 'zıplamak', 'kumarın_zararları', 'söz_düellosu'}
pleasure	{'neşe', 'marcus_cooper', 'marcus_ramone_cooper', 'hoş', 'pleasure_p', 'zevk', 'mutluluk', 'sevinç', 'semisonic', 'sondre_lerche'}
poor	{'fakirlik', 'göreli_yoksulluk', 'yoksulluk_oranı', 'gönüllü_yoksulluk', 'yoksullar', 'fukara', 'züğürt', 'yoksul', 'zavallılar', 'fakir', 'yoksul_insanların', 'yoksulluk_yemini', 'yoksulluk', 'küresel_yoksulluk', 'kentsel_yoksulluk', 'düşük_gelirli'}
prison	{'orta_güvenlik', 'tutukevine', 'cezaevi', 'hapsetmek', 'jailhouse', 'pokey', 'kodes', 'hapishane', 'hapishaneler', 'hapis', 'minimum_güvenlik', 'tom_robinson', 'kılıksız'}
professional	{'üstat', 'kiss_land', 'profesyonel_sporcular', 'profesyonel_kişi', 'uzman', 'usta', 'profesyonel', 'profesyonellik', 'hoca', 'profesyonel_spor', 'profesyonel_futbol', 'profesyonel_görünümlü'}
protection	{'koruyucu_kapak', 'himaye', 'güvence', 'güvenlik', 'koruma', 'ticaret_koruma', 'sâye', 'saye', 'protection', 'selamet'}
pull	{'ters_süpürme', 'çeken', 'batsmen', 'bacak_bakışta', 'çekmek', 'vuruş', 'pull', 'fırt'}
push	{'black_and_white_america', 'buton', 'itmek', 'get-up-and-go', 'push', 'düğmesini', 'darbe', 'confessions_on_a_dancefloor', 'yığıt', 'düğme', 'acı_bir_hayat_öyküsü', 'tuş', 'yığın', 'itme', 'precious', 'confessions_on_a_dance_floor'}
quality	{'kalite_kavramı', 'sembol', 'tınılar', 'renk_tonu', 'vasıf', 'nitelik', 'karakteri', 'sesi', 'kalite', 'quality', 'timbral', 'tını'}
rain	{'john_colton', 'heavy_rain', 'rain', 'yağmur_fırtınası', 'simone_battle', 'yagmur', 'in_blue', 'yağmur_suyu', 'yağış_miktarı', 'baran', 'yağış', 'bardaktan_boşanırcasına_yağan', 'yağmur_fırtına', 'yağmur', 'yağmur_nasıl_oluşur'}
reaction	{'tepki', 'tepkisi', 'kimyasal_tepkime', 'tepkime', 'reaksiyon', 'kimyasal_reaksiyon', 'kimyasal_tepkimeler', 'kimyasal_reaksiyonu', 'kimyasal_değişim', 'kimyasal_reaksiyonlar', 'reaction', 'fiziksel_tepkime', 'etkileşim', 'kimyasal_olarak'}
read	{'kıraat', 'çalışmaya', 'okuma', 'sanmak', 'varsaymak', 'saymak', 'almak', 'çalışmak', 'okumak'}
red	{'red_river', 'bolşevik_parti', 'bolşevikler', 'bolşevizm', 'after_school', 'kırmızı_ışık', 'kırmızı_başlıklı_kız', 'kirmizi', 'al', 'kiraz_rengi', 'red', 'kırmızı', 'bolşevik', 'day_&_age', 'bolşevik_partisi', 'anil_kapoor', 'bolshy', 'bolshie', 'kırmızı_mürekkep', 'red_kamera', 'angry_birds'}
relationship	{'kişilerarası_ilişkiler', 'bağlantı', 'insan_ilişkileri', 'arkadaşlık', 'aile_ilişkileri', 'akrabalık', 'tanışıklık', 'uzun_vadeli_bir_ilişki', 'akraba', 'kişilerarası', 'ilişki'}
religious	{'imanlı', 'dindar', 'mütedeyyin', 'dini', 'inançlı'}
residence	{'kasır', 'ikamet_eden_kimse', 'saray', 'özel_konut', 'ev', 'mesken', 'rezidans', 'sakin', 'hane', 'yer', 'lojman', 'oturan', 'malikâne', 'mansiyon', 'sakini', 'londra_belediye_konağı', 'konak', 'ikamet', 'hane_hanedan_-giller', 'ikametgâh', 'konut'}
right	{'sağcılık', 'tutucu', 'sağ_elini', 'sağcı_siyaset', 'ahlakbilim', 'yasal_hakkı', 'haklar', 'doğal_haklar', 'sağ_kanat_oyuncusu', 'etik_olmayan', 'ahlâkbilim', 'etik', 'düzeltmek', 'haklılık', 'young_americans', 'uygulamalı_etik', 'sağ_kanat', 'hukuk', 'hak', 'solaklık', 'sağ', 'muhafazakâr', 'sağcı', 'sağ_eli', 'töre_bilimi', 'sağ_görüşlü', 'ahlak_bilimi', 'ahlak_felsefesi', 'etik_sistemi', 'doğru', 'doğal_ve_yasal_haklar', 'solak', 'ahlâk_bilimi', 'törebilim', 'sağ_açık', 'devredilemez_hakları', 'düzgün', 'çoğulculuk', 'doğru_ve_yanlış', 'doğal_hakkı', 'ahlâk_felsefesi'}
river	{'dere', 'akarsu', 'irmak', 'sestao_river_club', 'suyolu', 'revival', 'nehirler', 'ruisseau', 'ırmak', 'river', 'nehir', 'watermark', 'irmaklar'}
road	{'karayolları', 'the_road', 'cadde', 'caddeleri', 'new', 'road_oyunu', 'deplasman', 'kumarda_kaybetmek', 'karayolu', 'kara_yolu', 'yol'}
root	{'atalarının', 'öncülü', 'kökenli', 'saç', 'orman', 'kaynağı', '0', 'nth_kök', 'yükselen', "konohagakure'de", 'kıl', 'kaynak', 'saç_rengi', 'kök_nota', 'saç_bakımı', 'tonal_merkez', 'köklenme', 'akord', 'saç_dökülmesi', 'ata', 'sıfır', 'köken', 'root', 'kök_kelime', 'kelime_kökü', 'ağaç', 'tonik', 'yükselen_burç', 'diş_kökü', 'kök', 'atası', 'müzikal_aralığı', 'tüy', 'saç_folikülü', 'kök_kullanıcı', 'kafa_saç', 'başlangıç', 'kıllar', 'kök_alma', 'müzikal_aralıklarla'}
rope	{'ölüm_kararı', 'r-2', 'halatlar', 'meksika_valium', 'bana_ilaç_unutma', 'i̇p', 'eğer_oysa', 'rope', 'ip', 'rophy', 'halat'}
rotten	{'çürük'}
round	{'meyve', 'askeri_mühimmat', 'ödül_savaşçısı', 'dairesel', 'vücut', 'tam', 'round', 'en_önemli_basamak', 'mühimmat_ünitesi', 'yuvarlak', 'denge', 'içkilerle', 'raund', 'box', 'günlük_yuvarlak', 'fişek', 'boksörlük', 'aritmetik_duyarlık', 'tek_bir_atışın', 'stypsis', 'yumruklaşma', 'kurşun', 'çıplak_elle_boks', 'boxing', 'basamaklı_önemli', 'boksçu', 'anlamlı_rakam', 'bareknuckle', 'mermi', 'prizefighting', 'golf_yuvarlak', 'minerality', 'boks', 'az_önemli_basamak', 'kuru', 'kabuk_gövde'}
rub	{'ruble', 'ovma', 'sürtmek', 'rus_rublesi', 'ovalama', 'silme', 'ovmak', 'kaşımak', 'dokundurmak'}
sad	{'üzgün', 'sâd_sûresi', 'mevsimsel_duygulanım_bozukluğu', 'tasalı', 'kış_bunalımı', 'mevsimsel_depresyon', 'gamlı', 'kış_depresyonu', 'mutsuz', 'tsadik', 'lost_dogs', 'sad_suresi', 'melul', 'mahzun', 'sadhe', 'üzüntü', 'sad', 'sâd_suresi', 'mağmum', 'mevsime_bağlı_duygusal_rahatsızlık', 'kaygılı', 'ص', 'keder'}
salt	{'iyonik_tuzudur', 'stratejik_silahların_sınırlandırılması_görüşmeleri', 'salt', 'tuz', 'yemek_tuzu', 'tuzlar', 'sofra_tuzu', 'ajan_salt', 'potasyum_tuzu', 'potasyum_tuz', 'tuzlamak', 'cheryl_james', 'es-salt', 'sodyum_tuzu', 'yol_tuzu', 'tuzluk', 'tuzu', 'tuzlu', 'sodyum_klorür', 'henry_salt', 'salt-n-pepa'}
sand	{'barones_dudevant', 'sand', 'amandine_aurore_lucie_dupin', 'cesaret', 'amandine_aurore_lucile_dupin', 'sand_am_main', 'schönenberg-kübelberg', 'kum', 'george_sand', 'moxie'}
say	{'demek', 'söylemek', 'varsayalım', 'osakis', 'thomas_say', 'in_blue', 'jean-baptiste_say', 'jean_baptiste_say', 'say', 'okumak'}
