ability	{'aptitude', 'schopnost', 'talent'}
i	{'n-tice', 'sextuple', 'okamžitý_elektrický_proud', 'kondukční_elektrický_proud', 'nestacionární_elektrický_proud', 'plošný_elektrický_proud', 'posuvný_proud', 'w(2s,3s)-2-amino-3-metylpentanová_kyselina', 'kyselina_w(2s,3s)-2-amin-3-methylpentanová', 'i', 'и', 'w(2s,3s)-2-amin-3-metylvalerová_kyselina', 'w(2s,3s)-2-amin-3-metyl-pentanová_kyselina', 'w(2s,3s)-2-amin-3-metyl-valerová_kyselina', 'kyselina_w(2s,3s)-2-amino-3-metylvalerová', 'kyselina_w(2s,3s)-2-amino-3-metylpentanová', 'kyselina_w(2s,3s)-2-amino-3-methyl-valerová', 'jod', 'iodum', 'kyselina_w(2s,3s)-2-amino-3-methyl-pentanová', 'průměrný_elektrický_proud', 'vázaný_proud', 'jedna', 'izoleucin', 'kyselina_w(2s,3s)-2-amin-3-methyl-valerová', 'w(2s,3s)-2-amino-3-metyl-pentanová_kyselina', 'vodivostní_elektrický_proud', 'posuvný_elektrický_proud', 'maxwellův_elektrický_proud', 'maxwellův_proud', 'i_bez_tečky', 'ma', 'w(2s,3s)-2-amino-3-methyl-pentanová_kyselina', '➊', 'w(2s,3s)-2-amin-3-methylvalerová_kyselina', 'uspořádaná_n-tice', 'kondukční_proud', 'jednička', 'w(2s,3s)-2-amino-3-methylvalerová_kyselina', 'elektrický_proud', 'nanoampere', 'jodurie', 'w(2s,3s)-2-amin-3-methyl-valerová_kyselina', 'imaginární_jednotka', 'kyselina_w(2s,3s)-2-amin-3-metylvalerová', 'n-tic', 'n-tici', '➀', 'polarizační_proud', 'polarizační_elektrický_proud', 'konvekční_elektrický_proud', 'proud', 'volný_elektrický_proud', 'uzavřená_přední_nezaokrouhlená_samohláska', 'jód', 'vázaný_elektrický_proud', 'ⅰ', 'rok_gregoriánského', 'iodin', 'uspořádaná_dvojice', 'miliampér', 'kyselina_w(2s,3s)-2-amin-3-metylpentanová', 'í', 'volný_proud', 'ampér', 'w(2s,3s)-2-amin-3-metylpentanová_kyselina', 'elektrický_pohyb', 'w(2s,3s)-2-amin-3-methylpentanová_kyselina', 'kyselina_w(2s,3s)-2-amino-3-methylpentanová', 'kyselina_w(2s,3s)-2-amin-3-metyl-valerová', 'ɪ', 'i̇', 'iód', 'w(2s,3s)-2-amino-3-methyl-valerová_kyselina', 'symbol_1', 'kyselina_w(2s,3s)-2-amin-3-methylvalerová', 'ì', 'a', 'w(2s,3s)-2-amino-3-methylpentanová_kyselina', 'vodivostní_proud', '①', 'kyselina_w(2s,3s)-2-amino-3-metyl-valerová', 'w(2s,3s)-2-amin-3-methyl-pentanová_kyselina', 'konvenční_proud', 'y', 'objemový_elektrický_proud', 'tečkované_a_dotless_i', '❶', 'kyselina_w(2s,3s)-2-amin-3-metyl-pentanová', 'rok', 'uspořádaná_k-tice', 'i_s_tečkou', 'atomové_číslo_53', 'jeden', 'téměř_zavřená_téměř_přední_nezaokrouhlená_samohláska', 'w(2s,3s)-2-amino-3-metyl-valerová_kyselina', 'eso', 'isoleucin', 'ile', 'kyselina_w(2s,3s)-2-amin-3-methyl-pentanová', 'w(2s,3s)-2-amino-3-metylvalerová_kyselina', 'kyselina_w(2s,3s)-2-amino-3-metyl-pentanová', 'kyselina_w(2s,3s)-2-amino-3-methylvalerová', 'stacionární_elektrický_proud', '1', 'zavřená_přední_nezaokrouhlená_samohláska', 'jódu'}
ice	{'led', 'spalovacích_motorů', 'spalovacím_motorem', '(s)-n-metyl-1-fenyl-propan-2-amin', 'dextromethamphetamine', 'vnitřní_spalování', 'peří', 'pervitin', 'ice_la_fox', 'desoxyefedrin', 'emirates', 'crystal_meth', 'metamfetaminu', 'perník', 'methedrine', 'motoru_ic', 'n-methyl-amfetamin', 'spalovací_motor', 'dezoxyefedrin', 'c10h15n', 'ma', 'ice_kontakt', 'intercityexpress', 'intercity-express', 'methamfetamin', 'methedrin', 'methylamfetamin', 'n-metyl-amfetamin', 'vareso', 'vodní_led', 'n-methylamfetamin', 'v_případě_nouze', '(s)-n-metyl-1-fenylpropan-2-amin', 'superionický_led', 'superionická_voda', 'ledová_plocha', 'piko', 'metylamfetamin', 'párno', 'desoxyn', 'metamfetamin', '(s)-n-methyl-1-fenyl-propan-2-amin', 'deoxyephedrine', 'zmrzlina', 'polevou', 'motor_s_vnitřním_spalováním', '(s)-n-methyl-1-fenylpropan-2-amin', 'umělé_ledové', 'emirates_airline', 'inter_city_express', 'metedrin', 'metamfetamin_hydrochlorid', 'kluziště', 'n-metylamfetamin', 'meth', 'shabu', 'ice', 'ledová_poleva', 'instituto_de_costarricense_electricidad', 'in_case_of_emergency', 'ledu'}
if	{'(if)', 'if-then-else', 'impact_faktor', 'textových_dobrodružství', "chateau_d'if", 'impakt_factor', 'když…', 'nesmíšené', 'vnitřní_faktor', 'impaktní_faktor', 'command.com', 'interaktivní_fikce', 'if', 'impact_factor', 'pevnost_if', 'podmíněné', 'stadium_arcadium', 'interaktivní_beletrie', 'když', "d'if", 'impakt_faktor', "château_d'if"}
ignorance	{'avidjá', 'nevědomosti', 'l’ignorance', 'nevědomost', 'ignorance', 'avidya', 'neznalost', 'avidždžá'}
illness	{'zdravotní_stav', 'unwellness', 'nemoce', 'nemoc', 'choroba', 'choroby', 'zdravotní_poruchy', 'nemoci', 'morbidní', 'onemocnění', 'morbidita'}
impress	{'impressment', 'tiskové_gangy', 'zapůsobit'}
in	{'indie', 'inch', 'hoosier_stát', 'bharat', 'ze', 'indické_republiky', 'prvek_množiny', 'indium', 'element', 'palce', 'členství', 'atomové_číslo_49', 'inches', 'v', 'india', 'z', 've', 'indická_republika', 'indiana', 'anglický_palec', 'palec', 'in', 'coul', 'palcový_systém', 'ind', 'prvek', 'republika_indie'}
invention	{'vynalézat', 'inovační_procesy', 'inovace', 'vynálezy', 'inovací', 'inovativní', 'vynálezů', 'technologické_inovace', 'invence', 'vynálezu', 'vynález', 'vynálezců', 'invent'}
investigation	{'průzkum', 'akademický_výzkum', 'původní_výzkum', 'výzkum', 'prošetření', 'výzkumných_metod', 'vyšetřování'}
invisible	{'dream_evil', 'sound_of_white_noise', 'invisible', 'evilized', 'elevate', 'holy_diver', 'neviditelnost', 'podlahou', 'taylor_swift', 'floored', 'neviditelný', 'nenápadný', 'neviditelnosti'}
job	{'pracovní_poměr', 'podnikání', 'činnost', 'volné_místo', 'jób', 'práce', 'job', 'úkolem', 'zaměstnanců', 'předběžné_zápasník', 'úloha', 'práci', 'úkol', 'profese', 'kniha_jób', 'job._román_prostého_člověka', 'zaměstnat', 'zaměstnání', 'problém', 'pracovní_pozice', 'řada_prací', 'řízení_práce', 'povolání', 'fuška', 'řízení_úloh', 'pracovního_života', 'problémy', 'kniha_job'}
jungle	{'džungle', 'oldschool_džungle', 'out_of_the_blue', 'jungle', 'hobo_camp', 'shine_a_little_love'}
key	{'polární_stereografická_projekce', 'kartografie', 'grafy', 'neclusterovaný_index', 'inkiness', 'tónování', 'pero', 'mapmaking', 'kód_shody', 'graf', 'cay', 'tajný_kód', 'primární_klíč', 'tonalita', 'šifry', 'klíč_ovoce', 'identifikační_klíč', 'šifrovací_klíč', 'samara', 'tónina', 'nažka_křídlatá', 'tonální_systém', 'key', 'cays', 'index_databáze', 'francis_scott_key', 'černá', 'botanický_klíč', 'tónové_hudby', 'volný_hod_lane', 'kartografů', 'index', 'florida_klíč', 'kryptografický_klíč', 'černá_barva', 'tajný_klíč', 'grafu', 'dvounažka', 'kartografické', 'databázový_index', 'willem_key', 'unikátní_klíč', 'alternativní_klíč', 'klíč', 'kartograf', 'šifra', 'klávesa', 'svorník', 'cayes'}
kill	{'zabít', 'zemřel', 'úhyn', 'zabíjení', 'skon', 'personifikace_smrti', 'kill', 'předčasných_úmrtí', 'zesnout', 'smrt', 'umírání', 'zabitím', 'úmrtí', 'umírající', 'ukončení_života', 'zabití', 'usmrcení', 'exitus', 'the_kill'}
kindness	{'laskavost', 'forgivingness', 'přejícnost'}
king	{'world-šlehač', 'magnátů', 'monarchický', 'obchodní_vedoucí', 'magnáta', 'monarchie', 'šachový_král', 'panovnice', 'king', 'král', 'billie_jean_king', 'průmyslník', 'king.com', 'samec_monarcha', 'korunovaná_hlava', 'velmož', 'b._b._king', 'bb_king', 'monarchické', 'martin_luther_king', 'b._b._král', 'obchodní_magnát', 'dáma', 'charles_bird_king', 'královského_majestátu', 'billie_jean_moffitt_král', 'monarcha', 'top_executive', 'b.b._king', 'panovník', 'rex', 'průmyslníků', 'velký_podnikatel', 'george_king', '♚', 'přepravní_magnát', '♔', 'king_ov_hell', 'magnát', 'riley_king', 'vládnoucí', 'suverénní', 'reverend_horton_heat', 'vládce', 'martin_luther_king_jr.', 'riley_b_král', 'billie_jean_kingová'}
knee	{'koleno', 'articulatio_genus', 'potlačit', 'genu', 'kolenního_kloubu', 'zranění_kolena', 'kolenem_stávky', 'lidské_koleno', 'kolenní_kloub', 'kolena'}
know	{'jebat', 'kognitivních_schopností', 'znalost', 'prcat', 'znalosti', 'kognitivní_schopnosti', 'vědění', 'kognitivní', 'souložit', 'kognitivní_funkce', 'poznatek', 'poznávání', 'mrdat', 'šoustat', 'poznávací_procesy', 'poznání', 'kognitivních_procesů', 'znát', 'cognitions', 'noesis', 'zažít', 'kognitivních_funkcí', 'vědět', 'šukat', 'kognitivní_zpracování'}
lady	{'titul', 'tituly', 'mary', 'dáma', 'peeress', 'marie', 'panna_maria', 'virgin', 'styl', 'svatá_maria', 'peerka', 'čestná_dáma', 'dámy', 'madam', 'maria', 'blahoslavená_panna', 'lady_and_the_tramp', 'ušlechtilá_žena', 'šlechtična', 'panna_marie', 'název_respektu', 'dame', 'lady_a_tramp', 'lady', 'gentlewoman', 'marie_panna', 'panenka_marie', 'forma_adresy', 'the_lady'}
lake	{'barviva', 'barvivo', 'pigment', 'jezero', 'pigmenty', 'jezera', 'efemérní_jezera', 'přírodní_jezero', 'sladkovodní_jezero', 'lake'}
land	{'panství', 'administrativní_dělení_německa', 'národ', 'národní', 'realitní_kancelář', 'trhu_s_nemovitostmi', 'parcely', 'země', 'politické_společnosti', 'nemovitosti', 'státy', 'území', 'národy', 'území_státu', 'věc_nemovitá', 'státní_území', 'pozemky', 'odvětví_nemovitostí', 'nemovitá_věc', 'přistál_majitel', 'nemovitost', 'samostatný_stát', 'pevná_zem', 'stát', 'přistál_majitele', 'státní_útvar', 'realitní', 'spolková_země', 'přistávat', 'státu', 'vládní', 'oblasti', 'spolkové_země_v_německu', 'terra_firma', 'spolkové_země_německa', 'din_land', 'deklarativní_teorie_státnosti', 'land', 'zemi', 'pozemkový_majetek', 'suverénních_států', 'pozemek', 'feudální_domény', 'suverénní_stát', 'suché_půdy', 'zemědělství', 'teritorium', 'pevný', 'edwin_herbert_land', 'res_publica', 'přistát', 'majetek', 'půda', 'tělo_rozvážný', 'německé_spolkové_země', 'akrů', 'mexickém_státě'}
laugh	{'anekdota', 'fór', 'žertu', 'vtipů', 'smíchu', 'vtip', 'veselý', 'vtipkovat', 'smích', 'vtipy', 'smát'}
law	{'práva', 'praxe_práva', 'kanonického_práva', 'policie', 'přirozenoprávní_teorie', 'právo_přirozené', 'bezpečnostních_sil', 'canon_právník', 'vrozená_práva', 'legislativa', 'objektivní_právo', 'kanonické_právo', 'teorie_přirozených_práv', 'earthling', 'vrozené_právo', 'fyzikální_zákon', 'fyzikální_zákony', 'pravidlo', 'práva_přirozená', 'praxi_práva', 'přirozená_práva', 'iurisprudentia', 'církevní_právo', 'přirozené_právo', 'přirozeného_práva', 'zákon_přírody', 'policejní_oddělení', 'právo', 'psaným_právem', 'zákon', 'luo', 'jusnaturalismus', 'právo_na_ochranu_života,_bezpečí_a_majetku', 'právo_na_život,_bezpečí_a_majetek', 'právní_služby', 'přírodní_zákon', 'právní_filozofie', 'právní_věda', 'm72_law', 'církevního_práva', 'právnická_fakulta', 'policejní', 'bezpečnostní_síly', 'hmotné_a_procesní_právo', 'tvorby_právních_předpisů', 'právní', 'psané_právo', 'policejní_ochranou', 'zákoník', 'právní_filozof', 'student_práv', 'právní_vědy', 'police', 'subjektivní_a_objektivní_právo', 'prf', 'teorie_přirozeného_práva', 'neoprávněného_praxi_práva', 'práva_vrozená', 'právní_institut', 'heteronomní_právo', 'zákony_fyziky', 'profesor_práva', 'právní_teorie', 'právní_bitva', 'právo_vrozené', 'jurisprudence', 'ozbrojené_policejní', 'autonomní_právo'}
leaf	{'folio', 'adaxial', 'foliant', 'složené_listy', 'axil_listu', 'list', 'recto_a_zadní', 'bazální_list', 'listové', 'listoví', 'vroubkované', 'zakořeněný_strom', 'abaxial', 'řapík', 'strom', 'listí', 'asimilační_list', 'paždí', 'pýřité', 'kvart', 'kořenový_strom', 'stromová_struktura', 'fylom', 'fol.', 'listy', 'paullinia_pterophylla', 'osmerka', 'midrib', 'les', 'okraj_listu', 'verso', 'nissan_leaf', 'recto'}
left	{'levicový_socialista', 'levičáky', 'vlevo', 'levá_ruka', 'levicové_politice', 'venstre', 'levicová_politika', 'levé', 'levice', 'levičák', 'levá', 'politická_levice', 'kolektivistické', 'levé_křídlo', 'esquerra_republicana_de_catalunya', 'levicový', 'levá_opozice', 'kolektivistický', 'levicové', 'levičáctví', 'levý'}
leg	{'rozvětvení', 'lidské_nohy', 'dřevěná_noha', 'bérec', 'dolní_končetina', 'dolní_končetiny', 'nohy', 'pegleg', 'zlomenou_nohu', 'crus', 'dvou_nohách', 'noga', 'lidská_noha', 'dva-legged', 'odvěsna', 'noha', 'dolních_končetin'}
level	{'zkušenosti_bod', 'zkušenostní_limit', 'podlaží', 'stupně', 'adema', 'podlahové_číslování', 'vodováha', 'patro', 'vodováhu', 'přízemí', 'vodorovná_plocha', 'rovný', 'patře', '1._np', 'level', 'úroveň', 'urovnat', 'bodu', 'fázi', 'levél', 'hrej.cz', 'libela', 'úrovni', 'zkušenostní_body', 'evoluční_stupeň', '1.np', 'první_nadzemní_podlaží', 'rovinný', 'posunout_ukazatel', 'vyrovnat', 'plochý', 'zamířit', 'suterén', 'etáž'}
liar	{'lyry', 'so_far,_so_good…_so_what!', 'lyra', 'glory', 'republic', 'liră', 'prevaricator', 'liar', 'lhář', 'so_far,_so_good..._so_what!', 'louder_now'}
lie	{'lež_dětem', 'trygve_lie_halvden', 'lži_dětem', 'lehnout_si', 'lež', 'trygve_lie', 'trygve_halvdan_lie', 'nepravda', 'lhář', 'absolute_first_album', 'faleš', 'the_lie', 'malpresentation', 'ležet', 'lie', 'awake', 'hopeless_fountain_kingdom'}
light	{'lehčí', 'team17', 'jasu', 'okno', 'okna', 'zářivost', 'žárovka', 'luminance', 'odpojit', 'pyrotechnického_iniciátor', 'vnitřní_světlo', 'light_v_rámci', 'zapalovač', 'lehký', 'light', 'zapalovače', 'úroveň_jasu', 'luminousness', 'roznětka', 'kristus_v_rámci', 'světelný_paprsek', 'jas', 'kira', 'světle', 'raito_yagami', 'light_jagami', 'viditelné_záření', 'odraz_světla', 'elektrické_lampy', 'světelné_vlny', 'světlý', 'light_yagami', 'zapálit', 'paprsek_světla', 'lampa', 'viditelné_světlo', 'lampy', 'osvětlit', 'světla', 'světelný_zdroj', 'okna_do_plochých_střech', 'zažehnout', 'osvětlovat', 'světlo'}
live	{'built_to_spill', 'turné', 'live_i._&_live_ii.', 'jennifer_lópezová', 'hudební_koncert', 'pigmy_love_circus', 'přežít', 'naživu', 'jennifer_lopezová', 'koncerty', 'jennifer_lynn_lópez', 'j-lo', 'simian_mobile_disco', 'live', 'j.lo', 'recitál', 'jennifer_lopez', 'live_ii.', 'recital', 'bydlet', 'live_at_the_marquee', 'život', 'koncertní', 'žít', 'jennifer_lópez', 'jennifer_lynn_lopez', 'koncert', 'koncertní_turné', 'zažít', 'live!', 'r.e.m._live', 'živý', 'live_i.'}
liver	{'hovězí_játra', 'hepar', 'játra', 'jater', 'iecur', 'jaterní'}
long	{'dlouho', 'william_henry_long', 'dlouhý_prodej', 'long_position', 'long_sale', 'dlouhá_pozice', 'bloody_roar', 'daleko', 'dlouhý', 'longa', 'long'}
louse	{'členovci', 'veš', 'kousání_veš', 'sání_veš', 'členovců', 'arthropoda', 'vši', 'phthiraptera', 'závod_vši', 'členovec', 'pták_veš', 'špína_koule'}
magic	{'iluzionizmus', 'thaumaturgic', 'dame_kiri_te_kanawa_janette', 'zvěromág', 'lektvary_z_knih_harry_potter', 'make_a_scene', 'dračí_jezdci', 'magic_the_gathering', 'magic:the_gathering', 'jednocestným_zrcadlem', 'moderní_magie', 'kouzelník_stádia', 'proměnění', 'nitrobranu', 'kiri_te_kanawa', 'alagaësia', 'černá_magie', 'kouzlo', 'magic', 'mtg', 'odkaz_dračích_jezdců', 'magic:_the_gathering', 'thaumaturgus', 'dračí_jezdec', 'octiron', 'hadím_jazykem', 'mačkadlice', 'eskamotáž', 'planeswalker', 'alagaësie', 'zeměplocha', 'eskamotér', 'artefakt', 'znamení_zla', 'magie_v_harry_potterovi', 'thaumaturg', 'kouzla', 'secret_time', 'justin_timberlake', 'bílá_magie', 'thaumaturgy', 'iluzionisty', 'řád_dračích_jezdců', 'iluzionismus', 'wonderworking', 'driving_rain', 'magie', 'dame_kiri_te_kanawa', 'pluto', 'magic!', 'axel_rudi_pell', 'omáčka_ohó-ohó', 'runovládci', 'octarine', 'kouzelnický_trik', 'ilusionismus', 'take_me_home', 'eldunarí', 'zábavná_magie', 'mnoholičný_lektvar', 'eskamotérství', 'te_kanawa', 'kouzelnictví', 'thaumaturgie', 'divotvůrce'}
man	{'lidské_rasy', 'moderní_člověk', 'lidské_bytosti', 'ostrov_man', 'tynwald', 'pánský_gentleman', 'současný_člověk', 'wen', 'lidských_druhů', 'mužů', 'svět', 'muž', 'manuálových_stránek', 'komorník_de_chambre', 'vojenská_osoba', 'dunlending', 'man', 'letiště_manchester', 'metropolitan_area_network', 'wan', 'světa', 'manuálové_stránky', 'lidé', 'relient_k', 'hominina', 'člověk_dnešního_typu', 'metropolitní_sítě', 'člověka', 'vrchovcům', 'dospělý_pes', 'chlap', 'man_se', 'homo', 'cornelis_de_man', 'lidská_bytost', 'homo_sapiens', 'manuálová_stránka', 'komorník', 'man_norimberk', 'atani', 'hildor', 'pohlavně_dospívají', 'homo_sapiens_sapiens', 'lidstvo', 'příslušník_armády', 'člověk', 'isle_of_man', 'lidský_rod', 'člověk_rozumný', 'manfred_gnadinger', 'na_světě', 'lidi', 'pán', 'metropolitní_síť', 'člověk_moudrý', 'pohlavní_dospělosti', 'voják', 'atanatári'}
many	{'mnoho', 'many'}
marriage	{'ślub', 'svatby', 'muž_a_žena', 'svatbu', 'manželé', 'svaz', 'uzavření_sňatku', 'manželský_svazek', 'manželský_stav', 'nihility', 'novomanžel', 'manželské', 'unie', 'sňatek', 'vzít', 'manželské_vztahy', 'civilní_svatbu', 'manželství', 'svatba', 'stejnopohlavní_manželství', 'manželské_páry', 'hymeneals', 'manželský_pár', 'závazek_obřad', 'vdavky', 'svatební_obřad', 'sjednocení', 'ženitba', 'uzavření_manželství', 'stav', 'svatební', 'neplatnosti'}
material	{'tkanina', 'materialismu', 'fyzikalismus', 'quantum_paper', 'material_design', 'tkaniny', 'textil', 'textilie', 'materialistické', 'textílie', 'materialista', 'věcí', 'materiálu', 'věci', 'materiál', 'textilní', 'látka', 'materialismus', 'hadr', 'physicalism', 'materialisté'}
mathematical	{'matematika', 'matematice', 'matematické', 'matematicky', 'matematický', 'mathematika'}
meat	{'jádro', 'podstata', 'we_will_rock_you', 'natvrdlý-kostrbatý', 'shawn_stasiak', 'maso', 'masa_vědy', 'esence', 'zpracované_maso', 'bytnost', 'srdce_a_duše', 'esencí'}
mechanism	{'hodinový_stroj', 'chemické_mechanismus', 'hnutí', 'reakční_mechanizmus', 'reakční_mechanismus', 'stroje', 'zařízení', 'stroj', 'mechanismus_reakce', 'strojní_zařízení', 'mechanismus'}
medication	{'léků', 'farmaceutické', 'lék', 'léky', 'aktivní_farmaceutická_substance', 'farmaka', 'farmaceutických_drog', 'version_2.0', 'farmakum', 'rescue', 'léčiva', 'senzace_drogy', 'léčivo'}
money	{'history:_past,_present_and_future,_book_i', 'history', 'peněz', 'peace', 'portamento', 'stříbro', 'peněžní_prostředky', 'prachy', 'peněžnictví', 'peníze', 'money'}
moon	{'znamení_slunce', '문', 'kyôko_fukada', 'měsíčním_světle', 'přirozených_satelitů', 'lunárního_měsíce', 'merkur', 'měsíční_svit', 'son_mjong_mun', 'jupiter', 'reverend_moon', 'měsíce', 'měsíční_světlo', 'synodic_měsíc', 'christopher_robin_milne', 'synodický_měsíc', 'lunární_měsíc', 'sun_myung_moon', 'přirozená_družice', 'moon', 'satelit', 'družice', 'měsíc', 'venuše', 'přirozený_satelit', 'slunce', 'mars', 'son-mjong_mun', 'lunation'}
mother	{'jebtička', 'bohyně_matka', 'maminka', 'mother', 'sisters_of_avalon', 'synchronicity', 'ženské_mateřské', 'jeptiška', 'jeptišky', 'matka_země', 'matka', 'tichon_nikolajevič_chrennikov', 'a_chorus_line', 'mamka', 'řeholnice', 'mateřství', 'řeholní_sestra', 'matka!', 'matky_země', 'bohyně_matky', 'sestra', 'máma', 'velká_matka', 'chorus_line', 'matky', 'řádová_sestra'}
mountain	{'sahtu', 'zabil', 'docela_málo', 'passel', 'hora', 'muckle', 'uklizené_součet', 'mickle', 'šarže', 'dobrý_obchod', '4-8-2', 'hodně', 'hory', 'mountain'}
mouth	{'periorální', 'roh', 'backtalk', 'ústí', 'tlama', 'ústní_fisura', 'ústní_otvor', 'vrchol', 'zpět_talk', 'ústí_toku', 'ústní_dutina', 'ústa_a_ústní_dutina', 'sass', 'mluvit', 'bod_uchycení', 'úst', 'sassing', 'pyskem', 'ústí_řeky', 'cavitas_oris', 'dutina_ústní', 'cíp', 'rima_oris', 'ústa', 'pusa'}
movement	{'trus', 'motorika_člověka', 'lokomoce', 'vyprazdňování', 'lejno', 'sraní', 'exkrement', 'umělecký_směr', 'umělecké_hnutí', 'sociálních_hnutí', 'kálení', 'movement', 'pohyb_střev', 'výkaly', 'féces', 'sociální_hnutí', 'vyprazdňování_stolice', 'vyplývá_pohyb', 'zřejmý_pohyb', 'výkal', 'mechanický_pohyb', 'vyprázdnění', 'prdel', 'ptačí_trus', 'pohyb', 'hovno', 'the_pillows', 'pohybové_aktivity', 'lokomoce_živočichů', 'skupinová_akce', 'hodinový_stroj', 'defecated', 'pohyb_živočichů', 'fekálie', 'hnutí', 'hovínko', 'she_wolf', 'trusu', 'exkrementy', 'filozofické_hnutí', 'dav', 'faeces', 'uměleckých_hnutí', 'defekace', 'stolice', 'vyprázdnit', 'kakání', 'věta', 'vyprázdnění_se'}
movie	{'motion-picture', 'filmy', 'celovečerní_film', 'film', 'filmů', 'divadelní_film', 'hlavní_film', 'motion-picture_zobrazit', 'obrázek_zobrazit', 'full-motion_video', 'pohyblivý_obrázek', 'kites', 'motion_picture', 'velkou_obrazovku', 'pohyblivého_obrazu_zobrazit', 'filmu', 'filmování', 'pohyblivý_obraz'}
music	{'country_rock', 'eufonie', 'the_music', 'muzika', 'music', 'prehistorické_hudbě', 'hudba'}
name	{'nominální_fráze', 'proprializace', 'vyjmenovat', 'proprium', 'propria', 'jmenné_fráze', 'identifikátory', 'veřejnou_postavou', 'jmenná_fráze', 'gens', 'citovat', 'název', 'vlastní_jméno', 'nominální', 'id', 'identifikátor', 'vlastních_jmen', 'jména', 'vlastní_jména', 'jmenovat', 'jméno', 'název_počítače', 'pojmenovat', 'zmínit'}
narrow	{'anja_plaschg', 'úzký', 'soap&skin'}
nation	{'vládní', 'státu', 'kendrick_lamar', 'spolkové_země_v_německu', 'zeměplocha', 'administrativní_dělení_německa', 'úžasná_zeměplocha', 'spolkové_země_německa', 'národ', 'deklarativní_teorie_státnosti', 'národní', 'discworld', 'zemi', 'suverénních_států', 'nation', 'země', 'politické_společnosti', 'státy', 'suverénní_stát', 'národa', 'národy', 'území_státu', 'státní_území', 'pokračujte_amelia_moore_nation', 'res_publica', 'samostatný_stát', 'stát', 'tělo_rozvážný', 'německé_spolkové_země', 'carry_nation', 'státní_útvar', 'spolková_země', 'mexickém_státě'}
near	{'blížit_se', 'near', 'blízko', 'blízký', 'málem', 'téměř', 'near_shoemaker', 'skoro'}
neck	{'šíje', 'krk', 'krku', 'hrdlo', 'krk_otevření'}
new	{'originální', 'nově', 'neotřelý', 'nový', 'new'}
news	{'zprávy', 'poselství', 'zpravodajství', 'novinářská', 'zpravodajský_pořad', 'noviny', 'slovo', 'reportáž', 'novinky_program', 'ženy_zobrazit', 'news'}
night	{'noci', 'eli_wiesel', 'noc', 'půlnoc', 'nótt', 'elie_wiesel', 'nox', 'eliezer_wiesel', 'wiesel', 'night', 'nyx'}
noise	{'šum', 'hluku', 'reliktní_záření', 'atmosférický_statické', 'náhodný_šum', 'práh_bolestivosti', 'noise_music', 'hluk', 'elementary_os', 'kosmického_mikrovlnného_pozadí', 'atmosférické_poruchy', 'průmyslový_hluk', 'stochasticita', 'hlasitost', 'cmb', 'barva_zvuku', 'akustická_vlna', 'noisecore', 'kosmického_záření_na_pozadí', 'hlukové_znečištění', 'zvuky', 'odrušovací', 'cmbr', 'zvuková_vlna', 'kosmické_mikrovlnné_záření_na_pozadí', 'zvuk_znečištění', 'kosmické_mikrovlnné_pozadí', 'noize', 'cbr', 'haphazardness', 'rušení', 'zvukové_vlny', 'elektrický_šum', 'akustické_vlnění', 'výška_zvuku', 'akustické_vlny', 'noise', 'zvukové_vlnění', 'brum', 'intenzita_zvuku', 'elektronický_šum', 'audio', 'mikrovlnné_záření_na_pozadí', 'zvuk', 'šíření_zvuku'}
nose	{'aroma', 'redolence', 'trysek', 'čichový_orgán', 'tryska', 'aromátů', 'gore', 'magnetické_trysky', 'aromatické', 'vůně', 'buket', 'nos'}
not	{'diskrétní_logiky', 'logické_hradlo', 'invertor', 'negace', 'logickou_negaci', 'nor', 'schefferova_algebra', 'logický_prvek', 'xnor', 'logický_součin', 'ne', 'logický_obvod', '¬', 'not', 'a', 'negace_výroku', 'logický_součet', 'hradlo', 'logické_členy', 'logický_člen', 'and', 'piercova_algebra', 'logická_hradla', 'nand'}
obligation	{'osvědčení_o_zadluženosti', 'dlužní_úpis', 'závazky', 'dluhopisů', 'závazkového_práva', 'obligační_právo', 'povinnost', 'závazkové_právo', 'dluhového_nástroje', 'právo_závazkové', 'slib', 'závazek', 'zodpovědnost', 'příslib', 'odpovědnost'}
old	{'starý'}
one	{'vertical_man', 'eneagram', 'n-tice', 'uspořádaná_dvojice', 'sextuple', 'i', 'armin_van_buuren', 'enneagram', 'symbol_1', 'vampire_weekend', 'jedna', '①', 'still_not_getting_any…', 'succeeder', '➊', '❶', 'uspořádaná_n-tice', 'uspořádaná_k-tice', 'jednička', 'the_one', 'jeden', 'eso', 'n-tic', 'still_not_getting_any...', 'n-tici', 'one', '➀', 'planetshakers', '1', 'něčeho_dosáhl', 'supposed_former_infatuation_junkie', 'ⅰ'}
other	{'jinak', 'ostatní'}
pain	{'pain', 'otrava', "game's_pain", 'king_of_da_ghetto', 'bolest', 'vnímání_bolesti', 'bolí', 'bolestivé_pocity', 'bolest_v_zadku', 'forever', 'bolesti', 'akutní_bolesti'}
personality	{'osobnosti', 'osobnost', 'personality'}
philosophy	{'školy', 'dogmatické', 'filozofii', 'filosofie', 'doktríny', 'filozofka', 'filozofický', 'filosofický_systém', 'škola', 'myšlenkový_směr', 'filosofka', 'politická_doktrína', 'filozofie', 'ismus', 'doktrína'}
