ability	{'kapacitet', 'evne', 'aptitude'}
job	{'opgave_tjans', 'personale', 'linje_i_arbejde', 'beskæftigelse', 'job', 'besættelse', 'ansætte', 'foreløbig_wrestler', 'opgaver', 'arbejdsgivere', 'problemstilling', 'arbejdskøber', 'medarbejdere', 'erhverv', 'akkord', 'andré_jobin', 'opgave', 'firmaer', 'dag_job', 'arbejdsgiver', 'jobstyring', 'erhvervsaktivitet', 'hiob', 'problem', 'spekulere', 'arbejdsplads', 'arbejde', 'arbejdslivet', 'jobs_bog', 'ansat', 'ijob', 'ansættelse', 'kontrakt_arbejdskraft'}
jungle	{'the_jungle', 'jungle', 'oldschool_jungle', 'hobo_lejr', 'tropiske_skove', 'jungler', 'out_of_the_blue', 'tropisk_skov', 'shine_a_little_love'}
key	{'toneart', 'i', 'kryptografisk_nøgle', 'tonal_musik', 'tangent', 'tast', 'identifikation_nøgle', 'nøgler', 'frikast_lane', 'willem_key', 'diagram', 'cay', 'cays', 'lås', 'francis_scott_key', 'kodeskrift', 'unik_nøgle', 'chiffer', 'tonal', 'keystone', 'krypteringsalgoritme', 'krypteringsnøgle', 'overensstemmelseskode', 'hemmelige_kode', 'public_key', 'cæsaralgoritmen', 'cayes', 'kartografisk', 'primære_nøgle', 'samara', 'kartografi', 'primærnøgle', 'sort', 'graf', 'hemmelig_kode', 'asymmetrisk_kryptering', 'hængelås', 'alternativ_nøgle', 'diagrammer', 'nøgle', 'ikke-grupperet_indeks', 'cæsars_cipher', 'hemmelig_nøgle', 'kartografer', 'primær_nøgle', 'florida_nøgle', 'indeks', 'nøgle_frugt', 'kartografiske', 'symmetrisk_kryptering', 'ciphers', 'database_indeks', 'offentlig_nøgle', 'kodeord', 'cipher_maskine', 'tonalitet', 'key', 'signaturforklaring', 'inkiness', 'chart', 'cipher'}
kill	{'kill', 'tidlig_død', 'døde', 'dø', 'død', 'sætte_til_døden', 'for_tidlig_død', 'dødsfald', 'slå_ihjel', 'drab', 'the_kill', 'manden_med_leen', 'ihjelslå', 'dræbe'}
kindness	{'godhed', 'imødekommenhed', 'velvilje', 'venlighed', 'elskværdighed', 'tilgivelse', 'tjeneste'}
king	{'monarker', 'kongedømmet', 'konge', 'tom_cato_visnes', 'big_forretningsmand', 'topchef', 'lumber_baron', 'kongemagt', 'b._b._konge', 'b._b._king', 'riley_b_king', 'martin_luther_king', 'kronet_hoved', 'king_ov_hell', 'industrimand', 'monarki', 'kongerige', 'tycoon', 'magnat', 'regnant', 'mandlig_monark', 'bb_king', 'kong', 'pamper', 'charles_bird_king', 'george_king', 'verden_beater', 'kongedømme', 'business_magnat', 'skibsreder', 'konger', 'industrifolk', 'martin_luther_king_jr.', 'business_leder', 'monarkier', 'suveræn', 'monark', 'king.com', 'stormænd', 'kongen', 'billie_jean_moffitt_konge', 'billie_jean_king', 'reverend_horton_heat', 'b.b._king', 'kongelig', 'monarkistiske', 'monarkiet', 'forretningsmagnat', 'rex', 'king'}
knee	{'knæledet', 'kvæle', 'knæskade', 'articulatio_genus', 'menneskelig_knæ', 'knæskal', 'knæled', 'knæet', 'genu', 'knæ', 'knæleddet', 'knæ_strejke'}
know	{'ved', 'noesis', 'erkendelser', 'pule', 'knalde', 'viden', 'kognitiv_funktion', 'kognitive', 'videnstung', 'kundskab', 'kunne', 'tænkning', 'kognitiv', 'lærdom', 'kognition', 'kognitive_processer', 'kognitive_evner', 'vidensformer', 'bolle', 'opleve', 'kender', 'genkende', 'vide', 'kende', 'kneppe', 'kognitiv_behandling', 'kendskab', 'erkendelse'}
lady	{'hunkøn', 'titler', 'the_lady', 'frue', 'blessed_virgin', 'peeress', 'mary', 'dame', 'stil', 'adelskvinde', 'the_virgin', 'madame', 'maria', 'kongelig_højhed', 'مريم', 'prædikat', 'lady', 'hkh', 'jomfru_maria', 'vagabonden', 'damer', 'kvindemenneske', 'titel_på_respekt', 'damemenneske', 'form_for_adresse', 'titel', 'adelsdame', 'kvinde', 'fruentimmer', 'lady_og_vagabonden', 'sankt_maria', 'מרים'}
lake	{'farvestoffer', 'farvepigment', 'intermitterende_sø', 'søer', 'ferskvandssø', 'sø', 'lacus', 'pigment', 'pigmentering', 'naturlige_sø', 'pigmenter', 'flygtig_sø', 'farvestof', 'lake', 'indsø'}
land	{'landede_ejendom', 'demesne', 'ejendomsbranchen', 'nationalstat', 'stat', 'rige', 'godsejer', 'statsdannelse', 'fast_gods', 'bundesländer', 'tyske_delstater_efter_befolkningstæthed', 'realty', 'jord', 'jordejendom', 'edwin_h._land', 'ejendom', 'edwin_herbert_land', 'res_publica', 'krop_snedig', 'ejendom_hus', 'nationalt', 'landjord', 'mexicanske_delstat', 'real-estate', 'fast', 'lande', 'landbrug', 'tyske_delstater_efter_størrelse', 'territorium', 'national', 'tysklands_delstater', 'politisk_samfund', 'terra_firma', 'nationalstaten', 'statslig', 'landmasse', 'tør_jord', 'tyske_delstater', 'tyske_delstater_efter_indbyggertal', 'fast_ejendom_lov', 'statslige', 'deklarative_teori_om_stat', 'nationer', 'fast_grund', 'ejendomsmarkedet', 'matrikelidentifikationssystem', 'gods', 'suveræne_stater', 'bundesland', 'acres', 'mexicanske_stater', 'fast_ejendom', 'staten', 'statsform', 'jordrettigheder', 'tyske_stater', 'nationen', 'suveræn_stat', 'landjorden', 'jordlovgivning', 'feudalt_domæne', 'land', 'nation', 'jorden', 'din_land', 'realm'}
laugh	{'vits', 'vittighed', 'grine', 'vittigheder', 'jape', 'latter', 'spøgefuld', 'le', 'joke', 'spøg'}
law	{'naturlov', 'politibeskyttelse', 'sikkerhedsstyrker', 'juraprofessor', 'politistyrke', 'juridik', 'praksis_af_loven', 'ordensmagt', 'politivæsen', 'politi_afdelinger', 'm72_law', 'politikorps', 'statut_lov', 'politiet', 'retspraksis', 'sikkerhedsstyrke', 'politiarbejde', 'politistyrker', 'praksis_af_lov', 'uautoriseret_praksis_af_lov', 'jura', 'lovforslag', 'kirkelige_lovgivning', 'loven', 'procesret', 'privatret', 'police_force', 'lovkyndighed', 'juridisk_filosof', 'jurastudiet', 'juridisk_kamp', 'juridiske_undersøgelser', 'jurisprudens', 'ret', 'international_privatret', 'bevæbnet_politi', 'fysisk_lov', 'kirkens_lov', 'lovgivning', 'jur.', 'lov', 'menneskeskabt_regel', 'politi', 'naturlove', 'naturlige_lov', 'retsvidenskab', 'retsvidenskabelig', 'offentlig_ret', 'police_department', 'jurastuderende', 'ulovligt', 'juridisk', 'politifolk', 'kanonisk_ret', 'lovgivningen', 'naturret', 'fysikkens_love', 'kanon_advokat', 'retsvidenskaben', 'earthling', 'fysiske_love', 'naturens_lov', 'juris', 'naturretsfilosofi', 'retsfilosofi', 'juridisk_teori', 'juridiske'}
leaf	{'verso', 'midterribben', 'duodez', 'kvartbind', 'rodfæstet_træ', 'skov', 'blad_kappe', 'kvartblad', 'planteblad', 'kvartside', 'folio', 'forside', 'blad', 'axil', 'højblad', 'kvart-format', 'sammensatte_blade', 'crenate', 'adaxial', 'foliobind', 'duodes', 'oktav-format', 'paullinia_pterophylla', 'sedesformat', 'recto_og_verso', 'blade', 'oktavside', 'oktavblad', 'løv', 'løvet', 'foliant', 'oktavbind', 'nissan_leaf', 'basal_blad', 'småblade', 'recto', 'bladskede', 'bladet_axil', 'bladfod', 'pubertære', 'abaxial', 'hjørnerne', 'træ'}
left	{'venstreoppositionen', 'venstreorienterede_politik', 'venstres_landsorganisation', 'norske_venstre', 'venstrefløj', 'esquerra_republicana_de_catalunya', 'venstreorienterede', 'relativ_retningsangivelse', 'venstre,_danmarks_liberale_parti', 'venstreorienteret', 'kollektivistiske', 'venstrefløjen', 'venstre_-_danmarks_liberale_parti', 'venstre', 'venstreopposition', 'retningsangivelse', 'politiske_venstrefløj', 'venstre_hånd', 'venstredrejet'}
leg	{'ben', 'kølle', 'to-benede_match', 'to_benede', 'brækket_ben', 'nedre_lemmer', 'forgrening', 'katete', 'pind_ben', 'underbenet', 'crus', 'træben', 'runde', 'etape', 'tobenet_slips', 'pegleg', 'menneske_ben'}
level	{'klassifikation', 'leje', 'erfaring_niveau', 'plan', 'erfaring_point', 'levél', 'vandret_overflade', 'rasere', 'jævn', 'etagers', 'højde', 'historie', 'flad', 'adema', 'grad', 'vaterpas', 'punkt', 'sal', 'erfaringspoint', 'pege', 'nivellere', 'libelle', 'niveauet', 'skala_grad', 'skala_grader', 'mark_chavez', 'gulv_nummerering', 'jævne_med_jorden', 'etage', 'etager', 'level', 'jævne', 'niveau'}
liar	{'republic', 'so_far,_so_good..._so_what!', 'liră', 'mary_jane', 'lyre', 'citere', 'liar', 'løgner', 'prevaricator', 'louder_now'}
lie	{'ligge', 'falskhed', 'trygve_halvden_lie', 'awake', 'absolute_first_album', 'malpresentation', 'løgn', 'løgnerske', 'lie', 'ligger_i', 'ligger', 'løgner', 'the_lie', 'trygve_halvdan_lie', 'falskheden', 'lyve', 'trygve_lie', 'usandhed'}
light	{'afbryde_forbindelsen', 'lyset', 'lys_inden', 'synlig_stråling', 'tænde', 'lysreflektion', 'tændsats', 'luminousness', 'lysbølger', 'light', 'lyse', 'antænde', 'vindue', 'pyroteknisk_initiator', 'lightere', 'flamme', 'synligt_lys', 'lampe', 'lys', 'vinduet', 'light_yagami', 'vindueskarm', 'ellampe', 'inner_light', 'elektrisk_lampe', 'tnfsf14', 'lyskilde', 'let', 'bleg', 'kristus_inden', 'fyrtøj', 'rude', 'vinduer', 'fænge', 'indre_lys', 'lysstyrkeniveau', 'lysstyrke', 'luminans', 'lighter'}
live	{'tour', 'bo', 'liv', 'levende_musik', 'livet', 'koncert', 'jennifer_lopez', 'rockkoncert', 'live', 'lever', 'vare', 'simian_mobile_disco', 'live_koncert', 'jennifer_lynn_lopez', 'live!', 'musik_koncert', 'pigmy_love_circus', 'j.lo', 'koncerter', 'r.e.m._live', 'opleve', 'popkoncert', 'koncerten', 'livemusik', 'j-lo', 'levende_væsen', 'leve', 'overleve', 'built_to_spill', 'levende', 'live_at_the_marquee'}
liver	{'oksekød_lever', 'okselever', 'lever', 'leveren'}
long	{'længe', 'long', 'længes', 'lang', 'lange', 'longa', 'bloody_roar', 'william_henry_long'}
louse	{'hovedlus', 'kropslus', 'fugl_lus', 'morpioner', 'plante_lus', 'arthropoda', 'bidende_lus', 'snavs_bold', 'fladlus', 'lus', 'leddyr', 'phthiraptera', 'arthropod', 'sugende_lus', 'kroplus'}
magic	{'occlumency', 'thaumaturgic', 'magic:_the_gathering', 'animagus', 'de_utilgivelige_forbandelser', 'te_kanawa', 'taumaturgi', 'pluto', 'trylle', 'driving_rain', 'dame_kiri_te_kanawa', 'besværgelser_i_harry_potter-universet', 'magiske_trick', 'magi_i_harry_potter', 'scene_tryllekunstner', 'tryllekunst', 'thaumaturg', 'avada_kedavra', 'secret_time', 'utilgivelige_forbandelser', 'thaumaturgus', 'fuser', 'to-vejs_spejl', 'transfiguration', 'trylleri', 'artefakt', 'magi_i_harry_potter-universet', 'doloroso-forbandelsen', 'legerdemain', 'illusionister', 'magi', 'make_a_scene', 'parseltongue', 'magic_the_gathering', 'alagaësia', '"avada_kadavra"_forbandelsen', 'diskverden', 'besværgelser_i_harry_potter', 'justin_timberlake', 'mørkets_tegn', 'planeswalker', 'tryllekraft', 'axel_rudi_pell', 'octarine', 'wonderworking', 'take_me_home', 'ninjutsu_i_magic_the_gathering', '”avada_kadavra”_forbandelsen', 'octiron', 'arven-serien', 'scene_magi', 'leandro_marín', 'trolddom', 'magic!', 'dame_kiri_janette_te_kanawa', 'magic', 'trance', 'avada_kedavdra', 'magisk', 'kiri_te_kanawa'}
man	{'wman', 'kammertjener_de_chambre', 'nutidsmenneske', 'journal_of_the_royal_anthropological_institute', 'i_verden', 'hoved', 'hankøn', 'homo_sabiens', 'menneskeheden', 'menneske', 'soldat', 'mennesker', 'herre', 'mandsperson', 'menneskelige_race', 'herres_herre', 'manchester_lufthavn', 'cornelis_de_man', 'man_se', 'homosapiens', 'menneskebarn', 'isle_of_man', 'herrer', 'metropolitan_area_network', 'voksen_mand', 'man_pages', 'royal_anthropological_institute._journal', 'dunlendings', 'individ', 'menneskehed', 'man_page', 'verdenen', 'menneskevæsen', 'wen', 'militærmand', 'wan', 'mennesket', 'hr.', 'tjener', 'mand_sider', 'homo_sapiens', 'folk', 'person', 'atanatári', 'mænd', 'homo', 'manchester_airport', 'montør', 'kammertjener', "m/k'er", 'menneskelig', 'militærperson', 'verden', 'dunlending', 'relient_k', 'homo_sapiens_sapiens', 'menneskedyr', 'maskulin', 'mand', 'homo-slægten', 'man', 'man_ag', 'man-side', 'man-sider', 'kønsmodning', 'manfred_gnädinger', 'home_sapiens', 'menneskelige_art'}
many	{'many', 'mange'}
marriage	{'gensidig_forsørgerpligt', 'arrangeret_ægteskab', 'union', 'bryllup', 'ægtefællebidrag_forhold', 'nihility', 'mand_og_kone', 'ægteskaber', 'ægtepar', 'bryllup_ceremoni', 'hymeneals', 'forpligtelse_ceremoni', 'nuptials', 'vielse', 'vielsesceremoni', 'giftermål', 'muslimsk_ægteskab', 'ægteskab', 'ægteskabslignende_forhold', 'ægteskabet', 'katolsk_ægteskab', 'gifte_par_der', 'civil_bryllup', 'bryllupper', 'gifte_sig', 'tvangsægteskab', 'proformaægteskab', 'ugyldighed', 'hymens_lænker'}
material	{'tekstil', 'stuff', 'materialer', 'fysisk_ontologi', 'stof', 'material', 'materiale', 'byggemateriale', 'materialister', 'klud', 'fysikalisme', 'tekstiler', 'råemne', 'materialistiske', 'ting', 'vævede_stoffer', 'materialisme'}
mathematical	{'math', 'matematiske', 'matematik', 'matematisk'}
meat	{'essenser', 'kød', 'animalsk_protein', 'substans', 'essens', 'we_will_rock_you', 'hovedindhold', 'nitty-gritty', 'koncentrat', 'hjerte_og_sjæl', 'essensen', 'forarbejdet_kød', 'kød_videnskab', 'kødvare', 'shawn_stasiak'}
mechanism	{'mekanisme', 'mekanisk_anordning', 'mekanik', 'maskine', 'maskindel', 'mekanisk_indretning', 'maskiner', 'kapital_udstyr', 'kemisk_mekanisme', 'maskinen', 'bevægelse', 'reaktionsmekanisme', 'maskineri'}
medication	{'farmaka', 'rescue', 'farmaceutisk_lægemiddel', 'blockbuster_lægemiddel', 'version_2.0', 'medicinske_lægemiddel', 'administrationsvej', 'konventionel_medicin', 'medikament', 'farmaceutiske', 'medicin', 'lægemidler', 'farmakoterapi', 'lægemiddel', 'pharmakon'}
money	{'pengeudstedelse', 'pengevæsen', 'monetære', 'økonomiske', 'history:_past,_present_and_future,_book_i', 'valuta', 'money', 'økonomisk', 'formue', 'velstand', 'history', 'betalingsmiddel', 'penge'}
moon	{'naturlige_satellit', 'venus', 'jupiter', 'månens_måned', 'naturlige_satellitter', 'synodiske_måned', 'sun_myung_moon', 'drabant', 'måner', 'mars', 'solen', 'månelys', 'måneskin', 'sun_tegn', 'moon', 'satellit', 'drakonisk_måned', 'måneskive', 'lunation', 'merkur', 'moon_type', 'planeter', '문', 'måne', 'kyôko_fukada', 'månen'}
mother	{'nonner', 'top', 'mor', 'moderindivid', 'nonne', 'sisters_of_avalon', 'mother!', 'biologiske_mor', 'moder', 'tikhon_khrennikov', 'nonneorden', 'a_chorus_line', 'mother', 'the_mother', 'modergudinde', 'mor_gudinde', 'moder_jord', 'chorus_line', 'søster', 'mødre', 'synchronicity'}
mountain	{'god_deal', 'passel', 'del', 'bjerg', 'meget', 'god_portion', 'dræbte', 'nette_sum', 'masse', 'parti', '4-8-2', 'ganske_lidt', 'bjergrige', 'mountain', 'sahtu', 'mickle', 'bjerge', 'bjerget', 'muckle'}
mouth	{'mule', 'toppunktet', 'tale', 'kværn', 'mundhule', 'udmunding', 'knudepunkt', 'kæft', 'perioral', 'tilbage_snakke', 'backtalk', 'rima_oris', 'sassing', 'flab', 'sass', 'mundhulen', 'oral_fissur', 'gab', 'mund', 'labium', 'munden', 'æstuarium'}
movement	{'kunst_bevægelser', 'sats', 'defecate', 'mængde', 'bæ', 'ekskrement', 'afføring', 'kunst_bevægelse', 'hær', 'skider', 'million', 'bevægelse', 'fæces', 'lokomotorisk_aktivitet', 'filosofisk_bevægelse', 'bunke', 'sociale_bevægelser', 'motorik', 'mobil', 'social_bevægelse', 'tilsyneladende_bevægelse', 'kunstretning', 'the_pillows', 'lort', 'fækalier', 'fækalie', 'arsenal', 'puha', 'fugleklatter', 'fækalt_materiale', 'ekskrementer', 'defækation', 'folkebevægelse', 'masse', 'phi_fænomenet', 'kunstnerisk_bevægelse', 'faeces', 'motilitet', 'sag', 'movement', 'skarn', 'she_wolf', 'skidt'}
movie	{'filmsekvenser', 'motion-billede', 'filmfremviser', 'store_lærred', 'levende_billeder', 'store_skærm', 'full-motion_video', 'musikfilm', 'motion-billede_show', 'fuld_motion_video', 'kites', 'motion_picture', 'filmen', 'film', 'teatralsk_film', 'billede_show', 'flytte-billede_show', 'større_film'}
music	{'countryrock', 'musikalsk', 'forhistorisk_musik', 'vellyd', 'music', 'the_music', 'musikliv', 'musik', 'musikken', 'land-rock', 'country_rock'}
name	{'proprium', 'kalder', 'egenavne_i_danmark', 'nævne', 'navn', 'omtale', 'figur', 'citere', 'identifikator', 'navneord_sætninger', 'id', 'gens', 'egennavne', 'vælge', 'nominel_sætning', 'offentlig_figur', 'egennavn', 'kalde', 'navnet', 'nominel', 'computernavn', 'egennavne_i_danmark', 'udnævne', 'egenavn', 'identifikatorer', 'gensen', 'navneord_sætning', 'nominalfrase'}
narrow	{'smal', 'soap&skin', 'snæversynet'}
nation	{'carry_nation', 'tyske_delstater_efter_størrelse', 'national', 'carry_amelia_moore_nation', 'tysklands_delstater', 'nationalstat', 'politisk_samfund', 'stat', 'studerende_nation', 'nationalstaten', 'statslig', 'diskverden', 'rige', 'statsdannelse', 'tyske_delstater', 'statslige', 'tyske_delstater_efter_indbyggertal', 'bundesländer', 'deklarative_teori_om_stat', 'nationer', 'tyske_delstater_efter_befolkningstæthed', 'diskverden-bøgerne', 'res_publica', 'suveræne_stater', 'staten', 'bundesland', 'mexicanske_stater', 'discworld', 'statsform', 'krop_snedig', 'nationen', 'tyske_stater', 'suveræn_stat', 'mexicanske_delstat', 'land', 'nation', 'kendrick_lamar', 'lande', 'nationalt'}
near	{'næsten', 'nærme_sig', 'nær', 'nærme', 'near_shoemaker', 'tilnærme', 'tæt'}
neck	{'hals', 'halsen', 'nøkken', 'halsåbning', 'nakkestivhed', 'nøkke', 'flaskehals', 'åmand'}
new	{'frisk', 'nye', 'ny', 'nyfødt', 'new'}
news	{'nyheder_show', 'aske_jacoby_band', 'nyheder_rapport', 'aktuelle_begivenheder', 'nyt', 'news_show', 'tidender', 'skabelon:index-hjælp', 'nyhedsprogram', 'nyhed', 'nyhedsværdi', 'ord', 'news', 'tv-nyheder', 'nyheder'}
night	{'midnat_blå', 'elie_wiesel', 'aften', 'skumring', 'nyx', 'mørke', 'midnat', 'nótt', 'dæmring', 'nat', 'eliezer_wiesel', 'nox', 'wiesel', 'kvæld', 'nighttime', 'night', 'natten'}
noise	{'den_kosmiske_baggrundsstråling', 'kosmiske_mikrobølge_baggrundsstråling', 'stokastik', 'lydens_hastighed', 'akustiske_bølger', 'akustisk_energi', 'radiostøj', 'tilfældig_støj', 'lydhastighed', 'billedstøj', 'elektronisk_støj', 'interferens', 'lydbølge', 'industriel_støj', 'haphazardness', 'mika_horiuchi', 'kosmisk_baggrundsstråling', 'signal_støj', 'larm', 'noise', 'kosmiske_baggrundsstråling', 'støj_musik', 'kosmiske_mikrobølge_baggrund', 'lydbølger', 'lyde', 'lyd', 'cbr', 'spektakel', 'atmosfæriske', 'audio', 'akustisk_bølge', 'uforudsigelighed', 'lydforurening', 'støj_regulering', 'elementary_os', 'cmbr', 'mikrobølge_baggrundsstråling', 'akustiske_bølge', 'lydenergi', 'atmosfærisk_statisk', 'støj', 'elektrisk_støj', 'barske_støj', 'lydudbredelse', 'cmb', 'støjforurening'}
nose	{'lugteorganet', 'snotten', 'næse', 'næsen', 'menneskelige_næse', 'magnetisk_dyse', 'snude', 'gore', 'dyser', 'snabel', 'strålerør', 'dyse', 'buket', 'aromatisk', 'bouquet', 'redolence', 'fragrancy', 'aroma', 'næsebor', 'aromater'}
not	{'diskret_logik', 'logisk_negation', 'og', 'negation', 'logisk_kredsløb', 'logikport', 'gate', 'and-gate', 'ikke', 'exclusive-or-gate', 'nor-gate', 'xor-gate', 'nand-gate', 'logisk_gate', 'logiske_kredsløb', 'logiske_gates', 'or-gate'}
obligation	{'forpligtelser', 'løfte', 'certifikat_for_gældsætning', 'obligationer', 'obligationslån', 'gældsbrev', 'told', 'forpligtelse', 'pligt', 'ord', 'obligationsret', 'ansvar'}
old	{'gamle', 'tidligere', 'gammel', 'gamle_vinstokke'}
one	{'tupler', 'one', 'vertical_man', 'succeeder', 'tupel', 'n-tuple', 'sextuple', 'the_one', 'armin_van_buuren', 'sarah_burgess', 'én', 'et', 'enhed', 'supposed_former_infatuation_junkie', '1', 'enneagram', 'ennagram', 'man', 'es', 'en', 'achiever', 'multiplikative_identitet', 'vampire_weekend', 'planetshakers'}
other	{'ulig', 'forskellig', 'anderledes', 'andre'}
pain	{'bedrøvelse', 'pain', 'smerte_i_røven', 'akut_smerte', 'forever', 'irritation', 'smertefuld_fornemmelse', 'smerte', 'king_of_da_ghetto', "game's_pain", 'kval', 'smertefornemmelse', 'såre'}
personality	{'personality', 'personlighed'}
philosophy	{'filosof', 'anvendt_filosofi', 'filosofie', 'tankegang', 'doktriner', 'skole', 'politisk_doktrin', 'læresætning', 'doktrin', 'philosophy', 'filosoffer', 'doktrinære', 'filosofiske_system', 'filosofisk', 'formel_filosofi', 'filosofien', 'filosofiske', 'filosofi', 'åndsretning', 'ism'}
picture	{'tegninger', 'occlumency', 'filmsekvenser', 'animagus', 'de_utilgivelige_forbandelser', 'malerier', 'maler', 'ord-maleri', 'billedlig_stof', 'besværgelser_i_harry_potter-universet', 'store_skærm', 'magi_i_harry_potter', 'foto_fotografi', 'klassisk_maleri', 'billed', 'motion-billede_show', 'mentale_billeder', 'avada_kedavra', 'filmen', 'kontobillede', 'utilgivelige_forbandelser', 'malerkunst', 'fuser', 'billede', 'teatralsk_film', 'transfiguration', 'kunstmaleri', 'magi_i_harry_potter-universet', 'fotos', 'doloroso-forbandelsen', 'billede_show', 'flytte-billede_show', 'malere', 'parseltongue', 'større_film', 'motion-billede', 'se', '"avada_kadavra"_forbandelsen', 'foto', 'kristen_kunst', 'fotografier', 'illustration', 'scene', 'fotografiet', 'filmfremviser', 'besværgelser_i_harry_potter', 'mørkets_tegn', 'billeder', 'store_lærred', 'mentale_billede', 'cobol', 'illustrationer', 'levende_billeder', 'musikfilm', 'word-maleri', 'kiss', 'billedstof', 'afbildning', 'motion_picture', '”avada_kadavra”_forbandelsen', 'fotografi', 'film', 'maleri', 'billedlig', 'ord_maleri', 'avatar', 'tegning', 'illustreret', 'avada_kedavdra', 'visualisering', 'illustrered', 'ordbillede', 'illustrerede_bøger'}
pig	{'dovenlars', 'orne', 'pigging', 'øfgris', 'panser', 'shote', 'fedtklump', 'ordenshåndhæver', 'svin', 'flæsk', 'strømer', 'sus_scrofa_domestica', 'grisebasse', 'gris', 'gris_seng', 'svinekød', 'hog', 'polt', 'so', 'slob', 'strisser', 'vildsvin', 'shoat', 'funktionær', 'conjoiner', 'scrofa', 'sjusket_person,', 'politibetjent', 'pipeline_inspektion_gauge', 'pig', 'dovendidrik', 'sus_scrofa', 'gylt', 'betjent', 'vildtlevende_hog', 'conjoiners', 'fare', 'grise', 'tamsvin', 'få_grise', 'pudge', 'tjenestemand', 'fedtbjerg', 'galt', 'sloven', 'porc', 'pattegris', 'fråser', 'piggy', 'grovæde', 'vild_gris'}
plan	{'tegninger', 'formgive', 'planere', 'plan', 'arkitektonisk_planlægning', 'planen', 'design', 'program_manager', 'arkitektoniske_plan', 'designe', 'planlægge', 'program', 'planlægger', 'planer'}
plant	{'plantesort', 'industrielle_anlæg', 'produktions-line', 'shill', 'factorij', 'trigun', 'plantae', 'planteart', 'udplante', 'fabriksbygning', 'faktor', 'plante', 'regnum_vegetabile', 'etablere', 'feitoria', 'fabrikker', 'fabrikken', 'plant', 'floraer', 'samlebånd', 'fabriksarbejder', 'faktori', 'fabrik', 'plantearter', 'grønne_planter', 'viridaeplantae', 'planteriget', 'fysiske_anlæg', 'produktionslinje', 'flora', 'produktionsanlæg', 'væsen_type', 'planters_liv', 'industrianlæg', 'chlorobionta', 'vegetabilsk', 'planteliv', 'planter', 'plantevækst', 'værker'}
play	{'google_play_store', 'htc_market', 'sceneværk', 'gambling', 'opføre', 'teatralsk_spil', 'tur', 'stageplay', 'periode_af_leg', 'satse', 'spille', 'gamble', 'gaming', 'dramatisk_play', 'sværdkampe', 'teaterstykker', 'børnespil', 'optræde', 'indsatser', 'børne_spil', 'spillere', 'slør', 'legende', 'frie_tøjler', 'spiller_periode', 'dramaet', 'vædde', 'spilletid', 'køre', 'boltre_sig', 'play', 'leg', 'christopher_martin', 'hasardspil', 'spil', 'lege', 'løssluppenhed', 'drama', 'bringe', 'kørt', 'manøvre', 'dramatisk', 'teaterstykke', 'væddemål', 'play_store', 'google_play', 'glitre', 'dramaer', 'android_market'}
pleasure	{'pleasure_p', 'behagelige', 'behagelig', 'fredrik_ball', 'sondre_lerche', 'semisonic', 'nydelse', 'glæde'}
poor	{'løfte_om_fattigdom', 'løfte_af_fattigdom', 'fattigdom_i_byerne', 'fattig', 'frivillig_fattigdom', 'nødlidende', 'fattigdom', 'lav_indkomst', 'absolut_fattigdom', 'den_globale_fattigdom', 'fattige', 'relativ_fattigdom', 'fattiglemmer', 'svækkelse'}
prison	{'anstalt', 'forbedringshus', 'statsfængsel', 'pokey', 'frihedsberøvelse', 'hjem', 'straffeanstalt', 'jailhouse', 'fængslet', 'correctional_facility', 'tugthus', 'betinget_fængselsstraf', 'fængsel', 'tom_robinson', 'ubetinget_fængsel', 'fængsler', 'fængselsstraf', 'spjæld', 'ubetinget_fængselsstraf', 'fængsledes', 'fængsle', 'correctional_institution', 'hotel_tremmely', 'poky', 'medium_sikkerhed', 'institution'}
professional	{'professionel_atlet', 'kyndig', 'fagfolk', 'professionel_person', 'specialist', 'ekspert', 'professionelle', 'professionel_fodbold', 'professionel_sport', 'eksperter', 'professionelt_udseende', 'professionalisme', 'faglige', 'sagkyndig', 'professionel'}
protection	{'værn', 'handelsbeskyttelse', 'forsvar', 'protection', 'regi', 'ly', 'beskyttelse', 'forsorg', 'dække', 'overdækning', 'tryghed', 'sikkerhed', 'skjul'}
pull	{'pull', 'pull_skud', 'begå', 'tiltrække', 'batting', 'trække', 'benet_blik', 'gærdespillerne'}
push	{'skubbe', 'trykknap', 'alternativknappen', 'knap', 'kontakt', 'stak', 'radioknappen', 'confessions_on_a_dance_floor', 'precious:_based_on_the_novel_"push"_by_sapphire', 'tvinge', 'reklamere', 'en', 'get-up-and-go', 'stabel', 'push', 'precious', 'black_and_white_america', 'skub'}
quality	{'egenskab', 'karakter', 'klang', 'kvalitet', 'side', 'klange', 'timbre', 'timbral', 'beskaffenhed', 'quality', 'klangfarve', 'tone', 'natur', 'envelope', 'adsr', 'tone_farve'}
rain	{'heavy_rain', 'in_blue', 'bonnie_maxon', 'regnvejr', 'rains', 'john_colton', 'nedbør', 'regnen', 'regndråbe', 'rain', 'regnvand', 'regne', 'regn', 'regnskyl', 'skybrud', 'støvregn', 'pelsning', 'simone_battle', 'regnfald', 'regn_storm'}
reaction	{'newtons_3._lov', 'kemisk', 'kemiske_reaktion', 'kemiske_reaktioner', 'reaction', 'reaktion', 'newtons_tredje_lov', 'proces', 'kemisk_reaktion', 'reaktivitet'}
