ability	képessége	Found close match: ['képességek', 'képesség']	['képesség', 'képességek', 'alkalmasság']
tree	fák	Match	['gyökér_csomópont', 'levél_csomópont', 'szülőcsomópont', 'fák', 'fa_diagram', 'szent_fa', 'tree', 'fán', 'charlotte_brontë', 'charlotte_bronte', 'kruskal_fája_tétel', 'fa_adatszerkezet', 'belső_csomópont', 'fa_istentisztelet', 'fája', 'gyökeres_fa', 'fa', 'szülő_csomópont', 'részfa', 'fagráf', 'sir_herbert_beerbohm_fa', 'gyermek_csomópont', 'currer_bell', 'fa_imádás', 'levélcsomópont', 'charlotte_nicholls', 'erdő', 'herbert_beerbohm_tree', 'csemete']
trial	vádlottakat	Incorrect	['perben', 'gyötrelem', 'paucal', 'iii', 'tárgyalás', 'perek', 'beperelte', 'a_per', 'jogi_eset', '3', 'próbált', 'ügy', 'szám_megállapodás', 'tárgyalás_előtti', 'polgári_ügyben', 'bűncselekmény', 'peres_felek', 'kettesász', 'háromsoros_versszak', 'próba', 'pert', 'szám', 'bírósági_ügy', 'három', 'kauzalitás', 'okság', 'ok', 'ternion', 'kísérlet', 'polgári_bíróság', 'per', 'nyelvtani_szám', 'tercett', 'próbaüzem', 'hármas', 'számot', 'esetben', 'causa', 'jogi_vita']
tried	megpróbálta	Found close match: ['próbálta', 'próbáltam', 'próbált']	['próbált', 'bűncselekmény', 'próbálta', 'tárgyalás', 'próbáltam']
typical	tipikus	Match	['jellemző', 'tipikus', 'jellegzetes']
unaware	összezavarja	Not found	[]
usable	felhasználható	Match	['használható', 'felhasználható', 'használhatóság', 'weblaphasználhatóság', 'felhasználóbarát']
useless	értelmetlen	Incorrect	['haszontalan', 'useless', 'hasztalan']
vacation	nyaralni	Found close match: ['nyaralás']	['nyaralás', 'szünidő', 'vakáció', 'szabadság', 'kirándul']
war	háború	Match	['fegyveres_konfliktusok', 'the_war', 'waraywaray_nyelv', 'ares', 'waray', 'fegyveres_konfliktus', 'háborúk', 'hadiállapot', 'háborúskodás', 'egy_háború', 'háború', 'all_or_nothing', 'hadjárat', 'war', 'észak_és_dél', 'katonai_konfliktus', 'hadviselés']
wash	tisztítani	Incorrect	['mossa', 'buried', 'mosni', 'arroyo', 'kínai_mosodát', 'the_wash', 'eltemetve', 'lavation', 'washables', 'száraz_mosás', 'mos', 'légcsavarszél', 'mosónő', 'wash', 'slipstream', 'unearthed', 'scan', 'mosás', 'mosoda', 'lost_dogs', 'mossa_rajz', 'kimos']
weak	gyenge	Match	['gyenge', 'gyönge', 'gyengeség', 'gyengék', 'the_sea', 'izomgyengeség']
wear	viselni	Match	['kopás', 'ruházat', 'ruházati_ipar', 'ruha', 'sylvanus_wear', 'viselni', 'ruhák', 'wear', 'hordható', 'ruhadarab', 'öltözet', 'női', 'gúnyolódás', 'viseletben', 'kopásállóság', 'díszes_öltözet']
weather	időjárás	Match	['időjárás_áttekintés', 'időjárási_feltételek', 'időjárás', 'időjárási_körülmények', 'időjáráselőrejelzés', 'légköri_állapot']
willingly	megbánja	Incorrect	['önként']
word	szót	Match	['szent_könyv', 'jelszavakat', 'vita', 'hír', 'biblia', 'kötelezettségvállalás', 'keresztény_szentírások', 'pinkód', 'szavak', 'a_biblia_írói', 'microsoft_word', 'szó', 'vallási_szövegek', 'adat_szó', 'szent_szöveg', 'fia', 'megbeszélés', 'microsoft_office_word', 'szentírás', 'word', 'szent_biblia', 'szót', 'szóhossz', 'becsszó', 'jelszó', 'becsületszavamra', 'szent_szövegek', 'a_szentírás', 'bibliai', 'szava', 'a_biblia', 'keresztény_biblia', 'good_book', 'becsületszó', 'jelszót', 'bibliák', 'logos', 'logosz']
