ability	способноста	Found close match: ['способността', 'способност', 'способности']	['кадърност_ло́вкост', 'способността', 'умение', 'способности', 'вещина́', 'способност', 'правоспособност', 'пригодност']
table	таблица	Match	['връзка', 'табли́ца', 'таблична', 'справочна_таблица', 'плата', 'масичка', 'вградена_рамка', 'html_елемент', 'маса', 'отсроча', 'забавям', 'звукова_карта', 'софра', 'масата', 'отложа', 'пулта', 'таблица', 'етикет', 'плато', 'отсрочвам', 'отложи', 'href', 'mesa', 'табличен_масив', 'платото', 'отлагам', 'html_етикет', 'търсене', 'лист_с_данни']
taste	вкус	Match	['вкусовото_възприятие', 'основни_вкусове', 'основни_вкуса', 'вкусвам_с_наслада', 'основен_вкус', 'овкусител', 'склонност', 'пробвам', 'вкус', 'taste', 'чувство_за_вкус', 'вкус_възприятие', 'буке́т', 'вкусови', 'опитам', 'дегустация_на_вино', 'кисел_вкус', 'вкусово_усещане', 'изкуствени_аромати', 'предпочитания', 'изкуствени_ароматизатори', 'nowhere', 'сляпа_дегустация', 'вкуся', 'предпочитане', 'дегустация', 'дегустирам', 'вкусови_модалност', 'натурални_аромати', 'опитвам', 'дъх', 'вкусвам']
team	отбора	Match	['спортен_отбор', 'отборен_спорт', 'музикален_състав', 'rock_band', 'соло_артист', 'бенд', 'отборните_спортове', 'соло_проект', 'поп_група', 'рок_банди', 'попрок_банда', 'рок_група', 'team', 'група', 'рок_банда', 'ансамбъла', 'ансамбъл', 'тийм', 'екип', 'тим', 'отбора', 'музикален_ансамбъл', 'отбор', 'инструментален_ансамбъл', 'музикална_група']
texture	текстура	Match	['текстура_карта', 'текстура', 'macrotexture', 'музикална_текстура', 'mouthfeel', 'усещане_в_устата', 'материя', 'текстуриране', 'тъкан', 'текстура_картографиране']
time	време	Match	['двуделен', 'напрегнат', 'in_my_own_words', 'scatmans_world', 'такт', '68_време', 'тактова_честота', 'часовника', 'измеря', 'неравноделен_такт', 'съединение_време', 'списание_тайм', 'измервам', 'polymeter', 'тактов_сигнал', '24_време', 'време_интервал', 'y_not', 'измервам_време', 'такта', 'м', 'време', 'напрегната', 'тайм', 'ранната_вселена', 'четвъртото_измерение', 'неравноделен_размер', 'поредица_от_събития', 'час', 'anastacia', 'път', '44_време', 'крушка', 'hypnotica', 'импулс', 'часовник_сигнал', 'валс_време', 'космологичната_време', 'pacific_ocean_blue', '44', 'прост_път', 'лишаване_от_свобода', 'времето', 'time', '128', 'време_подпис', 'вре́ме', 'подписи_време', 'глаголно_време', 'музикален_време_подпис']
tool	автоматизиране	Incorrect	['софтуерни_инструменти', 'хуй', 'инструменти', 'инструмент_за_програмиране', 'инструмент_за_разработка_на_софтуер', 'инструмент', 'инструме́нт', 'софтуерен_инструмент', 'сечиво', 'tool', 'оръдие', 'инструменти_за_разработка_на_софтуер', 'кур', 'тул', 'инструмент_за_развитие']
toy	играчки	Match	['играчка', 'играчки', 'играчка_куче', 'toy', 'лъскав', 'chatoyancy', 'игра́чка', 'yello', 'йело', 'toyline', 'секс_играчки']
tree	дървета	Match	['гора', 'дърво_поклонение', 'корени_дърво', 'поддърво', 'майка_възел', 'дърво__структура_от_данни', 'листа_възел', 'краен_възел', 'коренът', 'дървовидна_структура', 'charlotte_bronté', 'kruskal_дърво_теорема', 'дърво', 'вътрешен_възел', 'интериор_възел', 'свещено_дърво', 'родителски_възел', 'шарлот_бронте', 'фиданка', 'трий', 'сър_хърбърт_beerbohm_tree', 'дръвче', 'дървото', 'дървовидната_диаграма', 'herbert_beerbohm_tree', 'дървета']
trial	обвинение	Incorrect	['тест', 'причинна_връзка', 'граматично_число', 'изпитание', 'paucal', 'съд', 'iii', 'граждански_съд', 'пробен_пуск', 'трима', 'тристишие', 'съди', 'броя', 'гражданско_дело', 'причинност', 'три', 'страните', '3', 'трикомпонентен', 'двойкаace', 'номер_на_договора', 'каузални', 'съдебно_дело', 'каузално', 'причина', 'дело', 'причината_система', 'каузалност', 'terzetto', 'кауза', 'проба', 'тройка', 'експеримент', 'процес', 'правосъдие', 'ternion', 'иск', 'изпробване', 'съден', 'случай', 'съдебни_дела', 'причинноследствена', 'причинноследствена_връзка', 'число', 'причинноследствената_връзка', 'наказателно_дело', 'досъдебното', 'правен_спор', 'съдебен_процес', 'граматически_номер']
tried	опитвал	Not found	[]
typical	типично	Match	['типичен', 'типични', 'типично', 'типична']
unaware	разбира	Not found	[]
usable	използваема	Found close match: ['използваеми', 'ползваемост']	['лекота_на_използване', 'ползваемост', 'функциониращ', 'използваеми', 'действащ', 'лесен_за_употреба', 'usability']
useless	безполезна	Found close match: ['безполезно', 'безполезен']	['useless', 'безполезно', 'безполезен']
vacation	почивка	Match	['празник', 'отпуска', 'вака́нция', 'почивка', 'отпуск', 'ваканция']
war	война	Match	['война', 'the_war', 'ares', 'война_и_мир', 'военен', 'състояние_на_война', 'въоръжени_конфликти', 'победи_над_замяна', 'войни', 'въоръжен_конфликт', 'конфликт', 'военен_конфликт', 'war', 'all_or_nothing', 'варайски_език', 'waraywaray_език', 'войната']
wash	налива	Incorrect	['химическо_измийте', 'buried', 'измивам', 'попътна_струя', 'the_wash', 'lavation', 'мия', 'пра́не', 'washables', 'измиване', 'перачка', 'измийте_рисуване', 'unearthed', 'отмиване', 'scan', 'въздушната_струя', 'пера', 'памыць', 'аройо', 'китайски_пране', 'мыць', 'навлажнявам', 'lost_dogs', 'пране', 'измия', 'миене', 'дрехи_за_пране']
weak	слаба	Match	['слабост', 'слабо', 'слаби', 'безсилие', 'слаба', 'мускулна_слабост', 'the_sea', 'слаб']
wear	носенето	Found close match: ['носят']	['строшавам_се', 'дре́хи', 'облекло́', 'носят', 'дамска', 'счупвам_се', 'дрехи', 'одежда', 'износване', 'строша_се', 'носи', 'оде́жда', 'устойчивост_на_износване', 'облекло', 'дреха', 'подигравка', 'подходящ_за_носене', 'облекла', 'счупя_се', 'нося', 'екипировка', 'статия_на_облекло', 'wear']
weather	метеорологични	Found close match: ['метеорологични_условия', 'метеорологично_време', 'метеорологичните_условия']	['време_перспектива', 'изтрая', 'времето', 'изтрайвам', 'издържа', 'издържам', 'прогноза_за_времето', 'метеорологичните_условия', 'време', 'атмосферни_условия', 'метеорологично_време', 'търпя', 'метеорологични_условия']
willingly	разубеждава	Not found	[]
word	думата	Found close match: ['дума', 'думи']	['свещен_текст', 'пароли', 'честна_дума', 'син', 'свещените_текстове', 'разискване', 'свещената_книга', 'думи', 'ms_word', 'библия', 'microsoft_word', 'обсъждане', 'новина', 'машинна_дума', 'библии', 'дискусия', 'общ_увод_в_библията', 'парола', 'писанията', 'религиозен_текст', 'обещание', 'синове', 'слово', 'съобщение', 'bible', 'свето_писание', 'новини', 'формулирам', 'християнската_библия', 'библейски', 'християнските_писания', 'вест', 'логос', 'религиозни_текстове', 'писанието', 'библията', 'дума', 'дължина_на_думата', 'свещеното_писание', 'светото_писание']
