ability	võimet	Found close match: ['võime']	['sobivus', 'sobivustesti', 'võime', 'oskus']
trial	kohtuotsuse	Found close match: ['kohtuprotsessi', 'kohtuvaidluse', 'kohtueelse']	['arv', 'põhjus', 'paucal', 'õiguslik_vaidlus', 'kolmetine', 'iii', 'tercet', 'trine', 'kohtuasi', 'nuumerus', '3', 'põhjuslikkuse', 'kohtulik_arutamine', 'grammatiline_arv', 'paganace', 'kolm', 'vaidluspoolte', 'kohtuasjad', 'number', 'kohtuvaidluse', 'põhjuslik', 'kausaalsus', 'kohtuasja', 'põhjuslikkus', 'kaevata', 'juhul', 'kohtuprotsessi', 'tertsett', 'ahistus', 'kriminaalasja', 'tsiviilkohtus', 'põhjustamine', 'kohtueelse', 'kohtuistung', 'arvu_kokkuleppe', 'ternion', 'kaasus', 'katsetus', 'tsiviilasjas', 'tsiviil_kohtuasi', 'põhjus_süsteemi', 'põhjus_süsteem', 'causa']
tried	üritas	Found close match: ['üritasin']	['kohtuprotsessi', 'proovitud', 'kohtulik_arutamine', 'üritasin', 'proovisin', 'proovis', 'kriminaalasja', 'kohtuasi', 'proovisid']
typical	tüüpiline	Match	['tüüpiline', 'tüüpilised']
unaware	teadnudki	Not found	[]
usable	kasutuskõlblik	Found close match: ['kasutuskõlbulikkus', 'kasutuslikkus', 'kasutajasõbralik']	['kasutajasõbralik', 'kasutatav', 'kasutusmugavus', 'kasutuslikkus', 'kasutuskõlbulikkus', 'kasutatavus', 'kasutatavad']
useless	mõttetu	Incorrect	['kasutu', 'kasutud', 'useless']
vacation	suvepäevad	Incorrect	['puhkust', 'puhkus', 'tühistamine', 'annuleerimine']
war	sõda	Match	['the_war', 'ares', 'varai_keel', 'women_art_revolution', 'sõjaseisukorra', 'võitu_eespool_asendamine', 'sõjaline_konflikt', 'sõjad', 'war', 'all_or_nothing', 'sõda', 'waraywaray_keeles', 'linnade_põletamine']
wash	mõdu	Incorrect	['kuiva_pesu', 'maetud', 'arroyo', 'the_wash', 'lavation', 'washables', 'pesunaine', 'slipstream', 'pesema', 'unearthed', 'pesta', 'pesu', 'pese', 'scan', 'pesta_joonistus', 'balka', 'õhukeeriste', 'lost_dogs', 'puhastumiseks', 'uurak', 'hiina_pesu']
weak	tugev	Incorrect	['lihaste_nõrkus', 'nõrgad', 'lihasnõrkus', 'nõrk', 'nõrga', 'nõrkus', 'the_sea']
wear	riietuda	Found close match: ['riietus']	['weari_jõgi', 'naisterõivaste', 'riietus', 'kanda', 'kantav', 'kulumine', 'rõivad', 'rõivastus', 'panna', 'riided', 'habiliment', 'kulumise', 'kanna', 'rõivale', 'rõivas', 'mõnitus', 'wear', 'rõivatööstusele']
weather	niiske	Incorrect	['ilm_ennustus', 'ilm', 'ilmastikutingimused', 'ilmaennustus', 'ilmaennustust', 'atmosfääri_seisund', 'ilmateade']
willingly	pahatahtlikult	Found close match: ['vabatahtlikult']	['vabatahtlikult']
word	sõna	Match	['christian_pühakirja', 'koodsõna', 'poeg', 'kristliku_piibli', 'sõna_suurus', 'pühakirja', 'püha_teksti', 'pühad_tekstid', 'arutelu', 'sõna', 'religioossed_tekstid', 'uudis', 'ms_word', 'püha_raamat', 'microsoft_word', 'virtuaalne', 'pühakiri', 'lubadus', 'andmed_sõna', 'microsoft_office_word', 'sõnumid', 'poega', 'parool', 'word', 'paroole', 'ausõna', 'piibel', 'salasõna', 'piibli', 'sõnad', 'religioosne_tekst', 'hea_raamat', 'piiblit', 'väitlus', 'arutlus', 'logod', 'christian_piibel', 'logos']
