ability	yeteneğin	Found close match: ['yeteneği', 'yetenek']	['yetenek', 'yeteneği']
sugar	şeker	Match	['şekerler', 'servet', 'seker', 'şarap_şekerlerin', 'sugar', 'glassheart', 'simoleons', 'şekerim', 'dinero', 'istiridye', 'korbonhitratlar', 'moolah', 'disakkarit', 'şekerli', 'küp_şeker', 'gelt', 'şeker_ticareti', 'sakarit', 'batman_forever', 'karbohidrat', 'deniz_tarağı', 'polisakarit', 'rafine_şeker', 'karbonhidrat', 'vurgun', 'kesme_şeker', 'şeker', 'sugarscapecom', 'kristal_şeker', 'toz_şeker', 'ekmek_parası', 'karbonhidratların_vücuttaki_görev', 'batman_daima', 'karbonhitratlar', 'karbonhidratlar', 'beyaz_şeker']
suspect	şüphelisi	Found close match: ['şüpheli', 'şüphe']	['güvensizlik', 'sanık', 'şüpheli', 'faili', 'robert_crais', 'şüphe', 'zanlı', 'davalı', 'suçlu', 'müdafi']
table	sütunundaki	Incorrect	['veri_sayfası', 'sekmeli_dizi', 'geciktirmek', 'iframe', 'yayla', 'etiket', 'masa', 'tablo', 'başvuru_çizelgesi', 'cetvel', 'soundboard', 'ertelemek', 'erteleme', 'href', 'mesa', 'yemek_masası', 'ses_kartı', 'arama', 'sekmeli', 'html_öğesi', 'html_etiketi', 'veritabanı_tablo', 'arama_tablosu', 'sofra']
taste	lezzette	Found close match: ['lezzet']	['tadı', 'tadını_çıkarmak', 'tadına_bakma', 'ekşi', 'lezzet', 'kör_tadım', 'taste', 'gustatuar_modalite', 'yapay_tatlandırıcı', 'çeşni', 'lezzet_arttırıcı', 'tutku', 'tat_duyusunda', 'tat', 'tat_algısı', 'temel_tat', 'tat_hissi', 'nowhere', 'şarap_tadımı', 'tat_alma_sistemi', 'tatlandırıcı', 'tercihleri', 'tat_alma', 'doğal_aromalar', 'tercihi', 'tatma', 'şarap_tatma']
team	takımken	Found close match: ['takım', 'takım_oyunu']	['enstrümental_orkestra', 'müzik_grubu', 'bando', 'rock_grupları', 'bando_takımı', 'solo_sanatçı', 'pop_grubu', 'solo_projesi', 'iş_hücresi', 'ekip', 'takım_sporları', 'takım', 'team', 'grubu', 'bar_grubu', 'pop_rock_grubu', 'müzik_topluluğu', 'rock_grubu', 'takım_oyunu', 'takım_sporu', 'pop_rock_grubudur']
texture	yumuşaklık	Incorrect	['doku_haritalama', 'doku_haritası', 'macrotexture', 'doku', 'doku_dahil', 'kaplama', 'dokusu', 'müzikal_doku']
time	zamanı	Found close match: ['zaman', 'zamanları', 'zamanların']	['gramer_gergin', 'in_my_own_words', 'zamanları', 'scatmans_world', 'süre', 'time_magazine', 'space_and_time', 'dördüncü_boyut', 'saat', 'gergin', 'sistem_saatini', 'saat_döngüsü', 'polymeter', 'y_not', 'müzikal_zaman_imza', 'bileşik_metre', 'zamanların', 'saat_zaman', 'xkcd_1190', 'defa', 'metre', 'bileşik_zaman', 'vals_zamanında', 'anastacia', 'hypnotica', 'zaman_imza', 'büyük_patlama_kronolojisi', 'zaman_imzalar', 'kez', 'ikili', 'zaman', 'pacific_ocean_blue', 'space__time', '44', 'kere', 'vakit', 'hapis', 'şimdi', 'ölçü_işareti', 'saat_işareti', 'saat_sinyali', 'sefer', 'time', 'time_dergisi', 'zaman_aralığı', 'an', '128', 'lahza', 'sistem_saati', 'zamansüre', 'basit_zaman', 'saat_tutmak']
tool	önyükleme	Incorrect	['pipi', 'çük', 'programlama_aracı', 'yarak', 'yazılım_aracıdır', 'âlet', 'yazılım_geliştirme_araçları', 'aygıt', 'sik', 'kobra', 'yazılım_araçları', 'cihaz', 'geliştirme_aracı', 'tool', 'alet', 'aracı', 'araç', 'aletler', 'kuş', 'yazılım_geliştirme_aracı']
toy	oyuncak	Match	['seks_oyuncak', 'seks_oyuncakları', 'süs_köpekleri', 'süs_köpeği', 'toy', 'chatoyancy', 'mastürbasyon_aletleri', 'oyuncak', 'oyuncak_köpek', 'yello', 'seks_oyuncağı', 'oyuncak_köpekler', 'toyline', 'refakatçi_köpekler', 'chatoyant', 'oyuncaklı_ilişki', 'oyuncağı']
tree	ağacı	Found close match: ['ağaç', 'agac', 'ağaç_inancı']	['orman', 'ağaç_gövdesi', 'ağaç', 'ağaçlar', 'charlotte_brontë', 'ahşap', 'alt_ağaç', 'agac', 'sir_herbert_beerbohm_ağacı', 'iç_düğüm', 'subtree', 'ağaç_diyagramı', 'fidan', 'kruskal_ağacı_teoremi', 'ağaç_inancı', 'ağaç_veri_yapısı', 'ağaç_kültü', 'kutsal_ağaç', 'yaprak_düğüm', 'üst_düğüm', 'herbert_beerbohm_tree', 'charlotte_bronte', 'aðaç', 'iç_düğümü', 'kök_düğüm', 'türk_mitolojisinde_ağaç']
trial	yargılanmasının	Incorrect	['paucal', 'sivil_dava', 'üç', 'iii', 'dava_açtı', 'deneme', '３', 'dava', 'bu', 'ceza_davası', '➂', 'hüç', 'duruşma_öncesi', 'sıkıntı', 'tekil', '3', 'deuceace', 'nedensellik', 'sivil_mahkeme', 'deney', 'sayı', 'duruşma', 'neden_sistem', '❸', 'üçlü', 'durum', '③', 'test', 'davalar', 'ternion', 'tarafalr', '三', 'deneme_çalışması', 'numarası_anlaşması', '३', '৩', 'causa', 'üç_mısralı_kıta', 'nedensel', '➌']
tried	suçluyordu	Incorrect	['denedim', 'denedi', 'ceza_davası', 'duruşma']
typical	tipik	Match	['tipik']
unaware	bilmiyordur	Incorrect	['habersiz']
usable	kullanılabilecek	Found close match: ['kullanılabilir', 'kullanılabilirlik', 'kullanılır']	['elverişli', 'kullanılır', 'kullanıcı_dostu', 'kullanılabilirlik', 'kullanılabilir', 'yaraklı']
useless	gereksiz	Match	['yararsız', 'faydasız', 'useless', 'gereksiz']
vacation	tatil	Match	['tatil']
war	savaşı	Found close match: ['savaş', 'savas', 'savaş_alanı']	['savaş', 'the_war', 'ares', 'waraywaray_dil', 'askeri_çatışma', 'muharebe', 'suikastçi', 'savaş_ile_ilgili_atasözleri_ve_deyimler', 'silahlı_çatışma', 'harp', 'savaş_alanı', 'savas', 'war', 'all_or_nothing', 'suikastçı', 'cenk', 'savaş_durumu', 'varayca']
wash	yıkamak	Match	['yıkanır', 'çamaşır_yıkama', 'arroyo', 'yıkama', 'kuru_vadi', 'büyük_kaçış', 'the_wash', 'sel_yatağı', 'çinli_çamaşır', 'tarama', 'yıkamak', 'çamaşırhane', 'pervane_rüzgârı', 'unearthed', 'netservinf', 'suluboya', 'yıkanabilirlikle', 'lost_dogs', 'yumak', 'yıkamak_için_kuru', 'prison_break', 'çamaşırcı']
weak	zayıf	Match	['zafiyet', 'kas_zayıflığı', 'zayıflar', 'kas_güçsüzlüğü', 'asteni', 'the_sea', 'güçsüz', 'zayıf']
wear	giyerler	Found close match: ['giyecek', 'giyilebilir']	['giyecek', 'giyimkuşam', 'üst', 'giyim_makalede', 'giymek', 'giysi', 'womenswear', 'giyim', 'kılık_kıyafet', 'kılık_ve_kıyafet', 'aşınma', 'aşınma_direnci', 'kıyafet', 'giyilebilir', 'habiliment', 'kıyafetleri', 'giy', 'wear', 'giyim_kuşam']
weather	fırtınaları	Incorrect	['hava_koşulları', 'atmosferik_durum', 'hava', 'hava_tahmin', 'hava_durumu', 'hava_tahmini', 'hava_tahminleri']
willingly	yalvararak	Incorrect	['isteyerek']
word	kelime	Match	['kelime_uzunluğu', 'kutsal_kitaplar_listesi', 'şeref_sözü', 'laf', 'oğul', 'kutsal_metin_listesi', 'inciller', 'kitabı_mukaddes', 'kutsal_kitap', 'logolar', 'mukaddes_kitap', 'i̇lahi_kitap', 'kelime_boyutu', 'kutsal_metin', 'söz', 'veri_kelimesi', 'bahıs', 'microsoft_word', 'incil', 'hıristiyan_kutsal', 'i̇ncil', 'word', 'kutsal_metinler', 'ahit_yazarları', 'sözcük', 'hıristiyan_incil', 'dini_metinleri', 'kelimesi', 'deyi', 'bağış_sözü', 'haber', 'kelime', 'kutsal_kitaplar', 'oğlu', 'parola', 'dini_metin', 'şifre', 'tartışma', 'münakaşa', 'geçiş_kodu', 'kutsal', 'logos', 'msword']
